Date,COLOMBIA MOMENTUM
2007-05-15,7359.118360646729
2007-05-16,7294.641268519662
2007-05-17,7311.210490258016
2007-05-18,7487.510179440443
2007-05-21,7505.827433569567
2007-05-22,7595.581259471067
2007-05-23,7530.7959805826185
2007-05-24,7394.802108328856
2007-05-25,7550.182556107618
2007-05-28,7540.605211704668
2007-05-29,7618.130574089761
2007-05-30,7503.909522057839
2007-05-31,7708.426915533182
2007-06-01,7796.812892344677
2007-06-04,7861.944285965711
2007-06-05,7831.674931243718
2007-06-06,7744.839132518889
2007-06-07,7719.293444668523
2007-06-08,7698.259538637945
2007-06-11,7728.879036419652
2007-06-12,7750.494141553804
2007-06-13,7855.0009021475225
2007-06-14,7912.465550945694
2007-06-15,8153.902772616204
2007-06-18,8162.15617727564
2007-06-19,8330.341613346387
2007-06-20,8204.63135578521
2007-06-21,8143.317756416441
2007-06-22,8045.212046210246
2007-06-25,7865.814264966844
2007-06-26,7805.569808814574
2007-06-27,7861.5240389465225
2007-06-28,7896.6195400806355
2007-06-29,7857.016554287851
2007-07-02,7794.066625791026
2007-07-03,7803.873709794321
2007-07-04,7789.089515442653
2007-07-05,7782.1556473025685
2007-07-06,7861.553176675038
2007-07-09,7986.101232632261
2007-07-10,7724.521356172764
2007-07-11,7771.612893273446
2007-07-12,8021.555032890384
2007-07-13,7952.408082821474
2007-07-16,8112.2102795734345
2007-07-17,8261.019641153445
2007-07-18,8313.667113477786
2007-07-19,8360.907675620845
2007-07-20,8353.655451680157
2007-07-23,8370.140765939695
2007-07-24,8428.116996975015
2007-07-25,8342.246256262788
2007-07-26,8096.639271273284
2007-07-27,8114.3238070926645
2007-07-30,8121.99292237123
2007-07-31,8221.756458001437
2007-08-01,8095.8583026820925
2007-08-02,8165.763172886713
2007-08-03,8096.864880944403
2007-08-06,7962.178153088135
2007-08-07,7998.905135187773
2007-08-08,8032.717620075206
2007-08-09,7956.468404999166
2007-08-10,7747.086880483699
2007-08-13,7798.400210546478
2007-08-14,7628.241589685911
2007-08-15,7570.280244385052
2007-08-16,6918.061113863406
2007-08-17,7063.867395268432
2007-08-20,7160.866227756878
2007-08-21,6988.291663975274
2007-08-22,7186.502472273868
2007-08-23,7196.30722558533
2007-08-24,7289.898473081185
2007-08-27,7365.20771414473
2007-08-28,7191.275788816683
2007-08-29,7153.470283345848
2007-08-30,7264.369429224551
2007-08-31,7295.806322008936
2007-09-03,7337.438730347003
2007-09-04,7398.93151833821
2007-09-05,7296.693268929509
2007-09-06,7286.532091224426
2007-09-07,7108.987669581548
2007-09-10,7000.792918384264
2007-09-11,6969.14659895392
2007-09-12,6969.225234083288
2007-09-13,7003.266003441258
2007-09-14,7002.142026398662
2007-09-17,6969.407511519228
2007-09-18,6935.1468909555315
2007-09-19,7225.570900395617
2007-09-20,7183.472360877648
2007-09-21,7220.645699049185
2007-09-24,7157.123118968878
2007-09-25,7191.610518513719
2007-09-26,7305.531858523452
2007-09-27,7313.258411258892
2007-09-28,7239.540828931436
2007-10-01,7304.940962548852
2007-10-02,7418.807592731652
2007-10-03,7421.53382798569
2007-10-04,7452.987710445024
2007-10-05,7547.581497008041
2007-10-08,7642.959833364235
2007-10-09,7605.860245844693
2007-10-10,7567.140633268481
2007-10-11,7591.303216994227
2007-10-12,7530.376755846446
2007-10-15,7522.273827263717
2007-10-16,7390.610215036876
2007-10-17,7309.039622889634
2007-10-18,7163.844139806841
2007-10-19,7142.451686952889
2007-10-22,7144.512918293581
2007-10-23,7263.438693582508
2007-10-24,7193.770572802662
2007-10-25,7221.051932555056
2007-10-26,7313.431998285452
2007-10-29,7409.152078083228
2007-10-30,7385.408110511572
2007-10-31,7366.241781560078
2007-11-01,7329.125235527791
2007-11-02,7323.490712905479
2007-11-05,7351.9198238541385
2007-11-06,7430.820492352809
2007-11-07,7372.373632608706
2007-11-08,7269.691938336087
2007-11-09,7198.703683321304
2007-11-12,7270.089091660003
2007-11-13,7174.8875858997335
2007-11-14,7411.540780821121
2007-11-15,7462.363452651274
2007-11-16,7463.779406758686
2007-11-19,7401.427215093268
2007-11-20,7400.953097082922
2007-11-21,7309.704876899385
2007-11-22,7351.33406219615
2007-11-23,7430.566057693239
2007-11-26,7308.085523798156
2007-11-27,7260.98022874126
2007-11-28,7380.916229234277
2007-11-29,7365.19270282548
2007-11-30,7506.990960571706
2007-12-03,7463.148352026594
2007-12-04,7306.899507383392
2007-12-05,7466.80108516098
2007-12-06,7508.81042215942
2007-12-07,7458.644831608145
2007-12-10,7410.260658175251
2007-12-11,7520.632774892687
2007-12-12,7475.978504944337
2007-12-13,7431.419679361203
2007-12-14,7641.578688083778
2007-12-17,7541.09628004443
2007-12-18,7279.821218961083
2007-12-19,7342.943683463959
2007-12-20,7488.41290355106
2007-12-21,7530.8923536712955
2007-12-24,7599.490384373796
2007-12-25,7599.490384373796
2007-12-26,7501.767162601949
2007-12-27,7378.010428441718
2007-12-28,7290.2552476434075
2007-12-31,7301.699584619457
2008-01-01,7301.699584619457
2008-01-02,7241.734111454353
2008-01-03,7263.36984925883
2008-01-04,7212.27047842327
2008-01-07,7259.999899509302
2008-01-08,7130.830384911629
2008-01-09,7118.873784073813
2008-01-10,7111.35179598207
2008-01-11,7097.181530527833
2008-01-14,7008.945311250118
2008-01-15,6889.646202364775
2008-01-16,6790.852853075224
2008-01-17,6685.5962093777225
2008-01-18,6448.013076213867
2008-01-21,5989.155509056499
2008-01-22,6210.121496455668
2008-01-23,6324.300602821019
2008-01-24,6614.478418124991
2008-01-25,6735.277878938329
2008-01-28,6629.605396686262
2008-01-29,6745.334472667848
2008-01-30,6734.973831769542
2008-01-31,6744.473019041181
2008-02-01,6759.371371814802
2008-02-04,6809.15193106969
2008-02-05,6689.364445753346
2008-02-06,6517.774809092116
2008-02-07,6485.107810050601
2008-02-08,6674.5550345123465
2008-02-11,6735.643616607425
2008-02-12,6688.70806736102
2008-02-13,6726.530842358048
2008-02-14,6792.284338905882
2008-02-15,6743.359796397771
2008-02-18,6825.390510607204
2008-02-19,6875.179965858793
2008-02-20,6837.871767601589
2008-02-21,6838.383812862254
2008-02-22,6823.245915540185
2008-02-25,6780.172825753155
2008-02-26,6795.175155307794
2008-02-27,6737.555614297122
2008-02-28,6733.512798420601
2008-02-29,6591.919352952463
2008-03-03,6483.779888064921
2008-03-04,6278.38952774351
2008-03-05,6468.311165456659
2008-03-06,6332.603484858198
2008-03-07,6302.251596405305
2008-03-10,6488.649725600824
2008-03-11,6567.723666348441
2008-03-12,6548.782460889628
2008-03-13,6543.622266527505
2008-03-14,6488.7609589369995
2008-03-17,6317.695176907184
2008-03-18,6504.430464956271
2008-03-19,6554.465364606077
2008-03-20,6649.092388514087
2008-03-21,6649.092388514087
2008-03-24,6660.055504618567
2008-03-25,6466.368679845007
2008-03-26,6471.726639935402
2008-03-27,6478.494655944662
