Date,INDIA VALUE WEIGHTED
1999-05-04,689.3785227203866
1999-05-05,702.9055659159892
1999-05-06,721.9027496178154
1999-05-07,741.4310773451409
1999-05-10,769.4677108968424
1999-05-11,798.3479264291356
1999-05-12,778.0817936945389
1999-05-13,816.3749143392539
1999-05-14,845.6617262870826
1999-05-17,853.0744733296405
1999-05-18,873.2255648301435
1999-05-19,901.2611649614036
1999-05-20,882.8064955028963
1999-05-21,849.2279045025729
1999-05-24,844.8070037504236
1999-05-25,856.8529698706709
1999-05-26,824.9759909107478
1999-05-27,795.1944191555779
1999-05-28,769.1381469441945
1999-05-31,822.1813935752401
1999-06-01,809.0922843318561
1999-06-02,819.9545764613705
1999-06-03,839.052868815749
1999-06-04,862.7317205844564
1999-06-07,866.5996292015093
1999-06-08,878.8889927571153
1999-06-09,872.5653320901695
1999-06-10,875.3532179831425
1999-06-11,854.0042431459967
1999-06-14,846.3069354305984
1999-06-15,829.3420194164463
1999-06-16,857.9969295829359
1999-06-17,878.4410755442923
1999-06-18,875.4088448136192
1999-06-21,906.2581956831438
1999-06-22,912.907041926875
1999-06-23,893.9189406379555
1999-06-24,884.5733171769944
1999-06-25,883.6707954837578
1999-06-28,895.6406670969517
1999-06-29,895.1280574921423
1999-06-30,888.016942787868
1999-07-01,881.3839912718676
1999-07-02,895.933512852045
1999-07-05,939.4126321986622
1999-07-06,955.9617594597552
1999-07-07,962.0660626912653
1999-07-08,965.5768989534479
1999-07-09,992.3136000157655
1999-07-12,1060.7227205028653
1999-07-13,1067.1759896260983
1999-07-14,1082.3149959531158
1999-07-15,1062.8193121469928
1999-07-16,1054.4632482129746
1999-07-19,1059.5051172405033
1999-07-20,1030.0615699380833
1999-07-21,1039.0866734412791
1999-07-22,1048.1812057692835
1999-07-23,1024.6377539372613
1999-07-26,1004.5112874093213
1999-07-27,993.030554286331
1999-07-28,993.1153530297981
1999-07-29,985.1436389476681
1999-07-30,964.3455893237831
1999-08-02,936.1720257594058
1999-08-03,948.7889234780339
1999-08-04,975.7636714967318
1999-08-05,960.0328502693033
1999-08-06,953.5871236448234
1999-08-09,980.8122243036743
1999-08-10,977.3162518012929
1999-08-11,962.9049758077161
1999-08-12,965.3150369313615
1999-08-13,961.3150641562986
1999-08-16,993.3480540988533
1999-08-17,1014.5012919168797
1999-08-18,1036.9759356343272
1999-08-19,1013.7294108035366
1999-08-20,1025.985633384654
1999-08-23,1055.9286392074655
1999-08-24,1076.503634601278
1999-08-25,1045.6471045068854
1999-08-26,1076.3352251394926
1999-08-27,1084.315302964576
1999-08-30,1094.7010189834086
1999-08-31,1094.2701265078817
1999-09-01,1069.0403832966313
1999-09-02,1042.5379153940844
1999-09-03,1046.9594053753087
1999-09-06,1074.661360792446
1999-09-07,1066.275365700748
1999-09-08,1065.4957538689969
1999-09-09,1061.6380228958044
1999-09-10,1061.5896566137822
1999-09-13,1061.5896566137822
1999-09-14,1069.6675435909915
1999-09-15,1045.2158632332464
1999-09-16,1021.0824896830464
1999-09-17,1028.459109254153
1999-09-20,1019.3002390700935
1999-09-21,1008.8674714837282
1999-09-22,1021.8762073278682
1999-09-23,1036.1768600326143
1999-09-24,1039.220082420807
1999-09-27,1025.8499910246792
1999-09-28,1031.6607953359578
1999-09-29,1047.7003109138873
1999-09-30,1044.49876241317
1999-10-01,1027.540630206163
1999-10-04,1012.5793010917312
1999-10-05,1025.9409002075718
1999-10-06,1023.6458249576709
1999-10-07,1077.4186447060804
1999-10-08,1099.2604077470505
1999-10-11,1119.1626185982082
1999-10-12,1132.9113094714792
1999-10-13,1121.681838527303
1999-10-14,1126.262999244684
1999-10-15,1080.4556185985855
1999-10-18,1111.1500134172795
1999-10-19,1111.0220007429225
1999-10-20,1140.384319740029
1999-10-21,1121.711512213956
1999-10-22,1123.9072135012186
1999-10-25,1132.6480031885715
1999-10-26,1134.3950141222988
1999-10-27,1097.835447852831
1999-10-28,1056.3420305191391
1999-10-29,1016.8144183557378
1999-11-01,967.8169768329408
1999-11-02,1025.9305272579115
1999-11-03,1007.0894087225482
1999-11-04,1009.3196834408141
1999-11-05,1024.779170778209
1999-11-08,1036.904678379052
1999-11-09,1036.266169749889
1999-11-10,1036.4452376900565
1999-11-11,1033.0558405772051
1999-11-12,1030.4333478818896
1999-11-15,1025.7194817873415
1999-11-16,1024.1892717799938
1999-11-17,1011.3979135731871
1999-11-18,1012.655727497191
1999-11-19,1008.6983515960836
1999-11-22,1025.8758851393848
1999-11-23,1026.0237143925317
1999-11-24,1044.6066784268444
1999-11-25,1057.323384803394
1999-11-26,1057.3029416887773
1999-11-29,1049.0405790474615
1999-11-30,1043.973320957612
1999-12-01,1041.1901017247021
1999-12-02,1059.1925537177713
1999-12-03,1065.90479490853
1999-12-06,1096.6990538021066
1999-12-07,1091.0934920108457
1999-12-08,1066.9616751167741
1999-12-09,1073.3174646128498
1999-12-10,1060.8818652537122
1999-12-13,1060.2616287410528
1999-12-14,1054.8055535862813
