Date,CHINA A ONSHORE VALUE WEIGHTED
2008-10-01,537.9785374857171
2008-10-02,537.9785374857171
2008-10-03,537.9785374857171
2008-10-06,511.7107233538169
2008-10-07,510.6094807159452
2008-10-08,493.05414309563804
2008-10-09,486.44708339678584
2008-10-10,463.93983531001413
2008-10-13,484.0043030208802
2008-10-14,471.42048740988594
2008-10-15,468.16984813566427
2008-10-16,447.4208301466116
2008-10-17,450.22962909207513
2008-10-20,464.35373574223996
2008-10-21,459.8471890221993
2008-10-22,447.9040891891401
2008-10-23,446.76988140341206
2008-10-24,434.5431139378435
2008-10-27,403.8736082654146
2008-10-28,416.4573367116507
2008-10-29,404.6913331129922
2008-10-30,414.14786866727326
2008-10-31,405.79507319958896
2008-11-03,403.4918152469916
2008-11-04,398.2301819636207
2008-11-05,413.2199107858817
2008-11-06,404.8528947532812
2008-11-07,412.19138212982335
2008-11-10,442.3084232634125
2008-11-11,437.4957607437802
2008-11-12,442.8258885792346
2008-11-13,460.3288994171258
2008-11-14,476.5956881250108
2008-11-17,487.90623884671
2008-11-18,452.058112181091
2008-11-19,479.84712416770043
2008-11-20,475.5337021813151
2008-11-21,473.43900113134157
2008-11-24,453.42368750860595
2008-11-25,452.45586600563763
2008-11-26,455.5656486684713
2008-11-27,462.62941454527686
2008-11-28,451.48216573141644
2008-12-01,457.2419021666942
2008-12-02,458.8228966008883
2008-12-03,479.7698867261316
2008-12-04,487.4087998216615
2008-12-05,495.53231406752195
2008-12-08,515.6056158613407
2008-12-09,502.43949210701817
2008-12-10,517.1301763977525
2008-12-11,503.8489944215068
2008-12-12,482.376262589894
2008-12-15,486.3415129271979
2008-12-16,491.25224629580686
2008-12-17,493.89996885802026
2008-12-18,505.06834592517896
2008-12-19,505.5899346716176
2008-12-22,496.77195930424875
2008-12-23,471.5269655740253
2008-12-24,463.9196337257591
2008-12-25,460.6065926096063
2008-12-26,458.8732871860285
2008-12-29,456.7045309023538
2008-12-30,452.0900365241144
2008-12-31,448.94810403197215
2009-01-01,448.94810403197215
2009-01-02,448.94810403197215
2009-01-05,466.2498806567041
2009-01-06,482.17153095616754
2009-01-07,479.84815469734775
2009-01-08,468.35544279332885
2009-01-09,476.5092521959291
2009-01-12,477.98005743531854
2009-01-13,467.82694520593725
2009-01-14,487.5314182502566
2009-01-15,488.1760977582153
2009-01-16,496.5182102923766
2009-01-19,501.9144185480612
2009-01-20,505.5925746532604
2009-01-21,505.15676469342077
2009-01-22,511.04941033749265
2009-01-23,508.7400165395338
2009-01-26,508.7400165395338
2009-01-27,508.7400165395338
2009-01-28,508.7400165395338
2009-01-29,508.7400165395338
2009-01-30,508.7400165395338
2009-02-02,514.5387910809657
2009-02-03,528.1735450355311
2009-02-04,544.216322400646
2009-02-05,539.8346805528656
2009-02-06,562.5919445283766
2009-02-09,578.0613967234219
2009-02-10,586.2629627120945
2009-02-11,586.878030612581
2009-02-12,584.9910138176509
2009-02-13,606.8219251189495
2009-02-16,624.651534299819
2009-02-17,601.6617994858912
2009-02-18,573.1222169167689
2009-02-19,581.0442981255459
2009-02-20,593.8116140825715
2009-02-23,610.2197556103653
2009-02-24,582.5952696322985
2009-02-25,583.8101372284418
2009-02-26,553.2792639059927
2009-02-27,537.3976097011366
2009-03-02,543.4932785162409
2009-03-03,540.4070759022134
2009-03-04,575.919831657942
2009-03-05,581.4936432181995
2009-03-06,576.7679138431174
2009-03-09,553.8721501611561
2009-03-10,563.902124143154
2009-03-11,559.3811035579877
2009-03-12,558.8670390135763
2009-03-13,555.6642921093809
2009-03-16,565.6739424684451
2009-03-17,586.5080717446245
2009-03-18,590.2139416696456
2009-03-19,602.566856793243
2009-03-20,602.1559665614628
2009-03-23,616.5973890962151
2009-03-24,620.6686871508044
2009-03-25,606.5367676006944
2009-03-26,626.1748683195051
2009-03-27,632.4862451278733
2009-03-30,627.1621226073885
2009-03-31,632.6689527172399
2009-04-01,642.2486140093789
2009-04-02,649.4699401822799
2009-04-03,648.0111634765266
2009-04-06,648.0111634765266
2009-04-07,649.1574298565741
2009-04-08,623.9464741073629
2009-04-09,633.7110331267161
2009-04-10,652.4151926319503
2009-04-13,666.9583921580075
2009-04-14,673.9294512957129
2009-04-15,677.9965088778237
2009-04-16,679.7013388924526
2009-04-17,670.1429469495662
2009-04-20,683.898918225289
2009-04-21,676.4019586369698
2009-04-22,650.7759157451494
2009-04-23,654.541830260262
2009-04-24,648.3543477225104
2009-04-27,631.2636238231594
2009-04-28,633.8083982046165
2009-04-29,656.3386323627902
2009-04-30,661.969772933857
2009-05-01,661.969772933857
2009-05-04,685.550528193664
2009-05-05,688.8312334505634
2009-05-06,699.1898261301552
2009-05-07,699.7680795179613
2009-05-08,705.2533889390585
2009-05-11,689.8747998038193
2009-05-12,707.6536077389072
2009-05-13,713.1648078162375
2009-05-14,707.8086296946393
2009-05-15,708.2044328512445
2009-05-18,711.3233814362625
2009-05-19,720.6640652857233
2009-05-20,712.7041189097209
2009-05-21,696.4444880528918
2009-05-22,695.7942206916454
2009-05-25,698.7552560679673
