Date,ACWI ex JAPAN IMI MINIMUM VOL (USD)
2003-06-12,1038.7597009471147
2003-06-13,1035.9759407872946
2003-06-16,1048.0470458536583
2003-06-17,1051.3708376563534
2003-06-18,1047.9090194350927
2003-06-19,1041.7668833410435
2003-06-20,1042.1624891914958
2003-06-23,1029.2983323698982
2003-06-24,1026.964827409445
2003-06-25,1027.752749286087
2003-06-26,1028.7569556957517
2003-06-27,1025.9496366808075
2003-06-30,1025.5740507188025
2003-07-01,1032.156371696928
2003-07-02,1039.2231660835314
2003-07-03,1038.1647090330446
2003-07-04,1036.6726046020833
2003-07-07,1041.698431684817
2003-07-08,1036.4825345311415
2003-07-09,1030.6411631320327
2003-07-10,1025.0835897413947
2003-07-11,1030.791597566988
2003-07-14,1035.7728305355722
2003-07-15,1028.7173413677729
2003-07-16,1025.6921515265888
2003-07-17,1019.8344436884265
2003-07-18,1023.9417683366046
2003-07-21,1021.1572114102553
2003-07-22,1025.8542368329595
2003-07-23,1030.4726906950348
2003-07-24,1034.6943208641205
2003-07-25,1041.473547952675
2003-07-28,1040.7056349423017
2003-07-29,1038.236589171575
2003-07-30,1036.497755470837
2003-07-31,1032.6193617874833
2003-08-01,1029.4469177762758
2003-08-04,1029.3931384444584
2003-08-05,1023.8622072691812
2003-08-06,1024.3593674668512
2003-08-07,1031.3253894010463
2003-08-08,1034.7900652639557
2003-08-11,1038.6167804992342
2003-08-12,1041.6685756900697
2003-08-13,1041.6276358234088
2003-08-14,1045.5035917937887
2003-08-15,1045.2481553340408
2003-08-18,1045.3803168396005
2003-08-19,1045.281251551432
2003-08-20,1048.4209725748499
2003-08-21,1045.748188936939
2003-08-22,1036.8909965387793
2003-08-25,1036.8189307357043
2003-08-26,1037.0656438259764
2003-08-27,1041.1845754856727
2003-08-28,1044.0956243812936
2003-08-29,1050.2868681656232
2003-09-01,1051.2526077550613
2003-09-02,1057.258448480301
2003-09-03,1059.9024057067563
2003-09-04,1063.853368460895
2003-09-05,1064.3078430333012
2003-09-08,1071.345437929221
2003-09-09,1070.3168684782165
2003-09-10,1066.6194012540695
2003-09-11,1068.9365138171272
2003-09-12,1071.2995315253988
2003-09-15,1069.0601330451843
2003-09-16,1072.333730432884
2003-09-17,1071.8620571079982
2003-09-18,1076.6429726467431
2003-09-19,1079.065820991063
2003-09-22,1075.8727718615535
2003-09-23,1079.500541432678
2003-09-24,1075.7259561854491
2003-09-25,1071.2453207753197
2003-09-26,1064.520673734622
2003-09-29,1068.343498590952
2003-09-30,1068.3292422553498
2003-10-01,1082.2760070224724
2003-10-02,1088.9794669971714
2003-10-03,1091.7392191142799
2003-10-06,1095.2846558408003
2003-10-07,1099.3257509175394
2003-10-08,1099.2542413052342
2003-10-09,1102.436855789388
2003-10-10,1105.3765625807
2003-10-13,1108.7333641053697
2003-10-14,1110.944793460469
2003-10-15,1110.1238659062642
2003-10-16,1116.255704060766
2003-10-17,1110.4778329118328
2003-10-20,1111.5601211702408
2003-10-21,1114.7186283533715
2003-10-22,1109.670708779539
2003-10-23,1105.5745594879738
2003-10-24,1106.3021427757828
2003-10-27,1108.018820628293
2003-10-28,1111.8165838208129
2003-10-29,1114.3668649586168
2003-10-30,1114.9418185817249
2003-10-31,1115.8624443678232
2003-11-03,1117.665556936344
2003-11-04,1115.7005488509242
2003-11-05,1115.980652570931
2003-11-06,1115.7035519585315
2003-11-07,1119.0345567466095
2003-11-10,1117.3818995825795
2003-11-11,1114.1709572967443
2003-11-12,1125.3581730319686
2003-11-13,1132.1630764971774
2003-11-14,1133.5087221824028
2003-11-17,1127.8107595982926
2003-11-18,1129.830785881157
2003-11-19,1132.4794480065823
2003-11-20,1126.6623539886434
2003-11-21,1126.4499180322864
2003-11-24,1131.050524333905
2003-11-25,1135.8816920235715
2003-11-26,1142.4912940692714
2003-11-27,1141.9748169652848
2003-11-28,1146.0042296578051
2003-12-01,1157.3680406993342
2003-12-02,1161.884005842819
2003-12-03,1162.5815483794975
2003-12-04,1161.823249334078
2003-12-05,1160.8612345544716
2003-12-08,1165.6321707028844
2003-12-09,1164.2069586646248
2003-12-10,1159.2407867554334
2003-12-11,1162.8587232637394
2003-12-12,1169.2618016175852
2003-12-15,1168.1808905084033
2003-12-16,1168.6994716024976
2003-12-17,1170.1579752783002
2003-12-18,1175.6291764726113
2003-12-19,1174.0425560634353
2003-12-22,1178.6623207871448
2003-12-23,1181.1183194379903
2003-12-24,1184.472541319023
2003-12-25,1184.5044173685656
2003-12-26,1186.450841965612
2003-12-29,1196.7988133268825
2003-12-30,1201.7563489253564
2003-12-31,1204.1365673240787
2004-01-01,1204.2474147373323
2004-01-02,1207.6052702096035
2004-01-05,1218.9736912187711
2004-01-06,1220.1439009841333
2004-01-07,1216.4000930196119
2004-01-08,1219.6647187081824
2004-01-09,1222.420002493404
2004-01-12,1222.0730593098817
2004-01-13,1222.1090311712326
2004-01-14,1222.6170967921619
2004-01-15,1214.6598974572291
2004-01-16,1211.9837172172483
2004-01-19,1211.595120364644
2004-01-20,1222.2235773568264
2004-01-21,1228.3972771813446
2004-01-22,1231.6717766202655
2004-01-23,1231.9400782546709
2004-01-26,1234.6191388298591
2004-01-27,1234.7662896330023
2004-01-28,1227.302207478837
2004-01-29,1221.0959136133185
2004-01-30,1220.0450299232964
2004-02-02,1224.9127055053837
2004-02-03,1229.6598038050704
2004-02-04,1224.555189602506
2004-02-05,1226.7379126639207
2004-02-06,1239.5623140585574
2004-02-09,1245.8732032215848
2004-02-10,1250.0983524880942
2004-02-11,1256.6836147409344
2004-02-12,1259.920669508347
2004-02-13,1259.4216917133747
2004-02-16,1260.3370224680746
2004-02-17,1268.4256468160206
