Date,MSCI World Ex Mega Cap Speficied Index
2002-06-21,720.7531977433379
2002-06-24,711.5382336064838
2002-06-25,714.9603674886365
2002-06-26,695.8822927204358
2002-06-27,707.7049459984547
2002-06-28,717.2374002847524
2002-07-01,710.9822917531105
2002-07-02,696.5909678375284
2002-07-03,696.0097298468617
2002-07-04,699.3839306585128
2002-07-05,723.4457094829177
2002-07-08,712.2132370746292
2002-07-09,701.8488827669623
2002-07-10,686.8826905344347
2002-07-11,678.294317011937
2002-07-12,677.1774701986426
2002-07-15,656.5915790426076
2002-07-16,647.4195409778182
2002-07-17,655.3378837141944
2002-07-18,652.4565238233868
2002-07-19,629.2282971788725
2002-07-22,614.3024241102952
2002-07-23,607.5016557210199
2002-07-24,616.2904946243141
2002-07-25,613.5546230816506
2002-07-26,617.2045787832927
2002-07-29,649.473127658768
2002-07-30,648.7024963267181
2002-07-31,652.2675133229449
2002-08-01,635.6976212015097
2002-08-02,625.3183284316972
2002-08-05,607.7818748722977
2002-08-06,629.8824063722485
2002-08-07,633.2067035514073
2002-08-08,649.1970665005322
2002-08-09,653.6792977824983
2002-08-12,644.4031583164066
2002-08-13,639.7243650120828
2002-08-14,642.9854280625093
2002-08-15,656.5548510595165
2002-08-16,655.7570102681447
2002-08-19,669.9724450625139
2002-08-20,664.2415939626238
2002-08-21,668.8529707287611
2002-08-22,683.1754297657988
2002-08-23,672.7026438216656
2002-08-26,675.9755678257676
2002-08-27,671.3866366508702
2002-08-28,655.568681052945
2002-08-29,649.5488065258052
2002-08-30,652.6222463189656
2002-09-02,646.8172860266886
2002-09-03,619.947865280148
2002-09-04,624.1165462462004
2002-09-05,620.3627342811737
2002-09-06,632.531175795744
2002-09-09,635.8786258973427
2002-09-10,645.2784582345623
2002-09-11,650.9844585912798
2002-09-12,635.0713878055543
2002-09-13,628.6935640432059
2002-09-16,628.9572859693817
2002-09-17,624.0766190389983
2002-09-18,611.7659374869985
2002-09-19,598.4757772572501
2002-09-20,595.5797436132682
2002-09-23,583.5442150107872
2002-09-24,574.4472229050696
2002-09-25,584.4683567324039
2002-09-26,599.3271628558205
2002-09-27,593.5402585576082
2002-09-30,575.6498301338149
2002-10-01,585.9484887871857
2002-10-02,580.4631208348951
2002-10-03,570.4118244054059
2002-10-04,563.3287777465616
2002-10-07,549.7373956402847
2002-10-08,552.7425228224513
2002-10-09,537.077281127593
2002-10-10,551.3780296176521
2002-10-11,571.9203166426406
2002-10-14,570.9118314400838
2002-10-15,599.2353423103806
2002-10-16,590.6164515136786
2002-10-17,607.4954058562046
2002-10-18,609.2013934610626
2002-10-21,616.7010123313369
2002-10-22,606.0670013620075
2002-10-23,605.6317679008972
2002-10-24,605.9254435887889
2002-10-25,609.6947147664207
2002-10-28,607.4624727416593
2002-10-29,595.619750985108
2002-10-30,604.7859164557789
2002-10-31,602.6453752385673
2002-11-01,604.384355233756
2002-11-04,615.5356045667227
2002-11-05,617.1196635542549
2002-11-06,620.9638988964892
2002-11-07,604.5011988069108
2002-11-08,594.2111996175504
2002-11-11,584.2425901071065
2002-11-12,589.7020201555845
2002-11-13,587.9807811761675
2002-11-14,600.9018631010166
2002-11-15,605.2476840990995
2002-11-18,601.9114814001614
2002-11-19,597.0447035164226
2002-11-20,606.3060812387764
2002-11-21,624.0291847477079
2002-11-22,626.8420671778941
2002-11-25,630.5939627246505
2002-11-26,619.0643765822376
2002-11-27,634.378531739801
2002-11-28,636.2753070231137
2002-11-29,636.0756075916515
2002-12-02,635.5409851532219
2002-12-03,624.7124931498878
2002-12-04,618.217498950143
2002-12-05,611.1627920044012
2002-12-06,609.5239739763925
2002-12-09,597.5788988356139
2002-12-10,601.7416115672063
2002-12-11,604.133995413714
2002-12-12,598.8638745605635
2002-12-13,589.7141821306722
2002-12-16,600.9899209154792
2002-12-17,593.3674129513984
2002-12-18,584.5044137129522
2002-12-19,582.9107487508995
2002-12-20,587.5302868041554
2002-12-23,588.9813672964386
2002-12-24,586.0305766781916
2002-12-25,585.8133979689054
2002-12-26,586.1461872185979
2002-12-27,574.2539876282534
2002-12-30,575.5546573605453
2002-12-31,575.8170166076035
2003-01-01,575.8170166076035
2003-01-02,596.0325745916374
2003-01-03,595.0136352687122
2003-01-06,602.3502811452369
2003-01-07,599.7129578679506
2003-01-08,592.7643378410066
2003-01-09,597.2878284252213
2003-01-10,596.2639668087397
2003-01-13,595.6636952913163
2003-01-14,598.113802416357
2003-01-15,592.9291842762134
2003-01-16,592.8813906164562
2003-01-17,581.7790879117848
2003-01-20,578.3873405666276
2003-01-21,571.7489537297021
2003-01-22,563.919836001257
2003-01-23,566.5782170010965
2003-01-24,555.3186858713373
2003-01-27,542.0855584334236
2003-01-28,543.839870017135
2003-01-29,542.4673173225968
2003-01-30,544.3790426811618
2003-01-31,548.2255885436005
2003-02-03,551.8738381806331
2003-02-04,539.0499347221933
2003-02-05,542.0483948872853
2003-02-06,536.3970030285653
2003-02-07,532.1943158959685
2003-02-10,534.4732750602968
2003-02-11,537.6898013837034
2003-02-12,531.9475583758073
2003-02-13,526.4642754216922
2003-02-14,536.1905089642452
2003-02-17,542.2820176805201
2003-02-18,551.1349898073391
2003-02-19,543.572176491722
2003-02-20,537.4967970103529
2003-02-21,541.2209660707126
2003-02-24,536.5317236272444
2003-02-25,531.2531928142157
2003-02-26,525.9721846002391
2003-02-27,532.0617798791013
