Date,JORDAN
2011-08-29,171.55539751626145
2011-08-30,172.87158567438004
2011-08-31,173.05348180867583
2011-09-01,174.91866174728867
2011-09-02,175.73317100455273
2011-09-05,178.17156572720606
2011-09-06,178.20380328549166
2011-09-07,177.18272853801605
2011-09-08,176.6048424633701
2011-09-09,180.2700566405437
2011-09-12,182.14588679034722
2011-09-13,177.74860903879943
2011-09-14,179.07623794082357
2011-09-15,176.5461773029727
2011-09-16,177.37867043110165
2011-09-19,179.7729615238909
2011-09-20,177.60758796585674
2011-09-21,178.4187489367639
2011-09-22,181.40702249274383
2011-09-23,180.81661224655858
2011-09-26,180.68245735199804
2011-09-27,176.9273082654664
2011-09-28,176.2938053218195
2011-09-29,173.56283821657382
2011-09-30,176.55753129603553
2011-10-03,177.03308148675194
2011-10-04,176.9688701762517
2011-10-05,175.57301287813166
2011-10-06,173.8672758000552
2011-10-07,172.72680337874593
2011-10-10,164.65120902509855
2011-10-11,164.28598055327046
2011-10-12,163.2858206382258
2011-10-13,165.51288306100028
2011-10-14,163.967167945691
2011-10-17,164.53322263578465
2011-10-18,168.9309188225394
2011-10-19,167.63573380437418
2011-10-20,169.74831238671305
2011-10-21,167.3469682686856
2011-10-24,168.36980348862053
2011-10-25,168.86699465538112
2011-10-26,169.2475120438549
2011-10-27,166.71032270484397
2011-10-28,166.1288438088846
2011-10-31,172.17890704171035
2011-11-01,175.39161815208564
2011-11-02,171.31999801736129
2011-11-03,172.8278523108402
2011-11-04,172.43217397209997
2011-11-07,172.5446538739509
2011-11-08,171.9660585731191
2011-11-09,174.7698186094774
2011-11-10,174.7505240832454
2011-11-11,172.87971489989343
2011-11-14,177.3641658316765
2011-11-15,177.0805647154952
2011-11-16,176.58312284388865
2011-11-17,176.22489770310054
2011-11-18,176.30661996281137
2011-11-21,172.83049422990965
2011-11-22,172.37488692770162
2011-11-23,174.9014035452266
2011-11-24,174.99133724563853
2011-11-25,175.63496377592656
2011-11-28,172.6612390331405
2011-11-29,169.61571363379534
2011-11-30,167.6819613526047
2011-12-01,169.85994107194065
2011-12-02,170.35951053490493
2011-12-05,170.20139507171237
2011-12-06,171.11974684319532
2011-12-07,170.41268962911445
2011-12-08,170.42548411362102
2011-12-09,169.67787723340152
2011-12-12,172.13944121437888
2011-12-13,175.3743463938835
2011-12-14,178.95450010737855
2011-12-15,181.09896987306686
2011-12-16,180.41188479536953
2011-12-19,179.4433353614145
2011-12-20,178.24980383545636
2011-12-21,178.12098328581177
2011-12-22,178.00071858399218
2011-12-23,178.54439135435902
2011-12-26,180.17550402792088
2011-12-27,180.42835512880697
2011-12-28,183.88381850083724
2011-12-29,184.33945226072157
2011-12-30,183.3363096881341
2012-01-02,182.4520149990967
2012-01-03,178.84404086428134
2012-01-04,179.99956417729655
2012-01-05,179.69711854255485
2012-01-06,180.813688651479
2012-01-09,175.26560467633644
2012-01-10,174.54652937333756
2012-01-11,175.1943324815001
2012-01-12,172.55570170526747
2012-01-13,174.33350291890483
2012-01-16,172.37409445542033
2012-01-17,171.0671856421871
2012-01-18,170.43379443120082
2012-01-19,168.9213582608447
2012-01-20,168.66349127590343
2012-01-23,166.94339406364875
2012-01-24,168.49183170480558
2012-01-25,167.43787480092092
2012-01-26,165.76524891108394
2012-01-27,166.0808239356634
2012-01-30,168.3739978875134
2012-01-31,169.3431059674137
2012-02-01,167.9230257487579
2012-02-02,167.6684698294028
2012-02-03,168.54489060968777
2012-02-06,169.4565069419337
2012-02-07,167.79361543490296
2012-02-08,168.19514063339466
2012-02-09,168.3416949204345
2012-02-10,170.0372062748927
2012-02-13,169.5781669842772
2012-02-14,169.69815842062562
2012-02-15,171.23129418573592
2012-02-16,171.44309070049349
2012-02-17,170.21470862770727
2012-02-20,168.79373705511898
2012-02-21,167.62362047349654
2012-02-22,167.68042506520572
2012-02-23,167.01917100378182
2012-02-24,165.39216339786392
2012-02-27,165.7412824134357
2012-02-28,164.81274028563087
2012-02-29,166.48089944622046
2012-03-01,168.72198870766644
2012-03-02,170.52494301815898
2012-03-05,175.59407705156931
2012-03-06,177.194508161755
2012-03-07,177.96527854636776
2012-03-08,177.54206164610792
2012-03-09,179.5686425724847
2012-03-12,184.2695567599279
2012-03-13,185.72687914400677
2012-03-14,185.00845914712323
2012-03-15,184.61054483996284
2012-03-16,183.20189251618967
2012-03-19,186.3737679026193
2012-03-20,186.78869733991405
2012-03-21,186.62067809190683
2012-03-22,185.5368931018159
2012-03-23,184.59166488147545
2012-03-26,182.55670857966192
2012-03-27,182.43488198687152
2012-03-28,182.8872019200238
2012-03-29,187.51733626680243
2012-03-30,186.6905002163802
2012-04-02,186.4738771204693
2012-04-03,185.09939581446127
2012-04-04,189.6229250029184
2012-04-05,189.36802818165052
2012-04-06,189.36802818165052
2012-04-09,189.418562027024
2012-04-10,188.15254590711342
2012-04-11,191.20593332906154
2012-04-12,191.16203214469215
2012-04-13,192.49898283958163
2012-04-16,191.3148762597846
2012-04-17,192.65141267546943
2012-04-18,192.62838467101201
2012-04-19,193.25142017557476
2012-04-20,192.42251828352835
2012-04-23,193.9190089480565
2012-04-24,193.14159618521103
2012-04-25,193.01699223322504
2012-04-26,190.8766722074084
2012-04-27,190.44480824826798
2012-04-30,191.70012855170293
2012-05-01,190.9283563057936
2012-05-02,190.75062230233695
2012-05-03,190.38529733032018
2012-05-04,190.94422930738423
2012-05-07,193.4702880120245
2012-05-08,193.97740274089185
2012-05-09,193.6235637944192
2012-05-10,190.58782040507933
2012-05-11,190.9714865100799
2012-05-14,189.6156113909493
2012-05-15,192.02922835592338
2012-05-16,186.5688221380413
2012-05-17,187.74858751883403
2012-05-18,187.35681714461867
2012-05-21,179.98101695858108
2012-05-22,187.03296102297432
2012-05-23,191.55636195196237
2012-05-24,187.93437092137552
2012-05-25,188.8999478267135
2012-05-28,188.89340219656617
2012-05-29,187.1118801585295
2012-05-30,187.89578047665577
2012-05-31,187.4404279381563
2012-06-01,187.47639962449102
2012-06-04,182.91960479874902
2012-06-05,184.3484694033432
2012-06-06,182.90665325742845
2012-06-07,182.37502716072117
2012-06-08,183.76640615234885
2012-06-11,183.40025171785496
2012-06-12,183.6901765279686
2012-06-13,181.6749190129084
2012-06-14,180.6736080132499
2012-06-15,180.12597046497635
2012-06-18,182.77808020154822
2012-06-19,185.29439110831044
2012-06-20,184.52218555648656
2012-06-21,180.894601214301
2012-06-22,181.91195747337383
2012-06-25,183.5793218994292
2012-06-26,184.4057912999411
2012-06-27,184.2864244715808
2012-06-28,183.43647588037607
2012-06-29,179.6204536879944
2012-07-02,183.78575042269654
2012-07-03,183.22791374346676
2012-07-04,184.3763490328767
2012-07-05,186.46842318176368
2012-07-06,187.72215299016412
2012-07-09,186.94812750816638
2012-07-10,187.12920696766795
2012-07-11,184.6387977457802
2012-07-12,186.4250825750666
2012-07-13,185.51153267678959
2012-07-16,184.7687245057105
2012-07-17,185.07603241163187
2012-07-18,185.41137538851282
2012-07-19,186.06482827576073
2012-07-20,187.74647436619975
2012-07-23,188.2464341787331
2012-07-24,188.9023076807981
2012-07-25,187.47740624613635
2012-07-26,183.74510648512955
2012-07-27,182.46023390025846
2012-07-30,183.50914754094458
2012-07-31,182.39318961753855
2012-08-01,184.8958800851876
2012-08-02,185.50817017299192
2012-08-03,182.92392897203143
2012-08-06,181.44235101671953
2012-08-07,182.42523896068644
2012-08-08,184.3677767366089
2012-08-09,184.49530800566959
2012-08-10,184.42039517961564
2012-08-13,182.45703080398667
2012-08-14,183.93570409534428
2012-08-15,183.88769811579752
2012-08-16,177.89624191500826
2012-08-17,178.97748116666253
2012-08-20,178.2007839643791
2012-08-21,176.22846464705506
2012-08-22,182.3992017141408
2012-08-23,186.0808701704218
2012-08-24,187.16775740300324
2012-08-27,194.06496307113994
2012-08-28,196.53102853017938
2012-08-29,196.21088366277223
2012-08-30,196.06040300693456
2012-08-31,194.53353702090348
2012-09-03,189.0083878367592
2012-09-04,189.17467894075352
2012-09-05,188.4935634939329
2012-09-06,187.00366721043454
2012-09-07,184.57865285554573
2012-09-10,181.525811982523
2012-09-11,182.41799032529823
2012-09-12,183.7489228058745
2012-09-13,182.88289624837236
2012-09-14,179.5628889797661
2012-09-17,178.66942878987643
2012-09-18,180.33952027406215
2012-09-19,179.7414657610199
2012-09-20,181.17983272865993
2012-09-21,180.71474368513563
2012-09-24,180.56756850377548
2012-09-25,180.0116395221938
2012-09-26,181.7849217337731
2012-09-27,181.29735498956248
2012-09-28,181.24803196255405
2012-10-01,182.32129442331623
2012-10-02,182.11806979023086
2012-10-03,183.28771834404753
2012-10-04,182.51723595403013
2012-10-05,181.90268474609582
2012-10-08,179.69136146550747
2012-10-09,179.7002054363447
2012-10-10,180.46446473214547
2012-10-11,178.82750104749107
2012-10-12,178.4965177803406
2012-10-15,178.99872078545044
2012-10-16,178.76066836707625
2012-10-17,177.6905624446045
2012-10-18,177.7950115565372
2012-10-19,178.5768147007956
2012-10-22,178.46902234442544
2012-10-23,178.97481878198218
2012-10-24,178.5728710641962
2012-10-25,178.70377443817742
2012-10-26,179.2426572268043
2012-10-29,179.59802840019051
2012-10-30,180.1825542177558
2012-10-31,180.92352316403884
2012-11-01,182.75886342959103
2012-11-02,184.19787821681078
2012-11-05,183.18796464385227
2012-11-06,182.37666401438105
2012-11-07,186.3363452415083
2012-11-08,185.38125450459825
2012-11-09,185.7750569414016
2012-11-12,186.13818546784518
2012-11-13,186.2916268315799
2012-11-14,184.90480349608825
2012-11-15,183.85699437907004
2012-11-16,184.7954939291806
2012-11-19,181.6789027878566
2012-11-20,182.81402534665375
2012-11-21,181.9849265999857
2012-11-22,181.53918249007512
2012-11-23,180.71355282102982
2012-11-26,180.858420686891
2012-11-27,181.3969593655362
2012-11-28,181.99627095233126
2012-11-29,180.34500818906696
2012-11-30,179.9636851285411
2012-12-03,177.38222717375268
2012-12-04,177.12846348338198
2012-12-05,175.8991222796517
2012-12-06,176.71840390173614
