Date,PAKISTAN SMALL CAP
2014-08-12,2193.2277338653894
2014-08-13,2196.7512237139304
2014-08-14,2196.7512237139304
2014-08-15,2224.812362907629
2014-08-18,2225.4421478814616
2014-08-19,2199.903669226124
2014-08-20,2186.305918549087
2014-08-21,2204.736356404349
2014-08-22,2206.217497967321
2014-08-25,2149.4598107704414
2014-08-26,2143.1624211886674
2014-08-27,2115.3291965992757
2014-08-28,2106.0986600783617
2014-08-29,2156.7746253382966
2014-09-01,2162.9917835520755
2014-09-02,2217.530866792136
2014-09-03,2252.763630547808
2014-09-04,2253.441452124073
2014-09-05,2240.6199219172395
2014-09-08,2248.280371265217
2014-09-09,2273.933420152485
2014-09-10,2278.0134148489615
2014-09-11,2281.411064377714
2014-09-12,2283.196859830083
2014-09-15,2275.5888597796934
2014-09-16,2285.971554352077
2014-09-17,2294.429431429114
2014-09-18,2289.6970482961206
2014-09-19,2280.663514909145
2014-09-22,2281.046197706029
2014-09-23,2309.0689488824696
2014-09-24,2325.871805169856
2014-09-25,2309.777159295932
2014-09-26,2298.8735047197843
2014-09-29,2271.7418960304585
2014-09-30,2304.6987372486597
2014-10-01,2327.7154337941256
2014-10-02,2350.8473917336414
2014-10-03,2357.8293749667105
2014-10-06,2357.8293749667105
2014-10-07,2357.8293749667105
2014-10-08,2357.8293749667105
2014-10-09,2353.165390339257
2014-10-10,2368.574779778551
2014-10-13,2396.3366093986688
2014-10-14,2397.301034272983
2014-10-15,2385.0801940749725
2014-10-16,2380.336081823954
2014-10-17,2369.156262764194
2014-10-20,2352.7450922255152
2014-10-21,2358.3178109178934
2014-10-22,2360.279936403553
2014-10-23,2368.795077569259
2014-10-24,2388.131282711534
2014-10-27,2398.104992335445
2014-10-28,2397.703117630444
2014-10-29,2390.0358246323362
2014-10-30,2383.400986125668
2014-10-31,2412.670441846585
2014-11-03,2412.6704418465856
2014-11-04,2412.670441846586
2014-11-05,2440.8195356177716
2014-11-06,2490.9300645375597
2014-11-07,2508.6803982670417
2014-11-10,2539.3824412883423
2014-11-11,2543.5643281530765
2014-11-12,2568.2132048882886
2014-11-13,2564.756278145731
