Date,RUSSIA SMALL GROWTH
2005-10-27,466.1058747739325
2005-10-28,471.69655448364136
2005-10-31,479.0070750412931
2005-11-01,486.18979051034523
2005-11-02,487.06861825910073
2005-11-03,489.56532982360017
2005-11-04,489.76669230533196
2005-11-07,481.7102078144319
2005-11-08,474.46400083224677
2005-11-09,470.5054371363234
2005-11-10,469.0059880067933
2005-11-11,467.13376358040307
2005-11-14,467.83626222796795
2005-11-15,467.6400091198026
2005-11-16,467.94293512912765
2005-11-17,473.5759182427069
2005-11-18,473.92379777157936
2005-11-21,476.60779388141907
2005-11-22,476.9407787116953
2005-11-23,471.4857107157521
2005-11-24,472.27580323312384
2005-11-25,475.7596241336847
2005-11-28,483.5420446221695
2005-11-29,482.0167412315827
2005-11-30,496.45605355739593
2005-12-01,494.4705698150389
2005-12-02,497.69099690347133
2005-12-05,500.04204806143696
2005-12-06,498.15985759256444
2005-12-07,499.6460587533605
2005-12-08,498.16449577127537
2005-12-09,498.2863735509137
2005-12-12,504.2595344535378
2005-12-13,503.840938765406
2005-12-14,512.1228891047019
2005-12-15,509.3132698930107
2005-12-16,516.9483031201005
2005-12-19,517.4227407589907
2005-12-20,518.0970013159656
2005-12-21,519.8567399000408
2005-12-22,518.8451080125429
2005-12-23,529.0476397162436
2005-12-26,528.5078025982527
2005-12-27,530.8419445508798
2005-12-28,530.6739514116039
2005-12-29,529.1298737460015
2005-12-30,530.1224560597109
2006-01-02,530.1224560597109
2006-01-03,532.502119670738
2006-01-04,533.1611034399456
2006-01-05,532.3556788331364
2006-01-06,532.7766962412412
2006-01-09,532.4472043566375
2006-01-10,537.8755464404685
2006-01-11,555.3725579620375
2006-01-12,567.8361681728135
2006-01-13,578.4912880025456
2006-01-16,580.2723221004461
2006-01-17,577.8283071099224
2006-01-18,576.8162377806494
2006-01-19,579.5384314725503
2006-01-20,594.5048031964094
2006-01-23,593.2081339242898
2006-01-24,577.2756855547839
2006-01-25,566.3093089433396
2006-01-26,584.3941921011249
2006-01-27,592.2879782825194
2006-01-30,588.0965865284277
2006-01-31,584.6614933976584
2006-02-01,586.238451117581
2006-02-02,588.5974411216905
2006-02-03,581.3865342944334
2006-02-06,586.0606779771705
2006-02-07,591.8892680622633
2006-02-08,605.3478404469379
2006-02-09,617.7711147492142
2006-02-10,615.6220157877153
2006-02-13,616.1415573890843
2006-02-14,623.3794499136131
2006-02-15,623.6013136708966
2006-02-16,626.5357584220703
2006-02-17,643.9496802912852
2006-02-20,666.2204100141779
2006-02-21,670.2893181370447
2006-02-22,678.904151717735
2006-02-23,679.3434742305399
2006-02-24,679.5631354869424
2006-02-27,698.859302180742
2006-02-28,678.232253443242
2006-03-01,673.4211596879308
2006-03-02,678.8349466355572
2006-03-03,676.1250172038666
2006-03-06,669.6817033650215
2006-03-07,645.3567670888822
2006-03-08,644.5360664639627
2006-03-09,623.2336245132597
2006-03-10,624.9307380105986
2006-03-13,628.376420710932
2006-03-14,631.0769820836479
2006-03-15,628.4686774273581
2006-03-16,638.8029643278585
2006-03-17,644.5924785235251
2006-03-20,648.6932348973975
2006-03-21,649.2631551137703
2006-03-22,661.4797637054737
2006-03-23,672.5920288681633
2006-03-24,666.067352183276
2006-03-27,670.1196738875583
2006-03-28,667.5265406974281
2006-03-29,665.6225557281502
2006-03-30,674.4785394329091
2006-03-31,683.8283135788641
2006-04-03,685.1346262360571
2006-04-04,689.0707274893045
2006-04-05,692.4549479556825
2006-04-06,708.222797862736
2006-04-07,716.1720788761977
2006-04-10,726.8358874808542
2006-04-11,731.4883033298909
2006-04-12,731.3632544134554
2006-04-13,733.9171918929096
2006-04-14,749.8690643198939
2006-04-17,769.0711091198735
2006-04-18,718.402342010688
2006-04-19,722.7357424823015
2006-04-20,703.849010645943
2006-04-21,706.3149571721647
2006-04-24,713.123193201763
2006-04-25,703.811852964293
2006-04-26,702.347652885646
2006-04-27,701.9353278221886
2006-04-28,701.332886680797
2006-05-01,702.7554439572407
2006-05-02,707.5665386697424
2006-05-03,706.403464851007
2006-05-04,708.3312235215333
2006-05-05,706.9685534443142
2006-05-08,710.0888101556609
2006-05-09,709.6513947974818
2006-05-10,710.0290448182346
2006-05-11,705.0691624723804
2006-05-12,701.7536063535713
2006-05-15,684.5977998443954
2006-05-16,680.0167688841836
2006-05-17,675.882151105305
2006-05-18,659.4866351921887
2006-05-19,648.1853100604283
2006-05-22,609.1345487258545
2006-05-23,604.3082311475556
2006-05-24,600.3881874221565
2006-05-25,604.6372698360726
2006-05-26,617.4410907689643
2006-05-29,614.3217906046251
2006-05-30,606.554746704885
2006-05-31,611.1348319965966
2006-06-01,607.6084677514918
2006-06-02,626.1500035179286
2006-06-05,628.9765180668549
2006-06-06,610.2227329830849
2006-06-07,604.9073409924209
2006-06-08,581.313750010368
2006-06-09,578.9838739033122
2006-06-12,572.5517781636728
2006-06-13,544.3226821487723
2006-06-14,532.6947872327362
2006-06-15,545.6600392406275
2006-06-16,536.9268349097516
2006-06-19,544.6985332281032
2006-06-20,549.1332848741056
2006-06-21,554.0978938320764
2006-06-22,547.2022330580148
2006-06-23,542.5409062729765
2006-06-26,544.1762695923261
2006-06-27,545.7081330551586
2006-06-28,547.4773720813421
2006-06-29,551.8213471238776
2006-06-30,559.3927713751496
2006-07-03,581.5165259215798
2006-07-04,582.4291998281485
2006-07-05,568.3005273362751
2006-07-06,570.5214816547332
2006-07-07,569.4648544258515
2006-07-10,578.3990228610737
2006-07-11,587.4305241414907
2006-07-12,599.1946967114184
2006-07-13,594.0116434398824
2006-07-14,589.9883187939872
2006-07-17,580.923558821246
2006-07-18,574.6614186565174
2006-07-19,577.9025199037794
2006-07-20,574.9124194167199
2006-07-21,573.8466731543838
2006-07-24,580.1327527978589
2006-07-25,587.7105309090946
2006-07-26,591.0994798832955
2006-07-27,620.100723237336
2006-07-28,634.5439801540351
2006-07-31,629.7632045285153
2006-08-01,626.6363362778604
2006-08-02,633.3056157456118
2006-08-03,626.8140880835986
2006-08-04,640.4697556996947
2006-08-07,636.9057953423737
2006-08-08,637.6747736286392
2006-08-09,635.71998438737
2006-08-10,629.7889699362082
2006-08-11,631.0836871507046
2006-08-14,630.6262423487543
2006-08-15,626.5225111036316
2006-08-16,636.7529351708224
2006-08-17,639.0015038225482
2006-08-18,635.5707652301768
2006-08-21,636.4488902153752
2006-08-22,639.3008037711442
2006-08-23,638.5156014120324
2006-08-24,636.7642377768
2006-08-25,642.3771221432081
2006-08-28,640.9513761967507
2006-08-29,647.7355682051681
2006-08-30,654.0113145840714
2006-08-31,659.1616669297549
2006-09-01,661.2427464337975
2006-09-04,663.9979542155446
2006-09-05,668.6869468293041
2006-09-06,663.1205247568148
2006-09-07,638.5331675931628
2006-09-08,647.8265967780615
2006-09-11,627.3951519050903
2006-09-12,636.8322943061048
2006-09-13,647.2724342780992
2006-09-14,649.5881671040715
2006-09-15,658.0690087998482
2006-09-18,672.0052001467574
2006-09-19,678.9572960300598
2006-09-20,675.2435241475362
2006-09-21,675.5911927219306
2006-09-22,671.6743069453954
2006-09-25,659.0734767605716
2006-09-26,657.7779200090126
2006-09-27,661.6849218074162
2006-09-28,677.1633926901039
2006-09-29,675.2372201814482
2006-10-02,667.5336507403259
2006-10-03,664.9919628084363
2006-10-04,663.5090207860754
2006-10-05,674.0742909336154
2006-10-06,668.9640868956476
2006-10-09,677.5668243389405
2006-10-10,675.2742784120816
2006-10-11,679.068274282069
2006-10-12,677.6118099617669
2006-10-13,679.3343176179835
2006-10-16,679.7178712013064
2006-10-17,681.4828418781556
2006-10-18,681.0596768218777
2006-10-19,684.1489996327715
2006-10-20,684.7244506410366
2006-10-23,690.2120462379054
2006-10-24,691.922472511475
2006-10-25,692.2238181009084
