Date,UNITED KINGDOM SRI
2014-06-30,1367.6735000016538
2014-07-01,1381.1486990399703
2014-07-02,1387.005135671947
2014-07-03,1393.9775954104502
2014-07-04,1392.0287718902603
2014-07-07,1379.8668109327516
2014-07-08,1358.5158683986922
2014-07-09,1353.1645827372554
2014-07-10,1343.2762538066168
2014-07-11,1345.19178769313
2014-07-14,1356.2939951629323
2014-07-15,1355.9997137538815
2014-07-16,1371.4600568495214
2014-07-17,1358.664266960705
2014-07-18,1357.0959946777114
2014-07-21,1350.768850490638
2014-07-22,1366.1382306580006
2014-07-23,1368.9368448563694
2014-07-24,1364.0977940287667
2014-07-25,1360.5528076490966
2014-07-28,1364.9709608788455
2014-07-29,1365.7529271182434
2014-07-30,1355.5869866604044
2014-07-31,1339.8907930456194
2014-08-01,1328.1329257451944
2014-08-04,1327.5749713596213
2014-08-05,1328.3616125027886
2014-08-06,1320.4506382560114
2014-08-07,1320.8251688603757
2014-08-08,1306.0942018304588
2014-08-11,1317.957562498895
2014-08-12,1321.3813637842823
2014-08-13,1326.3209857475883
2014-08-14,1332.2696107604554
2014-08-15,1336.1395695694105
2014-08-18,1346.365882584782
2014-08-19,1349.242425181902
2014-08-20,1348.9717566046806
2014-08-21,1348.5760641314503
2014-08-22,1351.175190269701
2014-08-25,1352.1536823057427
2014-08-26,1359.01251841958
2014-08-27,1362.7947550960855
2014-08-28,1361.3044354889141
2014-08-29,1363.637365151957
2014-09-01,1368.3773778185966
2014-09-02,1362.8198299585788
2014-09-03,1367.3217747159347
2014-09-04,1364.9601954432585
2014-09-05,1350.8809245338696
2014-09-08,1331.2387659134026
2014-09-09,1326.2328554936214
2014-09-10,1326.9546345100036
2014-09-11,1328.3425404940854
2014-09-12,1329.1238386323
2014-09-15,1321.9396558274877
2014-09-16,1315.816770353286
2014-09-17,1323.2867611816275
2014-09-18,1341.2355374279457
2014-09-19,1337.2448017342135
2014-09-22,1331.5701829119143
2014-09-23,1311.6773975638828
2014-09-24,1317.9587891180306
2014-09-25,1306.743491842166
2014-09-26,1303.2512472064648
2014-09-29,1306.2290764704048
2014-09-30,1291.7347998867913
2014-10-01,1275.562957812845
2014-10-02,1247.1431592241863
