Date,EASEA INDEX (EAFE ex JAPAN)
2007-01-25,162.8077209250234
2007-01-26,161.82878460196608
2007-01-29,162.14589827608583
2007-01-30,162.75073222647922
2007-01-31,161.8633566934415
2007-02-01,163.63454778934891
2007-02-02,164.5643845691713
2007-02-05,164.7252837705831
2007-02-06,165.30755932760084
2007-02-07,165.8107629356169
2007-02-08,164.5369924000632
2007-02-09,165.29968531091956
2007-02-12,164.39445779530416
2007-02-13,164.53663663124394
2007-02-14,165.7738490938382
2007-02-15,165.79874530107867
2007-02-16,165.55367357576918
2007-02-19,166.15883491515837
2007-02-20,165.67889182132996
2007-02-21,164.72750753383937
2007-02-22,165.43487144833898
2007-02-23,165.76932245116834
2007-02-26,166.47089676033195
2007-02-27,161.75353967788647
2007-02-28,159.01580121353953
2007-03-01,157.65529379318602
2007-03-02,157.169175279768
2007-03-05,155.01233810212278
2007-03-06,156.63554879342857
2007-03-07,157.7331987395851
2007-03-08,159.72648732698522
2007-03-09,160.21143046473856
2007-03-12,159.64514910086857
2007-03-13,158.1178043231655
2007-03-14,153.9960689229027
2007-03-15,157.0323213807533
2007-03-16,156.97530522221592
2007-03-19,159.19579670487374
2007-03-20,160.37165253334143
2007-03-21,161.0491346667338
2007-03-22,163.4316827870123
2007-03-23,164.1688257075293
2007-03-26,163.08650655237955
2007-03-27,162.84140543664267
2007-03-28,161.77763297116036
2007-03-29,163.6005181352157
2007-03-30,163.6868893060248
2007-04-02,164.1145135097389
2007-04-03,165.893813576086
2007-04-04,166.4269354480094
2007-04-05,166.47711307702735
2007-04-06,166.47711307702735
2007-04-09,166.50849859995637
2007-04-10,167.65845530657046
2007-04-11,167.57880649334157
2007-04-12,166.9508032936114
2007-04-13,167.97060767513562
2007-04-16,169.85146716438842
2007-04-17,169.9721709379462
2007-04-18,169.30527904963148
2007-04-19,168.45345756581176
2007-04-20,170.54432367026763
2007-04-23,170.50883090149182
2007-04-24,168.93863673985362
2007-04-25,170.01131686391622
2007-04-26,170.351271851397
2007-04-27,169.3599942631195
2007-04-30,169.71649475521886
2007-05-01,169.59030437191979
2007-05-02,170.6239447112424
2007-05-03,171.23241532213666
2007-05-04,172.66760715584914
2007-05-07,172.8861424677568
2007-05-08,171.68790370295451
2007-05-09,172.1575059192496
