Date,EUROPE & MIDDLE EAST
2010-10-04,1087.62176056318
2010-10-05,1101.9841519496285
2010-10-06,1107.343263358396
2010-10-07,1106.4954072661037
2010-10-08,1106.2331609124453
2010-10-11,1110.2289976740092
2010-10-12,1107.1610034056052
2010-10-13,1123.0658637913496
2010-10-14,1120.715828835374
2010-10-15,1121.7629042314354
2010-10-18,1125.3454050605444
2010-10-19,1119.364037732999
2010-10-20,1122.9772042048253
2010-10-21,1128.7361559530634
2010-10-22,1125.2198411990557
2010-10-25,1128.0709767478859
2010-10-26,1125.8395997602595
2010-10-27,1117.8140970098161
2010-10-28,1122.2497662244564
2010-10-29,1122.6116325464925
2010-11-01,1124.3909296554941
2010-11-02,1129.01788239157
2010-11-03,1125.4045971334665
2010-11-04,1143.506996595638
2010-11-05,1148.4726674813405
2010-11-08,1148.424671612099
2010-11-09,1154.872940593709
2010-11-10,1147.3316063464167
2010-11-11,1147.265731453411
2010-11-12,1142.569710068997
2010-11-15,1151.8223547979135
2010-11-16,1124.9781850091956
2010-11-17,1131.1905124143675
2010-11-18,1147.2804309304522
2010-11-19,1140.1200098674378
2010-11-22,1132.5417556773032
2010-11-23,1115.3518116885027
2010-11-24,1126.7617854330522
2010-11-25,1132.585969060347
2010-11-26,1127.8979127652387
2010-11-29,1109.6298299783184
2010-11-30,1108.454314143989
2010-12-01,1130.5552996453796
2010-12-02,1148.7040765868228
2010-12-03,1145.5955952868992
2010-12-06,1147.4458795209293
2010-12-07,1157.7947463313867
2010-12-08,1162.483991426884
2010-12-09,1166.93909955284
2010-12-10,1168.1981443658808
2010-12-13,1171.5686374874278
2010-12-14,1174.4764021791561
2010-12-15,1169.3480375192403
2010-12-16,1173.8401127027666
2010-12-17,1168.6500095925799
2010-12-20,1176.6899966835826
2010-12-21,1188.2613480793561
2010-12-22,1189.7059343185335
2010-12-23,1191.0489307196
2010-12-24,1189.8820695087904
2010-12-27,1180.301101639896
2010-12-28,1182.6835888272765
2010-12-29,1186.4350186793913
2010-12-30,1171.0534693890706
2010-12-31,1165.649325077759
2011-01-03,1174.5367822019082
2011-01-04,1185.276055064139
2011-01-05,1185.9952165460015
2011-01-06,1190.2519926652485
2011-01-07,1188.60065220384
2011-01-10,1178.5912078401568
2011-01-11,1193.0874664184093
2011-01-12,1208.7734688174476
2011-01-13,1201.022810748139
2011-01-14,1199.7103455796894
2011-01-17,1201.2208083219437
2011-01-18,1212.4099104491072
2011-01-19,1195.9962992663031
2011-01-20,1181.9202101488168
2011-01-21,1189.6753161443082
2011-01-24,1192.8657157649757
2011-01-25,1184.8198128448037
2011-01-26,1195.3006081681965
2011-01-27,1196.9076256420421
2011-01-28,1186.6643527951778
2011-01-31,1184.6163114006201
2011-02-01,1202.478584631975
2011-02-02,1205.1870818867253
2011-02-03,1206.6291642780245
2011-02-04,1209.6804315602876
2011-02-07,1221.6521065876113
2011-02-08,1220.573861783771
2011-02-09,1215.933819844038
2011-02-10,1213.8766539771611
2011-02-11,1219.0168976830641
2011-02-14,1223.437392908373
2011-02-15,1225.3094120071737
2011-02-16,1231.0861150204212
2011-02-17,1233.0568589987952
2011-02-18,1232.826795050996
2011-02-21,1216.7609792788653
2011-02-22,1209.260974041631
2011-02-23,1196.6401504116739
2011-02-24,1189.4231671986918
2011-02-25,1203.9226983290869
2011-02-28,1213.6991335397836
2011-03-01,1205.7690676393684
2011-03-02,1197.9557744338392
2011-03-03,1202.2100531891952
