Date,FM ASIA INDEX IMI
2017-11-20,1374.4903776996002
2017-11-21,1386.7670430847331
2017-11-22,1380.9116323829
2017-11-23,1377.6321692706567
2017-11-24,1364.6498577901882
2017-11-27,1371.2236136353958
2017-11-28,1375.3246671841507
2017-11-29,1389.864759902561
2017-11-30,1381.0188124380447
2017-12-01,1404.2947007345947
2017-12-04,1420.4223818428409
2017-12-05,1402.5480330824846
2017-12-06,1398.960612462518
2017-12-07,1382.2514315771748
2017-12-08,1393.982761227328
2017-12-11,1373.7167385604312
2017-12-12,1394.5217137591858
2017-12-13,1389.3207458154293
2017-12-14,1398.0681607799447
2017-12-15,1392.9277561861302
2017-12-18,1412.9467038541889
2017-12-19,1411.4826218525786
2017-12-20,1401.065424867673
2017-12-21,1400.8107148176507
2017-12-22,1408.0298090634083
2017-12-25,1406.9587908877695
2017-12-26,1414.6679156581088
2017-12-27,1417.4051204803577
2017-12-28,1421.9212227445341
2017-12-29,1424.193483271273
2018-01-01,1423.7859634418844
2018-01-02,1430.803668635858
2018-01-03,1450.558592942845
2018-01-04,1449.1963585319281
2018-01-05,1452.9537052348971
2018-01-08,1459.696167474387
2018-01-09,1472.1773058068943
2018-01-10,1470.4286897486957
2018-01-11,1471.762804115518
2018-01-12,1468.64381581488
2018-01-15,1454.5930801062411
2018-01-16,1461.2037091893828
2018-01-17,1435.3853332922522
2018-01-18,1455.6242329585966
2018-01-19,1467.872663118834
2018-01-22,1492.089038490877
2018-01-23,1489.6388546855517
2018-01-24,1479.5258200074038
2018-01-25,1465.1505304288892
2018-01-26,1482.9863201125934
2018-01-29,1476.9601729837013
2018-01-30,1460.0676268803013
2018-01-31,1448.4587103086023
2018-02-01,1436.1706312794727
2018-02-02,1447.1792148090485
2018-02-05,1396.485180732399
2018-02-06,1386.242562700513
2018-02-07,1407.1359727036793
2018-02-08,1399.0641932920441
2018-02-09,1380.0044635818467
2018-02-12,1407.6884663943758
2018-02-13,1407.1715221581594
2018-02-14,1402.660184717839
2018-02-15,1389.8335987360078
2018-02-16,1393.296931363368
2018-02-19,1393.4967040440392
2018-02-20,1396.0021138495324
2018-02-21,1425.7364944833885
2018-02-22,1417.976073376126
2018-02-23,1437.9117643737554
2018-02-26,1440.5035989529385
2018-02-27,1449.8207100912166
2018-02-28,1449.2579640345048
2018-03-01,1461.6477184093358
2018-03-02,1451.7887595360758
2018-03-05,1429.0138060312856
2018-03-06,1439.3912824867932
2018-03-07,1436.1836695955665
2018-03-08,1462.1503596482416
2018-03-09,1463.5126568329931
2018-03-12,1452.2004767775943
2018-03-13,1444.7098766050074
2018-03-14,1453.691958444345
2018-03-15,1453.6420932687838
2018-03-16,1463.697085710502
2018-03-19,1463.2135278556052
2018-03-20,1470.4444883474437
2018-03-21,1476.9423212093677
2018-03-22,1472.9525283932803
2018-03-23,1453.061560010433
2018-03-26,1456.239461293844
2018-03-27,1463.4535915491522
2018-03-28,1471.4188625887198
2018-03-29,1478.634272763585
2018-03-30,1482.8282134091946
2018-04-02,1507.624893139181
2018-04-03,1498.6611541954094
2018-04-04,1507.0924082735896
2018-04-05,1519.854562702204
