Date,USA ESG LEADERS SELECT SUSTAINABILITY
2020-09-25,1131.4577196769712
2020-09-28,1148.2450561180024
2020-09-29,1135.3479688160485
2020-09-30,1148.3214421184864
2020-10-01,1156.0258857287304
2020-10-02,1139.7885589803607
2020-10-05,1155.5591438642086
2020-10-06,1137.758483332661
2020-10-07,1160.6112783575634
2020-10-08,1168.028506685001
2020-10-09,1174.8783834707815
2020-10-12,1201.189359636308
2020-10-13,1200.4517852489307
2020-10-14,1193.5558760296046
2020-10-15,1196.0424271730978
2020-10-16,1192.7613060995022
2020-10-19,1164.2609319779149
2020-10-20,1166.2310227989867
2020-10-21,1159.8827875464294
2020-10-22,1166.8784342156498
2020-10-23,1169.6733744254266
2020-10-26,1151.0986069272885
2020-10-27,1151.659482302286
2020-10-28,1116.5988639139478
2020-10-29,1141.1311914759233
2020-10-30,1124.1231826972926
2020-11-02,1137.2438493780994
2020-11-03,1150.560970239914
2020-11-04,1183.3377289245211
2020-11-05,1198.7290045731677
2020-11-06,1194.4275914408463
2020-11-09,1194.655472473056
2020-11-10,1186.3080914555762
2020-11-11,1208.743248832237
2020-11-12,1195.0399787525523
2020-11-13,1207.2619609943372
2020-11-16,1215.0290011170607
2020-11-17,1207.5159744331372
2020-11-18,1197.2892963837005
2020-11-19,1207.8397901295855
2020-11-20,1196.7872403898016
2020-11-23,1202.0654483219512
2020-11-24,1212.3011530402753
2020-11-25,1210.7084301732893
2020-11-26,1210.5558455114458
2020-11-27,1212.2294768736576
2020-11-30,1210.4224907065563
2020-12-01,1220.4886768256115
2020-12-02,1214.5878740428923
2020-12-03,1207.284751054219
2020-12-04,1215.6383594503682
2020-12-07,1220.4207701893224
2020-12-08,1225.8305636618277
2020-12-09,1210.9310778157176
2020-12-10,1209.506495953653
2020-12-11,1208.6793464056618
2020-12-14,1207.8085620759737
2020-12-15,1225.4865916187894
2020-12-16,1223.7904387517121
2020-12-17,1229.0033037653282
2020-12-18,1228.250800105835
2020-12-21,1227.5385736177775
2020-12-22,1238.8971236785687
2020-12-23,1232.650265113825
2020-12-24,1239.6828606195957
2020-12-25,1235.2614493923468
2020-12-28,1245.0233455328812
2020-12-29,1241.9734555410325
2020-12-30,1236.792950922447
2020-12-31,1249.025265658599
2021-01-01,1243.956971123003
2021-01-04,1221.8877590085765
2021-01-05,1234.5165186956174
2021-01-06,1228.0898504594793
2021-01-07,1259.5193276659477
2021-01-08,1275.2682717061793
2021-01-11,1268.861766038068
2021-01-12,1268.2665038451719
2021-01-13,1274.5205429731398
2021-01-14,1264.9534801895672
2021-01-15,1260.7921065284308
2021-01-18,1259.3698884944126
2021-01-19,1265.8983526062766
2021-01-20,1291.7944934619602
2021-01-21,1294.428268616541
2021-01-22,1294.3750511177745
2021-01-25,1310.3738950968454
2021-01-26,1303.7131029127868
2021-01-27,1282.3880799394365
2021-01-28,1286.7798738691818
2021-01-29,1256.5886117630614
2021-02-01,1287.7838665818372
2021-02-02,1310.8620590247226
2021-02-03,1313.2971508830215
2021-02-04,1333.4546983221753
2021-02-05,1333.8923169403545
2021-02-08,1340.545544815701
2021-02-09,1331.1985759837016
2021-02-10,1324.2259842518092
2021-02-11,1330.0504420840114
2021-02-12,1337.2772277343515
2021-02-15,1335.7891596026
2021-02-16,1331.5398406007532
2021-02-17,1335.8784621611373
2021-02-18,1325.1922973030569
2021-02-19,1315.9215816324931
2021-02-22,1292.012496084143
2021-02-23,1285.8705542378104
2021-02-24,1301.2392659818086
2021-02-25,1252.4326697395643
2021-02-26,1259.520266076602
2021-03-01,1305.6318145233352
2021-03-02,1288.2469907470668
2021-03-03,1258.6262663504456
2021-03-04,1241.7927597288872
2021-03-05,1276.7041056514088
2021-03-08,1261.223347537208
2021-03-09,1291.861650940473
2021-03-10,1291.3284235790106
2021-03-11,1305.8044789985302
2021-03-12,1303.1394943192936
2021-03-15,1319.8142361989694
2021-03-16,1322.7552094656787
2021-03-17,1322.2058875539979
2021-03-18,1291.834712363874
2021-03-19,1292.8600013440973
2021-03-22,1307.655849211778
2021-03-23,1306.5261102653064
2021-03-24,1297.8523950461745
2021-03-25,1309.7410475955612
2021-03-26,1326.6506101452185
2021-03-29,1328.0210202910841
2021-03-30,1327.0463689439894
2021-03-31,1336.7163222108143
2021-04-01,1353.1894396862715
2021-04-02,1353.1894396862715
2021-04-05,1373.2071602466033
2021-04-06,1368.0826700840485
2021-04-07,1363.1501323665314
2021-04-08,1375.8414521989857
2021-04-09,1390.1151801073577
2021-04-12,1389.4853012671183
2021-04-13,1403.512623119869
2021-04-14,1386.2701105651818
2021-04-15,1406.4268997031672
2021-04-16,1408.9820030438964
2021-04-19,1396.7061155815395
2021-04-20,1382.8752486834267
2021-04-21,1398.0845483726732
2021-04-22,1386.520646578908
2021-04-23,1402.2413811599477
2021-04-26,1401.9305160011713
2021-04-27,1397.9224370950992
2021-04-28,1392.072043986935
2021-04-29,1390.6245449905962
2021-04-30,1390.0838481800863
2021-05-03,1386.721288992474
2021-05-04,1373.2794668996632
2021-05-05,1376.5712171295281
2021-05-06,1381.1586465279295
2021-05-07,1383.4726985556665
2021-05-10,1359.9878112486233
2021-05-11,1348.78815151287
2021-05-12,1323.0889243984077
2021-05-13,1339.9344950938405
2021-05-14,1355.8936991058185
2021-05-17,1344.9794840456123
2021-05-18,1326.1147431636837
2021-05-19,1323.3380754724215
2021-05-20,1344.10884419431
2021-05-21,1343.2508109356356
2021-05-24,1357.4162818061568
2021-05-25,1353.900201663319
2021-05-26,1360.2145582976054
2021-05-27,1358.9110445817146
2021-05-28,1364.3486469648244
2021-05-31,1359.3271208442327
2021-06-01,1353.8020481881815
2021-06-02,1358.618106504311
2021-06-03,1361.460245880023
2021-06-04,1371.2877063764936
