Date,SOUTH AFRICA MINIMUM VOLATILITY (ZAR)
2011-05-27,3445.9100097411483
2011-05-30,3426.815516069241
2011-05-31,3494.3826134303154
2011-06-01,3496.2470786664617
2011-06-02,3486.5913215432693
2011-06-03,3436.1044426636854
2011-06-06,3408.556257627579
2011-06-07,3426.5762579020807
2011-06-08,3419.9401641216086
2011-06-09,3433.7307137571775
2011-06-10,3411.167256641977
2011-06-13,3411.388480478465
2011-06-14,3394.5917730925094
2011-06-15,3421.988104839975
2011-06-16,3427.6262110730772
2011-06-17,3396.715549131038
2011-06-20,3401.76270483796
2011-06-21,3430.745920688622
2011-06-22,3391.8929307536814
2011-06-23,3351.9344463476164
2011-06-24,3360.659651200878
2011-06-27,3363.835264578056
2011-06-28,3395.2959785359567
2011-06-29,3423.4363388541083
2011-06-30,3444.9561724022897
2011-07-01,3473.1108260901615
2011-07-04,3500.0288491445413
2011-07-05,3524.985938612912
2011-07-06,3548.8903355999196
2011-07-07,3576.082047380355
2011-07-08,3558.3380076142535
2011-07-11,3551.598313510733
2011-07-12,3544.0176614976676
2011-07-13,3557.3852048605067
2011-07-14,3544.07772784753
2011-07-15,3556.0668491509005
2011-07-18,3505.4073099446455
2011-07-19,3501.7276604608146
2011-07-20,3526.9951031161095
2011-07-21,3537.681557396693
2011-07-22,3523.6276369031316
2011-07-25,3552.797162542467
2011-07-26,3553.434376042257
2011-07-27,3540.3998374593907
2011-07-28,3534.139520690938
2011-07-29,3501.7646866076498
2011-08-01,3575.0696189132345
2011-08-02,3531.177297897027
2011-08-03,3476.6730626242284
2011-08-04,3361.1322884098786
2011-08-05,3332.0856369526973
2011-08-08,3190.163376575459
2011-08-09,3072.841477488314
2011-08-10,3137.9981750524757
2011-08-11,3203.582954448508
2011-08-12,3242.3848211085874
2011-08-15,3264.858110641372
2011-08-16,3258.8614298327857
2011-08-17,3291.1021111624814
2011-08-18,3198.4251942029896
2011-08-19,3220.098229494991
2011-08-22,3230.0749563187796
2011-08-23,3197.30531261776
2011-08-24,3199.1813653864506
2011-08-25,3175.1463554345373
2011-08-26,3213.904083281176
2011-08-29,3333.469909618572
2011-08-30,3340.5922474415665
2011-08-31,3459.2083407134287
2011-09-01,3516.281785289302
2011-09-02,3442.5727173766127
2011-09-05,3412.2495150953364
2011-09-06,3382.9489163379103
2011-09-07,3466.763664758991
2011-09-08,3521.5546450611046
2011-09-09,3489.525669966186
2011-09-12,3414.2059679042272
2011-09-13,3444.037968576385
2011-09-14,3456.0761373504315
2011-09-15,3443.347506826429
2011-09-16,3454.1886697308128
2011-09-19,3369.8339344753626
2011-09-20,3382.8580484612685
2011-09-21,3288.7900253838634
2011-09-22,3120.4931505297077
2011-09-23,3046.6743338359543
2011-09-26,3125.6796597071234
2011-09-27,3288.76712422043
2011-09-28,3269.687304252548
2011-09-29,3168.4892237216077
2011-09-30,3191.819308544866
2011-10-03,3169.9132866730683
2011-10-04,3072.0301335249965
2011-10-05,3173.1609144746935
2011-10-06,3180.1400196153663
2011-10-07,3249.089525828828
2011-10-10,3283.8909473080766
2011-10-11,3251.8491935178804
2011-10-12,3281.0810538450887
2011-10-13,3227.6366868669747
2011-10-14,3215.7949137030896
2011-10-17,3214.0919046507533
2011-10-18,3197.260996535445
2011-10-19,3202.662884082013
2011-10-20,3113.0735532392127
2011-10-21,3141.4094884023875
2011-10-24,3218.6474316114973
2011-10-25,3249.745080302941
2011-10-26,3236.0870866958626
2011-10-27,3323.6463806295496
2011-10-28,3366.170779636914
2011-10-31,3307.2495581271455
2011-11-01,3258.9212243208417
2011-11-02,3316.5689388862147
2011-11-03,3389.528714283869
2011-11-04,3329.9841860923952
2011-11-07,3359.938756686566
2011-11-08,3388.4958849461764
2011-11-09,3333.938897779515
2011-11-10,3345.3220335911847
2011-11-11,3379.2169455829885
2011-11-14,3366.944616331871
2011-11-15,3338.7854912487383
2011-11-16,3353.1910551415654
2011-11-17,3347.2007002765313
2011-11-18,3270.806360614877
2011-11-21,3177.078695462225
2011-11-22,3155.4834497908587
2011-11-23,3115.737429505871
2011-11-24,3181.501893882711
2011-11-25,3177.0895388452122
2011-11-28,3276.5134968562147
2011-11-29,3265.7289686384615
2011-11-30,3466.915921641095
2011-12-01,3459.546319456266
2011-12-02,3488.240074427103
2011-12-05,3511.434006557902
2011-12-06,3492.498662783927
2011-12-07,3505.8321311810996
2011-12-08,3469.180309950754
2011-12-09,3479.399280897309
2011-12-12,3437.7104969631105
2011-12-13,3449.1065275323526
2011-12-14,3372.656344699385
2011-12-15,3394.943851496811
2011-12-16,3398.8924242599865
2011-12-19,3386.469273773028
2011-12-20,3414.0265134400042
2011-12-21,3416.7251627891533
2011-12-22,3481.378817423012
2011-12-23,3517.8421499424508
2011-12-26,3517.8421499424508
2011-12-27,3510.57276849071
2011-12-28,3538.020848557084
2011-12-29,3534.430167264675
2011-12-30,3558.7891886298567
2012-01-02,3558.7891886298567
2012-01-03,3613.2092651735647
2012-01-04,3599.551277831476
2012-01-05,3598.9424571045233
2012-01-06,3669.0945206554884
2012-01-09,3660.3456227188367
2012-01-10,3675.0126196579968
2012-01-11,3680.953964802979
2012-01-12,3701.504968211247
2012-01-13,3692.766628292438
2012-01-16,3757.768533675683
2012-01-17,3766.392831825719
2012-01-18,3785.526267231501
2012-01-19,3804.088037555746
2012-01-20,3784.8084067531317
2012-01-23,3766.393772722717
2012-01-24,3739.112149316017
2012-01-25,3679.004104442917
2012-01-26,3783.5302668806125
2012-01-27,3796.7409959426664
2012-01-30,3746.377884326902
