Date,WORLD ex USA IMI HIGH DIVIDEND YIELD
2010-09-20,1106.7898403779247
2010-09-21,1101.3028596399222
2010-09-22,1084.1706821576654
2010-09-23,1086.3133704686586
2010-09-24,1091.7784425629109
2010-09-27,1090.801632279264
2010-09-28,1087.308584748941
2010-09-29,1083.4023501771755
2010-09-30,1077.8936668970168
2010-10-01,1077.7794789443722
2010-10-04,1074.8039825720293
2010-10-05,1083.3940192284037
2010-10-06,1087.410585667114
2010-10-07,1089.963116606266
2010-10-08,1090.3832157420866
2010-10-11,1095.4158239170295
2010-10-12,1091.1679263864764
2010-10-13,1102.9235919529142
2010-10-14,1101.8871933688638
2010-10-15,1104.3237587286399
2010-10-18,1110.2192824149108
2010-10-19,1105.9322987878809
2010-10-20,1105.5440685522403
2010-10-21,1105.993082363864
2010-10-22,1104.1541659029995
2010-10-25,1106.795103127737
2010-10-26,1109.534731802027
2010-10-27,1101.6936786965352
2010-10-28,1108.6218152546721
2010-10-29,1112.299315616206
2010-11-01,1115.3213095659617
2010-11-02,1119.1764366241043
2010-11-03,1115.8450163263392
2010-11-04,1124.083434822658
2010-11-05,1133.8937538932141
2010-11-08,1134.745822389817
2010-11-09,1136.8812401967361
2010-11-10,1133.837950793396
2010-11-11,1132.196375100248
2010-11-12,1125.5211420844184
2010-11-15,1133.6146624624128
2010-11-16,1112.7898740283265
2010-11-17,1117.1505740507455
2010-11-18,1129.0132999171906
2010-11-19,1123.8331430006724
2010-11-22,1119.460888486038
2010-11-23,1105.992233062823
2010-11-24,1112.470965046745
2010-11-25,1115.2009840866594
2010-11-26,1113.8110472424419
2010-11-29,1098.6869468179186
2010-11-30,1098.0380398547481
2010-12-01,1113.2145326215289
2010-12-02,1122.5892306474327
2010-12-03,1116.6927321429857
2010-12-06,1120.3323408897609
2010-12-07,1128.2725317480324
2010-12-08,1134.6472364322567
2010-12-09,1140.2727130666935
2010-12-10,1140.6620327208973
2010-12-13,1141.1884449417867
2010-12-14,1146.337707114669
2010-12-15,1145.6811489890836
2010-12-16,1151.858736273199
2010-12-17,1148.0508876250121
2010-12-20,1155.0813417228903
2010-12-21,1163.3089485840505
2010-12-22,1166.6975380691747
2010-12-23,1170.1366848806679
2010-12-24,1168.9940940596264
2010-12-27,1161.0541554785182
2010-12-28,1164.8428965045318
2010-12-29,1168.8316826089329
2010-12-30,1153.3853243718372
2010-12-31,1148.2338095736666
2011-01-03,1154.2056423701408
2011-01-04,1162.5255556241557
2011-01-05,1165.643813622394
2011-01-06,1172.57166798212
2011-01-07,1171.4714978263335
2011-01-10,1165.5456575756832
2011-01-11,1170.0939985937955
2011-01-12,1178.0887949320352
2011-01-13,1172.0909802299823
2011-01-14,1171.1579497180612
2011-01-17,1175.7079815951522
2011-01-18,1181.7812375925516
2011-01-19,1171.3295219429208
2011-01-20,1162.97376064536
2011-01-21,1167.5898898931648
2011-01-24,1172.6536194086138
2011-01-25,1163.9924378956864
2011-01-26,1169.9320645962985
2011-01-27,1168.62828785638
2011-01-28,1161.9417488035474
2011-01-31,1159.4942030505708
2011-02-01,1176.9158235312952
2011-02-02,1179.9628864799158
2011-02-03,1184.9999155461217
2011-02-04,1189.5725617394558
2011-02-07,1198.9508350343203
2011-02-08,1193.6986261398552
2011-02-09,1188.5965625512515
2011-02-10,1188.9320897033422
2011-02-11,1187.6310857095502
2011-02-14,1191.1590743720108
2011-02-15,1192.365225670359
2011-02-16,1197.1537088117063
2011-02-17,1200.7470012369733
2011-02-18,1204.767335646462
2011-02-21,1192.99858645524
2011-02-22,1181.3860817602429
2011-02-23,1172.1241306084369
2011-02-24,1165.8749894100865
2011-02-25,1177.0970969515981
2011-02-28,1185.2398981550205
2011-03-01,1181.3218025824392
2011-03-02,1173.3886606997644
