Date,KUWAIT IMI
2003-02-17,292.3623157357843
2003-02-18,291.2172244175738
2003-02-19,293.15519486383346
2003-02-20,293.05742758190456
2003-02-21,293.25302740008044
2003-02-24,289.86649315661435
2003-02-25,289.48006890311444
2003-02-26,289.86649315661435
2003-02-27,289.48006890311444
2003-02-28,289.7214632234139
2003-03-03,294.03155197708
2003-03-04,294.17886237386205
2003-03-05,295.3640642049912
2003-03-06,295.6606641021009
2003-03-07,295.7596631525285
2003-03-10,296.2521022321315
2003-03-11,296.4933850970255
2003-03-12,298.37159992879697
2003-03-13,297.72361616684
2003-03-14,297.3262539831005
2003-03-17,297.90729962390543
2003-03-18,302.0306229812888
2003-03-19,307.44865422029545
2003-03-20,307.29536421486733
2003-03-21,307.1932557702038
2003-03-24,307.346443896419
2003-03-25,307.80692633275453
