Date,AC PACIFIC HIGH DIVIDEND YIELD
2000-03-22,1173.3104548765928
2000-03-23,1183.2725005589634
2000-03-24,1189.4944002298873
2000-03-27,1207.831183188651
2000-03-28,1216.2086935764712
2000-03-29,1217.314104083812
2000-03-30,1201.4235937230894
2000-03-31,1202.1234405326495
2000-04-03,1202.10605808858
2000-04-04,1205.5235027329084
2000-04-05,1211.3443369513939
2000-04-06,1206.7183174888958
2000-04-07,1201.6131068030697
2000-04-10,1202.0327334427695
2000-04-11,1188.3805203845445
2000-04-12,1198.200463907221
2000-04-13,1189.877237809087
2000-04-14,1191.5449849815518
2000-04-17,1133.0303919774183
2000-04-18,1159.783672486716
2000-04-19,1160.164411686577
2000-04-20,1151.048933372899
2000-04-21,1142.673271826437
2000-04-24,1152.6735555441312
2000-04-25,1152.6892280690065
2000-04-26,1143.946483947242
2000-04-27,1143.1290275590804
2000-04-28,1141.5158091846458
2000-05-01,1136.787351784913
2000-05-02,1143.7144690264527
2000-05-03,1138.2907906755408
2000-05-04,1133.5005356322856
2000-05-05,1137.9461143819506
2000-05-08,1130.9345748580404
2000-05-09,1120.8126639050195
2000-05-10,1111.8756813155235
2000-05-11,1111.3751606898952
2000-05-12,1132.436198294528
2000-05-15,1122.1177417150777
2000-05-16,1131.937341683035
2000-05-17,1116.5209033099038
2000-05-18,1106.9764438422558
2000-05-19,1118.515554654348
2000-05-22,1104.5237852559237
2000-05-23,1116.685752872126
2000-05-24,1108.382300740807
2000-05-25,1105.2976228788145
2000-05-26,1090.992265479183
2000-05-29,1097.2543176641707
2000-05-30,1101.7183612618915
2000-05-31,1102.781071524524
2000-06-01,1110.1000665969163
2000-06-02,1123.9275593352463
2000-06-05,1142.7435430778687
2000-06-06,1155.7185744163235
2000-06-07,1164.7055130089625
2000-06-08,1161.7966329994244
2000-06-09,1172.7936123893428
2000-06-12,1175.45310423965
2000-06-13,1168.4921435267177
2000-06-14,1172.2834351679603
2000-06-15,1168.6285271350641
2000-06-16,1184.26256990404
2000-06-19,1177.5595396871527
2000-06-20,1180.0233548578958
2000-06-21,1180.39601400505
2000-06-22,1174.5899474611224
2000-06-23,1174.4716608609244
2000-06-26,1176.3144000737777
2000-06-27,1190.3899781752505
2000-06-28,1195.9619859717532
2000-06-29,1193.5533909078506
2000-06-30,1200.929229139487
2000-07-03,1206.1068664199413
2000-07-04,1203.6405435750219
2000-07-05,1206.0815188791041
2000-07-06,1209.5627117552012
2000-07-07,1213.625978581982
2000-07-10,1228.5640407189592
2000-07-11,1230.0851664075756
2000-07-12,1232.1895333060568
2000-07-13,1218.7784976794092
2000-07-14,1221.9568447559195
2000-07-17,1220.843156142006
2000-07-18,1209.9933970810166
2000-07-19,1214.5170398186056
2000-07-20,1217.470097015904
2000-07-21,1221.6481094952953
2000-07-24,1211.489960785147
2000-07-25,1199.8322503016163
2000-07-26,1208.5272302912883
2000-07-27,1199.212671975575
2000-07-28,1190.4322708788864
2000-07-31,1179.4219902967511
2000-08-01,1183.9854246805073
2000-08-02,1194.4814431092132
2000-08-03,1193.913143205008
2000-08-04,1201.18185977417
2000-08-07,1208.361037575839
2000-08-08,1201.3963600891786
2000-08-09,1210.6672828603214
2000-08-10,1216.8273270708755
2000-08-11,1219.4997596218166
2000-08-14,1220.791547218594
2000-08-15,1228.193470692158
2000-08-16,1235.3825286953181
2000-08-17,1237.6944907648783
2000-08-18,1231.3728341063095
2000-08-21,1227.8473991003602
2000-08-22,1235.9930153933735
2000-08-23,1225.0695872373544
2000-08-24,1221.9134609150988
2000-08-25,1220.9349160933057
2000-08-28,1208.5319539647078
2000-08-29,1212.91337381216
2000-08-30,1201.5957000111348
2000-08-31,1190.8890112513936
2000-09-01,1202.1684196101958
2000-09-04,1211.764770035106
2000-09-05,1203.9518288258898
2000-09-06,1192.3513887075658
2000-09-07,1187.7558443462444
2000-09-08,1183.4086759358063
2000-09-11,1175.8164513132392
2000-09-12,1165.2339914274412
2000-09-13,1161.9260048341807
2000-09-14,1152.6159931415568
2000-09-15,1140.0496722146063
2000-09-18,1114.1754576824712
2000-09-19,1118.0809771976058
2000-09-20,1126.636552489921
2000-09-21,1119.339422474598
2000-09-22,1098.6665377569868
2000-09-25,1118.3630432233929
2000-09-26,1121.882994224821
2000-09-27,1123.9061217997016
2000-09-28,1125.4828569914068
2000-09-29,1136.1307329134177
2000-10-02,1134.3400742817835
2000-10-03,1140.8500911882475
2000-10-04,1140.631706586754
2000-10-05,1140.7641935088056
2000-10-06,1143.6893766429666
2000-10-09,1126.9424743670618
2000-10-10,1125.4472484606438
2000-10-11,1117.9124585963134
2000-10-12,1112.0732086085297
2000-10-13,1107.4823991322132
2000-10-16,1106.301763787669
2000-10-17,1091.4623952472853
2000-10-18,1081.0272548878293
2000-10-19,1077.1533114756967
2000-10-20,1098.666994733538
2000-10-23,1100.9516249955125
2000-10-24,1105.959010151333
2000-10-25,1102.5781982143135
2000-10-26,1103.4227461035623
2000-10-27,1100.1795404286067
2000-10-30,1098.960449833254
2000-10-31,1101.3151336457306
2000-11-01,1127.5333381785176
2000-11-02,1132.501810564371
2000-11-03,1142.445337066014
2000-11-06,1149.5715172402088
2000-11-07,1153.7731152123667
2000-11-08,1148.4270371280522
2000-11-09,1144.390125611238
2000-11-10,1140.3100074025544
2000-11-13,1121.0560887605614
2000-11-14,1132.5693626313732
2000-11-15,1131.6529533819914
2000-11-16,1126.5114711627366
2000-11-17,1126.6836766557801
2000-11-20,1121.4704134831893
2000-11-21,1112.9351507704296
2000-11-22,1111.504447324926
2000-11-23,1111.875429191817
2000-11-24,1119.2674115499644
2000-11-27,1129.7321085456308
2000-11-28,1126.1190488685202
2000-11-29,1112.9691417522245
2000-11-30,1110.038151678597
2000-12-01,1125.4183953929246
2000-12-04,1126.3521955252918
2000-12-05,1130.8370611354144
2000-12-06,1142.481387550736
2000-12-07,1142.4138845245832
2000-12-08,1151.10884830586
2000-12-11,1166.8423773508637
2000-12-12,1161.6423719655202
2000-12-13,1167.7024809010627
2000-12-14,1160.5854087206849
2000-12-15,1144.3924566697692
2000-12-18,1143.4256604992604
2000-12-19,1148.9766170099672
2000-12-20,1142.1940811515112
2000-12-21,1138.5611687895525
2000-12-22,1140.4106734906
2000-12-25,1145.3283715305922
2000-12-26,1141.179409415306
2000-12-27,1144.1738286309294
2000-12-28,1146.1771698441148
2000-12-29,1148.3853598444232
2001-01-01,1149.066389665813
2001-01-02,1154.3057415408311
2001-01-03,1146.1629183549649
2001-01-04,1175.3927676426006
2001-01-05,1190.2410542714267
2001-01-08,1182.7499992535197
2001-01-09,1182.500111209025
2001-01-10,1173.1744077233298
2001-01-11,1156.276265033872
2001-01-12,1160.2823420779073
2001-01-15,1152.8369253929782
2001-01-16,1157.0472735510057
2001-01-17,1157.9836018096605
2001-01-18,1170.7214637163975
2001-01-19,1190.8055596019153
2001-01-22,1201.4611622051991
2001-01-23,1195.6445848496264
2001-01-24,1188.2989524718698
2001-01-25,1191.707379151726
2001-01-26,1183.2762554499573
2001-01-29,1184.0955836233006
2001-01-30,1184.099500158141
2001-01-31,1204.4186779112417
2001-02-01,1212.0584310914428
2001-02-02,1208.0896575105767
2001-02-05,1189.720924233783
2001-02-06,1188.918361286173
2001-02-07,1182.66588362136
2001-02-08,1177.532802937845
2001-02-09,1174.4722354718047
2001-02-12,1175.1630088665618
2001-02-13,1178.726693529633
2001-02-14,1176.513395092633
2001-02-15,1174.7659641955313
2001-02-16,1180.2726304131327
2001-02-19,1173.2834277093323
2001-02-20,1182.1681158484557
2001-02-21,1179.2680296252415
2001-02-22,1171.779737026213
2001-02-23,1171.8459435208758
2001-02-26,1179.761183482783
2001-02-27,1176.8078256016245
2001-02-28,1175.770137971871
2001-03-01,1164.9017535584362
2001-03-02,1158.7804908735354
2001-03-05,1163.862076026611
2001-03-06,1170.0320113657644
2001-03-07,1165.3285787641576
2001-03-08,1161.0085795887262
2001-03-09,1153.3424559673697
2001-03-12,1128.861312605653
2001-03-13,1105.8603100835635
2001-03-14,1105.9837966798254
2001-03-15,1108.494199351765
2001-03-16,1103.5886332901932
2001-03-19,1106.6190552372545
2001-03-20,1101.5580201944754
2001-03-21,1102.8501182718458
2001-03-22,1080.8284658729365
2001-03-23,1091.72286804336
2001-03-26,1109.0093686513974
2001-03-27,1097.7510291595456
2001-03-28,1099.570227292666
2001-03-29,1084.671852530791
2001-03-30,1079.765639158607
2001-04-02,1066.6297217078193
2001-04-03,1068.4190201266545
2001-04-04,1060.7223197107867
2001-04-05,1070.0124152907583
2001-04-06,1080.5316803835292
