Date,EM EASTERN EUROPE ex RUSSIA VALUE
2008-12-10,583.6141271080511
2008-12-11,591.404191629043
2008-12-12,564.6826608754257
2008-12-15,585.9718926116312
2008-12-16,586.4257553897085
2008-12-17,611.4791828191494
2008-12-18,618.4037941885194
2008-12-19,597.763884971032
2008-12-22,590.1904317574603
2008-12-23,594.0373550292001
2008-12-24,594.8278817843775
2008-12-25,594.8278817843775
2008-12-26,594.7182358669312
2008-12-29,605.6754571648999
2008-12-30,599.4159040417763
2008-12-31,587.429076399897
2009-01-01,587.429076399897
2009-01-02,587.6120655963355
2009-01-05,606.2092750420264
2009-01-06,626.7518173551871
2009-01-07,617.2183682904333
2009-01-08,613.31528490158
2009-01-09,590.5555854038795
2009-01-12,575.1234390258686
2009-01-13,562.7111843854788
2009-01-14,544.2947955839993
2009-01-15,528.9158518583159
2009-01-16,536.1656910290541
2009-01-19,513.018851390514
2009-01-20,497.89304912025057
2009-01-21,500.30327819072943
2009-01-22,486.6540565574445
2009-01-23,471.8077918002937
2009-01-26,501.0328923067488
2009-01-27,490.3441909871177
2009-01-28,502.5806985081928
2009-01-29,489.24181390507414
2009-01-30,466.8599977375152
2009-02-02,458.10836153974026
2009-02-03,446.2200423516766
2009-02-04,444.7700267271069
2009-02-05,444.7165386528717
2009-02-06,455.4459793716645
2009-02-09,484.6565712460152
2009-02-10,476.0381211461713
2009-02-11,454.6272808369557
2009-02-12,438.75286483727257
2009-02-13,442.74632290006315
2009-02-16,415.0756522217896
2009-02-17,381.54215641718775
2009-02-18,380.4170223408086
2009-02-19,403.33180932253373
2009-02-20,396.43732080707696
2009-02-23,405.79552340689224
2009-02-24,407.95831240383427
2009-02-25,397.04030652912496
2009-02-26,407.5859118880204
2009-02-27,400.10963869178124
2009-03-02,393.72906252510785
2009-03-03,397.31125884851014
2009-03-04,407.9103033387924
2009-03-05,395.4150422177075
2009-03-06,406.9337856368233
2009-03-09,405.30863290778547
2009-03-10,420.6299902338393
2009-03-11,431.44710509633927
2009-03-12,434.1668591983641
2009-03-13,442.4214770073197
2009-03-16,454.6452191878041
2009-03-17,437.5428342603099
2009-03-18,437.32838641331546
2009-03-19,470.69818512618826
2009-03-20,474.9306422004758
2009-03-23,485.3014827117593
2009-03-24,487.2501626245965
2009-03-25,511.42141205478225
2009-03-26,512.6532017392898
2009-03-27,481.90476889051837
2009-03-30,456.6169949000519
2009-03-31,468.11164725804457
2009-04-01,479.2236873558739
2009-04-02,529.6378453279696
2009-04-03,535.8421497868874
2009-04-06,540.6109089740567
2009-04-07,514.4538479181191
2009-04-08,533.5690338679088
2009-04-09,560.8470316251668
2009-04-10,558.2174204057852
2009-04-13,562.69733300301
2009-04-14,556.4304064093047
2009-04-15,551.2721941313498
2009-04-16,554.5668699327127
2009-04-17,536.2116971928466
2009-04-20,513.8422991323233
2009-04-21,508.79916440844386
2009-04-22,516.3286779898351
2009-04-23,517.0692497701573
2009-04-24,539.8911288987914
2009-04-27,523.8949756397761
2009-04-28,514.1137162049179
2009-04-29,547.6668269426241
2009-04-30,558.4093193115823
2009-05-01,562.3229548737626
2009-05-04,588.3581962866352
2009-05-05,589.13057466
2009-05-06,583.6831089503142
2009-05-07,598.0914646193025
2009-05-08,609.3603318405756
2009-05-11,602.2624966736141
2009-05-12,608.7846698464806
2009-05-13,585.0526720509865
2009-05-14,583.7329682645762
2009-05-15,593.8446031027677
2009-05-18,608.7084607263787
2009-05-19,627.395744053787
2009-05-20,649.6587055601927
2009-05-21,628.0960318734047
2009-05-22,633.0730559938302
2009-05-25,636.5072669082233
2009-05-26,637.0195070966487
2009-05-27,641.1100729633694
2009-05-28,627.3434869261243
2009-05-29,618.4474867531122
2009-06-01,656.5786938395293
2009-06-02,676.0412204609215
2009-06-03,651.5500193187553
2009-06-04,658.0847930283794
2009-06-05,653.8368137150799
2009-06-08,639.9535017764088
2009-06-09,668.092528865747
2009-06-10,681.9199423236211
