Date,EM (EMERGING MARKETS) VALUE
2002-11-28,98.17127103701478
2002-11-29,99.3783279747929
2002-12-02,100.0711399052926
2002-12-03,100.04546883498877
2002-12-04,98.66229928565436
2002-12-05,98.73439169608399
2002-12-06,98.23554888289398
2002-12-09,98.21791738371662
2002-12-10,97.55477094199334
2002-12-11,97.29857777660688
2002-12-12,98.22528507935125
2002-12-13,98.2232833962184
2002-12-16,98.09085295260599
2002-12-17,99.0073554587084
2002-12-18,99.16047456193395
2002-12-19,99.37878503537358
2002-12-20,100.01127756451025
2002-12-23,99.1307130301416
2002-12-24,98.29884110638835
2002-12-25,98.15002674859933
2002-12-26,98.31423133002232
2002-12-27,97.95294184316073
2002-12-30,96.74180322013416
2002-12-31,96.86914376825528
2003-01-01,96.84913045257362
2003-01-02,97.6990774988125
2003-01-03,99.39682636383365
2003-01-06,100.32774401631443
2003-01-07,99.91277936724984
2003-01-08,100.15889339949318
2003-01-09,100.19548163873387
2003-01-10,100.81858181215915
2003-01-13,102.27719774413096
2003-01-14,102.75236927375488
2003-01-15,102.76148406986312
2003-01-16,102.04523935958859
2003-01-17,100.64270178891721
2003-01-20,100.45071201111044
2003-01-21,99.57814662190522
2003-01-22,99.01791117276414
2003-01-23,99.9670248667667
2003-01-24,98.42647362213312
2003-01-27,96.70702120728507
2003-01-28,97.33158559000398
2003-01-29,97.21480302709996
2003-01-30,97.55561366144109
2003-01-31,97.69710290061398
2003-02-03,98.25495852051168
2003-02-04,98.21087333793103
2003-02-05,98.28615669277987
2003-02-06,97.45667632820093
2003-02-07,96.55732614658666
2003-02-10,95.91305940871752
2003-02-11,96.03509475910613
2003-02-12,96.45398064797818
2003-02-13,94.92079737550308
2003-02-14,94.76026967457955
2003-02-17,96.87381617151766
2003-02-18,97.23176231683394
2003-02-19,96.49185664568269
2003-02-20,96.34484567612003
2003-02-21,96.58684617692117
2003-02-24,96.9319038654838
2003-02-25,95.26843717464652
2003-02-26,95.15359454376276
2003-02-27,95.21207073474741
2003-02-28,95.12894025093262
2003-03-03,96.1807883065125
2003-03-04,95.24221658825572
2003-03-05,94.3032604792678
2003-03-06,93.57013054600844
2003-03-07,92.74292666392915
2003-03-10,91.80045314135843
2003-03-11,91.09473047287182
2003-03-12,91.0010716498063
2003-03-13,92.08170291581203
2003-03-14,93.0312457582098
2003-03-17,91.09925135362224
2003-03-18,93.45720116849004
2003-03-19,93.36206377223944
2003-03-20,94.84824382356024
2003-03-21,95.19899307748786
2003-03-24,94.2627708668397
2003-03-25,93.99751990262705
2003-03-26,94.3370518633943
2003-03-27,93.90208942852738
2003-03-28,93.78860650762873
2003-03-31,92.17428911905327
2003-04-01,92.78899759884526
2003-04-02,93.86380992325643
2003-04-03,94.62215560923181
2003-04-04,95.79622349826433
2003-04-07,98.06627583781633
2003-04-08,97.53118461064018
2003-04-09,96.79109451482005
2003-04-10,97.1486606623581
2003-04-11,97.80552717197763
2003-04-14,98.64828336659345
2003-04-15,99.98109782410245
2003-04-16,100.98580619570474
2003-04-17,101.30479300985824
2003-04-18,101.94290831224686
2003-04-21,101.84416166543926
2003-04-22,100.68832658555509
2003-04-23,100.57330865017241
2003-04-24,99.14927447338894
2003-04-25,97.83004565960609
2003-04-28,98.69685021964214
2003-04-29,101.21559230957693
2003-04-30,101.46969154660769
2003-05-01,101.50590104120577
2003-05-02,101.80484736318478
2003-05-05,102.85700099235355
2003-05-06,102.77066467901955
2003-05-07,103.75966122701045
2003-05-08,103.02623373646905
2003-05-09,103.96951398931363
2003-05-12,105.18928323577772
2003-05-13,105.14312280540243
2003-05-14,105.08051339718516
2003-05-15,105.071916208048
2003-05-16,104.5098646618618
2003-05-19,103.41734659876691
2003-05-20,103.23000628951439
2003-05-21,103.61170472163828
2003-05-22,104.48138374934503
2003-05-23,106.2083022521581
2003-05-26,107.4042369212821
2003-05-27,107.01661033098009
2003-05-28,108.429787932543
2003-05-29,109.18418630481565
2003-05-30,109.50706349657804
2003-06-02,110.68970232062992
2003-06-03,110.34127269547946
2003-06-04,110.98193766983624
2003-06-05,112.08763337620141
2003-06-06,112.66652357116514
2003-06-09,113.01897343169132
2003-06-10,112.74835864182955
2003-06-11,112.86227450521541
2003-06-12,113.92063963002748
2003-06-13,114.32985281724882
2003-06-16,115.1363680443536
2003-06-17,116.92932228611862
2003-06-18,116.27927952558129
2003-06-19,116.60556214497474
2003-06-20,116.40508397800141
2003-06-23,114.68712641580022
2003-06-24,114.05170144307125
2003-06-25,115.11459204294599
2003-06-26,115.01374000018644
2003-06-27,115.5065742243242
2003-06-30,115.27285762161571
2003-07-01,116.50364434961993
2003-07-02,118.01961893820308
2003-07-03,118.44537219380113
2003-07-04,118.95408180597053
2003-07-07,120.72163689221905
2003-07-08,120.97165546709704
2003-07-09,120.59829233216675
2003-07-10,119.64186761769841
2003-07-11,119.44742426603128
2003-07-14,121.66717898918655
2003-07-15,121.09446627250207
2003-07-16,120.3678289007769
2003-07-17,119.0057394950058
2003-07-18,118.50712783674186
2003-07-21,118.06269033400771
2003-07-22,118.59103107080264
2003-07-23,118.53583751063744
2003-07-24,119.89212608254354
2003-07-25,121.07022930912126
2003-07-28,122.14666854162414
2003-07-29,121.81258661804273
2003-07-30,120.8461388982354
2003-07-31,121.39539272381074
2003-08-01,121.55908119780409
2003-08-04,121.10261325081231
2003-08-05,120.4150656042585
2003-08-06,119.376292273602
2003-08-07,120.3847910457766
2003-08-08,120.61360030824224
2003-08-11,121.50991872622136
2003-08-12,121.93564873595903
2003-08-13,123.5151839334372
2003-08-14,124.51201812703712
2003-08-15,124.87191107627567
2003-08-18,126.04554121581339
2003-08-19,126.3123885074853
2003-08-20,126.35041362705083
2003-08-21,128.20371689896925
2003-08-22,128.7261198576356
2003-08-25,128.2527108332864
2003-08-26,127.3231152592245
2003-08-27,127.80954913814243
2003-08-28,127.66835972775804
2003-08-29,129.09597800846643
2003-09-01,130.33947909063411
2003-09-02,130.44493532170446
2003-09-03,131.6767035538954
2003-09-04,131.87323503691454
2003-09-05,132.01553744180046
2003-09-08,132.15757496658895
2003-09-09,131.369151831566
2003-09-10,131.0390385000201
2003-09-11,131.21353451666877
2003-09-12,131.28474001642346
2003-09-15,130.6214456819338
2003-09-16,131.39600083259626
2003-09-17,131.28750935953002
2003-09-18,131.05780080012275
2003-09-19,130.73571318743538
2003-09-22,129.8630842599735
2003-09-23,130.7810862566342
2003-09-24,131.80615215348556
2003-09-25,130.64159561285203
2003-09-26,129.83409284859727
2003-09-29,129.97408176016307
2003-09-30,130.0566958524149
2003-10-01,131.43579278020567
2003-10-02,133.34804333932408
2003-10-03,134.5912838736252
2003-10-06,135.89848138717628
2003-10-07,136.61061374320332
2003-10-08,137.58980692880368
2003-10-09,139.57108980998805
2003-10-10,140.9149567118438
2003-10-13,142.0205355167881
2003-10-14,141.35574136061487
2003-10-15,141.00127108540215
2003-10-16,142.255414396323
2003-10-17,141.8960791611075
2003-10-20,142.58918598622137
2003-10-21,142.13187601603423
2003-10-22,141.51837720152318
2003-10-23,138.9759075952717
2003-10-24,139.05480205721526
2003-10-27,139.10532669342516
2003-10-28,141.0125223620993
2003-10-29,141.3983168911318
2003-10-30,141.84023744367855
2003-10-31,141.91500524382786
2003-11-03,144.20326057759607
2003-11-04,145.0298005817407
2003-11-05,145.49041172516743
2003-11-06,144.20852531981512
2003-11-07,145.06883514319085
2003-11-10,144.50106428410228
2003-11-11,143.01137047249486
2003-11-12,143.96710638919163
2003-11-13,145.83227104940016
2003-11-14,146.04089830081912
2003-11-17,143.5054835141531
2003-11-18,143.5399635198249
2003-11-19,140.8702194087094
2003-11-20,139.85044687775294
2003-11-21,140.71088303142164
2003-11-24,139.97300776771013
2003-11-25,141.50217938498946
2003-11-26,142.9068950823114
2003-11-27,142.9345770121783
2003-11-28,144.56140233914923
2003-12-01,147.63628391485196
2003-12-02,147.7854309247537
2003-12-03,148.07530480927687
2003-12-04,147.35237170334506
2003-12-05,147.04954912520995
2003-12-08,146.83700963055853
2003-12-09,148.7344974154188
2003-12-10,148.58602205021094
2003-12-11,149.53984273129336
2003-12-12,150.39005781407684
2003-12-15,151.35194343158776
2003-12-16,150.10108137554514
2003-12-17,148.98254362545887
2003-12-18,150.8587257391471
2003-12-19,151.63297722734652
2003-12-22,152.4399071971675
2003-12-23,152.57936717529094
2003-12-24,153.24102999863007
2003-12-25,153.22425333879713
2003-12-26,153.54999244355608
2003-12-29,154.65192048224174
2003-12-30,156.72062277757664
2003-12-31,157.1826411920993
2004-01-01,157.3389810427095
2004-01-02,160.64493355280928
2004-01-05,164.67098770868168
2004-01-06,164.1448574827526
2004-01-07,163.56346303243703
2004-01-08,163.78959447841692
2004-01-09,165.2547408269682
2004-01-12,165.31352917409498
2004-01-13,165.29287782035678
2004-01-14,164.6269617545924
2004-01-15,162.80590364038466
2004-01-16,162.74742804150478
2004-01-19,164.07458470355883
2004-01-20,165.60805684158592
2004-01-21,165.00059801852555
2004-01-22,164.95880903879788
2004-01-23,165.78523408847425
2004-01-26,166.12058222290423
2004-01-27,166.64434438715674
2004-01-28,165.90393219552521
2004-01-29,162.45393149891493
2004-01-30,161.98586618872704
2004-02-02,161.70626035410618
2004-02-03,161.80894963821757
2004-02-04,161.22660219594562
2004-02-05,160.82294691754763
2004-02-06,163.18041335836372
2004-02-09,165.97236116026872
2004-02-10,166.56035352714412
2004-02-11,167.58618430444596
2004-02-12,169.36011600666393
2004-02-13,170.705837286109
2004-02-16,170.59182737695005
2004-02-17,171.99222740648443
2004-02-18,171.91434701976922
2004-02-19,170.2869675677174
2004-02-20,169.25973560951917
2004-02-23,168.62649017444
2004-02-24,167.96537270294112
2004-02-25,168.4773555147342
2004-02-26,169.00248299710742
2004-02-27,170.63833585695306
2004-03-01,173.39144431176058
2004-03-02,174.6370302792959
2004-03-03,172.57821164991324
2004-03-04,173.44385959498504
2004-03-05,174.4906420002513
2004-03-08,174.57394197388422
2004-03-09,174.74049608555114
2004-03-10,171.3764998552387
2004-03-11,168.66136819057974
2004-03-12,167.8234683149143
2004-03-15,166.82528437443028
2004-03-16,167.18038872691827
2004-03-17,169.0679599040091
2004-03-18,170.7105469156438
2004-03-19,171.2232338980373
2004-03-22,168.25755257371702
2004-03-23,167.3680165847284
2004-03-24,167.38452110972185
