Date,CHINA A QUALITY
2016-07-08,2412.324300546828
2016-07-11,2431.1404248448325
2016-07-12,2513.4420031870527
2016-07-13,2491.4535425889917
2016-07-14,2489.953948884592
2016-07-15,2522.4024140261627
2016-07-18,2506.3599244200227
2016-07-19,2489.086544844682
2016-07-20,2490.690081973113
2016-07-21,2516.0699234518524
2016-07-22,2485.4075543614426
2016-07-25,2488.8401115211504
2016-07-26,2542.6332384037887
2016-07-27,2504.048419497215
2016-07-28,2541.0599351143383
2016-07-29,2517.7468264479144
2016-08-01,2487.7396317496573
2016-08-02,2479.0890235864795
2016-08-03,2504.1686230880023
2016-08-04,2504.323437401302
2016-08-05,2508.090675429641
2016-08-08,2527.567466226506
2016-08-09,2537.9001616217697
2016-08-10,2517.4257592469567
2016-08-11,2502.620751600226
2016-08-12,2526.947663872332
2016-08-15,2577.464127298039
2016-08-16,2563.738372856442
2016-08-17,2563.664589483129
2016-08-18,2530.0454469095166
2016-08-19,2518.30191443564
2016-08-22,2504.5795504153734
2016-08-23,2518.7172535991217
2016-08-24,2527.917376268456
2016-08-25,2501.0690522085524
2016-08-26,2488.8264698310095
2016-08-29,2503.721839724625
2016-08-30,2499.873817197397
2016-08-31,2507.0531793659584
2016-09-01,2484.6938579782873
2016-09-02,2483.0990672762982
2016-09-05,2493.4729703439843
2016-09-06,2492.6516213646382
2016-09-07,2486.6692116386175
2016-09-08,2478.7117839776215
2016-09-09,2467.3616527683153
2016-09-12,2423.6703789025273
2016-09-13,2421.5177267715276
2016-09-14,2407.35758557185
2016-09-15,2408.2139916855363
2016-09-16,2425.6882668200456
2016-09-19,2441.9223850855537
2016-09-20,2444.9135232693507
2016-09-21,2454.9135031144306
2016-09-22,2449.3216749374146
2016-09-23,2450.7972200880918
2016-09-26,2400.161259962712
2016-09-27,2428.590517191739
2016-09-28,2430.368895249128
2016-09-29,2442.22513190983
2016-09-30,2454.88215419553
2016-10-03,2459.2588383713114
2016-10-04,2472.4830300098024
2016-10-05,2463.211218647266
2016-10-06,2470.158539539723
2016-10-07,2468.3904307117073
2016-10-10,2498.2666096156254
2016-10-11,2522.194503527904
2016-10-12,2529.053148143674
2016-10-13,2520.820004421778
2016-10-14,2527.381141827384
2016-10-17,2507.106955577892
2016-10-18,2535.604338687297
2016-10-19,2530.5426032693476
2016-10-20,2540.021284276606
2016-10-21,2546.6639970098104
2016-10-24,2563.4910506491606
2016-10-25,2570.23305386098
2016-10-26,2564.252529959675
2016-10-27,2552.3582742494564
2016-10-28,2538.9958935907152
2016-10-31,2535.110678349068
2016-11-01,2531.66169565226
2016-11-02,2500.357793252978
2016-11-03,2512.5288738887834
