Date,ITALY IMI
2019-02-20,673.6039776512647
2019-02-21,670.7624054511198
2019-02-22,673.3821809681642
2019-02-25,678.1324606943977
2019-02-26,679.0327445993194
2019-02-27,680.4782214196606
2019-02-28,686.4814695299773
2019-03-01,687.389797852852
2019-03-04,688.4710397282493
2019-03-05,688.8970923692382
2019-03-06,694.592051721577
2019-03-07,689.7788367430683
2019-03-08,682.8936276660248
2019-03-11,686.4820980748558
2019-03-12,686.4090158779729
2019-03-13,690.0478345285376
2019-03-14,694.29476986602
2019-03-15,698.2093250977761
2019-03-18,704.4468035537067
2019-03-19,710.6057662605659
2019-03-20,707.0283336745971
2019-03-21,708.1059897141831
2019-03-22,698.9514472633218
2019-03-25,698.5985944356794
2019-03-26,701.4895402662462
2019-03-27,704.0333565585987
2019-03-28,701.2512515377546
2019-03-29,707.768806991282
2019-04-01,714.3178615864895
2019-04-02,714.0231777685914
2019-04-03,721.0527492599545
2019-04-04,719.0233896646145
2019-04-05,720.4796803201892
2019-04-08,720.9302337077538
2019-04-09,717.272642210154
2019-04-10,716.8814182922117
2019-04-11,717.1247176622306
2019-04-12,721.9157478464496
2019-04-15,723.5466448457272
2019-04-16,723.6275656067552
2019-04-17,725.3884003624685
2019-04-18,723.9397032768812
2019-04-19,723.9397032768811
2019-04-22,723.9397032768803
2019-04-23,725.8771294901755
2019-04-24,719.2875497999648
2019-04-25,719.5384809752643
2019-04-26,720.4360124045938
2019-04-29,722.2011386515129
2019-04-30,724.913053233548
2019-05-01,724.9130532335479
2019-05-02,719.6144936352664
2019-05-03,721.0503829300594
2019-05-06,710.0440456986219
2019-05-07,704.2924467712534
2019-05-08,703.2093075725405
2019-05-09,691.088133406289
2019-05-10,692.4362420659562
2019-05-13,683.2400544392231
2019-05-14,691.7215764115705
2019-05-15,689.987716253555
2019-05-16,699.0125819053089
2019-05-17,696.7703926567909
2019-05-20,692.1377084969671
2019-05-21,697.171268374239
2019-05-22,693.510568343127
2019-05-23,679.9869439191077
2019-05-24,688.1149661409476
2019-05-27,687.5836559152852
2019-05-28,684.7949013827986
2019-05-29,675.8987550599333
2019-05-30,674.4292516716708
2019-05-31,669.5588511695242
2019-06-03,671.7984814027972
2019-06-04,682.8974917190975
2019-06-05,681.4975979478558
2019-06-06,682.4997715882453
2019-06-07,688.4435240692131
2019-06-10,692.3837877794177
2019-06-11,696.2136277141816
2019-06-12,691.6313953510899
2019-06-13,697.2226834126442
2019-06-14,696.8151090624862
2019-06-17,697.014565099865
2019-06-18,712.7721832248504
2019-06-19,715.1412886028928
2019-06-20,719.6526646978278
2019-06-21,720.7422467276095
2019-06-24,718.4983394321032
2019-06-25,713.343501507158
2019-06-26,710.4100093415026
2019-06-27,711.865414708596
2019-06-28,716.0968120461649
2019-07-01,716.3360582653332
2019-07-02,721.357402477817
2019-07-03,738.3267831115031
2019-07-04,745.7741118594771
2019-07-05,741.7491045856775
2019-07-08,741.4095978875307
2019-07-09,738.3266161946589
2019-07-10,743.4103234449042
2019-07-11,747.3429857928711
2019-07-12,747.4247361758532
2019-07-15,747.0641289470607
2019-07-16,747.7890901537332
2019-07-17,743.6083226900688
2019-07-18,743.2877565843597
2019-07-19,728.0383634322911
2019-07-22,732.4503611308243
2019-07-23,738.999343313643
2019-07-24,742.4990374695444
2019-07-25,736.7888520547306
2019-07-26,734.8237107064551
2019-07-29,731.1875936807127
2019-07-30,717.052092877606
2019-07-31,721.1257547394454
2019-08-01,726.2716547486494
2019-08-02,710.5295609614095
2019-08-05,702.5388364762001
2019-08-06,697.8249077346679
2019-08-07,695.3954557924243
2019-08-08,704.3243153982421
2019-08-09,686.0479774577027
2019-08-12,683.4973889466178
2019-08-13,691.4367260892951
2019-08-14,675.2496103258172
2019-08-15,675.2496103258173
2019-08-16,685.0650870211522
2019-08-19,698.1157265793557
2019-08-20,690.5791840875307
2019-08-21,702.6415513529026
2019-08-22,701.7458336312651
2019-08-23,691.1351230840409
2019-08-26,697.3099784606319
2019-08-27,707.7258789117004
2019-08-28,707.4956009807554
2019-08-29,720.5096212035787
2019-08-30,717.8866227271876
2019-09-02,722.4191732606519
2019-09-03,720.7070550962148
2019-09-04,731.5536483866215
2019-09-05,737.4092160721162
2019-09-06,737.000922098386
2019-09-09,738.4381660903268
2019-09-10,735.0118331202866
2019-09-11,735.2075642717277
2019-09-12,741.654029819846
2019-09-13,745.6902756263923
2019-09-16,738.9672070443185
2019-09-17,733.7661568581437
2019-09-18,737.9601992738209
2019-09-19,743.8072135299616
2019-09-20,743.9252509284613
2019-09-23,737.9794263643328
2019-09-24,738.499644617453
2019-09-25,734.2342316621769
2019-09-26,740.0777847224765
2019-09-27,742.0836838751566
2019-09-30,745.6509550220894
2019-10-01,739.3725156081516
2019-10-02,718.6046921788396
2019-10-03,718.4003105481265
2019-10-04,723.3779507064714
2019-10-07,729.6069649123027
2019-10-08,722.0704182168222
2019-10-09,725.8904066382073
2019-10-10,732.560005173967
2019-10-11,744.8107833055357
2019-10-14,743.1765277755874
2019-10-15,751.1756125726407
2019-10-16,753.3006169798834
2019-10-17,752.4870875253383
2019-10-18,750.3670902046155
2019-10-21,754.9623603490256
2019-10-22,756.1463643582547
2019-10-23,752.115372219215
2019-10-24,755.7564644641459
2019-10-25,758.4652605373285
2019-10-28,760.6646867250621
2019-10-29,759.7392541635066
2019-10-30,758.6983198118357
2019-10-31,761.1503251530977
2019-11-01,768.7271025135668
2019-11-04,781.0039494589208
2019-11-05,782.3807086144517
2019-11-06,782.8173818361391
2019-11-07,785.7085183341125
2019-11-08,786.9686373388274
2019-11-11,786.0426178797816
2019-11-12,795.6844282816687
2019-11-13,789.6021866502219
2019-11-14,786.6212713311746
2019-11-15,790.0402172014747
2019-11-18,786.706303742302
2019-11-19,782.6969533268996
2019-11-20,783.3715393770585
2019-11-21,781.3214930581279
2019-11-22,780.6633103032964
2019-11-25,787.2286387788087
2019-11-26,790.9718493532828
2019-11-27,789.7535568590441
2019-11-28,785.7065380052051
2019-11-29,783.2239515869425
2019-12-02,765.7246956905525
2019-12-03,765.5021555637944
2019-12-04,774.9610027916964
2019-12-05,772.9599695745997
2019-12-06,778.73385678585
2019-12-09,770.9239374229837
2019-12-10,775.5989917115425
2019-12-11,776.2769156428009
2019-12-12,782.977137978962
2019-12-13,780.1512005743191
2019-12-16,786.0987742874405
2019-12-17,790.0512339157644
2019-12-18,790.0637620200108
2019-12-19,791.97932041671
2019-12-20,801.0631363776861
2019-12-23,798.1035657714542
2019-12-24,798.1035657714546
2019-12-25,798.1035657714546
2019-12-26,798.1035657714543
2019-12-27,793.4354946059722
2019-12-30,785.36916073324
2019-12-31,785.3691607332399
2020-01-01,785.3691607332398
2020-01-02,795.4431290912548
2020-01-03,790.4692215011418
2020-01-06,786.6205108344402
2020-01-07,790.6341499728026
2020-01-08,794.11695662708
2020-01-09,800.445778808686
2020-01-10,801.2911394317879
2020-01-13,797.3221681723513
2020-01-14,798.0323782911513
2020-01-15,793.51985971721
2020-01-16,798.8949322134697
2020-01-17,805.517754804388
2020-01-20,803.7473119034767
2020-01-21,798.5408994668154
2020-01-22,793.5161520313915
2020-01-23,791.078445372384
2020-01-24,798.8335373273842
2020-01-27,781.5853716984951
2020-01-28,800.285908236506
2020-01-29,805.5426152197017
2020-01-30,793.054438522465
2020-01-31,775.9076207800779
2020-02-03,782.287644952551
2020-02-04,794.5598308609399
2020-02-05,806.6174112931575
2020-02-06,814.7509734694037
2020-02-07,813.6320934817087
2020-02-10,813.500728860165
2020-02-11,819.2171045861526
2020-02-12,825.015479710428
2020-02-13,824.8565403030464
2020-02-14,824.6053290819814
2020-02-17,834.6590820966373
2020-02-18,838.4539454538871
2020-02-19,845.631025049874
2020-02-20,832.9419873110882
2020-02-21,823.0486448118606
2020-02-24,778.6845865403576
2020-02-25,767.3932641102532
2020-02-26,778.270738894906
2020-02-27,759.3648429888423
2020-02-28,732.1669872838315
2020-03-02,719.676903482147
2020-03-03,722.7329787636696
2020-03-04,728.9833233393441
2020-03-05,715.0162261118636
2020-03-06,690.654283435821
2020-03-09,616.0021170792608
2020-03-10,594.3618632296939
2020-03-11,595.964129615131
2020-03-12,497.3458764712641
2020-03-13,532.4428861548254
2020-03-16,501.2409815469019
2020-03-17,512.4416874181371
2020-03-18,509.52105288878727
2020-03-19,520.3093841388696
2020-03-20,528.9354382524211
2020-03-23,522.5862986101085
2020-03-24,564.1184104977528
2020-03-25,571.1252611748649
2020-03-26,576.9531671304278
2020-03-27,560.6959518513867
2020-03-30,561.3013176569751
2020-03-31,567.6653959337832
2020-04-01,552.535182900212
2020-04-02,562.8023103821397
2020-04-03,548.599198856216
2020-04-06,567.061200443949
2020-04-07,578.4219458676788
2020-04-08,577.3966361157984
2020-04-09,584.372142548918
2020-04-10,584.3721425489179
2020-04-13,584.3721425489174
2020-04-14,582.9467858626638
2020-04-15,557.814193119167
2020-04-16,559.1122494839118
2020-04-17,567.5473583361161
2020-04-20,569.4917913386254
2020-04-21,551.2837645250469
2020-04-22,559.0939522068711
2020-04-23,565.2088650017521
2020-04-24,559.7901583506582
2020-04-27,575.2347870849414
2020-04-28,584.6482767896536
