Date,SWEDEN IMI
2012-03-14,958.981586461095
2012-03-15,966.4786393743437
2012-03-16,969.9275768992032
2012-03-19,968.0429365227494
2012-03-20,949.2113922373837
2012-03-21,942.527933760757
2012-03-22,926.624443425512
2012-03-23,933.1641471841272
2012-03-26,954.9475888468032
2012-03-27,949.4679754790584
2012-03-28,944.0883422601481
2012-03-29,927.8972523805037
2012-03-30,945.2301505521639
2012-04-02,961.0210040336582
2012-04-03,957.5424683191383
2012-04-04,925.3013566558334
2012-04-05,921.715784153397
2012-04-06,921.715784153397
2012-04-09,914.3630858649565
2012-04-10,892.7132763356025
2012-04-11,902.5932014687056
2012-04-12,923.7585797535214
2012-04-13,906.7414076843289
2012-04-16,913.8367836716975
2012-04-17,929.8870246750923
2012-04-18,917.4723429530759
2012-04-19,924.0819953298419
2012-04-20,932.7378945285013
2012-04-23,888.3135355470392
2012-04-24,902.8771038956396
2012-04-25,917.6580849137606
2012-04-26,913.2158136008761
2012-04-27,929.5090798457485
2012-04-30,934.7357353946321
2012-05-01,934.8521644739354
2012-05-02,930.2490001579473
2012-05-03,937.0510577767881
2012-05-04,912.0225927974532
2012-05-07,914.5334717996682
2012-05-08,900.664202906226
2012-05-09,900.3560043533467
2012-05-10,901.6936470833849
2012-05-11,905.9815714985625
2012-05-14,878.9878889251399
2012-05-15,868.3268298048199
2012-05-16,857.0843468261551
2012-05-17,852.6286084017646
2012-05-18,826.8700264876117
2012-05-21,849.1413354235567
2012-05-22,874.1676508229713
2012-05-23,853.1750588456117
2012-05-24,867.1635480498744
2012-05-25,867.1565202729867
2012-05-28,869.5139466403859
2012-05-29,882.937371323896
2012-05-30,871.3609108257709
2012-05-31,860.984779773274
2012-06-01,841.9753957561367
2012-06-04,834.1066670403466
2012-06-05,836.7879031852738
2012-06-06,834.314672132864
2012-06-07,862.4025879208245
2012-06-08,861.4203088762035
2012-06-11,871.9002024734211
2012-06-12,878.2327309968332
2012-06-13,867.4193585874096
2012-06-14,862.4785748241642
2012-06-15,869.8152772010335
2012-06-18,871.3901650780028
2012-06-19,888.8080742843094
2012-06-20,901.1268588680127
2012-06-21,896.7022660809638
2012-06-22,898.6237182220814
2012-06-25,873.5811850694754
2012-06-26,867.8276270821261
2012-06-27,880.3355730791544
2012-06-28,870.2211091257692
2012-06-29,909.816069708783
2012-07-02,917.9857462046867
2012-07-03,930.9137993157138
2012-07-04,938.543251373935
2012-07-05,942.0758566428602
2012-07-06,928.2790109784983
2012-07-09,926.134502242765
2012-07-10,941.2190645542207
2012-07-11,937.1487417592856
2012-07-12,923.5184324400553
2012-07-13,936.6024046372964
2012-07-16,938.8558682383995
2012-07-17,936.6161384037258
2012-07-18,948.7261564768568
2012-07-19,967.698828886846
2012-07-20,966.7991305309199
2012-07-23,946.1401250956957
2012-07-24,950.8908487746913
2012-07-25,951.8147924888415
2012-07-26,968.9567546124309
2012-07-27,974.1944984350532
2012-07-30,999.8758213933419
2012-07-31,995.4744916760618
2012-08-01,998.4818067026439
2012-08-02,995.6891974238088
2012-08-03,1012.8464630707573
2012-08-06,1008.9110291104149
2012-08-07,1007.1786385200089
2012-08-08,1018.2464338282938
2012-08-09,1026.8049367557214
2012-08-10,1030.1206644088215
2012-08-13,1019.0109402306391
2012-08-14,1019.9529460188656
2012-08-15,1017.9403444998078
2012-08-16,1012.3474277551787
2012-08-17,1029.4713624139679
2012-08-20,1025.2069157013404
2012-08-21,1018.3588869613742
