Date,USA VALUE
2010-11-11,101.47249769083349
2010-11-12,100.28527667984733
2010-11-15,101.03115639524289
2010-11-16,99.70326287318336
2010-11-17,99.70738586737436
2010-11-18,100.65462668769821
2010-11-19,100.30622412706647
2010-11-22,100.20295124015036
2010-11-23,100.06149548184955
2010-11-24,101.63524834725251
2010-11-25,101.79105485995535
2010-11-26,102.15650480132695
2010-11-29,103.1531350163804
2010-11-30,103.10389459723571
2010-12-01,104.94008064715447
2010-12-02,105.50334234832151
2010-12-03,104.08424660260717
2010-12-06,104.67133673635364
2010-12-07,104.32707531086093
2010-12-08,105.9254361149066
2010-12-09,106.85138886667153
2010-12-10,107.24834086996624
2010-12-13,105.98797095798797
2010-12-14,106.11456446503072
2010-12-15,105.94538140065583
2010-12-16,107.70058218276357
2010-12-17,108.13435079787047
2010-12-20,108.86883310152191
2010-12-21,109.37209255545106
2010-12-22,110.34045710181863
2010-12-23,110.45286251167748
2010-12-24,110.01928482812617
2010-12-27,109.8765511356634
2010-12-28,110.25198009443153
2010-12-29,110.2158957274176
2010-12-30,108.83058289743464
2010-12-31,107.83193145913825
2011-01-03,109.56648021367899
2011-01-04,110.13333423765619
2011-01-05,112.0774381409354
2011-01-06,112.6922787862288
2011-01-07,112.85819243496927
2011-01-10,112.90683704406251
2011-01-11,113.39528413275411
2011-01-12,113.32428092312226
2011-01-13,110.75744685332063
2011-01-14,111.45590792958626
2011-01-17,112.07659856676186
2011-01-18,111.17235498777337
2011-01-19,109.26762190853988
2011-01-20,110.0164777425051
2011-01-21,109.40711042316863
2011-01-24,109.04767124852145
2011-01-25,109.06166521635369
2011-01-26,109.15410560766843
2011-01-27,109.17932294563063
2011-01-28,108.39593008503729
2011-01-31,108.4516933817496
2011-02-01,109.80168493158348
2011-02-02,109.34485581751264
2011-02-03,111.00374497929535
2011-02-04,111.72329592025173
2011-02-07,112.62804120974505
2011-02-08,112.01496381557209
2011-02-09,111.35575183767187
2011-02-10,112.4028325656922
2011-02-11,113.3763711984315
2011-02-14,114.50417921510659
2011-02-15,113.68299146398999
2011-02-16,114.38298308610308
2011-02-17,114.34670127714372
2011-02-18,114.20379613595111
2011-02-21,113.92810299238954
2011-02-22,111.81743502437834
2011-02-23,110.83336237009263
2011-02-24,110.33303532464299
2011-02-25,111.647550866511
2011-02-28,111.98042268523095
2011-03-01,110.13390524062008
2011-03-02,109.76973906148645
2011-03-03,111.12660960329916
2011-03-04,109.7945661129899
2011-03-07,108.90821739783368
2011-03-08,110.91108434048441
2011-03-09,110.7449281380921
2011-03-10,109.4948032622743
2011-03-11,109.92665192582096
2011-03-14,108.15999220973387
2011-03-15,106.97961718479759
2011-03-16,105.31224230344587
2011-03-17,106.07133059601556
2011-03-18,105.90702936995895
2011-03-21,106.93795351140118
2011-03-22,106.35762839836771
2011-03-23,107.14037549340343
2011-03-24,107.31771037786396
2011-03-25,108.15739415666121
2011-03-28,108.15991467757276
