Date,THAILAND ESG LEADERS
2019-11-22,2581.635762010672
2019-11-25,2618.292448587053
2019-11-26,2611.0136929879936
2019-11-27,2614.7734150515203
2019-11-28,2599.332186474847
2019-11-29,2574.4176876668103
2019-12-02,2526.4612974379907
2019-12-03,2523.6622892889955
2019-12-04,2507.3473486473367
2019-12-05,2506.2171492564667
2019-12-06,2508.5136977410857
2019-12-09,2496.8030477724215
2019-12-10,2492.4124210764553
2019-12-11,2489.924482797827
2019-12-12,2512.969107844737
2019-12-13,2531.52658548429
2019-12-16,2487.939330613974
2019-12-17,2494.992897118287
2019-12-18,2535.5001562798752
2019-12-19,2547.641240674926
2019-12-20,2566.488287406637
2019-12-23,2571.304915474232
2019-12-24,2561.301396193205
2019-12-25,2569.3774836285793
2019-12-26,2569.3661941187725
2019-12-27,2552.273446275616
2019-12-30,2555.102713587621
2019-12-31,2550.2087529335336
2020-01-01,2550.208752933534
2020-01-02,2562.023152480647
2020-01-03,2551.6952644983817
2020-01-06,2485.741218488999
2020-01-07,2520.527445448602
2020-01-08,2463.875489307887
2020-01-09,2501.1075727648285
2020-01-10,2500.657187208633
2020-01-13,2481.820324394417
2020-01-14,2481.0119033629835
2020-01-15,2457.2671834076796
2020-01-16,2488.4764410155885
2020-01-17,2510.5634556608293
2020-01-20,2482.8163700820396
2020-01-21,2448.3846596652975
2020-01-22,2442.2783294666383
2020-01-23,2448.87071789084
2020-01-24,2445.2338956280228
2020-01-27,2349.7871757897337
2020-01-28,2327.268159791593
2020-01-29,2336.2922461823473
2020-01-30,2321.0139919634066
2020-01-31,2293.069206371932
2020-02-03,2274.858157519968
2020-02-04,2342.669919503958
2020-02-05,2382.3731816217173
2020-02-06,2386.423025927906
2020-02-07,2369.158330418062
2020-02-10,2377.833388383709
2020-02-11,2353.3197011676093
2020-02-12,2393.815488789119
2020-02-13,2385.8316507981817
2020-02-14,2377.865709238097
2020-02-17,2389.3981152057436
2020-02-18,2356.967437448431
2020-02-19,2363.7569397208576
2020-02-20,2295.6007389918746
