Date,FINLAND SMALL VALUE
2018-03-20,1360.484014949161
2018-03-21,1353.0207838796484
2018-03-22,1333.7552165821098
2018-03-23,1331.084488274793
2018-03-26,1332.7023082445035
2018-03-27,1344.618960693246
2018-03-28,1333.511897186683
2018-03-29,1329.9189767621228
2018-03-30,1329.9189767621228
2018-04-02,1331.1084802580278
2018-04-03,1314.7380153402714
2018-04-04,1303.0520241047334
2018-04-05,1322.3469071671925
2018-04-06,1323.9688394592786
2018-04-09,1326.5306566157365
2018-04-10,1336.1080459111542
2018-04-11,1327.5252499851265
2018-04-12,1330.659206830257
2018-04-13,1340.7402215481247
2018-04-16,1333.9173587425855
2018-04-17,1350.2571164837857
2018-04-18,1361.597506551141
2018-04-19,1366.659103562119
2018-04-20,1357.5765660435634
2018-04-23,1353.9911507719864
2018-04-24,1344.2504296502239
2018-04-25,1336.464869103488
2018-04-26,1352.0743895783717
2018-04-27,1346.9265574250464
2018-04-30,1352.6661488160332
2018-05-01,1342.3101134936132
2018-05-02,1338.7094521884135
2018-05-03,1318.0354888487118
2018-05-04,1333.7532692215043
2018-05-07,1341.4619075560631
2018-05-08,1348.0429773715673
2018-05-09,1348.9295906988857
2018-05-10,1351.6603325635701
2018-05-11,1369.9809164914736
2018-05-14,1368.1642528781188
2018-05-15,1352.466251255723
2018-05-16,1350.3977618387312
2018-05-17,1361.4148549287925
2018-05-18,1361.225325565299
2018-05-21,1367.2761590777384
2018-05-22,1373.7251654572165
2018-05-23,1353.3520970608645
2018-05-24,1350.1864280559669
2018-05-25,1345.7010834974647
2018-05-28,1342.0160176562058
2018-05-29,1311.9313532430524
2018-05-30,1321.5650278687544
2018-05-31,1331.4908163791347
2018-06-01,1347.8695321683454
2018-06-04,1356.4710432185545
2018-06-05,1350.1878030300038
2018-06-06,1365.542514471633
2018-06-07,1368.7043245514658
2018-06-08,1367.0284175135498
2018-06-11,1373.9900991940888
2018-06-12,1370.7328188056106
2018-06-13,1372.78974730287
2018-06-14,1360.6686093373983
2018-06-15,1339.506341440163
2018-06-18,1326.4543671538593
2018-06-19,1303.1460226591419
2018-06-20,1317.5258456957067
2018-06-21,1319.6681677666231
2018-06-22,1323.192740283274
2018-06-25,1312.6053570693773
2018-06-26,1313.070970641279
2018-06-27,1309.3868075049122
2018-06-28,1308.061320035051
2018-06-29,1335.8921722461282
2018-07-02,1311.1366788715627
2018-07-03,1317.3922196133558
2018-07-04,1312.68637531126
2018-07-05,1324.0261520041436
2018-07-06,1332.836980886164
2018-07-09,1351.4444073645104
2018-07-10,1357.382523661268
2018-07-11,1342.5460576877447
2018-07-12,1341.2259820915474
2018-07-13,1329.492514029859
2018-07-16,1335.649164845317
2018-07-17,1355.8720023833112
2018-07-18,1352.738299950479
2018-07-19,1333.0804230982308
2018-07-20,1312.145539177679
2018-07-23,1302.8757892089175
2018-07-24,1333.3314640926583
2018-07-25,1302.5693650775465
2018-07-26,1303.705944615622
2018-07-27,1305.759166885581
2018-07-30,1307.8568439321728
2018-07-31,1305.5017180983066
2018-08-01,1314.8884747282248
2018-08-02,1289.6380681020323
2018-08-03,1290.2533310451936
2018-08-06,1276.851460822624
2018-08-07,1290.4806201124134
2018-08-08,1286.9598336273473
2018-08-09,1287.3311594496276
2018-08-10,1262.0374186965814
2018-08-13,1248.3136716286788
2018-08-14,1241.1558684317658
2018-08-15,1216.8573349173673
2018-08-16,1238.7912493373524
2018-08-17,1243.7571270849412
2018-08-20,1253.94185082979
2018-08-21,1274.7968556962599
2018-08-22,1289.1155352953067
2018-08-23,1286.1192168399582
2018-08-24,1289.4283954091475
2018-08-27,1305.4659331094392
2018-08-28,1332.7125106445885
2018-08-29,1323.7405443007451
2018-08-30,1314.4224276886976
2018-08-31,1308.5013376906481
2018-09-03,1304.4459208599228
2018-09-04,1270.0345565638386
2018-09-05,1261.4956789569183
2018-09-06,1247.0830887686636
2018-09-07,1237.9303759542468
2018-09-10,1247.4089546847424
2018-09-11,1239.3275883137112
2018-09-12,1252.6025830736717
2018-09-13,1260.4427891597645
2018-09-14,1272.0476835493378
2018-09-17,1274.6517951841995
2018-09-18,1283.7764360481244
2018-09-19,1292.6534693001001
2018-09-20,1305.0340695773616
2018-09-21,1311.1373650816543
2018-09-24,1312.9474489315453
2018-09-25,1297.3277356013568
2018-09-26,1288.1135358567376
2018-09-27,1297.7661285544593
2018-09-28,1286.5420640115108
2018-10-01,1278.1457948279426
2018-10-02,1269.2783014151141
2018-10-03,1266.959495924864
2018-10-04,1257.8744358823303
2018-10-05,1247.7323810676442
2018-10-08,1231.376306875816
2018-10-09,1229.072969173659
2018-10-10,1219.0654673697672
2018-10-11,1197.9136809482095
2018-10-12,1204.088819512624
2018-10-15,1211.4162714090874
2018-10-16,1240.1169902241202
2018-10-17,1222.9279755140146
2018-10-18,1204.6656724387876
2018-10-19,1193.6826326514467
2018-10-22,1180.0861650828845
2018-10-23,1159.4864655714168
2018-10-24,1172.263582670332
2018-10-25,1182.2451226347162
2018-10-26,1192.0531029490314
2018-10-29,1183.6675571892142
2018-10-30,1180.7808598608203
2018-10-31,1212.3723664397187
2018-11-01,1207.5801898565476
2018-11-02,1229.6741761403296
2018-11-05,1229.687065675622
2018-11-06,1231.8182625309585
2018-11-07,1246.4436903940357
2018-11-08,1248.902735841934
2018-11-09,1231.784986412451
2018-11-12,1215.584476488633
2018-11-13,1208.5808789759167
2018-11-14,1201.4270042448627
2018-11-15,1196.883086804459
2018-11-16,1210.3901319005895
2018-11-19,1208.3010287446243
2018-11-20,1185.6284822772718
2018-11-21,1192.3852427243448
2018-11-22,1181.95932397627
2018-11-23,1174.6251476819173
2018-11-26,1176.501152399639
2018-11-27,1154.788610439364
2018-11-28,1153.0575908719493
2018-11-29,1162.7006235272452
2018-11-30,1147.6698227105903
2018-12-03,1178.5748736769237
2018-12-04,1150.8722404753923
2018-12-05,1140.3596809723233
2018-12-06,1144.5325869559535
2018-12-07,1123.2694700994662
2018-12-10,1088.3259343226575
2018-12-11,1094.9587402626535
