Date,AC FAR EAST ex JAPAN VALUE WEIGHTED
2000-01-20,1830.1440598971599
2000-01-21,1817.5988498816753
2000-01-24,1830.2885264504405
2000-01-25,1794.5950387398184
2000-01-26,1820.8928560866716
2000-01-27,1881.3407025382148
2000-01-28,1912.3306277724882
2000-01-31,1887.265187025177
2000-02-01,1894.5467101864301
2000-02-02,1909.8218874733975
2000-02-03,1892.1533643056118
2000-02-04,1906.8070780846567
2000-02-07,1909.917925225921
2000-02-08,1869.7906228608476
2000-02-09,1874.5470648533317
2000-02-10,1870.2033205658422
2000-02-11,1880.5431683653533
2000-02-14,1842.9733157862058
2000-02-15,1802.460546249728
2000-02-16,1822.3760639673171
2000-02-17,1837.4372027333443
2000-02-18,1805.8249902340137
2000-02-21,1757.3827741270397
2000-02-22,1688.2116430955566
2000-02-23,1725.1554777168567
2000-02-24,1734.4100384498397
2000-02-25,1760.4495275091801
2000-02-28,1735.3411348505324
2000-02-29,1748.8847219072516
2000-03-01,1733.5426388240087
2000-03-02,1759.1232084613005
2000-03-03,1766.1588046615527
2000-03-06,1795.1098298171903
2000-03-07,1810.1264085410621
2000-03-08,1818.6162631995894
2000-03-09,1784.3150463216869
2000-03-10,1806.2956716853366
2000-03-13,1741.2910494498258
2000-03-14,1741.782006600245
2000-03-15,1706.43228949226
2000-03-16,1694.8187243711254
2000-03-17,1754.2712434593905
2000-03-20,1734.1962287907031
2000-03-21,1746.595971732336
2000-03-22,1786.6413291007275
2000-03-23,1783.9644922008451
2000-03-24,1797.0939027782433
2000-03-27,1827.68707237842
2000-03-28,1839.0150278721012
2000-03-29,1866.090928252108
2000-03-30,1845.495110953118
2000-03-31,1827.3075040161148
2000-04-03,1800.3351754221396
2000-04-04,1798.6206505115058
2000-04-05,1773.3573774081892
2000-04-06,1779.714400993613
2000-04-07,1797.7625144675765
2000-04-10,1816.005319319357
2000-04-11,1791.1096320556915
2000-04-12,1806.1567612404444
2000-04-13,1798.482499603894
2000-04-14,1789.033183195653
2000-04-17,1652.2664774142738
2000-04-18,1715.7016490710464
2000-04-19,1737.1290169517017
2000-04-20,1739.8691220410726
2000-04-21,1746.140788818134
2000-04-24,1723.030248756313
2000-04-25,1745.4040733282275
2000-04-26,1727.7592295954303
2000-04-27,1745.3408292748502
2000-04-28,1775.9755826443725
2000-05-01,1778.8754039852229
2000-05-02,1775.4822195478964
2000-05-03,1797.129857388631
2000-05-04,1783.5848893225705
2000-05-05,1790.6911138093474
2000-05-08,1771.5973220283104
2000-05-09,1742.2868848546773
2000-05-10,1702.8263847203168
2000-05-11,1698.341401995569
2000-05-12,1714.382236697195
2000-05-15,1674.3115011802824
2000-05-16,1718.007373940742
2000-05-17,1727.9869058761797
2000-05-18,1690.5817292012264
2000-05-19,1696.0651326495968
2000-05-22,1613.0886850473134
2000-05-23,1592.4967018554798
2000-05-24,1585.2299083645912
2000-05-25,1590.2740943091367
2000-05-26,1512.614260260036
2000-05-29,1511.9953836549657
2000-05-30,1517.2526470905414
2000-05-31,1562.7998949100086
2000-06-01,1568.8891992673662
2000-06-02,1585.0438680396742
2000-06-05,1646.5268687184885
2000-06-06,1621.7115187607026
2000-06-07,1651.0737379792408
2000-06-08,1638.2843832586675
2000-06-09,1677.7073176741465
2000-06-12,1679.1833284306483
2000-06-13,1619.4130247050357
2000-06-14,1634.4665825892168
2000-06-15,1624.3135093211256
2000-06-16,1617.9652632609207
2000-06-19,1599.788073741465
2000-06-20,1622.2845429593388
2000-06-21,1638.70585335145
2000-06-22,1644.608075018299
2000-06-23,1647.5695930746028
2000-06-26,1651.7994035122526
2000-06-27,1655.1300761166538
2000-06-28,1660.7578008577002
2000-06-29,1627.5691028251222
2000-06-30,1627.455852912453
2000-07-03,1654.0678241843718
2000-07-04,1646.9215996871608
2000-07-05,1658.7788667486918
2000-07-06,1672.1683766225558
2000-07-07,1701.1520339697781
2000-07-10,1724.4599508461233
2000-07-11,1727.999316562763
2000-07-12,1747.4511733098839
2000-07-13,1758.3902354008196
2000-07-14,1748.9187114676859
2000-07-17,1760.4462747185748
2000-07-18,1736.0192341204809
2000-07-19,1765.9400050921463
2000-07-20,1758.4238917040125
2000-07-21,1755.666662356362
2000-07-24,1715.3736023117833
2000-07-25,1685.471772527153
2000-07-26,1688.6519447612238
2000-07-27,1682.6547716449807
2000-07-28,1678.5297021330807
2000-07-31,1676.1288451185046
2000-08-01,1692.638033214588
2000-08-02,1733.708714334848
2000-08-03,1747.9849745706667
2000-08-04,1743.743395800007
2000-08-07,1724.8454627707083
2000-08-08,1726.9651597224681
2000-08-09,1763.02304571228
2000-08-10,1762.1347487273235
2000-08-11,1768.4889073491836
2000-08-14,1786.0872789996129
2000-08-15,1784.7409404339198
2000-08-16,1807.2251185416105
2000-08-17,1805.3442154350107
2000-08-18,1799.1125505097336
2000-08-21,1808.546806662322
2000-08-22,1835.9664396647265
2000-08-23,1823.3969436459906
2000-08-24,1791.30556567306
2000-08-25,1786.5122620912098
2000-08-28,1788.219143193627
2000-08-29,1793.7692902056226
2000-08-30,1782.359702612548
2000-08-31,1774.8159655308148
2000-09-01,1767.1374975827057
2000-09-04,1786.9538264481287
2000-09-05,1807.502929255674
2000-09-06,1809.7939237922137
2000-09-07,1794.5652262528797
2000-09-08,1794.4668723016694
2000-09-11,1785.0282300027013
2000-09-12,1761.814418910758
2000-09-13,1753.765348186082
2000-09-14,1740.368395798263
2000-09-15,1711.102232183398
2000-09-18,1637.9680595270042
2000-09-19,1632.9496565203906
2000-09-20,1668.2299613513205
2000-09-21,1636.7672241876223
2000-09-22,1524.409112597158
2000-09-25,1603.1710016309755
2000-09-26,1593.075276479368
2000-09-27,1606.3614683942342
2000-09-28,1601.9963134665852
2000-09-29,1622.5541953313632
2000-10-02,1593.9020862947723
2000-10-03,1617.0588726053797
2000-10-04,1628.8782983595158
2000-10-05,1646.270444539807
2000-10-06,1651.0019576543987
2000-10-09,1606.9547186589305
2000-10-10,1600.3073241725974
2000-10-11,1553.146027504297
2000-10-12,1555.984038744178
2000-10-13,1538.1814259326961
2000-10-16,1583.3770884197206
2000-10-17,1532.494971322844
2000-10-18,1516.0394380406512
2000-10-19,1525.2694275833667
2000-10-20,1584.8470235026286
2000-10-23,1579.4155027121158
2000-10-24,1592.682542938308
2000-10-25,1612.8697916914823
2000-10-26,1603.2239205300095
2000-10-27,1560.0764666668065
2000-10-30,1543.516069197813
2000-10-31,1553.9774917234572
2000-11-01,1584.6065182727748
2000-11-02,1593.5122696104925
2000-11-03,1597.1921443779343
2000-11-06,1597.3018786679968
2000-11-07,1606.7687887287398
2000-11-08,1616.1798918027005
2000-11-09,1612.288571002154
2000-11-10,1596.5020000134784
2000-11-13,1545.9643241708648
2000-11-14,1579.991250078001
2000-11-15,1575.7068844266973
2000-11-16,1574.4165038343865
2000-11-17,1565.005431968617
2000-11-20,1548.8084203133824
2000-11-21,1542.7615228972613
2000-11-22,1523.6582496958624
2000-11-23,1515.0212471674433
2000-11-24,1546.9551998613301
2000-11-27,1555.3106204564608
2000-11-28,1531.9223547095435
2000-11-29,1487.0919636314832
2000-11-30,1442.303469631823
2000-12-01,1457.1343221725745
2000-12-04,1413.8247700918737
2000-12-05,1442.6805665218985
2000-12-06,1468.8441649172144
2000-12-07,1462.6775420990457
2000-12-08,1485.9388105207747
2000-12-11,1533.874740228074
2000-12-12,1519.3788030833782
2000-12-13,1541.2876518680878
2000-12-14,1504.3627128118133
2000-12-15,1453.667055226778
2000-12-18,1457.9232286998333
2000-12-19,1463.6997938950117
2000-12-20,1412.2997322218341
2000-12-21,1384.4384756053535
2000-12-22,1364.4954892749547
2000-12-25,1364.397778287307
2000-12-26,1351.1075919603807
2000-12-27,1343.5793304853046
2000-12-28,1362.4116941584582
2000-12-29,1348.968547989903
2001-01-01,1350.2339076232147
2001-01-02,1344.275879667531
2001-01-03,1334.967689479293
2001-01-04,1406.371792631975
2001-01-05,1444.1909252362595
2001-01-08,1449.789836819308
2001-01-09,1477.5514419545748
2001-01-10,1443.716449268194
2001-01-11,1411.0553232734733
2001-01-12,1440.5354428930473
2001-01-15,1461.75774774008
2001-01-16,1478.9850081228833
2001-01-17,1492.3493182282286
2001-01-18,1488.1588470992224
2001-01-19,1542.844471815905
2001-01-22,1568.2509587920717
2001-01-23,1555.589390022243
2001-01-24,1583.7628468789615
2001-01-25,1590.2365978124833
2001-01-26,1558.330693892932
2001-01-29,1567.6490565442273
2001-01-30,1549.916928418591
2001-01-31,1587.4092309102427
2001-02-01,1564.4957564259269
2001-02-02,1580.4708184725996
2001-02-05,1518.3353911749525
2001-02-06,1535.488464045917
2001-02-07,1522.9139009488981
2001-02-08,1555.594811262872
