Date,AC ASIA PACIFIC ex JAPAN VALUE WEIGHTED
2013-09-25,1102.2505011520232
2013-09-26,1103.3917053683854
2013-09-27,1098.4697141891068
2013-09-30,1084.122125229152
2013-10-01,1087.540338819932
2013-10-02,1084.0488639706
2013-10-03,1091.137579150071
2013-10-04,1094.4001287660153
2013-10-07,1089.8248525667727
2013-10-08,1093.8137170037294
2013-10-09,1098.550896425525
2013-10-10,1098.916346799834
2013-10-11,1109.251118412462
2013-10-14,1105.3559665837422
2013-10-15,1122.886403991157
2013-10-16,1121.9497589466428
2013-10-17,1114.4600325393574
2013-10-18,1121.3832193848616
2013-10-21,1123.809780738213
2013-10-22,1117.6468166682946
2013-10-23,1106.1808360104956
2013-10-24,1102.3857598615361
2013-10-25,1097.4880293482372
2013-10-28,1104.918861830045
2013-10-29,1106.7353231155873
2013-10-30,1116.276026230456
2013-10-31,1123.5595822912137
2013-11-01,1130.5052910075378
2013-11-04,1125.1681407004783
2013-11-05,1126.4976521757212
2013-11-06,1123.3127538915523
2013-11-07,1129.5844981213038
2013-11-08,1121.4626623263573
2013-11-11,1114.8909619593808
2013-11-12,1111.34320434724
2013-11-13,1095.6260358077252
2013-11-14,1099.9517121195152
2013-11-15,1115.858184181062
2013-11-18,1128.186322137505
2013-11-19,1132.125596348289
2013-11-20,1129.7144150785402
2013-11-21,1114.497362945716
2013-11-22,1112.3214877925977
2013-11-25,1115.939318550767
2013-11-26,1111.4165585063322
2013-11-27,1110.7988746860963
2013-11-28,1112.1103303464186
2013-11-29,1115.5999584896924
2013-12-02,1120.5635948171691
2013-12-03,1111.5764942523215
2013-12-04,1105.220669967186
2013-12-05,1093.6688201940626
2013-12-06,1091.2552403563773
2013-12-09,1094.7521350445386
2013-12-10,1089.1889127362342
2013-12-11,1073.9960129246215
2013-12-12,1065.9620833263536
2013-12-13,1068.1618475251144
2013-12-16,1061.7564046743055
2013-12-17,1063.854447461843
2013-12-18,1063.9396034754257
2013-12-19,1068.5140190352136
2013-12-20,1071.7761967378274
2013-12-23,1074.4434295352526
2013-12-24,1082.6189180259892
2013-12-25,1083.000050960536
2013-12-26,1079.7119763199598
2013-12-27,1076.769963129058
2013-12-30,1076.7204405262103
2013-12-31,1082.6866960518346
2014-01-01,1082.6745215748865
2014-01-02,1083.7321001226917
2014-01-03,1072.6264371715881
2014-01-06,1061.923270684185
2014-01-07,1061.468946583481
2014-01-08,1068.218523171505
2014-01-09,1063.5567624700614
2014-01-10,1058.4529812177148
2014-01-13,1067.3935770138257
2014-01-14,1057.8574107186546
2014-01-15,1065.5684815311347
2014-01-16,1064.8987825565184
2014-01-17,1066.5470581191782
2014-01-20,1062.7446539007608
2014-01-21,1069.2906625997994
2014-01-22,1072.119716733962
2014-01-23,1047.9027326182568
2014-01-24,1038.5678275511266
