Date,CHINA A 50 CONNECT
2015-08-04,2052.2622885859337
2015-08-05,2040.1267443291215
2015-08-06,2017.6306657175292
2015-08-07,2037.003293622379
2015-08-10,2120.226907316607
2015-08-11,2057.24475640309
2015-08-12,1993.7530941382404
2015-08-13,2020.8466712675188
2015-08-14,2024.8512006121066
2015-08-17,2021.2703665397232
2015-08-18,1911.7865063360882
2015-08-19,1931.7423745408323
2015-08-20,1853.6745380444472
2015-08-21,1770.280219156426
2015-08-24,1575.7507966991009
2015-08-25,1487.4880787769373
2015-08-26,1493.154934150465
2015-08-27,1613.79710144335
2015-08-28,1679.5308669716055
2015-08-31,1717.477321180001
2015-09-01,1722.092817052318
2015-09-02,1738.7395970653945
2015-09-03,1759.7364074116085
2015-09-04,1756.728446299574
2015-09-07,1678.888182147956
2015-09-08,1706.661132528041
2015-09-09,1733.2053955812448
2015-09-10,1709.7543190251602
2015-09-11,1693.9702705469028
2015-09-14,1687.3847234422965
2015-09-15,1639.2851269181833
2015-09-16,1707.141627365397
2015-09-17,1674.0739264097174
2015-09-18,1672.542691842433
2015-09-21,1715.8778212209954
2015-09-22,1731.2307862179036
2015-09-23,1680.022269534976
2015-09-24,1666.9630903586115
2015-09-25,1666.7556647483611
2015-09-28,1658.362409528672
2015-09-29,1620.5814254358868
2015-09-30,1646.1590511183579
2015-10-01,1640.0616215734262
2015-10-02,1629.6616919966893
2015-10-05,1638.964492539684
2015-10-06,1631.4703372199829
2015-10-07,1635.2452085172793
2015-10-08,1676.3986230425999
2015-10-09,1681.1216536920613
2015-10-12,1741.3974435997795
2015-10-13,1726.79970322743
2015-10-14,1706.3692334638686
2015-10-15,1746.0136606347542
2015-10-16,1761.5561912811863
2015-10-19,1765.6979998228267
2015-10-20,1789.1591444680842
2015-10-21,1762.087206259431
2015-10-22,1798.3001594796333
2015-10-23,1830.3011808193708
2015-10-26,1834.7400165401682
2015-10-27,1827.5364036593207
2015-10-28,1796.206419207665
2015-10-29,1817.7186632515586
2015-10-30,1814.0656294004743
2015-11-02,1784.7957257231456
2015-11-03,1785.4082934159653
2015-11-04,1875.8457924506033
2015-11-05,1923.4789771634637
2015-11-06,1973.2834619258367
2015-11-09,2001.2920812098553
2015-11-10,1996.5087583932332
2015-11-11,1978.4401015277026
2015-11-12,1955.7914516529725
2015-11-13,1923.379375511426
2015-11-16,1933.1561491279422
2015-11-17,1943.5694430585847
2015-11-18,1926.6680296067132
2015-11-19,1931.65505581964
2015-11-20,1941.8921624730312
2015-11-23,1941.8879052817279
2015-11-24,1929.065585466588
2015-11-25,1946.2777617303225
2015-11-26,1936.1952501884807
2015-11-27,1840.7823219001323
2015-11-30,1847.3410357081643
2015-12-01,1854.1285876590555
2015-12-02,1938.770718883843
2015-12-03,1894.9220292038367
2015-12-04,1847.6980476176223
2015-12-07,1853.1624708678266
2015-12-08,1812.4318453962946
2015-12-09,1800.486349548789
2015-12-10,1792.9842973845348
2015-12-11,1766.3463701976696
