Date,EM LATIN AMERICA EQUAL WEIGHTED
1999-11-17,1257.9710100694372
1999-11-18,1271.4971824114098
1999-11-19,1281.9257719335176
1999-11-22,1273.7866652028497
1999-11-23,1278.1537274746427
1999-11-24,1275.8695291306028
1999-11-25,1286.6702623260846
1999-11-26,1293.8575839080893
1999-11-29,1296.1773163622781
1999-11-30,1289.4199609165503
1999-12-01,1295.9162209514532
1999-12-02,1311.8913493830596
1999-12-03,1325.6980708807594
1999-12-06,1323.6923909069324
1999-12-07,1323.3847617218314
1999-12-08,1331.3498661607166
1999-12-09,1332.627644250484
1999-12-10,1338.509661316879
1999-12-13,1341.913862441875
1999-12-14,1339.166115297548
1999-12-15,1346.6366644699606
1999-12-16,1362.9520711629557
1999-12-17,1381.123501782847
1999-12-20,1385.2352245202205
1999-12-21,1390.7844810020054
1999-12-22,1390.8291942686615
1999-12-23,1394.2784739039027
1999-12-24,1396.0769905857594
1999-12-27,1396.0516302548683
1999-12-28,1405.447070876363
1999-12-29,1427.6535009382499
1999-12-30,1439.8298830568754
1999-12-31,1439.9434981463944
2000-01-03,1436.4162096227844
2000-01-04,1382.8671357591966
2000-01-05,1396.0866402670404
2000-01-06,1392.0881985905287
2000-01-07,1423.9081416177353
2000-01-10,1451.3819673854416
2000-01-11,1432.637090697302
2000-01-12,1437.4762310539063
2000-01-13,1475.8009455719236
2000-01-14,1495.3327392996805
2000-01-17,1519.0522548815063
2000-01-18,1514.5041460138482
2000-01-19,1497.0949103803086
2000-01-20,1490.8862076033142
2000-01-21,1489.3434784562232
2000-01-24,1479.452758743329
2000-01-25,1470.9528994943332
2000-01-26,1473.7800582365799
2000-01-27,1465.8414030210997
2000-01-28,1447.0783880647969
2000-01-31,1434.8288759148475
2000-02-01,1441.738047097421
2000-02-02,1451.350600484807
2000-02-03,1482.0917618230944
2000-02-04,1505.2870483649078
2000-02-07,1516.154010781185
2000-02-08,1532.2899302905507
2000-02-09,1522.8079453363769
2000-02-10,1532.6733595856094
2000-02-11,1527.3402018183103
2000-02-14,1514.7432042353835
2000-02-15,1503.1516290434408
2000-02-16,1505.8954307217682
2000-02-17,1501.4286183155264
2000-02-18,1474.9912916533085
2000-02-21,1478.4163075895315
2000-02-22,1461.2466188169215
2000-02-23,1472.1108948500862
2000-02-24,1466.6269162519066
2000-02-25,1453.7210016205995
2000-02-28,1445.529589960483
2000-02-29,1451.8777879707848
2000-03-01,1465.0397113463778
2000-03-02,1479.8055413304094
2000-03-03,1497.6607684947007
2000-03-06,1487.019774292667
2000-03-07,1483.7336251610493
2000-03-08,1492.10824095483
2000-03-09,1497.9763312277507
2000-03-10,1486.0227156538185
2000-03-13,1457.5279218240184
2000-03-14,1448.260750626768
2000-03-15,1452.4180951375085
2000-03-16,1463.2812556955441
2000-03-17,1462.455859902348
2000-03-20,1456.6493405761314
2000-03-21,1460.9692066428738
2000-03-22,1456.7339775105515
2000-03-23,1463.4085974016805
2000-03-24,1466.81123301156
2000-03-27,1472.670661903303
2000-03-28,1451.9995760710372
2000-03-29,1441.5710890418761
2000-03-30,1430.8435365953048
2000-03-31,1435.1812813789918
2000-04-03,1423.499990799502
2000-04-04,1399.6142491291062
2000-04-05,1398.572462577276
2000-04-06,1414.1685884791661
2000-04-07,1432.9272014761464
2000-04-10,1413.6583582989604
2000-04-11,1402.6984386215563
2000-04-12,1385.1197102956435
2000-04-13,1364.866157329208
2000-04-14,1315.9452259734585
2000-04-17,1302.4503377372268
2000-04-18,1332.340191643303
2000-04-19,1313.6078743923742
2000-04-20,1321.221619714335
2000-04-21,1321.221619714335
2000-04-24,1312.6925739092526
2000-04-25,1336.44535206516
2000-04-26,1327.6687487590007
2000-04-27,1326.1857139178896
2000-04-28,1333.2754310350526
2000-05-01,1335.5686435313123
2000-05-02,1340.7096332487617
2000-05-03,1312.4252675482844
2000-05-04,1314.5349967237216
2000-05-05,1315.4107504796702
2000-05-08,1296.6795624220088
2000-05-09,1285.832317950303
2000-05-10,1264.79161198319
2000-05-11,1263.1142208377462
2000-05-12,1273.921367483943
2000-05-15,1298.3270700076037
2000-05-16,1303.9269409847282
2000-05-17,1283.1493804382646
2000-05-18,1271.2040931057472
2000-05-19,1239.2706976506365
2000-05-22,1223.0681717385387
2000-05-23,1214.5323223500397
2000-05-24,1234.2947220567298
2000-05-25,1226.5945281687166
2000-05-26,1233.4562401755275
2000-05-29,1242.6066538365221
2000-05-30,1266.4078628113132
2000-05-31,1261.5182068503882
2000-06-01,1279.3362077275556
2000-06-02,1309.3082437435503
2000-06-05,1301.5393904679945
2000-06-06,1279.1340267323656
2000-06-07,1283.22983260846
2000-06-08,1275.7749236719708
2000-06-09,1281.2214170108086
2000-06-12,1281.2397571852625
2000-06-13,1294.7609325673532
2000-06-14,1302.1347059848279
2000-06-15,1293.0463858705655
2000-06-16,1286.4735777232947
2000-06-19,1292.9941462919144
2000-06-20,1289.666516851037
2000-06-21,1297.642639150074
2000-06-22,1291.4434612147265
2000-06-23,1279.1744763218733
2000-06-26,1276.3782464835933
2000-06-27,1279.3503530571068
2000-06-28,1284.197128361392
2000-06-29,1286.8702106628512
2000-06-30,1306.9389089899428
2000-07-03,1331.8593152451706
2000-07-04,1346.3909799650185
2000-07-05,1343.9212935591966
2000-07-06,1346.8593075301467
2000-07-07,1362.0590752591024
2000-07-10,1369.0893023512917
2000-07-11,1353.3110699272452
2000-07-12,1366.2397775318527
2000-07-13,1351.8420004026766
2000-07-14,1369.3761882996157
2000-07-17,1377.6504613772356
2000-07-18,1371.2268533093795
2000-07-19,1345.8199097798315
2000-07-20,1360.3194719636942
2000-07-21,1361.7648658975263
2000-07-24,1357.381017172282
2000-07-25,1353.18198737909
2000-07-26,1344.9520197243296
2000-07-27,1337.0063885366226
2000-07-28,1317.6588639590702
2000-07-31,1321.9675869572068
2000-08-01,1321.3504090575204
2000-08-02,1328.406960293655
2000-08-03,1331.396406523626
2000-08-04,1335.7601389373433
2000-08-07,1341.8733517724434
2000-08-08,1336.0243363596537
2000-08-09,1331.7949783450385
2000-08-10,1330.5439699972749
2000-08-11,1346.0767335149728
2000-08-14,1354.6300938035142
2000-08-15,1347.301661298774
2000-08-16,1334.9844219677261
2000-08-17,1346.6539130937865
2000-08-18,1332.2481716727023
2000-08-21,1319.690793886861
2000-08-22,1321.5611139967746
2000-08-23,1322.1481081138184
2000-08-24,1320.1668131541849
2000-08-25,1320.4857648788736
2000-08-28,1322.2576230528587
2000-08-29,1319.1220628375647
2000-08-30,1326.814286723253
2000-08-31,1328.9383541875154
2000-09-01,1336.8944223812066
2000-09-04,1337.077733322032
2000-09-05,1330.8043979761767
2000-09-06,1332.2535291607803
2000-09-07,1331.2894563975399
2000-09-08,1327.36421015232
2000-09-11,1322.8380913446824
2000-09-12,1315.3306468082424
2000-09-13,1319.3424308079314
2000-09-14,1321.0223811102985
2000-09-15,1319.6612656986163
2000-09-18,1289.2694976517741
2000-09-19,1291.3533335684447
