Date,PACIFIC SMALL GROWTH
2012-07-11,924.55835382007
2012-07-12,920.9402908173761
2012-07-13,923.9605400817145
2012-07-16,929.5627729257186
2012-07-17,929.4850264801838
2012-07-18,920.3550419969877
2012-07-19,932.0178088580017
2012-07-20,930.7312400519936
2012-07-23,914.4486520406966
2012-07-24,916.4695811435423
2012-07-25,905.2379783528279
2012-07-26,905.1983913417952
2012-07-27,904.2952197855666
2012-07-30,925.124837852371
2012-07-31,924.2595532866982
2012-08-01,920.5609824475091
2012-08-02,930.8338441501512
2012-08-03,904.7762297449826
2012-08-06,914.9401729814706
2012-08-07,916.2748931249344
2012-08-08,928.3459063582327
2012-08-09,933.3761553675537
2012-08-10,936.537157139375
2012-08-13,934.4451140373649
2012-08-14,939.3787132709283
2012-08-15,941.0049101598192
2012-08-16,938.7582292285593
2012-08-17,947.8178185192348
2012-08-20,948.4115922534154
2012-08-21,942.8102810175543
2012-08-22,939.5766603393896
2012-08-23,943.2310640226801
2012-08-24,937.3690585114684
2012-08-27,938.0685415542308
2012-08-28,928.293550136036
2012-08-29,930.8046256126678
2012-08-30,925.0706343427879
2012-08-31,913.8299591289938
2012-09-03,914.6093618418788
2012-09-04,911.5953733518725
2012-09-05,898.6162405312994
2012-09-06,898.4036763525528
2012-09-07,906.0001681794308
2012-09-10,911.1142134352376
2012-09-11,908.8462408638813
2012-09-12,915.1970741505168
2012-09-13,917.5986124400825
2012-09-14,908.3285873466411
2012-09-17,904.8242959063153
2012-09-18,909.3314932325488
2012-09-19,918.0300274008906
2012-09-20,916.0374439375989
2012-09-21,920.2550601040875
2012-09-24,926.0224472918368
2012-09-25,927.1257834115978
2012-09-26,930.4043570826889
2012-09-27,934.2360043372155
2012-09-28,931.7899183863104
2012-10-01,918.6438387260828
2012-10-02,914.0072058926157
2012-10-03,904.4934496087817
2012-10-04,907.071152808807
2012-10-05,908.5760636360604
2012-10-08,916.2357837060334
2012-10-09,917.3836234139945
2012-10-10,907.6793846146713
2012-10-11,899.6789322754622
2012-10-12,901.9879114171504
2012-10-15,902.3336548211649
2012-10-16,901.749055341131
2012-10-17,908.6782714950867
2012-10-18,915.4737495322424
2012-10-19,919.2622387943196
2012-10-22,915.34458154336
2012-10-23,920.8702612315924
2012-10-24,916.992693531009
2012-10-25,920.7896037839031
2012-10-26,920.4620778609909
2012-10-29,921.3202682728271
2012-10-30,912.8643706691107
2012-10-31,917.7186036366211
2012-11-01,919.5078999941256
2012-11-02,931.4134599538892
2012-11-05,932.216585864226
2012-11-06,927.0962890024656
2012-11-07,934.6300039764977
2012-11-08,928.6550929602291
2012-11-09,929.2471707887285
2012-11-12,923.9863625646439
2012-11-13,918.235736179375
2012-11-14,911.565426398757
2012-11-15,903.4448555412263
2012-11-16,912.2861010521449
2012-11-19,916.6793552013636
2012-11-20,916.5060390040204
2012-11-21,911.3589568471851
2012-11-22,912.8467311528086
2012-11-23,909.5972167678129
2012-11-26,913.6592573401932
2012-11-27,919.6510838931088
2012-11-28,917.6655389871062
2012-11-29,918.192136580336
2012-11-30,914.8850146516938
2012-12-03,909.9596851368102
2012-12-04,914.4209323795282
2012-12-05,912.6109374638722
2012-12-06,922.2822118386173
2012-12-07,927.0356501517431
2012-12-10,926.6740863681139
2012-12-11,921.4911910756387
2012-12-12,920.4035722517809
2012-12-13,915.0245181607987
2012-12-14,914.4267087222489
2012-12-17,909.7901168062647
2012-12-18,910.3215704359343
2012-12-19,913.4169244365967
2012-12-20,912.1384722725081
2012-12-21,914.1964218211695
2012-12-24,907.5858860924538
2012-12-25,909.9004123191161
2012-12-26,908.6459178743984
2012-12-27,910.1235934942016
2012-12-28,912.6561984400107
2012-12-31,912.3858116897651
2013-01-01,912.3858116897651
2013-01-02,913.1466501031396
2013-01-03,930.5804701419933
2013-01-04,934.4476172063783
2013-01-07,935.3995857746897
2013-01-08,936.3004009784581
2013-01-09,941.1792138747236
2013-01-10,932.616609020171
2013-01-11,920.8473384678198
2013-01-14,918.555325466778
2013-01-15,926.8785872153114
2013-01-16,926.5313020895412
2013-01-17,915.87518816535
2013-01-18,927.8214898891152
2013-01-21,928.3884045189938
2013-01-22,935.7308488088325
2013-01-23,932.5965237980308
2013-01-24,921.417667783971
2013-01-25,917.2827069713334
2013-01-28,921.136271303263
2013-01-29,918.8148588412346
2013-01-30,918.904054415785
2013-01-31,920.1304399910124
2013-02-01,907.3385077441542
2013-02-04,917.2774200518313
2013-02-05,907.0534940035437
2013-02-06,913.4073656105202
2013-02-07,924.6308533997556
2013-02-08,925.8433471678065
2013-02-11,921.078835454742
2013-02-12,919.8411430251831
2013-02-13,914.5999563079188
2013-02-14,927.297945537635
2013-02-15,915.2166254640604
2013-02-18,924.0723491214371
2013-02-19,930.4793506123978
2013-02-20,932.7135394255293
2013-02-21,939.2629995177246
2013-02-22,947.7930716070625
2013-02-25,949.2512241924107
2013-02-26,964.0823261208259
2013-02-27,960.1315892683544
2013-02-28,972.2554554221729
2013-03-01,975.0418821977754
2013-03-04,976.6354094551557
2013-03-05,980.2570989138135
2013-03-06,991.6961769096828
2013-03-07,977.0361007021573
2013-03-08,981.4006340464283
2013-03-11,986.2777916650966
2013-03-12,981.5235424957064
2013-03-13,986.0894480042991
2013-03-14,990.8620817041888
2013-03-15,1004.9777477083481
2013-03-18,1001.3422406882596
2013-03-19,1014.7770981745466
2013-03-20,1005.4262664670771
2013-03-21,1024.623282137681
2013-03-22,1015.1215264302647
2013-03-25,1030.7804399382899
2013-03-26,1036.2947219248092
2013-03-27,1051.0697503644706
2013-03-28,1044.6354003030335
2013-03-29,1042.8303170519937
2013-04-01,1017.887801048672
2013-04-02,1014.7264506162251
2013-04-03,1028.3073694746306
2013-04-04,1013.3469410115781
2013-04-05,1007.1012667340307
2013-04-08,1015.0896633822337
2013-04-09,1014.169599043907
2013-04-10,1013.9722739120862
2013-04-11,1014.5367218918959
2013-04-12,1020.4852318032648
2013-04-15,1012.4429518181232
2013-04-16,1003.325440341351
2013-04-17,1024.3570134112385
2013-04-18,1007.7515646612926
2013-04-19,1010.0974313922853
2013-04-22,1028.7512628016825
2013-04-23,1034.757640293202
2013-04-24,1053.3844514859736
2013-04-25,1058.4133543890894
2013-04-26,1061.8143726255585
2013-04-29,1052.4913062931405
2013-04-30,1061.3913939829354
2013-05-01,1058.4195827628712
2013-05-02,1061.2563100226935
2013-05-03,1053.8601460497753
2013-05-06,1059.707554754896
2013-05-07,1081.6380506499347
2013-05-08,1085.9639625670695
2013-05-09,1083.4700443184681
2013-05-10,1083.1583777194905
2013-05-13,1085.113002089288
2013-05-14,1087.7767772614513
2013-05-15,1082.5794688041935
2013-05-16,1067.3296239659223
2013-05-17,1080.1142973382568
2013-05-20,1089.2159433795716
2013-05-21,1079.4352889605796
2013-05-22,1069.082615886915
2013-05-23,1023.8800587736758
2013-05-24,1030.1028026483104
2013-05-27,1011.4356932550547
2013-05-28,1016.3729119216301
2013-05-29,1029.0080514324484
2013-05-30,996.1944575243092
2013-05-31,1009.9565335135921
2013-06-03,992.9480790853327
2013-06-04,994.7366663884769
2013-06-05,983.1435031864676
2013-06-06,949.6989059526195
2013-06-07,938.9380313926766
2013-06-10,965.5829434929173
2013-06-11,966.0917131599023
2013-06-12,971.0895880092362
2013-06-13,951.4535348284867
2013-06-14,958.310894159797
2013-06-17,975.1466695869419
2013-06-18,967.4947646618484
2013-06-19,980.6087318430478
2013-06-20,955.1063269925877
2013-06-21,964.169329493447
2013-06-24,959.1080092809258
2013-06-25,949.2440195395449
2013-06-26,945.9265341431516
2013-06-27,958.4745508529967
2013-06-28,973.7048867536242
2013-07-01,979.8718729832988
2013-07-02,991.9901092796719
2013-07-03,999.3181059999382
2013-07-04,1009.4056858832002
2013-07-05,1017.2108046229873
2013-07-08,1008.0342076998944
2013-07-09,1028.3213276923434
2013-07-10,1026.8157718145908
2013-07-11,1030.3681225710961
2013-07-12,1027.4989808520338
2013-07-15,1025.9432257550372
2013-07-16,1028.995274964482
2013-07-17,1029.2615171236089
2013-07-18,1025.9426371815002
2013-07-19,1015.9164706890854
2013-07-22,1027.1945176344043
2013-07-23,1024.821460615391
2013-07-24,1020.3517843283192
2013-07-25,1015.2753576270085
2013-07-26,1010.0563274821116
2013-07-29,986.538428225647
2013-07-30,997.9110682788411
2013-07-31,981.3211078042515
2013-08-01,991.4999103385505
2013-08-02,1011.1552229481653
2013-08-05,1015.5889807139121
2013-08-06,1020.1810181659957
2013-08-07,1004.3105724258771
2013-08-08,998.8739284768675
2013-08-09,1000.6408993867035
2013-08-12,997.6487162853823
2013-08-13,1006.3658863356125
2013-08-14,1013.4785018827849
2013-08-15,1004.099944772966
2013-08-16,999.5750413685349
2013-08-19,1001.9089582436583
2013-08-20,987.693776081282
2013-08-21,986.0468840489054
2013-08-22,980.4577949004034
2013-08-23,987.6882051872842
2013-08-26,991.2372920360466
2013-08-27,990.247696021195
2013-08-28,973.6643995054724
2013-08-29,979.8969109621484
2013-08-30,983.0646834448132
2013-09-02,988.9502227034359
2013-09-03,1004.6983446782494
2013-09-04,1012.0053852495568
2013-09-05,1013.3693923497757
2013-09-06,1012.9204533175615
2013-09-09,1023.34155076202
2013-09-10,1026.6111506614561
2013-09-11,1028.4007208244584
2013-09-12,1032.97625846074
2013-09-13,1037.325979202993
2013-09-16,1039.8764492462012
2013-09-17,1040.6779867420585
2013-09-18,1048.7000433408919
2013-09-19,1052.3214793898926
2013-09-20,1052.973068182496
2013-09-23,1060.7107780702331
2013-09-24,1059.5349102056905
2013-09-25,1053.133957951787
2013-09-26,1065.3753643778882
2013-09-27,1066.958578657835
2013-09-30,1058.646402369895
2013-10-01,1058.309141093815
2013-10-02,1046.9761665174997
2013-10-03,1041.3367308883771
2013-10-04,1034.8599785946953
2013-10-07,1017.0754162716381
2013-10-08,1021.269836521316
2013-10-09,1034.9665543987417
2013-10-10,1034.117498101327
2013-10-11,1044.4152711809202
