Date,WORLD ex UK SMALL GROWTH
2018-11-12,2389.822394663568
2018-11-13,2371.971934820094
2018-11-14,2350.6122321805287
2018-11-15,2372.1447019522293
2018-11-16,2362.3758806776864
2018-11-19,2305.935558422217
2018-11-20,2274.862383773064
2018-11-21,2300.799419955418
2018-11-22,2303.262804113258
2018-11-23,2317.907756178762
2018-11-26,2342.9017546635882
2018-11-27,2337.2113461700474
2018-11-28,2390.2784672033563
2018-11-29,2377.004852503111
2018-11-30,2398.267246939984
2018-12-03,2426.5815685283187
2018-12-04,2350.031590915262
2018-12-05,2343.1865787586535
2018-12-06,2315.996999443483
2018-12-07,2282.8853723576726
2018-12-10,2266.037261103014
2018-12-11,2272.768235156909
2018-12-12,2296.3716951143115
2018-12-13,2278.8106654871
2018-12-14,2252.9279142589207
2018-12-17,2203.008547234595
2018-12-18,2188.793908987245
2018-12-19,2156.1337397846023
2018-12-20,2110.3173482386806
2018-12-21,2067.2748551146524
2018-12-24,2044.6204802330274
2018-12-25,2030.1912110507296
2018-12-26,2100.444377341732
2018-12-27,2122.1030221096403
2018-12-28,2127.5367114406067
2018-12-31,2150.0811330278307
2019-01-01,2150.1365863309798
2019-01-02,2161.8086933936997
2019-01-03,2122.8383626286786
2019-01-04,2175.924539824937
2019-01-07,2208.533253615949
2019-01-08,2241.3055859650667
2019-01-09,2255.5549315973353
2019-01-10,2260.12346277489
2019-01-11,2268.5592384096153
2019-01-14,2252.5364465903353
2019-01-15,2278.9130509014963
2019-01-16,2293.893958222907
2019-01-17,2310.6733526923495
2019-01-18,2341.9944098356
2019-01-21,2344.063480623652
2019-01-22,2315.6236299093116
2019-01-23,2306.339001710138
2019-01-24,2327.3947907976567
2019-01-25,2347.5012924158336
2019-01-28,2329.258450168688
2019-01-29,2331.226442676134
2019-01-30,2344.0228104552157
2019-01-31,2363.5465516466843
2019-02-01,2370.0838116440927
2019-02-04,2400.538621406005
2019-02-05,2416.389465491101
2019-02-06,2420.4458149212555
2019-02-07,2398.6587041678995
2019-02-08,2398.926372963866
2019-02-11,2420.0569233107603
2019-02-12,2451.1117806540988
2019-02-13,2465.6968475150375
2019-02-14,2473.131593963603
2019-02-15,2498.6819849604153
2019-02-18,2498.886292456429
2019-02-19,2494.0876799087832
2019-02-20,2499.6513903571886
2019-02-21,2494.8904641439035
2019-02-22,2515.295305363456
2019-02-25,2522.767418102554
2019-02-26,2509.4581226272608
2019-02-27,2510.9109227427207
2019-02-28,2498.3731008063514
2019-03-01,2519.62411468999
2019-03-04,2519.6038746250897
2019-03-05,2514.424766547211
2019-03-06,2481.6050969990424
2019-03-07,2481.340544365852
2019-03-08,2467.5258400658095
2019-03-11,2503.077880723879
2019-03-12,2504.1370606892324
2019-03-13,2505.0665264356153
2019-03-14,2499.9725370216875
2019-03-15,2507.099639977635
2019-03-18,2517.5059714609188
2019-03-19,2516.8009648268026
2019-03-20,2502.8671713188996
2019-03-21,2529.28735157294
2019-03-22,2486.5157434187536
2019-03-25,2471.6171288563564
2019-03-26,2504.1072206276676
2019-03-27,2496.320986413749
2019-03-28,2511.773895329193
2019-03-29,2531.3189258353245
2019-04-01,2558.32690575233
2019-04-02,2563.0349954928424
2019-04-03,2574.8878258942077
2019-04-04,2571.945283687153
2019-04-05,2585.7638897474867
2019-04-08,2579.323068512528
2019-04-09,2559.9505778871294
2019-04-10,2583.2822651518204
2019-04-11,2575.649108886883
2019-04-12,2578.1511988010698
2019-04-15,2584.6581873757614
2019-04-16,2585.810471961138
2019-04-17,2562.875840743852
2019-04-18,2570.337952568679
2019-04-19,2572.3954647594055
2019-04-22,2569.5317900039868
2019-04-23,2606.609407768779
2019-04-24,2611.0532684729305
2019-04-25,2615.6037171511107
2019-04-26,2628.403993857669
2019-04-29,2630.911956663225
2019-04-30,2617.5881244953325
2019-05-01,2592.897621624663
2019-05-02,2605.568553883522
2019-05-03,2637.145998106448
2019-05-06,2629.6807118871675
2019-05-07,2593.1120853324055
2019-05-08,2580.7857845331832
2019-05-09,2557.735705271573
2019-05-10,2560.4353233555667
2019-05-13,2496.1346032122656
2019-05-14,2522.8334711390708
2019-05-15,2538.8500513881304
2019-05-16,2563.7112296018695
2019-05-17,2548.8237125450573
2019-05-20,2525.0355828651473
2019-05-21,2545.0760545688217
2019-05-22,2543.37294037287
2019-05-23,2508.0335712192173
2019-05-24,2513.0063721317647
2019-05-27,2516.349144312319
2019-05-28,2515.933855454153
2019-05-29,2493.903247621058
2019-05-30,2496.362416030578
2019-05-31,2472.564670097908
2019-06-03,2453.571684537787
2019-06-04,2493.646887603008
2019-06-05,2504.464036714288
2019-06-06,2501.060338052128
2019-06-07,2513.3745688989225
2019-06-10,2532.0938017976864
2019-06-11,2531.653459543556
2019-06-12,2533.0344036774063
2019-06-13,2552.230333193147
2019-06-14,2545.8281521615286
2019-06-17,2553.5377437208645
2019-06-18,2582.926111351934
2019-06-19,2593.1356372367663
2019-06-20,2601.1747095496985
2019-06-21,2577.552833341023
2019-06-24,2547.7930694109987
2019-06-25,2534.33815680913
2019-06-26,2526.583432596321
2019-06-27,2563.052782194338
2019-06-28,2586.0370095403405
2019-07-01,2618.800658612762
2019-07-02,2625.050769311789
2019-07-03,2645.6943794816975
2019-07-04,2649.9956797339664
2019-07-05,2656.9482771039457
2019-07-08,2635.9282838073937
2019-07-09,2634.842136398034
2019-07-10,2633.177646249275
2019-07-11,2634.1254202280456
2019-07-12,2648.151121856871
2019-07-15,2647.514524895213
2019-07-16,2652.181549825866
2019-07-17,2642.610497552925
2019-07-18,2641.6980397044986
2019-07-19,2643.7848228793646
2019-07-22,2644.5182237115578
2019-07-23,2672.0009372705154
2019-07-24,2703.8139825560797
2019-07-25,2686.0264832012144
2019-07-26,2709.0764370521165
2019-07-29,2696.8900447571305
2019-07-30,2702.543752560314
2019-07-31,2684.0520515477274
2019-08-01,2684.406091752245
2019-08-02,2644.426385396849
2019-08-05,2561.073895803055
2019-08-06,2578.1758119861606
2019-08-07,2580.78142558357
2019-08-08,2628.4435544873077
2019-08-09,2608.9838445539904
2019-08-12,2579.3738582890724
2019-08-13,2599.103342872806
2019-08-14,2553.208835996737
2019-08-15,2548.0471713732704
2019-08-16,2584.3445357289884
2019-08-19,2608.1975070082017
2019-08-20,2605.0867372204248
2019-08-21,2623.2775036155076
2019-08-22,2618.283064233286
2019-08-23,2569.65071733948
2019-08-26,2573.4336686087704
2019-08-27,2568.1576081061908
2019-08-28,2584.0965664628557
2019-08-29,2610.9451330457982
2019-08-30,2633.092169836651
2019-09-02,2638.7515352962623
2019-09-03,2617.8164634698933
2019-09-04,2623.1412541435075
2019-09-05,2653.667040012452
2019-09-06,2648.8185818657466
2019-09-09,2643.9024196859673
2019-09-10,2643.6744053140014
2019-09-11,2684.609049064188
2019-09-12,2680.8726871203025
2019-09-13,2673.8592746513677
2019-09-16,2694.816010196233
2019-09-17,2685.9738297515178
2019-09-18,2675.8991868492035
2019-09-19,2680.0214037193873
2019-09-20,2688.051659195238
2019-09-23,2688.2796433778403
2019-09-24,2666.7763833551876
2019-09-25,2678.7182206131006
2019-09-26,2668.417364711704
2019-09-27,2644.606730320395
2019-09-30,2662.0109497935014
2019-10-01,2630.649341068883
2019-10-02,2595.753535282842
2019-10-03,2598.0654261787918
2019-10-04,2625.269572330538
2019-10-07,2621.6000471436255
2019-10-08,2599.307202571889
2019-10-09,2608.2810258202753
2019-10-10,2605.384561433938
2019-10-11,2630.518702493591
2019-10-14,2627.637625526776
2019-10-15,2648.8095684319574
2019-10-16,2642.259949181789
2019-10-17,2647.5344659821462
2019-10-18,2628.053734168045
2019-10-21,2638.736865093589
2019-10-22,2630.572009222272
2019-10-23,2634.135106106313
2019-10-24,2648.1550990030346
2019-10-25,2665.0722972322374
2019-10-28,2677.3612836883203
2019-10-29,2675.290678942374
2019-10-30,2675.1942926293873
2019-10-31,2660.6092586611594
2019-11-01,2690.969080398259
2019-11-04,2700.5973230841305
2019-11-05,2719.751943987416
2019-11-06,2710.999440345107
2019-11-07,2726.0114136107713
2019-11-08,2739.6294951396967
2019-11-11,2739.2106388599545
2019-11-12,2750.2128528795265
2019-11-13,2748.2357135929756
2019-11-14,2750.5238703989253
2019-11-15,2761.253099849413
2019-11-18,2755.609400521307
