Date,GERMANY MOMENTUM
2011-10-14,1903.2752472133623
2011-10-17,1861.782477279911
2011-10-18,1872.8715750047597
2011-10-19,1888.0811925235132
2011-10-20,1854.4604960687548
2011-10-21,1944.372609503468
2011-10-24,1962.7136055241003
2011-10-25,1959.6672530450496
2011-10-26,1940.1223098472947
2011-10-27,2053.9647664377003
2011-10-28,2084.6598237349135
2011-10-31,1997.6713412034953
2011-11-01,1887.1100792700367
2011-11-02,1948.5574776773592
2011-11-03,1986.316232549182
2011-11-04,1959.0247500431688
2011-11-07,1943.2313799591552
2011-11-08,1968.424422020838
2011-11-09,1901.8275880454653
2011-11-10,1906.833558551312
2011-11-11,1972.9366640186029
2011-11-14,1944.1391989694437
2011-11-15,1920.8771397162707
2011-11-16,1906.5437567520758
2011-11-17,1884.2074251079655
2011-11-18,1860.5157470765882
2011-11-21,1797.4704932855175
2011-11-22,1797.057981810647
2011-11-23,1760.3488581829133
2011-11-24,1747.0352279108436
2011-11-25,1752.8494817821502
2011-11-28,1824.4300940028168
2011-11-29,1830.1519317448588
2011-11-30,1934.4244564399016
2011-12-01,1922.6440702542986
2011-12-02,1925.6040863248618
2011-12-05,1928.2037821237604
2011-12-06,1902.233872850476
2011-12-07,1896.4122767685762
2011-12-08,1860.6616456286079
2011-12-09,1878.9988051953444
2011-12-12,1814.5733745559917
2011-12-13,1802.5789248603264
2011-12-14,1751.2833938429646
2011-12-15,1773.543293109201
2011-12-16,1774.0971074675858
2011-12-19,1769.7326858431472
2011-12-20,1826.432478468355
2011-12-21,1800.1402687327045
2011-12-22,1813.7636187443336
2011-12-23,1817.6781727917576
2011-12-26,1817.6781727917576
2011-12-27,1824.2132766343937
2011-12-28,1783.614605658107
2011-12-29,1791.8437626829239
2011-12-30,1812.2242785626468
2012-01-02,1854.5339669238035
2012-01-03,1885.768116282631
2012-01-04,1869.6861484284716
2012-01-05,1865.9465657414946
2012-01-06,1845.0819844924026
2012-01-09,1848.7986612686439
2012-01-10,1884.6771223064497
2012-01-11,1870.7677276907962
2012-01-12,1887.712570052532
2012-01-13,1854.8223498254702
2012-01-16,1876.3245227473428
2012-01-17,1915.4298760633
2012-01-18,1941.546854498069
2012-01-19,1961.6783864557028
2012-01-20,1962.6164995048175
2012-01-23,1988.6140548336023
2012-01-24,1982.0735399004395
2012-01-25,1986.4703235138325
2012-01-26,2046.9454789805145
2012-01-27,2028.790079827932
2012-01-30,2020.7194339941457
2012-01-31,2022.9668369079225
2012-02-01,2077.7972305103367
2012-02-02,2081.1120750777545
2012-02-03,2106.0957309459186
2012-02-06,2100.010071412382
2012-02-07,2113.062315102964
2012-02-08,2102.4684743962475
2012-02-09,2127.332682553266
2012-02-10,2092.4418440457516
2012-02-13,2113.454810820093
2012-02-14,2096.1160603592525
2012-02-15,2107.585810864339
2012-02-16,2096.4566779878205
2012-02-17,2133.4313246197767
2012-02-20,2170.7783017908455
2012-02-21,2160.547273632319
2012-02-22,2144.572934762987
2012-02-23,2150.699408920438
2012-02-24,2180.0647295925114
2012-02-27,2163.1282046862425
2012-02-28,2185.3492206181418
2012-02-29,2166.4802644601955
2012-03-01,2186.2742590844655
2012-03-02,2162.782003697039
2012-03-05,2161.453877762079
2012-03-06,2072.9747000662983
2012-03-07,2082.225930198949
2012-03-08,2154.610513992156
2012-03-09,2155.9217512882474
2012-03-12,2162.3962724561234
2012-03-13,2177.8160649792308
2012-03-14,2181.4832755719035
2012-03-15,2190.237120318738
2012-03-16,2200.6095879160453
2012-03-19,2202.2872366960905
2012-03-20,2161.3950365177825
2012-03-21,2163.3929531644003
2012-03-22,2142.949416192365
2012-03-23,2159.849547897306
2012-03-26,2202.428132953393
2012-03-27,2200.6474647897776
2012-03-28,2180.3982139033533
2012-03-29,2150.285434092853
2012-03-30,2183.9071638450455
2012-04-02,2229.0996974815203
2012-04-03,2216.6199853971325
2012-04-04,2115.963535401115
2012-04-05,2107.818240578578
2012-04-06,2107.8182405785774
2012-04-09,2109.028424824488
2012-04-10,2064.899220220937
2012-04-11,2091.185542795103
2012-04-12,2136.585973734704
2012-04-13,2082.1512251132767
2012-04-16,2099.4911673699535
2012-04-17,2148.6471956978407
2012-04-18,2132.4808681217382
2012-04-19,2124.9974498658903
2012-04-20,2149.9994755211087
2012-04-23,2072.203201905609
2012-04-24,2098.994707100644
2012-04-25,2134.3363046638588
2012-04-26,2175.4835603636934
2012-04-27,2201.6155214626174
2012-04-30,2201.9949954959093
2012-05-01,2200.248106639977
2012-05-02,2180.300662883323
2012-05-03,2185.787802559156
2012-05-04,2132.614427932319
2012-05-07,2117.718264338572
2012-05-08,2066.282294582556
2012-05-09,2065.7544012857143
2012-05-10,2065.698251449925
2012-05-11,2086.143694276792
2012-05-14,2041.0117107162255
2012-05-15,2026.3387084103522
