Date,WORLD ex UK VALUE WEIGHTED
1998-06-19,594.3431083
1998-06-22,589.0242857
1998-06-23,592.0886097
1998-06-24,595.3284716
1998-06-25,597.8262837
1998-06-26,596.5991308
1998-06-29,600.2213799
1998-06-30,603.7820575
1998-07-01,613.0807499
1998-07-02,612.2454726
1998-07-03,614.1918764
1998-07-06,616.2686703
1998-07-07,617.401059
1998-07-08,620.4577289
1998-07-09,614.5222565
1998-07-10,613.027915
1998-07-13,615.1176558
1998-07-14,622.437147
1998-07-15,622.6244273
1998-07-16,626.9685428
1998-07-17,629.6293051
1998-07-20,630.4343286
1998-07-21,622.5731158
1998-07-22,617.3993161
1998-07-23,608.9157428
1998-07-24,609.8050238
1998-07-27,604.9241277
1998-07-28,601.873439
1998-07-29,599.1927615
1998-07-30,605.4197623
1998-07-31,598.8777279
1998-08-03,590.2093849
1998-08-04,579.1656941
1998-08-05,579.3878932
1998-08-06,577.0048611
1998-08-07,577.9441419
1998-08-10,571.0192731
1998-08-11,558.9884789
1998-08-12,567.0743324
1998-08-13,562.2524929
1998-08-14,560.1365698
1998-08-17,563.9471035
1998-08-18,573.8626637
1998-08-19,575.716497
1998-08-20,572.4901478
1998-08-21,560.4045757
1998-08-24,561.1208997
1998-08-25,564.4240386
1998-08-26,555.8369035
1998-08-27,536.5591453
1998-08-28,530.9894756
1998-08-31,515.3946793
1998-09-01,525.8088886
1998-09-02,529.5075519
1998-09-03,527.626907
1998-09-04,526.048138
1998-09-07,536.5853992
1998-09-08,550.8601707
1998-09-09,540.3384895
1998-09-10,530.6453908
1998-09-11,535.4107789
1998-09-14,544.8198292
1998-09-15,548.1328717
1998-09-16,551.0363694
1998-09-17,538.9064472
1998-09-18,536.1223402
1998-09-21,529.3498285
1998-09-22,533.0060705
1998-09-23,545.2363087
1998-09-24,541.9374072
1998-09-25,538.9731566
1998-09-28,542.5539024
1998-09-29,542.998814
1998-09-30,526.9678407
1998-10-01,513.0720049
1998-10-02,516.247527
1998-10-05,509.5978745
1998-10-06,515.2876959
1998-10-07,524.4661792
1998-10-08,517.4082648
1998-10-09,524.851185
1998-10-12,536.8818014
1998-10-13,535.9798604
1998-10-14,539.1603125
1998-10-15,554.0859853
1998-10-16,565.5855004
1998-10-19,568.2949237
1998-10-20,572.5254627
1998-10-21,573.116407
1998-10-22,573.5336731
1998-10-23,570.8916164
1998-10-26,569.9355662
1998-10-27,570.7804232
1998-10-28,567.766139
1998-10-29,575.1583502
1998-10-30,581.9513871
1998-11-02,594.1373061
1998-11-03,593.3729079
1998-11-04,602.3602529
1998-11-05,604.4101489
1998-11-06,602.5920005
1998-11-09,592.1817736
1998-11-10,586.9625302
1998-11-11,590.5036626
1998-11-12,584.7904468
1998-11-13,590.2889115
1998-11-16,601.1298958
1998-11-17,599.5899761
1998-11-18,601.5642208
1998-11-19,606.7413082
1998-11-20,613.7968708
1998-11-23,622.1737341
1998-11-24,623.3866838
1998-11-25,622.1669292
1998-11-26,625.843057
1998-11-27,626.373331
1998-11-30,614.295129
1998-12-01,610.7393266
1998-12-02,610.5467047
1998-12-03,606.6398573
1998-12-04,612.0441497
1998-12-07,614.221263
1998-12-08,614.0978332
1998-12-09,617.5150184
1998-12-10,613.0461129
1998-12-11,607.7506993
1998-12-14,600.7792332
1998-12-15,603.7085174
1998-12-16,605.9644358
1998-12-17,612.9318395
1998-12-18,614.4567359
1998-12-21,620.0279475
1998-12-22,617.449649
1998-12-23,626.4900007
1998-12-24,625.5218945
1998-12-25,626.4270075
1998-12-28,627.2354133
1998-12-29,633.0453177
1998-12-30,631.017462
1998-12-31,632.9466558
1999-01-01,632.9468179
1999-01-04,640.1929998
1999-01-05,645.4419701
1999-01-06,656.9963812
1999-01-07,657.2689949
1999-01-08,657.3336278
1999-01-11,653.3451856
1999-01-12,642.8128902
1999-01-13,631.9822842
1999-01-14,627.5973821
1999-01-15,634.8740537
1999-01-18,639.5216974
1999-01-19,640.1811886
1999-01-20,642.8887714
1999-01-21,637.8723474
1999-01-22,628.040955
1999-01-25,629.3347279
1999-01-26,633.4644852
1999-01-27,630.0117123
1999-01-28,633.6439589
1999-01-29,638.9992492
1999-02-01,639.3684844
1999-02-02,637.0491749
1999-02-03,636.7487607
1999-02-04,631.8006838
1999-02-05,629.4332049
1999-02-08,628.2778714
1999-02-09,617.8648612
1999-02-10,617.282474
1999-02-11,625.2780391
1999-02-12,622.4255587
1999-02-15,621.6073979
1999-02-16,620.9698636
1999-02-17,615.951666
1999-02-18,618.5426094
1999-02-19,617.5617945
1999-02-22,627.7711145
1999-02-23,628.5039898
1999-02-24,624.4034487
1999-02-25,623.6492033
1999-02-26,621.4648159
1999-03-01,617.258302
1999-03-02,613.899324
1999-03-03,611.8467176
1999-03-04,615.6126185
1999-03-05,632.0109287
1999-03-08,632.840554
1999-03-09,634.2508356
1999-03-10,641.9744115
1999-03-11,645.2236779
1999-03-12,648.6915083
1999-03-15,654.9633061
1999-03-16,657.2341617
1999-03-17,657.9972689
1999-03-18,658.7804006
1999-03-19,660.7181209
1999-03-22,658.2796111
1999-03-23,646.3226696
1999-03-24,642.6382039
1999-03-25,651.3043025
1999-03-26,646.3165179
1999-03-29,653.1656935
1999-03-30,650.2061001
1999-03-31,651.5509483
1999-04-01,655.7066362
1999-04-02,654.6315508
1999-04-05,658.8241249
1999-04-06,663.6763667
1999-04-07,668.5031373
1999-04-08,675.8322699
1999-04-09,676.2056224
1999-04-12,679.039444
1999-04-13,680.3881856
1999-04-14,681.307455
1999-04-15,679.5962969
1999-04-16,684.2260263
1999-04-19,684.0535218
1999-04-20,681.5410039
1999-04-21,684.7908142
1999-04-22,689.9308339
1999-04-23,691.6702612
1999-04-26,692.2348086
1999-04-27,698.721464
1999-04-28,698.6189063
1999-04-29,698.2137948
1999-04-30,694.6898997
1999-05-03,702.057755
1999-05-04,698.330357
1999-05-05,700.6404246
1999-05-06,704.4047582
1999-05-07,704.1654019
1999-05-10,704.3784432
1999-05-11,703.403574
1999-05-12,702.5672301
1999-05-13,702.5722537
1999-05-14,692.9461579
1999-05-17,684.7562122
1999-05-18,684.7102711
1999-05-19,685.2814948
1999-05-20,685.9614121
1999-05-21,684.6174303
1999-05-24,680.5417772
1999-05-25,673.4176779
1999-05-26,676.2480427
1999-05-27,666.7819126
1999-05-28,671.2656004
1999-05-31,671.170838
