Date,WORLD ex AUSTRALIA VALUE WEIGHTED
1998-03-05,555.67714222
1998-03-06,564.19936727
1998-03-09,565.46325993
1998-03-10,569.26772123
1998-03-11,569.90864065
1998-03-12,570.2058086
1998-03-13,575.35130056
1998-03-16,577.02567803
1998-03-17,580.4327269
1998-03-18,579.31621104
1998-03-19,582.36092438
1998-03-20,585.94409274
1998-03-23,586.41634702
1998-03-24,589.43426267
1998-03-25,591.97529813
1998-03-26,591.80257209
1998-03-27,590.71282101
1998-03-30,584.81498047
1998-03-31,587.08759601
1998-04-01,588.49845739
1998-04-02,589.20015499
1998-04-03,589.37770713
1998-04-06,593.97509491
1998-04-07,591.86078539
1998-04-08,591.1953365
1998-04-09,597.85565761
1998-04-10,597.8587313
1998-04-13,597.23484634
1998-04-14,602.59031354
1998-04-15,604.14382649
1998-04-16,595.42267233
1998-04-17,596.97352855
1998-04-20,598.88778162
1998-04-21,600.65140843
1998-04-22,599.93572641
1998-04-23,594.36710211
1998-04-24,590.34113537
1998-04-27,576.86929358
1998-04-28,579.03070215
1998-04-29,580.97121194
1998-04-30,589.9788427
1998-05-01,594.53234095
1998-05-04,598.59176061
1998-05-05,595.48948857
1998-05-06,592.28866064
1998-05-07,586.53251428
1998-05-08,590.27613087
1998-05-11,594.01124581
1998-05-12,592.99817688
1998-05-13,592.99284032
1998-05-14,591.6081908
1998-05-15,589.29809323
1998-05-18,583.05927702
1998-05-19,587.13403389
1998-05-20,593.49420197
1998-05-21,595.94400025
1998-05-22,595.71201611
1998-05-25,595.50045276
1998-05-26,591.88922871
1998-05-27,583.75117686
1998-05-28,584.09936069
1998-05-29,582.45864532
1998-06-01,579.13313021
1998-06-02,581.72950992
1998-06-03,581.86717154
1998-06-04,583.54672434
1998-06-05,588.48807694
1998-06-08,589.87450717
1998-06-09,589.51824872
1998-06-10,583.12647931
1998-06-11,573.53103301
1998-06-12,569.66212051
1998-06-15,557.37202519
1998-06-16,562.60253339
1998-06-17,576.30261274
1998-06-18,579.45890918
1998-06-19,578.29903718
1998-06-22,573.34984013
1998-06-23,576.2995378
1998-06-24,579.28461717
1998-06-25,582.27382138
1998-06-26,580.96572725
1998-06-29,584.24605381
1998-06-30,586.53839187
1998-07-01,595.22673774
1998-07-02,594.81018322
1998-07-03,596.19510673
1998-07-06,597.93147372
1998-07-07,598.72686347
1998-07-08,601.45129748
1998-07-09,595.59690886
1998-07-10,594.06474335
1998-07-13,596.77531308
1998-07-14,604.106527
1998-07-15,604.68741315
1998-07-16,607.93160202
1998-07-17,610.93005703
1998-07-20,612.023121
1998-07-21,604.77625266
1998-07-22,598.72118389
1998-07-23,591.04173988
1998-07-24,591.54706305
1998-07-27,586.90711436
1998-07-28,583.9809831
1998-07-29,581.46741137
1998-07-30,587.17208523
1998-07-31,580.74038482
1998-08-03,572.75462261
1998-08-04,562.48290195
1998-08-05,561.93743986
1998-08-06,559.63088747
1998-08-07,561.32185433
1998-08-10,554.29570263
1998-08-11,542.44275234
1998-08-12,549.57058218
1998-08-13,544.36901862
1998-08-14,542.81779516
1998-08-17,546.30464259
1998-08-18,556.66122983
1998-08-19,558.59998769
1998-08-20,555.68570398
1998-08-21,543.30401827
1998-08-24,545.32213015
1998-08-25,549.21976691
1998-08-26,540.55431272
1998-08-27,522.54427017
1998-08-28,517.05153448
