Date,EAFE ex JAPAN VALUE WEIGHTED
1997-08-28,1723.0676950457062
1997-08-29,1703.8186888255786
1997-09-01,1706.1435683525035
1997-09-02,1721.1961496778838
1997-09-03,1736.319358131826
1997-09-04,1732.9083679899459
1997-09-05,1753.426570979185
1997-09-08,1756.007180468323
1997-09-09,1756.8340697780407
1997-09-10,1741.0540820113774
1997-09-11,1722.4390929046008
1997-09-12,1734.848625772088
1997-09-15,1753.2784641352393
1997-09-16,1762.9735709202932
1997-09-17,1779.2936865356285
1997-09-18,1792.2680909926576
1997-09-19,1791.3606544750535
1997-09-22,1797.6090089744887
1997-09-23,1795.7927780696384
1997-09-24,1816.9756191823396
1997-09-25,1824.8823759832176
1997-09-26,1837.0656059545859
1997-09-29,1842.6507518509725
1997-09-30,1851.1064191422056
1997-10-01,1859.3041684320935
1997-10-02,1868.0808346264207
1997-10-03,1881.3690016689177
1997-10-06,1871.772095612787
1997-10-07,1879.610916862667
1997-10-08,1875.8961798721193
1997-10-09,1852.5478646896054
1997-10-10,1841.7765683785753
1997-10-13,1865.518621613404
1997-10-14,1862.0602173856914
1997-10-15,1853.4414296422083
1997-10-16,1854.7934643030585
1997-10-17,1825.309221538987
1997-10-20,1816.25864193142
1997-10-21,1821.476900829729
1997-10-22,1801.604454003226
1997-10-23,1745.2499533295627
1997-10-24,1748.698454320765
1997-10-27,1713.088005951554
1997-10-28,1656.956967923083
1997-10-29,1723.8835478880058
1997-10-30,1703.296452916643
1997-10-31,1719.9974558361077
1997-11-03,1753.1674889591116
1997-11-04,1751.2674406821473
1997-11-05,1755.746043237655
1997-11-06,1748.7861873290065
1997-11-07,1718.7959954250416
1997-11-10,1720.404915918095
1997-11-11,1723.8598818263727
1997-11-12,1697.0619887843611
1997-11-13,1698.2081355844477
1997-11-14,1699.4096018232879
1997-11-17,1732.0524805633434
1997-11-18,1735.8915908881097
1997-11-19,1722.1978542450925
1997-11-20,1743.9106108632948
1997-11-21,1759.3284049389958
1997-11-24,1740.9008742455553
1997-11-25,1723.7334381099674
1997-11-26,1725.7303527443705
1997-11-27,1729.7706505602462
1997-11-28,1730.6977909052655
1997-12-01,1753.8347882057258
1997-12-02,1767.653659351718
1997-12-03,1770.742830969587
