Date,ACWI IMI MINIMUM VOLATILITY (USD)
2012-05-03,1451.3316144469115
2012-05-04,1446.2835271604722
2012-05-07,1449.9706646970446
2012-05-08,1453.3561154820745
2012-05-09,1451.9625885038142
2012-05-10,1453.492074379758
2012-05-11,1454.1795291081953
2012-05-14,1453.6747235603611
2012-05-15,1458.5620795239618
2012-05-16,1454.9051656638615
2012-05-17,1446.7362271362565
2012-05-18,1434.551326227299
2012-05-21,1436.5285678824032
2012-05-22,1442.1896087058149
2012-05-23,1454.8840042735321
2012-05-24,1459.240938676251
2012-05-25,1467.6022661505524
2012-05-28,1465.420408236044
2012-05-29,1471.7963665742254
2012-05-30,1475.0661770013762
2012-05-31,1480.7667321153135
2012-06-01,1464.4699678268662
2012-06-04,1448.4732352045976
2012-06-05,1455.530530036143
2012-06-06,1468.3824482650884
2012-06-07,1465.2476163670692
2012-06-08,1477.0743934201967
2012-06-11,1469.6722990769704
2012-06-12,1480.221986165893
2012-06-13,1469.735656283448
2012-06-14,1473.1344616468689
2012-06-15,1477.3320220476694
2012-06-18,1488.183388054825
2012-06-19,1486.3620216842235
2012-06-20,1483.9626487629353
2012-06-21,1478.860953755595
2012-06-22,1487.0992816545222
2012-06-25,1486.4747033656888
2012-06-26,1492.3644831635272
2012-06-27,1503.3047539953598
2012-06-28,1509.4936569041647
2012-06-29,1501.946756917303
2012-07-02,1521.374045220915
2012-07-03,1527.5537681583705
2012-07-04,1539.1264427469748
2012-07-05,1551.0928268133468
2012-07-06,1554.6155245038424
2012-07-09,1553.9969918863699
2012-07-10,1559.7738818720063
2012-07-11,1562.5270035519152
2012-07-12,1566.646349007905
2012-07-13,1572.7225895116271
2012-07-16,1573.7011245484186
2012-07-17,1584.196122116256
2012-07-18,1580.9802838905116
2012-07-19,1584.4566768419663
2012-07-20,1584.5491737169014
2012-07-23,1575.8237048715084
2012-07-24,1571.0388627706823
2012-07-25,1568.4550985194207
2012-07-26,1561.5005092938072
2012-07-27,1568.8125343401982
2012-07-30,1589.8139946154522
2012-07-31,1578.3513576392768
2012-08-01,1577.1278016645329
2012-08-02,1585.4090881460738
2012-08-03,1572.5090310585879
2012-08-06,1565.7875372313924
2012-08-07,1564.5683143562246
2012-08-08,1573.876894245811
2012-08-09,1581.701415882117
2012-08-10,1583.2770308883646
2012-08-13,1576.4847065966592
2012-08-14,1585.83049413978
2012-08-15,1591.5263624962936
2012-08-16,1582.2862991083439
2012-08-17,1590.5632606628833
2012-08-20,1584.7681842753407
2012-08-21,1568.8762379973339
2012-08-22,1567.2882086100246
2012-08-23,1554.9543840355332
2012-08-24,1567.302449144972
2012-08-27,1567.6061800766397
2012-08-28,1559.286551788054
2012-08-29,1564.7527783990795
2012-08-30,1562.3857794044702
2012-08-31,1554.313575423409
2012-09-03,1558.0145136134672
2012-09-04,1558.9979432638092
2012-09-05,1550.9886735591788
2012-09-06,1558.7550924803922
2012-09-07,1544.3500480260034
2012-09-10,1543.1606127039845
2012-09-11,1538.7707289535929
2012-09-12,1537.51419609029
2012-09-13,1544.8244175866707
2012-09-14,1516.4053443735766
2012-09-17,1514.7480139051497
2012-09-18,1523.107700315014
2012-09-19,1527.7434610055514
2012-09-20,1539.4044854428362
2012-09-21,1539.714874002856
2012-09-24,1549.8901807414122
2012-09-25,1542.445895985602
2012-09-26,1551.0257822038075
2012-09-27,1554.6743807903174
2012-09-28,1553.672972121302
2012-10-01,1548.9869226455585
2012-10-02,1547.4166980717837
2012-10-03,1551.574404611435
2012-10-04,1547.2578660408283
2012-10-05,1543.519571730515
2012-10-08,1552.1278491876672
2012-10-09,1550.029104059776
2012-10-10,1541.994800100939
2012-10-11,1533.6034168231247
2012-10-12,1528.9351779374604
2012-10-15,1536.35456552177
2012-10-16,1534.8801126543974
2012-10-17,1530.9032313266239
2012-10-18,1535.2345496527616
2012-10-19,1528.55182489459
2012-10-22,1520.3571297300934
2012-10-23,1522.6942286162287
2012-10-24,1520.2296629363686
2012-10-25,1527.6870678640698
2012-10-26,1527.2247500799683
2012-10-29,1528.672185773087
2012-10-30,1520.892174446514
2012-10-31,1527.5435303479408
2012-11-01,1535.7666377785097
2012-11-02,1537.0880260334984
2012-11-05,1541.4941033271919
2012-11-06,1543.7525239909066
2012-11-07,1536.7281400528059
2012-11-08,1530.4785868303109
2012-11-09,1532.382847114346
2012-11-12,1530.3317085743772
2012-11-13,1527.9444956273248
2012-11-14,1514.318005853396
2012-11-15,1502.1879149806257
2012-11-16,1516.365749248858
2012-11-19,1519.7057513124932
2012-11-20,1521.0713264442493
2012-11-21,1521.722318451765
2012-11-22,1515.9306861824898
2012-11-23,1519.7434959184523
2012-11-26,1517.4957681317924
2012-11-27,1520.6025735795536
2012-11-28,1528.1321273423414
2012-11-29,1527.3234463590031
2012-11-30,1528.8236369327255
2012-12-03,1517.0455122420847
2012-12-04,1515.4398382277639
2012-12-05,1520.6999249219057
2012-12-06,1531.4630096734868
2012-12-07,1541.5949432452026
2012-12-10,1544.8832910678752
2012-12-11,1540.2239530918166
2012-12-12,1533.8905737863988
2012-12-13,1519.8382176128914
2012-12-14,1514.0961068667455
2012-12-17,1514.8804593467346
2012-12-18,1514.8503551593788
2012-12-19,1507.1733070733437
2012-12-20,1511.1573623181607
2012-12-21,1510.5467288038005
2012-12-24,1505.8094393494478
2012-12-25,1506.0740211764964
2012-12-26,1497.5727700569398
2012-12-27,1496.0307631953115
2012-12-28,1489.6199324824888
2012-12-31,1502.3468235923415
2013-01-01,1502.4527939419334
2013-01-02,1516.716048913044
2013-01-03,1533.8450173163765
2013-01-04,1545.8177698107513
2013-01-07,1536.6985616380177
2013-01-08,1540.986357446075
2013-01-09,1546.068237690136
2013-01-10,1533.7902458425312
2013-01-11,1520.4792398341233
2013-01-14,1518.5325528978103
2013-01-15,1526.3079419760595
2013-01-16,1527.9231396360772
2013-01-17,1525.5644032222838
2013-01-18,1538.3053592552253
2013-01-21,1534.635689589334
2013-01-22,1543.2841402481474
2013-01-23,1543.6307138925692
2013-01-24,1533.2327714026917
2013-01-25,1526.0962986892848
2013-01-28,1526.771661747802
2013-01-29,1533.0710690827898
2013-01-30,1523.243594109135
2013-01-31,1522.9325874363897
2013-02-01,1515.1141791718046
2013-02-04,1523.9542652626922
2013-02-05,1529.4299791616827
2013-02-06,1533.9670492783673
2013-02-07,1550.2230645321836
2013-02-08,1555.582401116673
2013-02-11,1551.6933781152907
2013-02-12,1547.431921836146
2013-02-13,1549.6101320883731
2013-02-14,1561.7956401085323
2013-02-15,1561.6045757793056
2013-02-18,1563.1827247321244
2013-02-19,1572.9840601549572
2013-02-20,1571.7617294863742
2013-02-21,1582.3940873492968
2013-02-22,1598.9589466230357
2013-02-25,1583.5039253439616
2013-02-26,1605.185255080847
2013-02-27,1608.9335054251355
2013-02-28,1619.3334829395758
2013-03-01,1632.507580180636
2013-03-04,1636.3165217123633
2013-03-05,1643.7090719796815
2013-03-06,1649.4009875545796
2013-03-07,1638.204811363551
2013-03-08,1650.5972287452196
2013-03-11,1650.47388741784
2013-03-12,1650.7832573549447
2013-03-13,1656.9939109407605
2013-03-14,1660.6167658834759
2013-03-15,1655.977675892049
2013-03-18,1660.2601880728726
2013-03-19,1675.9253318326046
2013-03-20,1674.3217145889523
2013-03-21,1677.6241632015422
2013-03-22,1675.4393958739583
2013-03-25,1692.0920256754353
2013-03-26,1707.4621778031594
2013-03-27,1719.9985764323167
2013-03-28,1721.7905157318305
2013-03-29,1722.8233828087843
2013-04-01,1710.3656159149111
2013-04-02,1717.738591317521
2013-04-03,1713.695413876272
2013-04-04,1713.1947514980154
2013-04-05,1687.4355784742154
2013-04-08,1692.0211146247402
2013-04-09,1687.2954946323466
2013-04-10,1697.5761575055008
2013-04-11,1700.987279544744
2013-04-12,1706.0612110870388
2013-04-15,1686.9383036160523
2013-04-16,1692.7072809907984
2013-04-17,1697.5854636927675
2013-04-18,1689.1382008368093
