Date,EMU REGION SRI
2019-07-11,2344.2776693538103
2019-07-12,2345.6733615189255
2019-07-15,2351.078132091245
2019-07-16,2356.9734647290056
2019-07-17,2351.24737351786
2019-07-18,2335.5490161436483
2019-07-19,2331.4500213291303
2019-07-22,2340.0653427359093
2019-07-23,2367.5501633020817
2019-07-24,2375.750478859522
2019-07-25,2367.5351642449223
2019-07-26,2377.9305818375374
2019-07-29,2375.735717981983
2019-07-30,2335.745461119745
2019-07-31,2343.6488163199765
2019-08-01,2363.2473266931006
2019-08-02,2290.4443716969026
2019-08-05,2239.11700601174
2019-08-06,2229.1586696323607
2019-08-07,2240.237807281868
2019-08-08,2278.8050678591458
2019-08-09,2247.0599371868248
2019-08-12,2244.593593079077
2019-08-13,2262.0897120601235
2019-08-14,2214.984827595499
2019-08-15,2207.463114122256
2019-08-16,2236.5710915389463
2019-08-19,2261.8028883066986
2019-08-20,2245.6834452783355
2019-08-21,2279.730367188215
2019-08-22,2264.055592054839
2019-08-23,2240.17799322351
2019-08-26,2249.426191197584
2019-08-27,2268.241534585477
2019-08-28,2263.1756650619236
2019-08-29,2292.008976676645
2019-08-30,2308.442559766704
2019-09-02,2309.7952958338237
2019-09-03,2301.8453888518484
2019-09-04,2324.7271403637246
2019-09-05,2349.6092192328565
2019-09-06,2355.5947272236795
2019-09-09,2355.4241689259707
2019-09-10,2355.341576390304
2019-09-11,2367.751514617606
2019-09-12,2380.26308239245
2019-09-13,2383.652146961526
2019-09-16,2367.844976731874
2019-09-17,2372.429949231879
2019-09-18,2376.448136978102
2019-09-19,2393.6789426222676
2019-09-20,2401.2231995268776
2019-09-23,2380.1505777437824
2019-09-24,2379.559184820721
2019-09-25,2362.7312044014
2019-09-26,2385.118566441288
2019-09-27,2396.5883088654314
2019-09-30,2415.568890561002
2019-10-01,2383.3113552000414
2019-10-02,2314.7701798918615
2019-10-03,2316.958774659522
2019-10-04,2338.248575265352
2019-10-07,2353.940589948685
2019-10-08,2321.9279842636943
2019-10-09,2348.019111153272
2019-10-10,2356.740093520512
2019-10-11,2421.5203496289596
2019-10-14,2415.8077221851463
2019-10-15,2443.322172845805
2019-10-16,2435.4190245846526
2019-10-17,2429.003920514755
2019-10-18,2420.8622468151843
2019-10-21,2442.8489564293727
2019-10-22,2448.012077678885
2019-10-23,2447.8669289542127
2019-10-24,2464.8557833699842
2019-10-25,2471.978106758866
2019-10-28,2483.4157821851663
2019-10-29,2475.4788450591996
2019-10-30,2479.4630224442176
2019-10-31,2467.313011090859
2019-11-01,2486.3783934822923
2019-11-04,2515.3784262446466
2019-11-05,2522.082107260862
2019-11-06,2520.320059265614
2019-11-07,2538.284658591193
2019-11-08,2530.7730052366996
2019-11-11,2527.29251098512
2019-11-12,2534.5573270260356
2019-11-13,2528.7249957039144
2019-11-14,2524.9395169137415
2019-11-15,2543.7832555252403
2019-11-18,2544.2613431471736
2019-11-19,2536.46343271985
2019-11-20,2528.9648321212762
2019-11-21,2520.6260857527345
2019-11-22,2527.8521115830076
2019-11-25,2542.6901049571497
2019-11-26,2551.167444644377
2019-11-27,2553.7041688164522
2019-11-28,2549.6979361283306
2019-11-29,2549.2580842120205
2019-12-02,2497.2512695919545
2019-12-03,2490.777097253686
2019-12-04,2516.588338923283
2019-12-05,2511.2513693553624
2019-12-06,2545.179547267706
2019-12-09,2533.2572961435
2019-12-10,2526.654473084866
2019-12-11,2538.423946595402
2019-12-12,2548.7439836514513
2019-12-13,2564.708257836534
2019-12-16,2593.231825465411
2019-12-17,2579.1650355515594
2019-12-18,2574.051101457958
2019-12-19,2574.6156064206657
2019-12-20,2596.0358974777946
2019-12-23,2596.2408728981413
2019-12-24,2593.645725607248
2019-12-25,2593.6457256072476
2019-12-26,2593.6721640992405
2019-12-27,2599.55087567548
2019-12-30,2573.64427266318
2019-12-31,2572.5130059360013
2020-01-01,2572.5130059360013
2020-01-02,2601.714811962394
2020-01-03,2588.9056704994805
2020-01-06,2574.7512689937844
2020-01-07,2582.614895857878
2020-01-08,2593.102051420104
2020-01-09,2610.051305105186
2020-01-10,2603.979431707826
2020-01-13,2599.7188074382752
2020-01-14,2603.053569248781
2020-01-15,2602.2640201452286
2020-01-16,2603.6835895155614
2020-01-17,2627.0552718004274
2020-01-20,2627.2499129044745
2020-01-21,2624.2720992574
2020-01-22,2617.1316572643
2020-01-23,2591.3298459702046
2020-01-24,2623.334641628197
2020-01-27,2552.44355637329
2020-01-28,2567.4705223886167
2020-01-29,2579.8849118789185
2020-01-30,2553.02942243135
2020-01-31,2515.6528490278047
2020-02-03,2534.0037546019935
2020-02-04,2580.6374182293944
2020-02-05,2613.7184976856197
2020-02-06,2625.719559218888
2020-02-07,2622.5351685601713
2020-02-10,2623.935869849685
2020-02-11,2650.069869548613
2020-02-12,2663.4190913491852
2020-02-13,2659.783019462537
2020-02-14,2661.866900214339
2020-02-17,2666.36440009388
2020-02-18,2652.3495929804017
2020-02-19,2675.827462184188
2020-02-20,2652.8891605400786
2020-02-21,2638.894532476061
2020-02-24,2535.44478157784
2020-02-25,2486.230551285385
2020-02-26,2485.298824572989
2020-02-27,2402.6756580103597
2020-02-28,2323.385510397433
2020-03-02,2322.082310160229
2020-03-03,2359.4412906483517
2020-03-04,2386.4662473665235
2020-03-05,2352.638655259493
2020-03-06,2273.1530271845654
2020-03-09,2102.526899064987
2020-03-10,2083.028501842333
2020-03-11,2069.5054781151193
2020-03-12,1833.1939392636525
2020-03-13,1848.1490526426333
2020-03-16,1762.7861678479671
2020-03-17,1795.73954305876
2020-03-18,1721.3912324069424
2020-03-19,1770.380463012203
2020-03-20,1840.269952968436
2020-03-23,1796.992506764663
2020-03-24,1961.374319512265
2020-03-25,2002.8444522556429
2020-03-26,2045.6684369781417
2020-03-27,1960.5329541132355
2020-03-30,1992.1834652706195
2020-03-31,2017.5504267437793
2020-04-01,1946.2084401444354
2020-04-02,1952.071924712438
2020-04-03,1937.2499244063645
2020-04-06,2029.264427099075
2020-04-07,2072.5843458900113
2020-04-08,2076.8324824133338
2020-04-09,2111.4355414127804
2020-04-10,2111.4355414127804
2020-04-13,2110.8602048660587
2020-04-14,2138.0417944615783
2020-04-15,2067.719770269483
2020-04-16,2074.0996689784793
2020-04-17,2128.6106121603984
2020-04-20,2143.6812996637927
2020-04-21,2059.5587676334276
2020-04-22,2091.525985972602
2020-04-23,2101.488907505145
2020-04-24,2077.4491770662225
2020-04-27,2123.25233541411
2020-04-28,2160.2790750320696
2020-04-29,2203.751635470347
2020-04-30,2172.4852160189953
2020-05-01,2172.2512873710866
2020-05-04,2086.8913108497322
2020-05-05,2132.041266000226
2020-05-06,2114.7936681211204
2020-05-07,2149.1208318119084
2020-05-08,2170.879858183817
2020-05-11,2160.796547435149
2020-05-12,2158.2123720701225
2020-05-13,2115.0962502496964
2020-05-14,2069.561331385784
2020-05-15,2082.3022378750707
2020-05-18,2171.23474455305
2020-05-19,2169.0969191867684
2020-05-20,2205.3026017889997
2020-05-21,2176.2887996604727
2020-05-22,2179.932990266618
2020-05-25,2222.1636341996787
2020-05-26,2240.6933988293313
2020-05-27,2263.572502478492
2020-05-28,2294.330949205248
2020-05-29,2272.3182878264024
2020-06-01,2283.084403241952
2020-06-02,2327.9733115517097
2020-06-03,2407.9559952924383
2020-06-04,2406.8355155556683
2020-06-05,2469.901555806246
2020-06-08,2431.3394918376234
2020-06-09,2409.970410644188
2020-06-10,2389.876350253799
2020-06-11,2297.4272555712696
2020-06-12,2305.556933402645
2020-06-15,2298.419570836428
2020-06-16,2373.2917125686945
2020-06-17,2389.292597101814
2020-06-18,2378.7523499508316
2020-06-19,2393.3924641532576
2020-06-22,2374.739889772954
2020-06-23,2408.4814032181275
2020-06-24,2350.118455075482
