Date,EMEA ex ISRAEL ESG LEADERS
2019-10-31,1376.2523620868146
2019-11-01,1386.0206240185184
2019-11-04,1398.0382130173255
2019-11-05,1400.4469328696023
2019-11-06,1403.3129037323379
2019-11-07,1409.6962332438873
2019-11-08,1406.625624536939
2019-11-11,1405.2384418684933
2019-11-12,1409.6184098543913
2019-11-13,1406.6071825430329
2019-11-14,1402.4649792095724
2019-11-15,1409.1784686352141
2019-11-18,1409.2405125190417
2019-11-19,1407.2912114454189
2019-11-20,1400.4869175298834
2019-11-21,1394.0525263646955
2019-11-22,1400.2691672509736
2019-11-25,1413.2649384217023
2019-11-26,1415.9503711769225
2019-11-27,1419.7229266506806
2019-11-28,1418.6241088198356
2019-11-29,1414.2480001005747
2019-12-02,1390.6849841355818
2019-12-03,1384.0267514530233
2019-12-04,1400.5239800548266
2019-12-05,1400.4069073552146
2019-12-06,1416.4899060107143
2019-12-09,1412.881309294703
2019-12-10,1409.2650774128938
2019-12-11,1412.714261199994
2019-12-12,1416.5354733195024
2019-12-13,1430.8264168406981
2019-12-16,1449.274449217796
2019-12-17,1438.560368867643
2019-12-18,1435.5163046718988
2019-12-19,1437.4638493493883
2019-12-20,1450.2266160560218
2019-12-23,1450.8508102310282
2019-12-24,1452.11462222398
2019-12-25,1452.11462222398
2019-12-26,1452.2814559044677
2019-12-27,1455.3709121661725
2019-12-30,1443.073430971366
2019-12-31,1441.8498929304544
2020-01-01,1441.8498929304544
2020-01-02,1454.777017391061
2020-01-03,1448.2392695000435
2020-01-06,1441.672865144048
2020-01-07,1445.2392257837535
2020-01-08,1448.2113509715377
2020-01-09,1452.828628434085
2020-01-10,1451.4312943966452
2020-01-13,1448.8640022192342
2020-01-14,1452.5856540697532
2020-01-15,1454.0513414466334
2020-01-16,1457.1180521570243
2020-01-17,1471.087734286619
2020-01-20,1470.4289719632056
2020-01-21,1470.6788838687578
2020-01-22,1471.0179535936184
2020-01-23,1460.0784837425724
2020-01-24,1475.1491019141088
2020-01-27,1441.5946509989183
2020-01-28,1452.0188690778184
2020-01-29,1458.167649372547
2020-01-30,1447.3725150793318
2020-01-31,1431.8226389088036
2020-02-03,1437.468856757828
2020-02-04,1459.7133661710168
2020-02-05,1482.5080424120908
2020-02-06,1488.7594233749244
2020-02-07,1484.5424737874519
2020-02-10,1486.1687139658409
2020-02-11,1499.2121928399213
2020-02-12,1507.7388214605949
2020-02-13,1509.690054693081
2020-02-14,1510.3711479893805
2020-02-17,1515.8926910261794
2020-02-18,1512.7149578805588
2020-02-19,1524.3982763035926
2020-02-20,1510.6372659099784
2020-02-21,1503.7521334410926
2020-02-24,1448.0833772110464
2020-02-25,1422.9665583114938
2020-02-26,1423.6350958330493
2020-02-27,1373.3023979468721
2020-02-28,1326.5387659299795
2020-03-02,1330.1161889738603
2020-03-03,1352.0648197484468
2020-03-04,1369.4109153583001
2020-03-05,1351.3614585458301
2020-03-06,1303.2861941356439
2020-03-09,1210.820398801315
2020-03-10,1194.6757482059284
2020-03-11,1185.3983044767986
2020-03-12,1052.3686577231927
2020-03-13,1065.88691615767
2020-03-16,1016.7356797725766
2020-03-17,1040.446624618649
2020-03-18,1001.0080636589936
2020-03-19,1031.9618901436468
2020-03-20,1047.077795458884
2020-03-23,1007.8235783306853
2020-03-24,1090.1602678954478
2020-03-25,1122.8195944445035
2020-03-26,1153.176985773425
2020-03-27,1119.131102004976
2020-03-30,1135.810247522284
2020-03-31,1155.6673132275266
2020-04-01,1124.4057795739323
2020-04-02,1125.7474168369308
2020-04-03,1115.6952620086017
2020-04-06,1156.0503777473189
2020-04-07,1178.5195822937262
2020-04-08,1176.9689290650017
2020-04-09,1192.0609554514842
2020-04-10,1192.0609554514842
2020-04-13,1193.1681184719723
2020-04-14,1203.249833920638
2020-04-15,1165.2782385587961
2020-04-16,1172.544050103173
2020-04-17,1201.2637719758698
2020-04-20,1211.7281426979264
2020-04-21,1173.301373318607
2020-04-22,1194.243512106194
2020-04-23,1202.8352147637709
2020-04-24,1188.3028983128363
2020-04-27,1208.2814353511671
2020-04-28,1230.0010528685923
2020-04-29,1247.9005947813268
2020-04-30,1226.3123489275024
2020-05-01,1220.0615641096101
2020-05-04,1186.7045874726969
2020-05-05,1210.649529713572
2020-05-06,1204.6698111325527
2020-05-07,1218.4086785157674
2020-05-08,1229.1621250214744
2020-05-11,1225.6413901787218
2020-05-12,1229.1916344336666
2020-05-13,1206.7013053166154
2020-05-14,1182.7075082059728
2020-05-15,1187.8032374478805
2020-05-18,1234.8088870174197
2020-05-19,1228.4594862119216
2020-05-20,1241.3882183490248
2020-05-21,1233.3548486592358
2020-05-22,1233.9720063839875
2020-05-25,1252.9045950391412
2020-05-26,1263.5906851016196
2020-05-27,1264.8467176108607
2020-05-28,1287.7608223885345
2020-05-29,1272.6306288095516
2020-06-01,1283.130300915986
2020-06-02,1302.6430534201004
2020-06-03,1337.1155765942424
2020-06-04,1328.994012280333
2020-06-05,1357.1510532848454
2020-06-08,1349.0543806066457
2020-06-09,1335.8155277332419
2020-06-10,1330.2355315338987
2020-06-11,1282.4883916174492
2020-06-12,1285.265940268295
2020-06-15,1282.0051816304504
2020-06-16,1318.7673878522874
2020-06-17,1329.7297538548682
2020-06-18,1323.2200594699239
2020-06-19,1333.6111792720471
2020-06-22,1324.541487155426
2020-06-23,1341.4893827870756
2020-06-24,1306.0000973342937
2020-06-25,1316.525261044405
2020-06-26,1313.3737929129773
2020-06-29,1317.565649786703
2020-06-30,1320.8382190810191
2020-07-01,1324.7088727916446
2020-07-02,1350.3619004083187
2020-07-03,1340.6325777968011
2020-07-06,1359.8216715065714
2020-07-07,1352.151884557606
2020-07-08,1345.3660230006212
2020-07-09,1339.2012597183582
2020-07-10,1350.033655344075
2020-07-13,1364.4620125970414
2020-07-14,1353.1613287721573
2020-07-15,1374.1924452857481
2020-07-16,1369.9069588007485
2020-07-17,1370.2653632958259
2020-07-20,1382.2537137175818
2020-07-21,1386.6692526021136
2020-07-22,1377.1634133407676
2020-07-23,1377.2644249620384
2020-07-24,1353.4216586011275
2020-07-27,1351.6646427255284
2020-07-28,1357.1771432992753
2020-07-29,1358.6375019933603
2020-07-30,1326.7382858691876
2020-07-31,1315.0727468369366
2020-08-03,1342.226573568035
2020-08-04,1339.5070885964715
2020-08-05,1345.7003940446398
2020-08-06,1336.8165997540764
2020-08-07,1342.7984234253609
2020-08-10,1344.5625891032475
2020-08-11,1364.8825121704974
2020-08-12,1380.8202383546259
2020-08-13,1373.3452065772447
2020-08-14,1356.9548306181016
2020-08-17,1361.9936674878354
2020-08-18,1354.3771186102276
2020-08-19,1363.5147130885227
2020-08-20,1351.4494075640348
2020-08-21,1349.5462033969325
2020-08-24,1370.3351781529823
2020-08-25,1366.4985080593488
2020-08-26,1379.7017003953392
2020-08-27,1370.2569465956165
2020-08-28,1363.0316143307928
2020-08-31,1354.059669103588
2020-09-01,1352.3029629142795
2020-09-02,1376.694161169553
2020-09-03,1356.6081828815038
2020-09-04,1339.9131910670621
2020-09-07,1360.8762898556793
2020-09-08,1345.7130100898373
2020-09-09,1370.8288129518498
2020-09-10,1365.0714006344463
2020-09-11,1367.3451537698566
2020-09-14,1367.1165760119225
2020-09-15,1376.7756630217557
2020-09-16,1385.6004985366183
2020-09-17,1377.6104685578155
2020-09-18,1371.0676861878171
2020-09-21,1329.5519690707704
2020-09-22,1332.6753326862442
2020-09-23,1339.624326583911
2020-09-24,1325.5556619615097
2020-09-25,1323.3000053901894
2020-09-28,1353.4379562848583
2020-09-29,1348.0288070293802
2020-09-30,1345.484970568025
2020-10-01,1350.9311597051767
2020-10-02,1353.7635786016785
2020-10-05,1363.8067967983873
2020-10-06,1363.5184200553067
2020-10-07,1362.7150803249242
2020-10-08,1371.5032302702618
2020-10-09,1381.7508893440097
2020-10-12,1394.3188324757318
2020-10-13,1388.802079533062
2020-10-14,1389.0957769958263
2020-10-15,1357.8189211493086
2020-10-16,1373.643577010688
2020-10-19,1369.6541683403664
2020-10-20,1364.3780869442492
2020-10-21,1344.8553472504213
2020-10-22,1342.6870087075704
2020-10-23,1348.2332587437731
2020-10-26,1319.1769954859865
2020-10-27,1308.6370825056413
2020-10-28,1270.8658580902877
2020-10-29,1269.529548529333
2020-10-30,1269.5645726801047
