Date,ACWI ex JAPAN ESG LEADERS
2017-01-02,1854.3182946653355
2017-01-03,1891.306702654885
2017-01-04,1887.8312395708617
2017-01-05,1873.9747675433935
2017-01-06,1880.5404785036194
2017-01-09,1876.529830657575
2017-01-10,1871.8979370621983
2017-01-11,1893.28680671309
2017-01-12,1865.956224133273
2017-01-13,1875.1171263673675
2017-01-16,1872.4875123713941
2017-01-17,1859.4013686632827
2017-01-18,1863.0535375378943
2017-01-19,1867.1958089246682
2017-01-20,1862.4210016217314
2017-01-23,1850.984429291869
2017-01-24,1860.1309791893254
2017-01-25,1875.3827261612598
2017-01-26,1885.2763586152842
2017-01-27,1879.3325109451753
2017-01-30,1869.6931009317263
2017-01-31,1850.099635725309
2017-02-01,1857.087807315328
2017-02-02,1852.932060413799
2017-02-03,1867.0943556952284
2017-02-06,1867.5990099404141
2017-02-07,1875.9016949949025
2017-02-08,1876.8612110458623
2017-02-09,1893.1746097270288
2017-02-10,1905.7935538672668
2017-02-13,1918.2816760688017
2017-02-14,1927.2255323238028
2017-02-15,1935.879540910027
2017-02-16,1921.9504163684383
2017-02-17,1930.4988208361708
2017-02-20,1932.6505887543406
2017-02-21,1954.913510562756
2017-02-22,1953.3195325797685
2017-02-23,1947.5762016939768
2017-02-24,1946.9375618402942
2017-02-27,1939.2134591279005
2017-02-28,1932.349902025616
2017-03-01,1962.2738209871734
2017-03-02,1958.9543093671032
2017-03-03,1951.816143392973
2017-03-06,1943.8396720649798
2017-03-07,1942.437327236663
2017-03-08,1941.662593969363
2017-03-09,1935.2876830013051
2017-03-10,1930.4887354214134
2017-03-13,1934.7575717238751
2017-03-14,1933.141175342887
2017-03-15,1949.2348036725957
2017-03-16,1942.501804572899
2017-03-17,1941.928112776879
2017-03-20,1940.112003305432
2017-03-21,1916.7389168165926
2017-03-22,1914.7983985972587
2017-03-23,1919.462122140872
2017-03-24,1915.747300517486
2017-03-27,1902.0336128225879
2017-03-28,1916.476860597393
2017-03-29,1936.669811986618
2017-03-30,1943.842622962584
2017-03-31,1945.205625166242
2017-04-03,1948.0496665283645
2017-04-04,1947.1261640575385
2017-04-05,1944.6011406372397
2017-04-06,1947.8385208071165
2017-04-07,1952.4173716960534
2017-04-10,1956.1403117912369
2017-04-11,1951.1179595194922
2017-04-12,1951.7908627102872
2017-04-13,1944.0322072418758
2017-04-14,1943.4189558042426
2017-04-17,1949.413379749925
2017-04-18,1933.5784290408753
2017-04-19,1927.8123723397366
2017-04-20,1931.1041522480166
2017-04-21,1940.4908986547694
2017-04-24,1939.42066388206
2017-04-25,1940.9078327777356
2017-04-26,1948.6175232653507
2017-04-27,1949.1633388200078
2017-04-28,1941.0057345116318
