Date,EMU
2008-05-19,332.89956353110193
2008-05-20,329.9281415085837
2008-05-21,330.2185575547505
2008-05-22,329.5489721471199
2008-05-23,325.1331693972071
2008-05-26,325.1261179172086
2008-05-27,322.8357058443915
2008-05-28,324.13184047975943
2008-05-29,322.8651739157854
2008-05-30,325.5522149693691
2008-06-02,320.6863920090433
2008-06-03,320.9311351079527
2008-06-04,317.62518869566696
2008-06-05,318.8853839966959
2008-06-06,315.70549395571993
2008-06-09,314.36971682486177
2008-06-10,307.08270530250945
2008-06-11,302.6834228274565
2008-06-12,302.86843671227655
2008-06-13,302.64015234410584
2008-06-16,303.40417830753825
2008-06-17,306.0657381061059
2008-06-18,301.6369062013446
2008-06-19,299.03873858770777
2008-06-20,296.7016888537177
2008-06-23,293.2392345801595
2008-06-24,292.7100717696937
2008-06-25,296.94044400198896
2008-06-26,292.4510846619897
2008-06-27,290.57159553106595
2008-06-30,291.4300894597534
2008-07-01,285.45664930580193
2008-07-02,286.1867325473791
2008-07-03,286.02730848103687
2008-07-04,281.21009635809094
2008-07-07,285.1126117186915
2008-07-08,280.8471724409539
2008-07-09,286.7053446653502
2008-07-10,282.41348958858725
2008-07-11,276.65735964571394
2008-07-14,278.3986526767044
2008-07-15,273.04349658364174
2008-07-16,273.6200614721087
2008-07-17,282.3390867037099
2008-07-18,286.788531901232
2008-07-21,288.68611140209356
2008-07-22,287.07897506379646
2008-07-23,289.9254243292096
2008-07-24,285.22957553208505
2008-07-25,284.9643857956113
2008-07-28,282.7185652486181
2008-07-29,280.8580967062504
2008-07-30,283.58386580592463
2008-07-31,284.2004417495682
2008-08-01,279.0783427567344
2008-08-04,277.9810778124194
2008-08-05,283.37195767764996
2008-08-06,285.1365329256561
2008-08-07,283.3318607707438
2008-08-08,278.7339307394828
2008-08-11,281.67851784129004
2008-08-12,279.1513725079103
2008-08-13,271.81426405321054
2008-08-14,272.90914037603903
2008-08-15,270.4705143222565
2008-08-18,270.5164295418524
2008-08-19,263.59458241694085
2008-08-20,265.13704996353965
2008-08-21,264.44615212012434
2008-08-22,268.580512920474
2008-08-25,265.5015067796533
2008-08-26,264.44288716795626
2008-08-27,265.56097027774297
2008-08-28,270.2611021150643
2008-08-29,271.405255620556
2008-09-01,268.64725225162283
2008-09-02,271.3667448229783
2008-09-03,266.70135034189786
2008-09-04,257.6898382507456
2008-09-05,248.9070260206887
2008-09-08,255.49751260507784
2008-09-09,252.01508083443045
2008-09-10,248.92897230606437
2008-09-11,244.76803428647858
2008-09-12,253.22497531723687
2008-09-15,244.58979067629224
2008-09-16,238.97904220396092
2008-09-17,234.4038375154878
2008-09-18,235.5397328015722
2008-09-19,255.19200997299347
2008-09-22,254.11216671907235
2008-09-23,251.40711319075518
2008-09-24,248.7803935520192
2008-09-25,254.40267691990235
2008-09-26,248.79868175249658
2008-09-29,233.02470735658343
2008-09-30,229.51499374924356
2008-10-01,229.99975801043067
2008-10-02,222.6997941621792
2008-10-03,228.84066187732967
2008-10-06,206.14997708765057
2008-10-07,206.99646975068305
2008-10-08,194.91518140539728
2008-10-09,191.0629541292376
2008-10-10,175.30896600317027
2008-10-13,194.76780558039897
2008-10-14,200.61620433534253
2008-10-15,187.426396088037
2008-10-16,174.91450483220305
2008-10-17,181.2090472002485
2008-10-20,184.4289496551673
2008-10-21,182.21741500832994
2008-10-22,168.93805294253386
2008-10-23,167.55432404670077
2008-10-24,158.16760523980454
2008-10-27,150.81249635372617
2008-10-28,155.69398711546395
2008-10-29,170.37067157384178
2008-10-30,172.46616358051213
2008-10-31,174.56220478791204
2008-11-03,177.362158989853
2008-11-04,189.4932215654077
2008-11-05,187.48701122497968
2008-11-06,172.30765089754053
2008-11-07,175.96037626088756
2008-11-10,178.04599763615073
2008-11-11,166.00741818315677
2008-11-12,160.8437470000826
2008-11-13,162.40147439747065
2008-11-14,165.350397849864
2008-11-17,159.36383717092167
2008-11-18,160.3658338016224
2008-11-19,154.11910274007008
2008-11-20,147.7779256724478
2008-11-21,144.174623409809
2008-11-24,160.87436255990562
2008-11-25,163.63753858432227
2008-11-26,161.68156541816776
2008-11-27,165.20101004301432
2008-11-28,163.11128095509363
2008-12-01,153.13310239679723
2008-12-02,158.38851006282997
2008-12-03,158.83099648725235
2008-12-04,159.31170186384273
2008-12-05,151.32733551000115
2008-12-08,165.62328134501135
2008-12-09,167.41138048715686
2008-12-10,169.8877665240311
2008-12-11,172.23678035116995
2008-12-12,169.94430481589816
2008-12-15,173.22393618005978
2008-12-16,176.82295433542552
2008-12-17,183.87408095189355
2008-12-18,186.56409220931067
2008-12-19,178.64240238892143
2008-12-22,175.43994267005505
2008-12-23,175.25648693038846
2008-12-24,175.3842034621919
2008-12-25,175.3842034621919
2008-12-26,176.23062206110498
2008-12-29,179.51673629895024
2008-12-30,182.31163328939797
2008-12-31,179.0641939192657
2009-01-01,179.0641939192657
2009-01-02,185.95778364356175
2009-01-05,183.77486576127833
2009-01-06,182.4451343659247
2009-01-07,183.6916448888755
2009-01-08,182.95695384195164
2009-01-09,178.33692890474106
2009-01-12,173.71119660319403
2009-01-13,168.70610053778603
2009-01-14,161.18638043093387
2009-01-15,157.58691189299773
2009-01-16,161.28495708873294
2009-01-19,157.87768857003942
2009-01-20,151.81851479381953
2009-01-21,150.81118114197457
2009-01-22,149.9948723108163
2009-01-23,147.274338711375
2009-01-26,156.25377440517894
2009-01-27,156.74078553476386
2009-01-28,163.61133913853274
2009-01-29,158.501845513415
2009-01-30,153.865808489816
2009-02-02,150.9281987812045
2009-02-03,155.48978677153278
2009-02-04,158.09380868131117
2009-02-05,157.20601730189273
2009-02-06,161.04317644983774
2009-02-09,164.5609983597711
2009-02-10,159.1049632815653
2009-02-11,157.50751275749943
2009-02-12,152.65022795957105
2009-02-13,155.08486613173847
2009-02-16,151.5379005509746
2009-02-17,143.91002964226382
2009-02-18,143.03037062614297
2009-02-19,144.90151269846587
2009-02-20,137.95978157307215
2009-02-23,137.43709492199304
2009-02-24,136.46109419256547
2009-02-25,135.0210588640112
2009-02-26,138.7249462607545
2009-02-27,135.87888191506067
2009-03-02,128.90239279554922
2009-03-03,127.02026146770402
2009-03-04,131.84515198079046
2009-03-05,125.95014118931876
2009-03-06,124.93365450935332
2009-03-09,124.16265021124615
2009-03-10,132.11001378331812
2009-03-11,133.16122116055692
2009-03-12,135.2047246115418
2009-03-13,136.45326529354983
2009-03-16,141.43049849556348
2009-03-17,139.91824775479714
2009-03-18,141.75448665337385
2009-03-19,149.64250413237124
2009-03-20,148.54449859434564
2009-03-23,153.08385959368854
2009-03-24,152.81512425434187
2009-03-25,154.81385417900057
2009-03-26,155.69629229876645
2009-03-27,150.39528699232602
2009-03-30,142.18299915405092
2009-03-31,147.7005885723471
2009-04-01,149.1036215669065
2009-04-02,159.56607505755713
2009-04-03,158.54127327813944
2009-04-06,157.34508435384924
2009-04-07,154.61370743398936
2009-04-08,155.61621531510696
2009-04-09,159.48443729977336
2009-04-10,159.49410821483522
2009-04-13,160.84662308290729
2009-04-14,162.22116114308838
2009-04-15,160.50814180049488
2009-04-16,163.57040917334257
2009-04-17,164.67157466167617
2009-04-20,157.03506529142066
2009-04-21,157.39762818082235
2009-04-22,160.9823161631912
2009-04-23,160.54386882660953
2009-04-24,167.04020677339741
2009-04-27,165.30131958765446
2009-04-28,162.1762306804981
2009-04-29,168.37400104574064
2009-04-30,170.82612985527695
2009-05-01,170.8519129855849
2009-05-04,176.46973576636148
2009-05-05,175.93871003799637
2009-05-06,177.69525782608045
2009-05-07,177.69124596719945
2009-05-08,182.27146231582685
2009-05-11,181.3278193675001
2009-05-12,181.15872085494902
2009-05-13,175.63452058132782
2009-05-14,175.46558596942242
2009-05-15,176.58467324298988
2009-05-18,179.4743297553707
2009-05-19,184.00059958403432
2009-05-20,188.57098015300824
2009-05-21,183.9752351249712
2009-05-22,187.37219338317288
2009-05-25,187.92835107288425
2009-05-26,189.3018880125851
2009-05-27,189.81923027328128
2009-05-28,188.02325278421554
2009-05-29,190.86974964154365
2009-06-01,196.80928546082833
2009-06-02,199.10722189184867
2009-06-03,193.86877691795542
2009-06-04,193.8432031693923
2009-06-05,192.40747943612953
2009-06-08,187.836097963889
2009-06-09,190.55645867468735
2009-06-10,192.48625241482665
2009-06-11,194.80234992056893
2009-06-12,192.99838253605267
2009-06-15,185.36833408435345
2009-06-16,185.4272462487106
2009-06-17,181.38056363740475
2009-06-18,184.29983365884647
2009-06-19,185.51148823702667
2009-06-22,179.44998699779893
2009-06-23,181.08022892653875
2009-06-24,185.95027996140567
2009-06-25,183.5010966491742
2009-06-26,184.87820628749319
2009-06-29,188.13895692016249
2009-06-30,185.772437099778
2009-07-01,190.90342188864818
2009-07-02,184.03851223051103
2009-07-03,184.0144330233946
2009-07-06,180.49426676886148
2009-07-07,180.08055493781492
2009-07-08,176.49475645239235
2009-07-09,178.9505153455847
2009-07-10,176.1428934766199
2009-07-13,180.4851378986686
2009-07-14,182.35927036267756
2009-07-15,189.73955368921685
2009-07-16,190.9412708711056
2009-07-17,191.70931957066836
2009-07-20,195.38801871693002
2009-07-21,197.19542805775978
2009-07-22,197.67511605815278
2009-07-23,202.13953889320882
2009-07-24,201.30857941125586
2009-07-27,202.72859011787955
2009-07-28,200.1154827224937
2009-07-29,200.5438801714357
2009-07-30,204.6054963799791
2009-07-31,205.6730258133166
2009-08-03,212.10744279815768
2009-08-04,211.62565944482512
2009-08-05,209.7768514000708
2009-08-06,210.71186032755662
2009-08-07,211.01074565060864
2009-08-10,209.64095840951987
2009-08-11,206.13332417349054
2009-08-12,209.7633856359749
2009-08-13,212.61000244374313
2009-08-14,209.60481480807573
2009-08-17,202.6081039530826
2009-08-18,205.0151700608643
2009-08-19,206.44605453891177
2009-08-20,209.79838564745032
2009-08-21,216.45081396263015
2009-08-24,219.3150270463958
2009-08-25,221.06120832177828
2009-08-26,219.0937877918168
2009-08-27,218.01478121035456
2009-08-28,222.41012758704028
2009-08-31,219.7860631240182
2009-09-01,214.89591081701656
2009-09-02,212.35136953381237
2009-09-03,212.58488045604886
2009-09-04,215.35115708703964
2009-09-07,220.39769442969177
2009-09-08,223.8121331264625
2009-09-09,227.57620373369366
2009-09-10,227.340484906599
2009-09-11,229.5031909996495
2009-09-14,229.46469796855996
2009-09-15,230.284646086432
2009-09-16,235.051074519817
2009-09-17,237.09659083419288
2009-09-18,236.2233126449887
2009-09-21,233.65674098861874
2009-09-22,236.81253349446243
2009-09-23,237.01194134187375
2009-09-24,232.3139673016423
2009-09-25,231.3647980138085
2009-09-28,235.31539938230128
2009-09-29,233.51706850703422
