Date,WORLD ex AUSTRALIA WITH USA GROSS
2010-10-14,1569.5331104987545
2010-10-15,1566.6701424445762
2010-10-18,1572.9692685517273
2010-10-19,1548.8183402244942
2010-10-20,1565.8991814852525
2010-10-21,1570.0662809032556
2010-10-22,1567.5063580837686
2010-10-25,1574.7304004429084
2010-10-26,1567.7070508271636
2010-10-27,1556.364778559426
2010-10-28,1565.2946557296177
2010-10-29,1566.6320874391465
2010-11-01,1567.099589763787
2010-11-02,1580.5549095687518
2010-11-03,1580.6434610431904
2010-11-04,1618.6604245279214
2010-11-05,1619.6781038328163
2010-11-08,1616.1171011812967
2010-11-09,1613.1894822289162
2010-11-10,1603.970389052949
2010-11-11,1600.69580416242
2010-11-12,1586.300796328489
2010-11-15,1585.1453010996545
2010-11-16,1555.3965131627504
2010-11-17,1559.2052906593087
2010-11-18,1584.7713772794446
2010-11-19,1586.9021020704538
2010-11-22,1581.4691541464354
2010-11-23,1555.1681472464886
2010-11-24,1569.9470471890008
2010-11-25,1572.4300183241378
2010-11-26,1555.8746455908683
2010-11-29,1543.4771934103178
2010-11-30,1534.1698640361622
2010-12-01,1565.0003257627452
2010-12-02,1590.8733750515278
2010-12-03,1602.7507258812495
2010-12-06,1599.6230468006206
2010-12-07,1605.12683060078
2010-12-08,1602.999811812507
2010-12-09,1608.2755207383295
2010-12-10,1615.0861022926745
2010-12-13,1626.2265973337192
2010-12-14,1628.9763317856718
2010-12-15,1618.7859237561977
2010-12-16,1619.6955442395094
2010-12-17,1617.0165660303774
2010-12-20,1619.6421842293253
2010-12-21,1634.204410127355
2010-12-22,1637.292551185271
2010-12-23,1636.5566564030148
2010-12-24,1638.1313277071577
2010-12-27,1636.1975095591813
2010-12-28,1639.2770642628452
2010-12-29,1644.229925235489
2010-12-30,1640.9926989272633
2010-12-31,1645.376467616267
2011-01-03,1656.3825238907984
2011-01-04,1659.1022373553594
2011-01-05,1654.6302751060323
2011-01-06,1653.0164098603414
2011-01-07,1650.0316673801676
2011-01-10,1642.7253313299263
2011-01-11,1652.0137517619216
2011-01-12,1673.1656985063544
2011-01-13,1681.0795818943448
2011-01-14,1686.4954095593507
2011-01-17,1684.5901884661876
2011-01-18,1695.6228320962082
2011-01-19,1685.0852803872933
2011-01-20,1668.7645786602475
2011-01-21,1678.6426801459377
2011-01-24,1690.6690001087275
2011-01-25,1688.9738288850995
2011-01-26,1699.0123819314092
2011-01-27,1702.9089826048623
2011-01-28,1677.9117267915717
2011-01-31,1685.9205873770163
2011-02-01,1714.7178799356066
2011-02-02,1718.1284600510812
2011-02-03,1713.8540736162606
2011-02-04,1715.360064253881
2011-02-07,1725.644280697343
2011-02-08,1736.0489914780092
2011-02-09,1730.0800851744352
2011-02-10,1724.4385765494706
2011-02-11,1729.4116390280844
2011-02-14,1734.005968098641
2011-02-15,1733.5842403788226
2011-02-16,1744.2188508373313
2011-02-17,1753.8582930797388
2011-02-18,1757.6327497184407
2011-02-21,1752.1668382109413
2011-02-22,1726.3979691751797
2011-02-23,1715.743415710631
2011-02-24,1712.4344930607083
2011-02-25,1730.8944983758374
2011-02-28,1744.785565660312
2011-03-01,1730.5848487108572
2011-03-02,1727.257667690829
2011-03-03,1746.6607827123837
2011-03-04,1741.1329795592046
2011-03-07,1729.0240619089961
2011-03-08,1732.3487329145223
2011-03-09,1731.3613768242658
2011-03-10,1698.051729271383
2011-03-11,1700.7998304729085
2011-03-14,1682.4649157389592
2011-03-15,1645.3418305139407
2011-03-16,1629.8809619239362
2011-03-17,1656.3676172385742
2011-03-18,1664.6181649681016
2011-03-21,1691.0288012565877
2011-03-22,1695.5128643049675
2011-03-23,1696.3120608603563
2011-03-24,1711.7330344664454
2011-03-25,1713.2488913837167
2011-03-28,1707.7583534463604
2011-03-29,1712.3979723006796
2011-03-30,1727.5667266447774
2011-03-31,1725.7625292936589
2011-04-01,1734.1457839054476
2011-04-04,1740.0172654695084
2011-04-05,1737.2122559065426
2011-04-06,1743.7578035384076
2011-04-07,1738.785533616596
2011-04-08,1746.3863971331828
2011-04-11,1742.0422858994461
2011-04-12,1723.791790329619
2011-04-13,1730.015195316779
2011-04-14,1727.6603603669146
2011-04-15,1730.1096189443144
2011-04-18,1702.502498921516
2011-04-19,1713.496621665404
2011-04-20,1746.2788399048927
2011-04-21,1759.9146840268306
2011-04-22,1760.0150802569615
2011-04-25,1755.5484967260493
2011-04-26,1767.684140765652
2011-04-27,1774.852103009628
2011-04-28,1792.3650575033246
2011-04-29,1798.2854526290719
2011-05-02,1802.4793942305676
2011-05-03,1792.120045499453
2011-05-04,1778.5901860919819
2011-05-05,1758.3862340389678
2011-05-06,1763.6001504508438
2011-05-09,1756.4814569295113
2011-05-10,1773.514050612647
2011-05-11,1761.9799733188966
2011-05-12,1756.0405397990737
2011-05-13,1745.3816528630784
2011-05-16,1737.7509146182667
2011-05-17,1728.0126881532256
2011-05-18,1745.0430855637337
2011-05-19,1749.2498286571183
2011-05-20,1737.6094176365702
2011-05-23,1709.2693149972804
2011-05-24,1712.0295554378474
2011-05-25,1719.2048648403115
2011-05-26,1727.0141487583342
2011-05-27,1741.816840351887
2011-05-30,1741.9249910712415
2011-05-31,1763.7793145038042
2011-06-01,1738.4019910312034
2011-06-02,1726.688120373286
2011-06-03,1719.5816645230104
2011-06-06,1705.624943161323
2011-06-07,1708.6109561933315
2011-06-08,1696.2531905811459
2011-06-09,1704.3745154312835
2011-06-10,1678.447171618968
2011-06-13,1678.702026773378
2011-06-14,1701.0691460078265
2011-06-15,1671.93860090404
2011-06-16,1660.1545494323632
2011-06-17,1669.1440319694793
2011-06-20,1671.3131344479395
2011-06-21,1697.7428344564648
2011-06-22,1694.2795533286833
2011-06-23,1671.4131888852244
2011-06-24,1662.6520467617393
2011-06-27,1672.2842067371394
2011-06-28,1691.8372078319696
2011-06-29,1714.1349140476043
2011-06-30,1735.9366257115375
2011-07-01,1753.3516290979555
2011-07-04,1759.0995948518582
2011-07-05,1756.5273072910823
2011-07-06,1751.4899627816596
2011-07-07,1765.1464341390856
2011-07-08,1752.2095267069014
2011-07-11,1715.553861583225
2011-07-12,1706.8644500179294
2011-07-13,1723.40903261803
2011-07-14,1711.147133612837
2011-07-15,1715.1588836030546
2011-07-18,1693.8229348870163
2011-07-19,1719.5232437861725
2011-07-20,1728.4621697807256
2011-07-21,1754.4386712071598
2011-07-22,1760.484069288904
2011-07-25,1751.2334753991715
2011-07-26,1751.9214934254971
2011-07-27,1720.3205615968482
2011-07-28,1713.0863185417422
2011-07-29,1705.0263769042424
2011-08-01,1692.1314864196154
2011-08-02,1656.2387301952506
2011-08-03,1650.4209734821345
2011-08-04,1578.3151807779786
2011-08-05,1562.1960877764288
2011-08-08,1481.7357567534355
2011-08-09,1525.2265310614534
2011-08-10,1476.8201126407803
2011-08-11,1525.9915959224677
2011-08-12,1544.6864431864508
2011-08-15,1574.8727942278933
2011-08-16,1564.372661140812
2011-08-17,1568.6251379913845
2011-08-18,1499.1504713011284
2011-08-19,1479.0761058205992
2011-08-22,1478.9410349988134
2011-08-23,1513.240939085159
2011-08-24,1528.2780855648139
2011-08-25,1508.8869573052414
2011-08-26,1520.1676343454972
2011-08-29,1556.761627762514
2011-08-30,1563.7930282363461
2011-08-31,1583.7038004340698
2011-09-01,1572.4658313879195
