Date,MALAYSIA SMALL VALUE
2020-03-13,1459.4212200374257
2020-03-16,1322.0911846672789
2020-03-17,1280.0625360439092
2020-03-18,1253.1023944660735
2020-03-19,1183.427360103621
2020-03-20,1257.489452151941
2020-03-23,1179.0104358734764
2020-03-24,1223.1784347877162
2020-03-25,1278.1184031049027
2020-03-26,1321.5066596471772
2020-03-27,1348.2541049952295
2020-03-30,1318.088224575367
2020-03-31,1343.4696180087033
2020-04-01,1328.123655509542
2020-04-02,1361.2868599726044
2020-04-03,1360.6144413841466
2020-04-06,1386.1420392004502
2020-04-07,1407.2902669601128
2020-04-08,1404.3395397425063
2020-04-09,1410.1060910440162
2020-04-10,1394.4509261298388
2020-04-13,1389.348307296362
2020-04-14,1400.1177785811858
2020-04-15,1428.8496184156502
2020-04-16,1441.2234975294227
2020-04-17,1460.2784699342712
2020-04-20,1476.1015826237299
2020-04-21,1436.7317018726678
2020-04-22,1459.3535330664693
2020-04-23,1473.044010033344
2020-04-24,1480.7699938967746
2020-04-27,1471.1671356459078
2020-04-28,1468.0709089114137
2020-04-29,1486.2799305929143
2020-04-30,1513.8564422945744
2020-05-01,1506.224246032836
2020-05-04,1513.8903217030868
2020-05-05,1553.2497243497412
2020-05-06,1560.8882688899346
2020-05-07,1563.7848372386054
2020-05-08,1567.2584558343112
2020-05-11,1574.135571460374
2020-05-12,1570.0226143764319
2020-05-13,1570.763332198391
2020-05-14,1571.410154335472
2020-05-15,1571.80855310441
2020-05-18,1620.3980560481564
2020-05-19,1611.433048584295
2020-05-20,1618.4435535521984
2020-05-21,1667.8234516195707
2020-05-22,1645.0157123138806
2020-05-25,1644.5626855422324
2020-05-26,1630.9384692024498
2020-05-27,1681.3636519559147
2020-05-28,1676.8462767920703
2020-05-29,1691.8198118072287
2020-06-01,1703.5210502524226
2020-06-02,1733.2655900206626
2020-06-03,1759.2487174790247
2020-06-04,1762.4366390950674
2020-06-05,1759.4182916844873
2020-06-08,1761.36437863662
2020-06-09,1793.1565425397114
2020-06-10,1804.7949888048583
2020-06-11,1773.445390222297
2020-06-12,1777.807296337097
2020-06-15,1687.1409975206045
2020-06-16,1745.8800799054027
2020-06-17,1749.622441452926
2020-06-18,1734.0843862144834
2020-06-19,1745.412196078779
2020-06-22,1730.7549461799838
2020-06-23,1705.9833340004125
2020-06-24,1722.0191480094575
2020-06-25,1714.6449397505316
2020-06-26,1705.5311423165858
2020-06-29,1685.0658180376795
2020-06-30,1695.875600852067
2020-07-01,1706.0366648971246
2020-07-02,1726.4605855611453
2020-07-03,1743.7320310027744
2020-07-06,1752.7704124492557
2020-07-07,1749.0282429309027
2020-07-08,1738.8155835964515
2020-07-09,1759.6004295762614
2020-07-10,1740.5176901236068
2020-07-13,1733.4649229692902
2020-07-14,1707.8161428889832
2020-07-15,1727.0032002470928
2020-07-16,1700.6308904669154
2020-07-17,1716.8197684360166
2020-07-20,1722.7232730280557
2020-07-21,1726.449677781194
2020-07-22,1710.2474104367122
2020-07-23,1716.2142313114641
2020-07-24,1710.6246819998194
2020-07-27,1690.9398139228767
2020-07-28,1705.0482940745335
2020-07-29,1693.9134332233461
2020-07-30,1673.5459701483549
2020-07-31,1669.2294245171054
2020-08-03,1675.6914589305775
2020-08-04,1680.539663547253
2020-08-05,1692.9351438893825
2020-08-06,1713.2702483397645
2020-08-07,1709.8825593733936
2020-08-10,1705.6385117764266
2020-08-11,1719.5172627484642
2020-08-12,1713.7336735358133
2020-08-13,1726.2251611716206
2020-08-14,1702.3547547638937
2020-08-17,1698.2779181100152
2020-08-18,1700.8865308885263
2020-08-19,1728.8318382924851
2020-08-20,1737.4457029599055
2020-08-21,1759.6275438838668
2020-08-24,1763.1416307236705
2020-08-25,1747.8686808560794
2020-08-26,1760.8693585868411
2020-08-27,1763.2943069832206
2020-08-28,1763.9879968275661
2020-08-31,1754.9169435389756
2020-09-01,1771.9204087595665
2020-09-02,1814.647547372645
2020-09-03,1804.1617225464147
2020-09-04,1798.5457139190344
2020-09-07,1790.2151517260186
2020-09-08,1785.5301188371498
2020-09-09,1751.0922638663708
2020-09-10,1727.4341831060308
2020-09-11,1752.0599358172262
2020-09-14,1764.9789518973612
2020-09-15,1786.3861735340154
2020-09-16,1789.708699282652
2020-09-17,1780.47835425544
2020-09-18,1790.960843998977
2020-09-21,1792.3609749797322
2020-09-22,1794.5697994167344
2020-09-23,1772.2336300035656
2020-09-24,1763.3458746669855
2020-09-25,1781.8432255540006
2020-09-28,1780.8752845408717
2020-09-29,1782.1904679752301
2020-09-30,1786.9917847436911
2020-10-01,1787.3291238572729
2020-10-02,1765.6717929760534
2020-10-05,1769.4706614534643
2020-10-06,1748.1363916146167
2020-10-07,1750.5026840911892
2020-10-08,1759.9600965658171
2020-10-09,1768.2673932506161
2020-10-12,1760.9592924691362
2020-10-13,1770.85867222424
2020-10-14,1760.7613588441873
2020-10-15,1783.4509986016212
2020-10-16,1784.4345275510782
2020-10-19,1791.7443239473992
2020-10-20,1769.8874462291517
2020-10-21,1755.1307716312156
2020-10-22,1755.7230842948513
2020-10-23,1731.6389470633076
2020-10-26,1720.997148518377
2020-10-27,1730.082741149851
2020-10-28,1733.206100997582
2020-10-29,1747.1817710377939
2020-10-30,1718.8312248627212
2020-11-02,1694.7932170710637
2020-11-03,1696.7860181890208
2020-11-04,1715.7526129385024
2020-11-05,1755.8727476878614
2020-11-06,1761.8805513613308
2020-11-09,1770.9052592474056
2020-11-10,1815.7962988131967
2020-11-11,1830.6052625706461
2020-11-12,1825.8237151006617
2020-11-13,1835.3261194410045
2020-11-16,1875.0195868877934
2020-11-17,1910.1868346282283
2020-11-18,1903.391586338546
2020-11-19,1897.3083063927631
2020-11-20,1908.2981748246539
2020-11-23,1916.9352142579455
2020-11-24,1880.1449483208598
2020-11-25,1886.4396890461112
2020-11-26,1917.7297541032015
2020-11-27,1916.8442010717786
2020-11-30,1921.9189560663622
2020-12-01,1930.3128077864653
2020-12-02,1932.3085497979316
2020-12-03,1954.596342197749
2020-12-04,1995.8389113495448
2020-12-07,2033.777022569512
2020-12-08,2023.5094291961068
2020-12-09,2033.998386122304
2020-12-10,2044.3655104885763
2020-12-11,2078.3866154606794
2020-12-14,2070.6744548237752
2020-12-15,2085.55122693602
2020-12-16,2108.6398502036345
2020-12-17,2099.410530970689
2020-12-18,2078.087166163573
2020-12-21,2063.9743980024405
2020-12-22,2024.5537474339976
2020-12-23,2043.2184554591245
2020-12-24,2046.5266117125734
2020-12-25,2046.5266117125739
2020-12-28,2052.712540349817
2020-12-29,2054.2204891751176
2020-12-30,2049.389321949808
2020-12-31,2053.8861705204486
2021-01-01,2053.886170520448
2021-01-04,2057.9293993344227
2021-01-05,2029.7020443385097
2021-01-06,1995.6173598621422
2021-01-07,1960.9453083103028
2021-01-08,1938.0627297547198
2021-01-11,1936.1476939697184
2021-01-12,1917.3811101578951
2021-01-13,1965.134434998483
2021-01-14,1979.2349462790291
2021-01-15,1980.9770292652427
2021-01-18,1977.0367695026232
2021-01-19,1974.042370891267
2021-01-20,1981.5547902891396
2021-01-21,1972.7547753763213
2021-01-22,1960.3619546101772
2021-01-25,1918.177448043754
2021-01-26,1906.3799321841793
2021-01-27,1925.510994503064
2021-01-28,1920.5076044162963
2021-01-29,1910.6016329148222
2021-02-01,1921.1172553926901
2021-02-02,1933.6078671466214
2021-02-03,1949.2491553792802
2021-02-04,1978.755233756992
2021-02-05,1954.6006472080617
2021-02-08,1954.0403009721715
2021-02-09,1961.7420406776448
2021-02-10,1960.5678500283227
2021-02-11,1972.8665742553892
2021-02-12,1975.064346153928
2021-02-15,1990.292246519419
2021-02-16,2012.8549854293958
2021-02-17,2018.2659682668425
2021-02-18,1996.501671740972
2021-02-19,1997.3668696354825
2021-02-22,1989.8449938350595
2021-02-23,1993.8870941915313
2021-02-24,2002.9140039816218
2021-02-25,2008.1275348170682
2021-02-26,2003.1321624923644
2021-03-01,2018.2548971677468
2021-03-02,2012.7871047790966
2021-03-03,2013.526666573118
2021-03-04,2020.7889272176092
2021-03-05,2036.405592893542
2021-03-08,2051.4665758782867
2021-03-09,2079.1999786599063
2021-03-10,2086.9323299649145
2021-03-11,2101.5729693594053
2021-03-12,2101.530962157745
2021-03-15,2105.7839429088513
2021-03-16,2097.2391362295516
2021-03-17,2099.0454799426325
2021-03-18,2112.0274696985502
2021-03-19,2097.672442564365
2021-03-22,2095.173665411036
2021-03-23,2077.561151607795
2021-03-24,2074.0767110411903
2021-03-25,2079.072125689433
2021-03-26,2090.945718442704
2021-03-29,2098.3992061227136
2021-03-30,2104.7582447050386
2021-03-31,2080.7123870527134
2021-04-01,2103.777774387062
2021-04-02,2100.796570769453
2021-04-05,2106.1465511742676
2021-04-06,2108.1666901783888
2021-04-07,2103.754549369295
2021-04-08,2096.2807778880997
2021-04-09,2098.927500905347
2021-04-12,2102.4646620879394
2021-04-13,2090.277700300355
2021-04-14,2090.169124934787
2021-04-15,2074.25345455045
2021-04-16,2077.3133995718454
2021-04-19,2056.8262133443454
2021-04-20,2059.479291584195
2021-04-21,2054.8533043778193
2021-04-22,2072.355237113915
2021-04-23,2066.3913217494123
2021-04-26,2069.084500550421
2021-04-27,2055.9828666423805
2021-04-28,2058.93458574388
2021-04-29,2055.109781567919
2021-04-30,2075.448764819555
2021-05-03,2049.4997963031215
2021-05-04,2051.559519574178
2021-05-05,2053.768437175725
2021-05-06,2019.881992825313
2021-05-07,2019.3183711442987
2021-05-10,2014.5652538117288
2021-05-11,1988.1811589592585
2021-05-12,2003.273537863955
2021-05-13,2003.6053704857645
2021-05-14,1993.7801329579363
2021-05-17,1968.333119649158
2021-05-18,1976.2825296424733
2021-05-19,1937.264582216071
2021-05-20,1917.773087162253
2021-05-21,1908.5511359757654
2021-05-24,1926.4745454891413
2021-05-25,1925.0893235494448
2021-05-26,1929.3436645959634
2021-05-27,1959.5555930109686
2021-05-28,1976.218153409806
2021-05-31,1940.265114801656
2021-06-01,1932.4103813385952
2021-06-02,1968.2836935001046
2021-06-03,1986.1599063271863
2021-06-04,1977.6064190013954
2021-06-07,1973.7930317160474
2021-06-08,1993.8394767994985
2021-06-09,1987.955078139914
2021-06-10,1993.4815760092454
2021-06-11,2013.4371138513882
2021-06-14,2022.1962524776739
2021-06-15,2018.778377575247
2021-06-16,2008.037703790867
2021-06-17,2037.5203884131863
2021-06-18,2052.252786807478
2021-06-21,2024.1043525128894
2021-06-22,2015.1186395169661
2021-06-23,2000.4868636317576
2021-06-24,1987.1092081110933
2021-06-25,1979.1129975306098
2021-06-28,1958.1972590737178
2021-06-29,1968.4710126526252
2021-06-30,1972.1153854412019
2021-07-01,1970.8710172039428
2021-07-02,1970.5607280071283
2021-07-05,1955.918626703224
2021-07-06,1980.7556043940208
2021-07-07,1973.4574204540677
2021-07-08,1926.4809525832275
2021-07-09,1919.3101888372137
2021-07-12,1909.1630885552274
2021-07-13,1921.8308869415969
2021-07-14,1909.3484080305577
2021-07-15,1915.9957997561294
2021-07-16,1926.2368454320278
2021-07-19,1923.586515345519
2021-07-20,1930.6185425642104
2021-07-21,1925.4085089789744
2021-07-22,1941.0193787538453
2021-07-23,1939.8454052530867
2021-07-26,1916.4130010889091
2021-07-27,1918.2869126937376
2021-07-28,1917.0848143046683
2021-07-29,1899.2137338413172
2021-07-30,1906.9423523535638
2021-08-02,1904.1118816366197
2021-08-03,1912.6694198317314
2021-08-04,1908.3552271328049
2021-08-05,1902.8773406947087
2021-08-06,1918.1372011862238
2021-08-09,1921.6227534632226
2021-08-10,1925.721952988508
2021-08-11,1922.3455895198001
2021-08-12,1918.5875507279654
2021-08-13,1899.9448773600313
2021-08-16,1902.5565604779902
2021-08-17,1924.6548874130096
2021-08-18,1942.9594944318358
2021-08-19,1936.6720555711884
2021-08-20,1944.3367458423506
2021-08-23,1956.8329104325064
2021-08-24,1979.4923284121155
2021-08-25,1995.784233451868
2021-08-26,2006.0122872707718
2021-08-27,2000.153461073104
2021-08-30,2023.3840052089279
2021-08-31,2022.441262015345
2021-09-01,2017.6820017352823
2021-09-02,2012.3852553829267
2021-09-03,2022.1793703158583
