Date,BRAZIL SMALL VALUE
2006-05-25,522.0508724310549
2006-05-26,553.4012466414046
2006-05-29,553.7098724035453
2006-05-30,507.4224043297668
2006-05-31,522.4452136342145
2006-06-01,547.6087808069698
2006-06-02,548.1903480813814
2006-06-05,535.5044939829717
2006-06-06,537.325660335914
2006-06-07,532.7553079711347
2006-06-08,537.7611171254523
2006-06-09,537.6748980489726
2006-06-12,517.1636684053346
2006-06-13,502.9515407317832
2006-06-14,493.3725614507683
2006-06-15,497.9077131355941
2006-06-16,512.4183064110463
2006-06-19,518.2598535059425
2006-06-20,511.3020264725749
2006-06-21,513.2963937564194
2006-06-22,519.5905661696644
2006-06-23,525.7246447384252
2006-06-26,526.5095554336224
2006-06-27,524.2393615033334
2006-06-28,533.0321355199688
2006-06-29,556.0586919178601
2006-06-30,562.7985795962879
2006-07-03,570.785451060506
2006-07-04,570.9710172935257
2006-07-05,554.0041222385577
2006-07-06,555.1009596866312
2006-07-07,547.6846577488461
2006-07-10,552.1286073688102
2006-07-11,552.6082733815097
2006-07-12,550.314300709623
2006-07-13,535.2868749962031
2006-07-14,536.4908648153475
2006-07-17,543.1039607837292
2006-07-18,553.8816204892967
2006-07-19,572.5630457465137
2006-07-20,563.5095598587993
2006-07-21,557.5094020264387
2006-07-24,566.9419921719073
2006-07-25,564.3083521233866
2006-07-26,556.9288577853725
2006-07-27,565.9460841285962
2006-07-28,568.3182015847851
2006-07-31,566.1142336967256
2006-08-01,557.1759464317535
2006-08-02,556.7255256560458
2006-08-03,559.7837924177853
2006-08-04,564.9473707002849
2006-08-07,565.8141557209607
2006-08-08,564.7718780036486
2006-08-09,560.3678175368899
2006-08-10,568.5335353828257
2006-08-11,567.3221462539267
2006-08-14,565.4131385461586
2006-08-15,575.7059676317843
2006-08-16,581.0067252918178
2006-08-17,577.5351365703539
2006-08-18,576.6655866123472
2006-08-21,570.0307586431043
2006-08-22,570.4596214695714
2006-08-23,560.4616958882984
2006-08-24,555.953218486377
2006-08-25,561.8742303582077
2006-08-28,567.3525196309674
2006-08-29,572.3981196929707
2006-08-30,575.6716915913217
2006-08-31,579.3450908751219
2006-09-01,586.2692757604362
2006-09-04,598.7045519736783
2006-09-05,601.7259127445382
2006-09-06,598.5193627467764
2006-09-07,596.3179906043675
2006-09-08,600.8493385700599
2006-09-11,586.772655524175
2006-09-12,591.9772882524269
2006-09-13,593.8528901402859
2006-09-14,593.1635042176665
2006-09-15,603.5212093590552
2006-09-18,606.5420203925981
2006-09-19,597.1645636097927
2006-09-20,589.8259139951527
2006-09-21,575.0333496153572
