Date,INDONESIA SMALL GROWTH
1997-07-17,3846.3233327654775
1997-07-18,3779.7357004247765
1997-07-21,3567.407140959121
1997-07-22,3667.196713047227
1997-07-23,3646.4630296115874
1997-07-24,3585.863510993848
1997-07-25,3576.609172157023
1997-07-28,3608.1175775777424
1997-07-29,3610.7186712760226
1997-07-30,3573.237054728108
1997-07-31,3518.69539964576
1997-08-01,3544.474227422571
1997-08-04,3545.972161417617
1997-08-05,3530.8890970682983
1997-08-06,3500.7420414434814
1997-08-07,3446.5702722812266
1997-08-08,3425.6771801789787
1997-08-11,3321.292960935233
1997-08-12,3240.304387006609
1997-08-13,3237.88640077145
1997-08-14,3033.5734445551016
1997-08-15,2781.748598860403
1997-08-18,2641.4429569883687
1997-08-19,2718.4975283412145
1997-08-20,2806.0477676205287
1997-08-21,2953.8932064190776
1997-08-22,2851.388780130593
1997-08-25,2756.561390730309
1997-08-26,2714.5184003204845
1997-08-27,2615.706125380464
1997-08-28,2430.9298911401133
1997-08-29,2374.676985982748
1997-09-01,2316.690476201406
1997-09-02,2190.5312744905186
1997-09-03,2204.644088429889
1997-09-04,2287.6132490461537
1997-09-05,2539.000004015173
1997-09-08,2594.2981019728722
1997-09-09,2599.877560243486
1997-09-10,2491.8797427563263
1997-09-11,2452.723764466143
1997-09-12,2452.6342290216485
1997-09-15,2439.766964867799
1997-09-16,2418.3887118216253
1997-09-17,2355.5788019842557
1997-09-18,2338.114477274839
1997-09-19,2329.961119448319
1997-09-22,2303.516231419763
1997-09-23,2320.0752851762363
1997-09-24,2324.059586025777
1997-09-25,2291.0891718990943
1997-09-26,2198.5345972959863
1997-09-29,2084.2669952733077
1997-09-30,2028.5599744177364
1997-10-01,1946.1571845728645
1997-10-02,1943.5020993118728
1997-10-03,1761.1050774233374
1997-10-06,1701.0801197321007
1997-10-07,1704.3117521091363
1997-10-08,1708.0611094633332
1997-10-09,1764.7142298824522
1997-10-10,1870.0268655963364
1997-10-13,1826.7076564881463
1997-10-14,1800.0023952145482
1997-10-15,1735.406890839714
1997-10-16,1690.087273256444
1997-10-17,1735.8208417500935
1997-10-20,1715.402526907878
1997-10-21,1698.5325528306969
1997-10-22,1650.7066053262697
1997-10-23,1666.2112062971826
1997-10-24,1656.1896168883131
1997-10-27,1641.423838964529
1997-10-28,1523.1582323600246
1997-10-29,1582.7053427196718
1997-10-30,1616.5924715376334
1997-10-31,1608.0329178476572
1997-11-03,1808.055083987041
1997-11-04,1740.6385424190405
1997-11-05,1728.9558537568266
1997-11-06,1687.2784201523925
1997-11-07,1675.838847794181
1997-11-10,1671.5558468600598
1997-11-11,1617.0742526091503
1997-11-12,1556.9867841740866
1997-11-13,1548.2741871362857
1997-11-14,1529.5727503828296
1997-11-17,1505.7299020681633
1997-11-18,1494.1540447780592
1997-11-19,1442.8215362364126
1997-11-20,1356.2153769523547
1997-11-21,1343.1470085738863
1997-11-24,1360.2301398851687
1997-11-25,1310.0863058327545
1997-11-26,1323.3494586898582
1997-11-27,1348.019848225161
1997-11-28,1333.3400425726109
1997-12-01,1297.857732401363
1997-12-02,1263.7724856725526
1997-12-03,1204.7588571458136
1997-12-04,1224.744608760195
1997-12-05,1192.5758112413937
1997-12-08,1158.327970523202
1997-12-09,1040.5300471542
1997-12-10,1074.1956079118183
1997-12-11,1006.9651309433144
1997-12-12,875.6428724907164
1997-12-15,732.7155309364074
1997-12-16,738.7834017509921
1997-12-17,763.1776737679592
1997-12-18,834.788784836045
1997-12-19,847.4715999998436
1997-12-22,811.8402060123074
1997-12-23,774.0778407532462
1997-12-24,760.6522235134726
1997-12-25,760.6522235134726
1997-12-26,825.2359028683901
1997-12-29,849.9971185674875
1997-12-30,849.9667353249157
1997-12-31,861.5677371719347
1998-01-01,862.9659575888303
1998-01-02,761.9846171713983
1998-01-05,627.8662645902629
1998-01-06,575.008997236725
1998-01-07,527.4843148336678
1998-01-08,403.7928569081503
1998-01-09,445.3699093586945
1998-01-12,439.1566673234497
1998-01-13,465.1045431947043
1998-01-14,549.3716957311221
1998-01-15,451.1070668788559
1998-01-16,466.9756870728366
1998-01-19,419.59851565752825
