Date,GOLDEN DRAGON WITH PARTIAL A SHARES
2011-06-30,1926.1569106171066
2011-07-28,1976.9263176428763
2011-07-29,1947.392948799487
2011-08-30,1741.8437526940188
2011-08-31,1777.8971547765846
2011-09-29,1628.0047631732666
2011-09-30,1626.0912180557812
2011-10-28,1737.8318562445718
2011-10-31,1749.4250087553285
2011-11-29,1693.4511932633495
2011-11-30,1659.8198296067542
2011-12-29,1770.0402612240096
2011-12-30,1763.3984507099453
2012-01-30,1892.2839136736711
2012-01-31,1921.1812136762974
2012-02-28,1985.4347224806424
2012-02-29,2015.5776288766758
2012-03-29,1923.3238685477186
2012-03-30,1923.1180760947702
2012-04-27,1920.3671651674647
2012-04-30,1947.857698895109
2012-05-30,1903.6999615492232
2012-05-31,1903.8418480013993
2012-06-28,1886.1791214774746
2012-06-29,1887.5212916212315
2012-07-30,1960.9054249046926
2012-07-31,1976.535434394831
2012-08-30,1934.9560184822724
2012-08-31,1918.8700511450388
2012-09-27,1997.6829069936284
2012-09-28,2012.177547546048
2012-10-30,2003.7656067855005
2012-10-31,2021.220902236251
2012-11-29,2073.0380796319732
2012-11-30,2085.3398744096735
2012-12-28,2110.424370714264
2012-12-31,2119.9206206122144
2013-01-30,2138.9343050082093
2013-01-31,2131.023455549604
2013-02-27,2132.1501097012633
2013-02-28,2169.754191431942
2013-03-28,2141.5844516775187
2013-03-29,2145.510132830903
2013-04-29,2132.7920937473205
2013-04-30,2137.14180502052
2013-05-30,2148.1373180161936
2013-05-31,2159.787343343401
2013-06-27,1990.1895186104382
2013-06-28,2035.7511258995653
2013-07-30,2066.6121128191235
2013-07-31,2054.163950628017
2013-08-29,2062.9340943399443
2013-08-30,2084.7448158397
2013-09-27,2150.9878754172096
2013-09-30,2125.565084937928
2013-10-30,2155.179452138906
2013-10-31,2178.1613836004854
2013-11-28,2213.2962280457364
2013-11-29,2222.600112467093
2013-12-30,2154.582119877292
2013-12-31,2168.958211521248
2014-01-30,2084.2381177027173
2014-01-31,2096.3313991918535
2014-02-27,2121.386706020094
2014-02-28,2102.670054269296
2014-03-28,2082.380930670019
2014-03-31,2093.4472344250394
2014-04-29,2108.8872349124904
2014-04-30,2077.329438225581
2014-05-29,2207.3161672609453
2014-05-30,2204.0025372668547
2014-06-27,2262.2783225330118
2014-06-30,2264.8872021374073
2014-07-30,2452.0536897087645
2014-07-31,2441.410826671683
2014-08-28,2504.449598352119
2014-08-29,2502.8644695308567
2014-09-29,2445.285962980344
2014-09-30,2437.7043914956716
2014-10-30,2515.3165870373164
2014-10-31,2564.0535645380064
2014-11-27,2607.073789767605
2014-11-28,2614.528403060522
2014-12-30,2642.238805132545
2014-12-31,2676.2710748258346
2015-01-29,2945.7277393462127
2015-01-30,2940.633297619576
2015-02-26,3039.666075580675
2015-02-27,3031.9964360326367
2015-03-30,3178.5170549585855
2015-03-31,3218.9979601427954
2015-04-29,3507.5855070772313
2015-04-30,3462.9501585072935
2015-05-28,3502.3001958913883
2015-05-29,3473.381133164687
2015-06-29,3205.218196953097
2015-06-30,3259.5122523393375
2015-07-30,3041.388511729788
2015-07-31,3019.575480871393
2015-08-28,2643.6714321796203
2015-08-31,2645.242090437224
2015-09-29,2545.2875723839675
2015-09-30,2597.4616955116285
2015-10-29,2872.6853300730477
2015-10-30,2839.1589691183462
2015-11-27,2878.5292207618118
2015-11-30,2873.582057024248
2015-12-30,2752.146407528691
2015-12-31,2771.3752298765444
2016-01-28,2392.091078479049
2016-01-29,2485.0676149318033
2016-02-26,2475.9576818531245
2016-02-29,2467.6206037529905
2016-03-30,2605.4410891809875
2016-03-31,2603.331201543886
2016-04-28,2617.087931948537
2016-04-29,2559.7278953359496
2016-05-30,2610.3083553478573
2016-05-31,2630.4777347403906
2016-06-29,2638.6985157745858
2016-06-30,2683.4850691829997
2016-07-28,2860.2355567158816
2016-07-29,2796.660327696203
2016-08-30,2950.815883647595
2016-08-31,2940.3862285866953
2016-09-29,3039.4889785627565
2016-09-30,2992.9678752439922
2016-10-28,3056.8803679629514
2016-10-31,3039.6059397914473
2018-03-30,3756.1851542979293
2018-04-11,3793.0319893446904
2018-04-12,3798.195107489161
2018-04-13,3772.5597683326937
2018-04-16,3722.217992924836
2018-04-17,3701.4748286135664
2018-04-18,3715.724494513921
2018-04-19,3761.5644255462034
2018-04-20,3727.82963633155
2018-04-23,3708.172309431309
2018-04-24,3729.1600451604504
2018-04-25,3705.635599174922
2018-04-26,3704.1622223764725
2018-04-27,3748.669429328777
2018-04-30,3805.827742011659
2018-05-01,3839.244824463783
2018-05-02,3830.85770403439
2018-05-03,3794.4160318923223
2018-05-04,3797.4693124202367
2018-05-07,3829.9652056739637
2018-05-08,3897.6799528951733
2018-05-09,3902.284708565049
2018-05-10,3926.223837554585
2018-05-11,3934.5628814659967
2018-05-14,3978.156899781837
2018-05-15,3970.4362274907767
2018-05-16,3998.5031009343415
2018-05-17,3976.7337914926325
2018-05-18,3983.280856673033
2018-05-21,4011.0284063579156
2018-05-22,4000.43376647592
2018-05-23,3986.895094170965
2018-05-24,3993.905663974481
2018-05-25,4013.9268327063396
2018-05-28,4044.788884299159
2018-05-29,4029.973891140882
2018-05-30,3961.045046014845
2018-05-31,3986.7480013483705
