Date,CANADA MINIMUM VOLATILITY (CAD)
2001-12-04,965.8894391429557
2001-12-05,983.4743676978185
2001-12-06,973.6063353395477
2001-12-07,978.2167243258777
2001-12-10,970.9837393827916
2001-12-11,963.2958424176685
2001-12-12,974.3430463163178
2001-12-13,963.4480228535874
2001-12-14,965.4087957183646
2001-12-17,976.4245702242632
2001-12-18,979.134195802643
2001-12-19,972.415521607407
2001-12-20,969.0665386276173
2001-12-21,969.6507965669284
2001-12-24,964.999756464402
2001-12-25,964.999756464402
2001-12-26,964.7583254520267
2001-12-27,981.3919026358909
2001-12-28,982.3060472636286
2001-12-31,983.2702623565508
2002-01-01,983.2702623565508
2002-01-02,972.2192576438692
2002-01-03,985.1076277858309
2002-01-04,991.7074111108564
2002-01-07,998.0456824721114
2002-01-08,986.9447983214953
2002-01-09,987.1194163098617
2002-01-10,977.8234997685133
2002-01-11,978.283802372409
2002-01-14,966.8486507103307
2002-01-15,977.8099853835874
2002-01-16,973.8369101487228
2002-01-17,966.1903768378115
2002-01-18,959.7867915560417
2002-01-21,957.1305686743943
2002-01-22,959.4959844686972
2002-01-23,962.8797123171701
2002-01-24,972.40267947466
2002-01-25,972.4109823156984
2002-01-28,970.319013243385
2002-01-29,975.6512160824424
2002-01-30,972.6964243571186
2002-01-31,985.6196335768179
2002-02-01,991.9107081393659
2002-02-04,982.7330877419889
2002-02-05,976.3797967952914
2002-02-06,969.4415804658942
2002-02-07,967.753946872485
2002-02-08,978.5855003886886
2002-02-11,987.6390247794899
2002-02-12,982.5698785323802
2002-02-13,989.6459979978907
2002-02-14,992.6889330047152
2002-02-15,991.917489226796
2002-02-18,994.1892207451561
2002-02-19,985.5314211924172
2002-02-20,980.340165946643
2002-02-21,982.7465869650047
2002-02-22,983.1243966505508
2002-02-25,990.3499666711562
2002-02-26,994.6286823093169
2002-02-27,1004.5613882945294
2002-02-28,1008.3981502155488
2002-03-01,1026.6720732282752
2002-03-04,1046.8906206363365
2002-03-05,1042.020622939268
2002-03-06,1055.6513230509477
2002-03-07,1060.2295486341293
2002-03-08,1048.2443007443055
2002-03-11,1050.0652756139064
2002-03-12,1045.9393236346898
2002-03-13,1044.5876987538782
2002-03-14,1039.0361288772622
2002-03-15,1049.9687783359052
2002-03-18,1063.4039442221801
2002-03-19,1067.9421028046943
2002-03-20,1066.0190448632427
2002-03-21,1058.8914374254969
