Date,EMU SMALL VALUE
2019-03-14,1101.7654986641855
2019-03-15,1105.5995175913663
2019-03-18,1111.0710950042803
2019-03-19,1119.854035052779
2019-03-20,1111.3169133380677
2019-03-21,1110.5403306544003
2019-03-22,1086.782875294663
2019-03-25,1082.2634125752938
2019-03-26,1085.1946096656998
2019-03-27,1083.8485532603793
2019-03-28,1079.6043228429257
2019-03-29,1089.324055491823
2019-04-01,1101.9152493065442
2019-04-02,1103.7277351046464
2019-04-03,1121.4623618728722
2019-04-04,1119.088673648097
2019-04-05,1121.4875498308518
2019-04-08,1121.8031060475885
2019-04-09,1116.340609004074
2019-04-10,1116.3105418234359
2019-04-11,1122.6192072792246
2019-04-12,1132.488153756641
2019-04-15,1138.4338571675034
2019-04-16,1142.6432721897434
2019-04-17,1146.4445314947316
2019-04-18,1142.5503231448931
2019-04-19,1142.5503231448931
2019-04-22,1143.7183320694367
2019-04-23,1138.5820344422157
2019-04-24,1134.0183097469837
2019-04-25,1124.7120716546099
2019-04-26,1126.9068214829772
2019-04-29,1130.6002879648695
2019-04-30,1134.4377863284014
2019-05-01,1137.8260806160413
2019-05-02,1129.405467403801
2019-05-03,1128.0645020479888
2019-05-06,1115.1398460089226
2019-05-07,1107.1080352308231
2019-05-08,1106.9804586273883
2019-05-09,1091.2602463837964
2019-05-10,1099.7574914057082
2019-05-13,1082.609987906303
2019-05-14,1090.7755406541796
2019-05-15,1091.929080679239
2019-05-16,1098.6874800521975
2019-05-17,1093.197463553014
2019-05-20,1081.0363925811143
2019-05-21,1089.311217641347
2019-05-22,1085.3145804014684
2019-05-23,1065.4068639465404
2019-05-24,1077.1660877506401
2019-05-27,1077.6129744114885
2019-05-28,1075.893972527799
2019-05-29,1059.7680511004667
2019-05-30,1062.4524869710942
2019-05-31,1059.6432656888394
2019-06-03,1058.9835476636404
2019-06-04,1074.7060579947918
2019-06-05,1081.8720980135865
2019-06-06,1078.5146858210774
2019-06-07,1092.6451721606993
2019-06-10,1096.7994728334209
2019-06-11,1107.5342152356593
2019-06-12,1103.5419495794727
2019-06-13,1104.003726994
2019-06-14,1091.0604783106648
2019-06-17,1088.7595034921405
2019-06-18,1097.9575369305753
2019-06-19,1103.072223616795
2019-06-20,1111.5688731331625
2019-06-21,1113.5570813498118
2019-06-24,1113.9173636247835
2019-06-25,1112.7935796574056
2019-06-26,1113.8149773804364
2019-06-27,1115.7359948306819
2019-06-28,1128.5007811810776
2019-07-01,1132.200274088586
2019-07-02,1128.15744158428
2019-07-03,1138.8484862247885
2019-07-04,1147.60802968173
2019-07-05,1136.6522624761953
2019-07-08,1131.253082275984
2019-07-09,1122.2646355220786
2019-07-10,1127.3410389307733
2019-07-11,1128.818695689521
2019-07-12,1132.4703793414965
2019-07-15,1134.9117964841405
2019-07-16,1132.3823774615655
2019-07-17,1122.8618887249297
2019-07-18,1112.9171830168782
2019-07-19,1112.5650124431043
2019-07-22,1116.6603713317295
2019-07-23,1118.4729178318664
2019-07-24,1121.0078967602253
2019-07-25,1122.2291825072743
2019-07-26,1117.2262667811212
2019-07-29,1115.8250762826974
2019-07-30,1099.2863290543573
2019-07-31,1102.1949479274717
2019-08-01,1100.9483304260998
2019-08-02,1090.5796285871036
2019-08-05,1083.084221007365
2019-08-06,1079.7368635151001
2019-08-07,1084.5168773266098
2019-08-08,1096.2704680061456
2019-08-09,1080.5302844241155
2019-08-12,1075.439467247026
2019-08-13,1074.9718471485205
2019-08-14,1052.9267040090413
2019-08-15,1042.3789312305232
2019-08-16,1057.5701929121524
2019-08-19,1073.3989984271939
2019-08-20,1063.5731681765917
2019-08-21,1076.8042549756844
2019-08-22,1075.0720816445812
2019-08-23,1070.4242311677779
2019-08-26,1071.71133301016
2019-08-27,1078.0471484377326
2019-08-28,1070.2721251044932
2019-08-29,1079.7495334784905
2019-08-30,1078.987637249171
2019-09-02,1072.5236446107706
2019-09-03,1066.8360162112178
2019-09-04,1085.0015130648962
2019-09-05,1096.804849055881
2019-09-06,1097.1616923960055
2019-09-09,1104.6098938234013
2019-09-10,1105.566245538196
2019-09-11,1105.9603951336599
2019-09-12,1111.5803352267656
2019-09-13,1126.542778377914
2019-09-16,1113.4957887277142
2019-09-17,1114.661305513282
2019-09-18,1116.816728122789
2019-09-19,1122.745612083984
2019-09-20,1114.0106942293387
2019-09-23,1099.7465992168393
2019-09-24,1098.822274522977
2019-09-25,1088.6398882954145
2019-09-26,1091.2444828504802
2019-09-27,1096.003080991206
2019-09-30,1096.0203840567265
2019-10-01,1090.8905725905563
2019-10-02,1072.470365351818
2019-10-03,1072.139936810959
2019-10-04,1078.9103323985162
2019-10-07,1086.7907037982702
2019-10-08,1075.4326336757663
2019-10-09,1080.9558891677984
2019-10-10,1091.0763610899805
2019-10-11,1108.768204589498
2019-10-14,1106.8644242728005
2019-10-15,1117.3785638621969
2019-10-16,1119.3649246161376
2019-10-17,1129.4946964635326
2019-10-18,1130.4243517535617
2019-10-21,1139.9793030137755
2019-10-22,1139.9120306464736
2019-10-23,1138.7512008233036
2019-10-24,1139.7040397236337
2019-10-25,1141.2039903733983
2019-10-28,1146.715195759853
2019-10-29,1149.6259222508793
2019-10-30,1147.9317418302796
2019-10-31,1149.9089388854838
2019-11-01,1158.3836151392593
2019-11-04,1168.8850559954117
2019-11-05,1168.2585927626633
2019-11-06,1169.9576072161399
2019-11-07,1176.2978134778327
2019-11-08,1171.044769230744
2019-11-11,1173.588208214961
2019-11-12,1172.0513585007468
2019-11-13,1162.028533641467
2019-11-14,1161.1966050309659
2019-11-15,1171.8324744451952
2019-11-18,1174.102272901017
2019-11-19,1174.564181066487
2019-11-20,1169.3489177600086
2019-11-21,1163.836382599929
2019-11-22,1164.249751783189
2019-11-25,1166.5482103432737
2019-11-26,1171.493973526132
2019-11-27,1171.6790652908787
2019-11-28,1171.7286864657403
2019-11-29,1169.4119905410412
2019-12-02,1162.708643905722
2019-12-03,1154.1716006549768
2019-12-04,1169.6898245119312
2019-12-05,1171.444221173807
2019-12-06,1176.155174400416
2019-12-09,1178.2734862927982
2019-12-10,1181.6768897480579
2019-12-11,1182.2303279893108
2019-12-12,1191.264102434469
2019-12-13,1197.3968709133712
2019-12-16,1208.4773475682466
2019-12-17,1208.019300805165
2019-12-18,1200.4358260554998
2019-12-19,1201.5810115980305
2019-12-20,1199.8297233971791
2019-12-23,1200.9888124903514
2019-12-24,1201.8663450084107
2019-12-25,1201.8663450084107
2019-12-26,1202.7875230005277
2019-12-27,1213.5955573852225
2019-12-30,1212.9931547803317
2019-12-31,1214.3352664535612
2020-01-01,1214.3352664535612
2020-01-02,1225.3348055696579
2020-01-03,1212.085069361516
2020-01-06,1204.5970250938904
2020-01-07,1203.3354876783503
2020-01-08,1205.0525595633867
2020-01-09,1209.1873864288673
2020-01-10,1207.8695175853022
2020-01-13,1207.6943713493743
2020-01-14,1206.7110931619504
2020-01-15,1205.9388352134715
2020-01-16,1208.9003148964198
2020-01-17,1207.294248642721
2020-01-20,1209.6193006917586
2020-01-21,1207.6417692163361
2020-01-22,1200.7860178976005
2020-01-23,1190.2445681369263
2020-01-24,1193.9582238227451
2020-01-27,1170.0392767071385
2020-01-28,1178.9724141231438
2020-01-29,1182.7553926757723
