Date,ACWI IMI VALUE
2004-06-14,556.1010814375028
2004-06-15,559.7695367131209
2004-06-16,562.4015642245184
2004-06-17,563.9441689824615
2004-06-18,566.040438123137
2004-06-21,565.9336805102358
2004-06-22,564.9538096184865
2004-06-23,568.6003428011855
2004-06-24,571.7194005279517
2004-06-25,569.4475521251829
2004-06-28,571.7496253217942
2004-06-29,570.2883269431829
2004-06-30,571.7164892780027
2004-07-01,569.3242951557775
2004-07-02,568.8625363686746
2004-07-05,567.5062666318128
2004-07-06,565.0447337391654
2004-07-07,566.737781780164
2004-07-08,564.6455497318652
2004-07-09,566.9739665086154
2004-07-12,568.3103789883942
2004-07-13,567.55749265522
2004-07-14,566.5202773925663
2004-07-15,563.6073995482042
2004-07-16,565.4004725513978
2004-07-19,565.5928608083934
2004-07-20,565.6335172098217
2004-07-21,560.9906529076708
2004-07-22,558.5760615823723
2004-07-23,554.3435432868445
2004-07-26,552.4626449634363
2004-07-27,554.3543842058012
2004-07-28,555.9080592800177
2004-07-29,559.655307437956
2004-07-30,561.0661266520641
2004-08-02,562.4852445646358
2004-08-03,562.2231320752031
2004-08-04,559.6253950657751
2004-08-05,555.292755253528
2004-08-06,551.100071599644
2004-08-09,550.0313679155464
2004-08-10,555.0997713494567
2004-08-11,553.0116528448901
2004-08-12,549.2884720789413
2004-08-13,549.8642736532537
2004-08-16,555.0205200631619
2004-08-17,555.5988441875724
2004-08-18,559.3066293896059
2004-08-19,560.5985022895176
2004-08-20,563.0347498423853
2004-08-23,561.9755410219221
2004-08-24,561.5516517890369
2004-08-25,564.3937933209485
2004-08-26,566.2288600208973
2004-08-27,568.0111718782487
2004-08-30,565.7002463813719
2004-08-31,567.8183785918474
2004-09-01,570.4662508129875
2004-09-02,574.3012495479821
2004-09-03,572.5360330907997
2004-09-06,574.4981957821203
2004-09-07,577.7963999566538
2004-09-08,576.7563054312668
2004-09-09,576.218797541074
2004-09-10,579.3247053748992
2004-09-13,580.3842838589528
2004-09-14,581.3993746896618
2004-09-15,576.6394184067844
2004-09-16,579.6624943274643
2004-09-17,581.6095416612383
2004-09-20,579.4717642278399
2004-09-21,584.3540417123854
2004-09-22,578.7668956675218
2004-09-23,576.5383374434534
2004-09-24,576.9850729423791
2004-09-27,574.1436835528209
2004-09-28,577.3154803747885
2004-09-29,578.8163309228177
2004-09-30,580.4942321512842
2004-10-01,588.557305671639
2004-10-04,590.3791896591208
2004-10-05,591.5436523010183
2004-10-06,594.4633369770552
2004-10-07,591.5649976035622
2004-10-08,592.2246328290526
2004-10-11,592.5635817507646
2004-10-12,588.5263843106875
2004-10-13,584.285204801525
2004-10-14,582.0051174304001
2004-10-15,584.6088918943494
2004-10-18,584.7247385071414
2004-10-19,583.1693597983956
2004-10-20,581.8775417134661
2004-10-21,583.6765700722854
2004-10-22,582.366182965743
2004-10-25,581.3771314649059
2004-10-26,586.4715800432555
2004-10-27,591.6741168754403
2004-10-28,593.840083958814
2004-10-29,594.2314868780618
2004-11-01,596.2823937005015
2004-11-02,597.2197311509027
2004-11-03,603.5979851388586
2004-11-04,610.700525526143
2004-11-05,613.4436637669739
2004-11-08,613.0577814867615
2004-11-09,612.5693755678617
2004-11-10,613.2365781939609
2004-11-11,617.0936594884492
2004-11-12,622.841715015639
2004-11-15,623.108171318525
2004-11-16,620.4734309572707
2004-11-17,625.141146591677
2004-11-18,624.2369714722253
2004-11-19,622.0226947168418
2004-11-22,622.0442881880226
2004-11-23,623.7839142284749
2004-11-24,626.8728903130473
2004-11-25,630.0544280624665
2004-11-26,630.585433386486
2004-11-29,630.4091277278943
2004-11-30,629.0749553361005
2004-12-01,635.1127223380132
2004-12-02,634.7530825529631
2004-12-03,636.3053221734442
2004-12-06,635.473505339531
2004-12-07,631.2568708703612
2004-12-08,628.3037281050229
2004-12-09,627.1178598876046
2004-12-10,627.1450624462489
2004-12-13,633.7624570787264
2004-12-14,635.5564974427112
2004-12-15,641.0603049265467
2004-12-16,638.5657947936562
2004-12-17,635.0459316650661
2004-12-20,638.9235605560812
2004-12-21,641.4698559687616
2004-12-22,644.6306100821247
2004-12-23,646.9820626851741
2004-12-24,648.8361041505327
2004-12-27,648.3839095426127
2004-12-28,650.8684811630088
2004-12-29,650.0339315388229
2004-12-30,652.345223033842
2004-12-31,652.2663820014562
2005-01-03,647.4063976050903
2005-01-04,641.0798165370693
2005-01-05,636.6622262926373
2005-01-06,636.9932935612362
2005-01-07,635.1491613623214
2005-01-10,637.4266868015253
2005-01-11,635.7877713028582
2005-01-12,638.1217887575523
2005-01-13,635.3407604125798
2005-01-14,636.7246838855024
2005-01-17,637.776968521225
2005-01-18,640.2881805965502
2005-01-19,637.9700846435488
2005-01-20,632.8597165278396
2005-01-21,631.9500987957955
2005-01-24,632.7552467635722
2005-01-25,632.5902506526775
2005-01-26,637.6237305621132
2005-01-27,637.6211979566693
2005-01-28,635.1113141751678
2005-01-31,641.1004591488571
2005-02-01,644.7174317851924
2005-02-02,647.841180951785
2005-02-03,645.6115403299691
2005-02-04,652.1027442651924
2005-02-07,651.5523665018017
2005-02-08,650.5833860730482
2005-02-09,648.5845180794724
2005-02-10,652.5042996043335
2005-02-11,656.2866755187529
2005-02-14,659.6662852090507
2005-02-15,661.2739652817172
2005-02-16,660.524109758698
2005-02-17,659.8413737564172
2005-02-18,661.1894807393949
2005-02-21,660.9425090580884
2005-02-22,656.9353089422237
2005-02-23,656.3344784263942
