Date,USA IMI HIGH DIVIDEND YIELD
1999-12-09,1106.8351367524342
1999-12-10,1108.1021449804127
1999-12-13,1101.2964798801074
1999-12-14,1104.841413242262
1999-12-15,1107.3655513628182
1999-12-16,1081.3217132221978
1999-12-17,1083.5624345373603
1999-12-20,1079.4428630682125
1999-12-21,1080.5728510989252
1999-12-22,1082.3475781381765
1999-12-23,1090.0921523370248
1999-12-24,1090.0921523370248
1999-12-27,1081.4182120918308
1999-12-28,1093.1123181997862
1999-12-29,1095.546354352275
1999-12-30,1100.1415004769078
1999-12-31,1104.158068655435
2000-01-03,1066.2027193986391
2000-01-04,1022.2400980690588
2000-01-05,1029.5963680876982
2000-01-06,1049.0682814141696
2000-01-07,1076.415798613799
2000-01-10,1067.7160058055345
2000-01-11,1055.881884358248
2000-01-12,1061.7256801992203
2000-01-13,1073.10876303179
2000-01-14,1093.7023009825077
2000-01-17,1098.0953331346245
2000-01-18,1078.584517790283
2000-01-19,1076.9169088790718
2000-01-20,1061.7875075917395
2000-01-21,1064.9795466034334
2000-01-24,1050.2107997141995
2000-01-25,1037.351633739011
2000-01-26,1056.0192980434515
2000-01-27,1071.348070169475
2000-01-28,1061.345789645533
2000-01-31,1093.946440000032
2000-02-01,1101.4392064324522
2000-02-02,1094.669560854659
2000-02-03,1079.7822337310179
2000-02-04,1073.1703572397246
2000-02-07,1068.2629126749612
2000-02-08,1059.110767926896
2000-02-09,1034.985165754696
2000-02-10,1025.2751277180814
2000-02-11,1009.5358660966218
2000-02-14,1017.7485896605643
2000-02-15,1028.3030071826151
2000-02-16,1023.1499917027303
2000-02-17,1013.2474730677685
2000-02-18,985.870677308724
2000-02-21,983.9230071595402
2000-02-22,971.7556686496375
2000-02-23,962.2363612559383
2000-02-24,950.1665748247267
2000-02-25,956.8781183313766
2000-02-28,989.2248224910117
2000-02-29,1002.7304567124027
2000-03-01,1003.3577933954283
2000-03-02,1011.5123932983167
2000-03-03,1021.6964952250704
2000-03-06,1004.7356744565955
2000-03-07,990.410623252925
2000-03-08,997.0577653986385
2000-03-09,996.2151353879816
2000-03-10,995.0981777561934
2000-03-13,990.6687672782693
2000-03-14,986.9145136473547
2000-03-15,1025.5770753476777
2000-03-16,1084.7818666007552
2000-03-17,1071.9996127199652
2000-03-20,1062.3021594383456
2000-03-21,1084.852793893772
2000-03-22,1087.1446073492677
2000-03-23,1093.4084154850138
2000-03-24,1091.8308127368232
2000-03-27,1082.911019921437
2000-03-28,1084.6509725137598
2000-03-29,1113.0984362702845
2000-03-30,1115.6673901761587
2000-03-31,1122.3364064068453
2000-04-03,1157.330761301277
2000-04-04,1158.4258730540196
2000-04-05,1135.232518070527
2000-04-06,1148.0414430827682
2000-04-07,1133.1856748175276
2000-04-10,1138.2145454408012
2000-04-11,1147.618982956118
2000-04-12,1166.2949670112744
2000-04-13,1160.8212253105046
2000-04-14,1104.478335678373
2000-04-17,1106.1586960046773
2000-04-18,1125.9930672061168
2000-04-19,1135.2918579258521
2000-04-20,1148.506498080977
2000-04-21,1148.506498080977
2000-04-24,1164.3151500519482
2000-04-25,1207.829525430529
2000-04-26,1194.54193268918
2000-04-27,1195.2420876566234
2000-04-28,1182.7326009980393
2000-05-01,1195.777123066566
2000-05-02,1184.2551777947576
2000-05-03,1186.9179063298898
2000-05-04,1181.8715005395306
2000-05-05,1192.3176298519245
2000-05-08,1201.271893200122
2000-05-09,1187.8873330577067
2000-05-10,1174.784922756564
2000-05-11,1201.223627336276
2000-05-12,1203.823217848079
2000-05-15,1214.1857527582904
2000-05-16,1228.6900076442998
2000-05-17,1234.8723195381888
2000-05-18,1236.584305619491
2000-05-19,1225.5258349392063
2000-05-22,1213.763530403533
2000-05-23,1207.4541010214791
2000-05-24,1228.0644049610612
