Date,WORLD ex CANADA IMI
2005-08-17,1156.905486858563
2005-08-18,1150.151356268187
2005-08-19,1152.4661932912227
2005-08-22,1159.8883175888873
2005-08-23,1154.9703925467086
2005-08-24,1151.0456931086292
2005-08-25,1151.0019187340647
2005-08-26,1146.8873401333835
2005-08-29,1147.1063579859301
2005-08-30,1143.7427372226744
2005-08-31,1157.0999722185609
2005-09-01,1168.0430169551264
2005-09-02,1168.8090525189218
2005-09-05,1171.2611492964934
2005-09-06,1180.002932910657
2005-09-07,1182.0221144242932
2005-09-08,1177.0422741089137
2005-09-09,1186.3352442922896
2005-09-12,1184.2021719931927
2005-09-13,1176.1001498468095
2005-09-14,1176.394580321961
2005-09-15,1175.16149304427
2005-09-16,1181.4182219101444
2005-09-19,1177.0005450917313
2005-09-20,1175.4383402508531
2005-09-21,1167.7810961161854
2005-09-22,1165.3369342423598
2005-09-23,1164.5586798393601
2005-09-26,1171.3439042525538
2005-09-27,1167.7887318627177
2005-09-28,1173.7328046398748
2005-09-29,1182.2253393376873
2005-09-30,1184.4838687931906
2005-10-03,1181.4401718584847
2005-10-04,1177.6896893721103
2005-10-05,1162.3029561728567
2005-10-06,1155.2598414641068
2005-10-07,1155.4764686844421
2005-10-10,1149.5084731989864
2005-10-11,1149.5992976036985
2005-10-12,1143.5023381107014
2005-10-13,1135.3982185844482
2005-10-14,1145.7056764818046
2005-10-17,1145.2010542166527
2005-10-18,1133.8258483877391
2005-10-19,1137.21499753606
2005-10-20,1129.9732007077919
2005-10-21,1131.1241381812697
2005-10-24,1144.409682787877
2005-10-25,1148.0050659865208
2005-10-26,1146.1812516065152
2005-10-27,1137.9940363737396
2005-10-28,1145.6687419980497
2005-10-31,1157.8034029895207
2005-11-01,1158.8779295503266
2005-11-02,1169.5453259617873
2005-11-03,1175.827202873776
2005-11-04,1170.1759983057032
2005-11-07,1173.1821647963977
2005-11-08,1170.8431651800247
2005-11-09,1170.0900283763845
2005-11-10,1174.7483265886704
2005-11-11,1180.2221935664506
2005-11-14,1177.399103166948
2005-11-15,1171.7210084215271
2005-11-16,1171.081130754837
2005-11-17,1184.7450206454378
2005-11-18,1190.6239918648978
2005-11-21,1197.2254429952054
2005-11-22,1199.4774611655905
2005-11-23,1206.4767013786543
2005-11-24,1205.0829761335153
