Date,AC FAR EAST IMI
1997-08-05,728.4728063370724
1997-08-06,737.2994573956123
1997-08-07,733.1625456008451
1997-08-08,746.3987548366512
1997-08-11,727.5934750640313
1997-08-12,730.5497483562805
1997-08-13,732.9437886505755
1997-08-14,725.9981219957871
1997-08-15,729.0925577876906
1997-08-18,719.5910173092365
1997-08-19,712.9250144155387
1997-08-20,721.1204873679441
1997-08-21,722.4811405881921
1997-08-22,709.9380078209788
1997-08-25,703.0932753228739
1997-08-26,706.1377427354273
1997-08-27,694.8199365016762
1997-08-28,683.9798047067428
1997-08-29,667.8184214365148
1997-09-01,651.0966043778574
1997-09-02,651.7830640887985
1997-09-03,668.5338413853476
1997-09-04,664.9501539019589
1997-09-05,671.8315061709617
1997-09-08,675.3549604285001
1997-09-09,686.1954342741018
1997-09-10,682.858647847447
