Date,EAFE ex UK SMALL CAP
2001-09-17,83.20395834386323
2001-09-18,83.79167203350748
2001-09-19,84.08989187818345
2001-09-20,82.88941893427292
2001-09-21,81.36956246903921
2001-09-24,82.01511809113858
2001-09-25,82.84710907675112
2001-09-26,83.25955752607015
2001-09-27,82.95184163610439
2001-09-28,85.08082807173037
2001-10-01,85.10270804967743
2001-10-02,85.57844009843069
2001-10-03,85.1891055215512
2001-10-04,87.12509794269573
2001-10-05,86.62584894200766
2001-10-08,86.5278547344526
2001-10-09,86.33177820974491
2001-10-10,86.67290482853211
2001-10-11,88.63186892453754
2001-10-12,88.70575870709555
2001-10-15,88.61944814996176
2001-10-16,89.42146309072398
2001-10-17,90.44451781101358
2001-10-18,89.5600328378478
2001-10-19,89.5771934202363
2001-10-22,90.34301202051086
