Date,ACWI HIGH DIVIDEND YIELD
2006-07-27,1666.4267106989353
2006-07-28,1676.739224499923
2006-07-31,1670.4837764639735
2006-08-01,1663.887143090494
2006-08-02,1671.7184132487087
2006-08-03,1668.422107122977
2006-08-04,1673.9922915086877
2006-08-07,1665.9112390954047
2006-08-08,1668.3797519563186
2006-08-09,1670.7713853691705
2006-08-10,1671.3170605482137
2006-08-11,1671.1861128239505
2006-08-14,1679.8583040775356
2006-08-15,1691.8496635172398
2006-08-16,1695.4954436483633
2006-08-17,1696.192672700469
2006-08-18,1698.9026671391596
2006-08-21,1690.1171202264773
2006-08-22,1701.1971625613344
2006-08-23,1696.4112631746268
2006-08-24,1698.9682115567493
2006-08-25,1701.5741685559237
2006-08-28,1705.467856341229
2006-08-29,1711.0277118341307
2006-08-30,1712.1907148249556
2006-08-31,1710.689878611562
2006-09-01,1719.5148744110252
2006-09-04,1722.0972814334632
2006-09-05,1722.2149692664573
2006-09-06,1709.4252779262697
2006-09-07,1698.5915474645847
2006-09-08,1708.0753583361425
2006-09-11,1699.5835900058114
2006-09-12,1716.402467637923
2006-09-13,1723.725029653214
2006-09-14,1719.5307782905697
2006-09-15,1730.0906549292754
2006-09-18,1729.5399698669862
2006-09-19,1723.6713651349469
2006-09-20,1734.6344350048714
2006-09-21,1735.3918193072627
2006-09-22,1717.0653068935112
2006-09-25,1725.029484646865
2006-09-26,1744.0315124115862
2006-09-27,1748.6957823219827
2006-09-28,1751.5533455446177
2006-09-29,1750.5263292365705
2006-10-02,1746.3210287136014
2006-10-03,1746.4314143874312
2006-10-04,1761.785898655628
2006-10-05,1768.4824824345865
2006-10-06,1776.13729924972
2006-10-09,1775.6963938873093
2006-10-10,1787.6807445187615
2006-10-11,1786.640561274797
2006-10-12,1800.571335978388
2006-10-13,1809.8634069525403
2006-10-16,1809.504307593847
2006-10-17,1796.3058908650678
2006-10-18,1808.5281335236036
2006-10-19,1801.5276908654143
2006-10-20,1806.6950748560707
2006-10-23,1816.5868307983865
2006-10-24,1817.5092896553892
2006-10-25,1822.5239539350855
2006-10-26,1818.6786910883875
2006-10-27,1810.0400323844183
2006-10-30,1804.8764584750825
2006-10-31,1802.3389420461808
2006-11-01,1803.626530524283
2006-11-02,1799.4754310378082
2006-11-03,1807.5549879411133
2006-11-06,1824.8363268296682
2006-11-07,1826.163896075661
2006-11-08,1830.1176969503424
2006-11-09,1819.970261952099
2006-11-10,1814.8732773066668
2006-11-13,1819.3221530367807
2006-11-14,1821.4000697480092
2006-11-15,1827.540950925722
2006-11-16,1833.1185392303546
2006-11-17,1826.2124395377075
2006-11-20,1826.464981628114
2006-11-21,1826.6537749601598
2006-11-22,1820.489583761473
2006-11-23,1817.8878923692569
2006-11-24,1800.0239906070565
2006-11-27,1780.2874383534875
2006-11-28,1774.043767684537
2006-11-29,1794.1171093919897
2006-11-30,1783.8724708699326
2006-12-01,1771.4517675943555
2006-12-04,1779.2280016153081
2006-12-05,1789.0657313847616
2006-12-06,1789.5694464236728
2006-12-07,1795.2645306306229
2006-12-08,1795.2025996286545
2006-12-11,1811.0430046768054
2006-12-12,1813.6597848258295
2006-12-13,1822.090738194923
2006-12-14,1838.7334815270951
2006-12-15,1854.7536328771682
2006-12-18,1856.823863940698
2006-12-19,1842.2702472730423
2006-12-20,1847.3387969274584
2006-12-21,1846.354695377333
2006-12-22,1841.3328527582514
2006-12-25,1841.1776507202774
2006-12-26,1845.9322275219188
2006-12-27,1863.2355261210923
2006-12-28,1862.1814285157288
2006-12-29,1853.1626691798638
2007-01-01,1853.1998956501352
2007-01-02,1863.4589024911363
2007-01-03,1869.9298334695197
2007-01-04,1871.5038194349809
2007-01-05,1861.1881474048819
2007-01-08,1858.1196266208835
2007-01-09,1860.910866634481
2007-01-10,1853.773933970629
2007-01-11,1876.7504660036234
2007-01-12,1883.8534381614866
2007-01-15,1892.7317103987937
2007-01-16,1888.4775762087238
2007-01-17,1886.1695745214943
2007-01-18,1889.7151197475564
2007-01-19,1896.976091669564
2007-01-22,1893.562546929939
2007-01-23,1888.5671990101844
2007-01-24,1907.2535108074871
2007-01-25,1894.688090083612
2007-01-26,1891.6996371124153
2007-01-29,1888.6731629561218
2007-01-30,1894.152106645741
2007-01-31,1888.2239702931918
2007-02-01,1903.7296132498527
2007-02-02,1914.781812117192
2007-02-05,1919.2850976923216
2007-02-06,1924.5686538241953
2007-02-07,1920.505041066845
2007-02-08,1907.905207552967
2007-02-09,1911.862657053492
2007-02-12,1906.4577066357626
2007-02-13,1909.9430914163433
2007-02-14,1915.265403903439
2007-02-15,1912.6513542908287
2007-02-16,1912.3968949075186
2007-02-19,1915.3596428477063
2007-02-20,1912.9896086221784
2007-02-21,1905.8872909907016
2007-02-22,1911.3799513835868
2007-02-23,1907.3346404962801
2007-02-26,1916.3496212500804
2007-02-27,1859.7924841370068
2007-02-28,1843.5961283584036
2007-03-01,1833.9074425975675
2007-03-02,1821.675953717756
2007-03-05,1800.0841605054427
2007-03-06,1822.7554884272374
2007-03-07,1824.316954029438
2007-03-08,1846.3542688399364
2007-03-09,1853.4163500556144
2007-03-12,1846.8888854272338
2007-03-13,1822.3569495865715
2007-03-14,1794.1126105700935
2007-03-15,1819.3212746405784
2007-03-16,1810.8542736765185
2007-03-19,1834.4811813621152
2007-03-20,1849.5066574463622
2007-03-21,1866.143446072276
2007-03-22,1880.872552006323
2007-03-23,1890.7827805317693
2007-03-26,1882.9208721174537
2007-03-27,1878.137801202835
2007-03-28,1864.262961837307
2007-03-29,1884.0929072882784
2007-03-30,1884.6881400676834
2007-04-02,1884.8127488807347
2007-04-03,1902.460142742565
2007-04-04,1905.556758416091
2007-04-05,1904.1029696065198
2007-04-06,1904.147146504545
2007-04-09,1909.5942948290285
2007-04-10,1914.253426449073
2007-04-11,1912.069766363277
2007-04-12,1907.044465957218
2007-04-13,1917.2059074988679
2007-04-16,1936.2669932049441
2007-04-17,1936.507224023941
2007-04-18,1933.782810943921
2007-04-19,1923.774935205247
2007-04-20,1946.878941670703
2007-04-23,1944.1617602775334
2007-04-24,1929.2923848792627
2007-04-25,1941.8699464444487
2007-04-26,1946.290236780756
2007-04-27,1935.9181158588603
2007-04-30,1935.3175496945528
2007-05-01,1940.5449225110856
2007-05-02,1949.8817743322297
2007-05-03,1962.2282750749307
2007-05-04,1972.419474758531
2007-05-07,1974.589845316765
2007-05-08,1971.3784775370648
2007-05-09,1973.803296212337
2007-05-10,1960.9230891484315
2007-05-11,1969.7777338024866
2007-05-14,1969.8208619766717
2007-05-15,1969.7408460777747
2007-05-16,1976.9600773557634
2007-05-17,1986.8976743603394
2007-05-18,1999.9858215435484
2007-05-21,2003.020776763806
2007-05-22,2002.0086737525407
2007-05-23,2007.5913350326166
2007-05-24,1994.7698935953022
2007-05-25,1993.9336689425752
2007-05-28,1996.6840153791507
2007-05-29,1996.2114938335465
2007-05-30,2000.4145101362055
2007-05-31,2005.2293495161011
2007-06-01,2021.4506554331772
2007-06-04,2014.635709324646
2007-06-05,2000.5324042696295
2007-06-06,1980.6179696486804
2007-06-07,1961.380770412379
2007-06-08,1971.0537782822378
2007-06-11,1982.9300455758128
2007-06-12,1970.4896054249984
2007-06-13,1983.6630338113391
2007-06-14,2003.4805138319468
2007-06-15,2018.665339357697
2007-06-18,2013.4058295040093
2007-06-19,2014.0406357113623
2007-06-20,2007.9536653296893
2007-06-21,2001.7090405003241
2007-06-22,1983.957792462817
2007-06-25,1979.1594231013855
2007-06-26,1970.464888612625
2007-06-27,1970.6957234141112
2007-06-28,1980.7480598657794
2007-06-29,1984.0548248458902
2007-07-02,1979.640966255849
2007-07-03,1993.9033169173454
2007-07-04,1998.0560709479782
2007-07-05,1990.302117134048
2007-07-06,1997.3840058461894
2007-07-09,2003.4242545349948
2007-07-10,1973.6905492360277
2007-07-11,1967.898697253477
2007-07-12,1996.121787515938
2007-07-13,2007.1129260376883
2007-07-16,2009.165580081317
2007-07-17,2006.264072035198
2007-07-18,1988.0355089066557
2007-07-19,1999.3431790033208
2007-07-20,1978.1154770269081
2007-07-23,1992.6564188274617
2007-07-24,1961.5592229506094
2007-07-25,1964.177665361334
2007-07-26,1914.346432902621
2007-07-27,1892.374359201812
2007-07-30,1892.0885210104293
2007-07-31,1910.8556520149298
2007-08-01,1893.5991864004698
2007-08-02,1908.2066700673927
2007-08-03,1870.5892451838959
2007-08-06,1874.8788508319574
2007-08-07,1899.5163129262326
2007-08-08,1931.5327977765537
2007-08-09,1896.8408981427078
2007-08-10,1857.622340218928
2007-08-13,1884.741162488637
2007-08-14,1861.7040727940107
2007-08-15,1852.9203409890813
2007-08-16,1822.9437685588694
2007-08-17,1857.0060381823382
2007-08-20,1872.9954509963452
2007-08-21,1872.854249004255
2007-08-22,1896.413558012641
2007-08-23,1901.143481363467
2007-08-24,1903.1837950682584
2007-08-27,1901.671048408741
2007-08-28,1864.8919708802937
2007-08-29,1879.5295517751983
2007-08-30,1888.475293300901
2007-08-31,1913.5679489295117
2007-09-03,1919.4866821378002
2007-09-04,1933.7508919344614
2007-09-05,1902.23125132352
2007-09-06,1905.0013442511513
2007-09-07,1868.9972197384475
2007-09-10,1856.6249591904177
2007-09-11,1880.5138833857816
2007-09-12,1883.5531198871417
2007-09-13,1899.5873223715073
2007-09-14,1891.378372409939
2007-09-17,1871.774691190914
2007-09-18,1904.9378125661287
2007-09-19,1937.4796056851349
2007-09-20,1919.5236887711194
2007-09-21,1926.2012170309783
2007-09-24,1922.0038703685036
2007-09-25,1907.2395173626646
2007-09-26,1920.3522518206275
2007-09-27,1932.9507631895788
