Date,ACWI EX USA HIGH DIVIDEND YIELD
2012-02-17,2389.291912343275
2012-02-20,2398.135593121151
2012-02-21,2395.9054005568532
2012-02-22,2385.221931770877
2012-02-23,2374.406751955427
2012-02-24,2370.399860994437
2012-02-27,2368.762392234539
2012-02-28,2373.2334618932473
2012-02-29,2386.0504224019705
2012-03-01,2401.429443529323
2012-03-02,2411.847334378083
2012-03-05,2394.3481165066664
2012-03-06,2353.4942550867245
2012-03-07,2351.638271158849
2012-03-08,2369.886056787864
2012-03-09,2391.0736186435065
2012-03-12,2377.0183126118277
2012-03-13,2417.608325171131
2012-03-14,2429.6335339706347
2012-03-15,2432.584623811501
2012-03-16,2431.554947386885
2012-03-19,2427.985954614537
2012-03-20,2409.4156850638105
2012-03-21,2406.655351518622
2012-03-22,2392.5557066985957
2012-03-23,2388.120692269463
2012-03-26,2396.411750932065
2012-03-27,2397.32844831924
2012-03-28,2381.9746823153278
2012-03-29,2356.07348665126
2012-03-30,2366.230612149487
2012-04-02,2389.9012765389093
2012-04-03,2367.0765614982656
2012-04-04,2349.496974652041
2012-04-05,2350.422125580786
2012-04-06,2350.517229370557
2012-04-09,2344.3581170996954
2012-04-10,2305.5740177317653
2012-04-11,2310.1989855818465
2012-04-12,2324.9535073618354
2012-04-13,2313.873265956874
2012-04-16,2316.233987105748
2012-04-17,2340.8881283051164
2012-04-18,2335.7039831276647
2012-04-19,2323.1166888179373
2012-04-20,2330.86395844057
2012-04-23,2301.9860997543433
2012-04-24,2314.1787953663893
2012-04-25,2328.591672560075
2012-04-26,2328.4783838192134
2012-04-27,2339.049034868939
2012-04-30,2337.288268723741
2012-05-01,2343.5131297257126
2012-05-02,2342.2761577035435
2012-05-03,2339.7689119199463
2012-05-04,2318.6226208456073
2012-05-07,2321.5291135909565
2012-05-08,2303.3740963962705
2012-05-09,2292.268107831789
2012-05-10,2303.5712645976655
2012-05-11,2302.787679592042
2012-05-14,2277.7301454823464
2012-05-15,2270.2012376533453
2012-05-16,2248.6486512929087
2012-05-17,2233.1123662739856
2012-05-18,2205.846871102943
2012-05-21,2207.68132567625
2012-05-22,2242.0587635758284
2012-05-23,2210.5138951414488
2012-05-24,2225.2922277501443
2012-05-25,2231.968227679398
2012-05-28,2233.726517214963
2012-05-29,2245.6056223259657
2012-05-30,2228.0852489558238
2012-05-31,2232.5047473525437
2012-06-01,2205.589836419113
2012-06-04,2185.2267195781224
2012-06-05,2199.251798706612
2012-06-06,2238.606855162091
2012-06-07,2252.621729326535
2012-06-08,2249.052342395117
2012-06-11,2250.495301933383
2012-06-12,2267.020165901693
2012-06-13,2263.172603814198
2012-06-14,2256.3690501544556
2012-06-15,2277.103090259194
2012-06-18,2286.6960814395165
2012-06-19,2314.87341309783
2012-06-20,2327.1604137274458
2012-06-21,2316.083902182741
2012-06-22,2308.5988254670137
2012-06-25,2285.3250642331295
2012-06-26,2288.7730239817333
2012-06-27,2317.9266877578607
2012-06-28,2314.3026742262537
2012-06-29,2350.024770883708
2012-07-02,2382.5539191472144
2012-07-03,2403.739354066078
2012-07-04,2413.3685841907004
2012-07-05,2418.8697699237796
2012-07-06,2405.266640974766
2012-07-09,2395.862116930065
2012-07-10,2403.835340640498
2012-07-11,2412.7069736556864
2012-07-12,2387.4616546230477
2012-07-13,2409.83556012518
2012-07-16,2414.616145417046
2012-07-17,2419.522387941287
2012-07-18,2434.0680757598484
2012-07-19,2457.7085519332345
2012-07-20,2433.4252348354603
2012-07-23,2385.1089549919197
2012-07-24,2372.6276380001773
2012-07-25,2367.3104070508034
2012-07-26,2397.8463560030696
2012-07-27,2430.410391860755
2012-07-30,2476.1667455762818
2012-07-31,2465.4114178535388
2012-08-01,2475.8839226104465
2012-08-02,2464.2360928350495
2012-08-03,2489.429907398657
2012-08-06,2499.2071080997284
2012-08-07,2517.001836505835
2012-08-08,2529.0943972956957
2012-08-09,2540.777715795529
2012-08-10,2536.5009328060073
2012-08-13,2523.952561723709
2012-08-14,2537.3977551492167
2012-08-15,2540.475166767995
2012-08-16,2544.299633256513
2012-08-17,2557.021925168536
2012-08-20,2548.0238365921814
2012-08-21,2545.325279432546
2012-08-22,2520.49106972592
2012-08-23,2505.234823526567
2012-08-24,2506.3560294764197
2012-08-27,2511.21379468434
2012-08-28,2496.8157426589105
2012-08-29,2493.5932563882275
2012-08-30,2476.9012573905525
2012-08-31,2478.2191278553055
2012-09-03,2490.8066449015246
2012-09-04,2471.0675299039176
2012-09-05,2459.9047499333806
2012-09-06,2500.744130020936
2012-09-07,2503.3854335632714
2012-09-10,2501.046525741084
2012-09-11,2508.9730043899795
2012-09-12,2513.972490715744
2012-09-13,2512.760737341123
2012-09-14,2524.87540613736
2012-09-17,2517.1076858549336
2012-09-18,2516.3429341356527
2012-09-19,2527.988676792963
2012-09-20,2524.799908911302
2012-09-21,2538.0157140814713
2012-09-24,2537.686084113516
2012-09-25,2539.2155423419404
2012-09-26,2509.7063655528486
2012-09-27,2519.7648276734963
2012-09-28,2494.921163301258
2012-10-01,2510.7687859467374
2012-10-02,2504.523704921868
2012-10-03,2500.140535239839
2012-10-04,2495.461162906345
2012-10-05,2511.3122684303685
2012-10-08,2499.5432218212636
