Date,JORDAN + EGYPT + MOROCCO
2006-07-05,992.358049213361
2006-07-06,1004.124512860661
2006-07-07,1004.5241381165922
2006-07-10,993.4160594612767
2006-07-11,1009.0818899041886
2006-07-12,989.2263078143376
2006-07-13,964.7295051382016
2006-07-14,963.982755660113
2006-07-17,927.7467590885375
2006-07-18,935.0174578504885
2006-07-19,932.5984174044964
2006-07-20,931.883568469421
2006-07-21,931.8449537654847
2006-07-24,952.7187043580969
2006-07-25,965.1133239459142
2006-07-26,977.9840523562601
2006-07-27,999.9504432177362
2006-07-28,999.4347231456288
2006-07-31,1018.4585947477204
2006-08-01,1030.8545738720884
2006-08-02,1018.9060554418311
2006-08-03,1019.0695613671322
2006-08-04,1020.6659672076566
2006-08-07,1025.6050385326541
2006-08-08,1042.1301458530254
2006-08-09,1037.7047586992119
2006-08-10,1034.4871604002378
2006-08-11,1034.660987309994
2006-08-14,1039.2114387369795
2006-08-15,1038.1690866435792
2006-08-16,1042.5809062053797
2006-08-17,1037.7035830498864
2006-08-18,1037.8488289001568
2006-08-21,1058.119911344
2006-08-22,1055.2117581772675
2006-08-23,1055.09496376226
2006-08-24,1081.9414929056302
2006-08-25,1084.2255602138164
2006-08-28,1098.4450902508427
2006-08-29,1099.3369833316578
2006-08-30,1107.4753919043458
2006-08-31,1114.7548706979933
2006-09-01,1114.8539328606153
2006-09-04,1111.6052441482213
2006-09-05,1109.62312396289
2006-09-06,1099.4538500920232
2006-09-07,1096.3396208560073
2006-09-08,1098.8124695452007
2006-09-11,1103.3555946845622
2006-09-12,1103.6907677262325
2006-09-13,1110.0591859573349
2006-09-14,1122.1414062008428
2006-09-15,1118.1382346245182
2006-09-18,1121.237514986387
2006-09-19,1135.3908440385267
2006-09-20,1133.7239185705287
2006-09-21,1129.3094707197567
2006-09-22,1130.8006002601896
2006-09-25,1126.2767342931495
2006-09-26,1126.7067495564022
2006-09-27,1131.9699640242372
2006-09-28,1137.4118690167472
2006-09-29,1137.4724043498459
2006-10-02,1145.140116986278
2006-10-03,1131.5328937258137
2006-10-04,1124.567374997547
2006-10-05,1116.1852726493391
2006-10-06,1111.4170432837934
2006-10-09,1104.2909094997642
2006-10-10,1090.7650118859774
2006-10-11,1093.0059485986553
2006-10-12,1105.4583772137792
