Date,EM LATIN AMERICA
2007-06-05,506.22220969702323
2007-06-06,490.66917188548183
2007-06-07,486.16109343442696
2007-06-08,486.73593099832254
2007-06-11,494.62911948993155
2007-06-12,489.80921596934917
2007-06-13,497.76145588582443
2007-06-14,505.93341786539327
2007-06-15,516.0019754212315
2007-06-18,519.0871156826202
2007-06-19,518.8647431819438
2007-06-20,511.85345498800774
2007-06-21,513.573458512754
2007-06-22,510.3923039877933
2007-06-25,504.4794713050468
2007-06-26,497.36698124229014
2007-06-27,499.1694742495103
2007-06-28,504.86004579891517
2007-06-29,507.96404018803025
2007-07-02,517.4431462358559
2007-07-03,523.6149828005073
2007-07-04,525.2000918947208
2007-07-05,525.4424565518849
2007-07-06,530.4698288450821
2007-07-09,529.5968200431589
2007-07-10,524.2971165418638
2007-07-11,530.0845028615814
2007-07-12,544.0052525052791
2007-07-13,546.8910968835261
2007-07-16,544.2397171405597
2007-07-17,544.028287851847
2007-07-18,545.0195618884651
2007-07-19,551.5242741743893
2007-07-20,543.8049877785296
2007-07-23,553.7268003261189
2007-07-24,537.3168403630671
2007-07-25,528.3894955756754
2007-07-26,508.04618632404134
2007-07-27,497.64542262286193
2007-07-30,514.5815124211694
2007-07-31,515.2841249216987
2007-08-01,507.74946153442517
2007-08-02,514.1217516871255
2007-08-03,499.3760385917581
2007-08-06,493.33514447338865
2007-08-07,501.62465801432006
2007-08-08,517.2604951260284
2007-08-09,496.9794828258465
2007-08-10,481.7958106674175
2007-08-13,485.57842006413796
2007-08-14,467.71102773765335
2007-08-15,451.4190412513364
2007-08-16,426.06225953012444
2007-08-17,442.81358109403135
2007-08-20,449.1297995663011
2007-08-21,451.25425760463645
2007-08-22,470.16748761934304
2007-08-23,475.72871186033336
2007-08-24,485.77109471699424
2007-08-27,491.1804104597079
2007-08-28,472.84387659908066
2007-08-29,480.34150063586213
2007-08-30,485.3191029850369
2007-08-31,500.1744387999815
2007-09-03,505.02382085740726
2007-09-04,507.88314451900794
2007-09-05,500.095618031051
2007-09-06,504.0639852543774
2007-09-07,499.3810846465944
2007-09-10,485.5601829450552
2007-09-11,499.62187713065583
2007-09-12,501.66803976727755
2007-09-13,511.4812539248951
2007-09-14,508.0813865043587
2007-09-17,502.6423866250342
2007-09-18,523.3541108284905
2007-09-19,535.1183877448865
2007-09-20,535.606033819593
2007-09-21,541.2853178142311
2007-09-24,547.5128550455925
2007-09-25,545.3332457843738
2007-09-26,554.7855910581908
2007-09-27,567.7092575060209
2007-09-28,562.5850925382385
2007-10-01,581.6886812280985
2007-10-02,584.5201505073685
2007-10-03,571.0133863590306
2007-10-04,568.2731523883517
2007-10-05,587.9330167823153
2007-10-08,591.4854153604863
2007-10-09,599.4234106815198
2007-10-10,600.4240937319119
2007-10-11,599.4028580315227
2007-10-12,599.5964569340388
2007-10-15,604.2887601691172
2007-10-16,589.4468576996521
2007-10-17,604.5161858252196
2007-10-18,604.9653062822273
2007-10-19,584.4249774296288
2007-10-22,580.1520462958304
2007-10-23,597.461508675301
2007-10-24,594.5979173406622
2007-10-25,597.3091807780868
2007-10-26,616.535277825108
2007-10-29,628.716401761428
2007-10-30,621.1108562559355
2007-10-31,629.8065155594757
2007-11-01,617.5599745212472
2007-11-02,613.6082421561739
2007-11-05,599.339719924142
2007-11-06,617.2243246808877
2007-11-07,606.0367756515054
2007-11-08,608.7694799989599
2007-11-09,607.9580843103229
2007-11-12,575.6937302598654
2007-11-13,593.4803443404685
2007-11-14,613.8757225648504
2007-11-15,607.2986981746236
2007-11-16,607.2412001082253
2007-11-19,589.6745938423473
2007-11-20,585.8725268749262
2007-11-21,564.371288142746
2007-11-22,570.2901808429013
2007-11-23,567.5785168575812
2007-11-26,549.9604315649598
2007-11-27,547.2653633176232
2007-11-28,579.4539211655994
2007-11-29,585.0957319919307
2007-11-30,593.8561052362733
2007-12-03,593.5107665817587
2007-12-04,588.8904975750879
2007-12-05,607.3504008372391
2007-12-06,619.0724508141892
2007-12-07,622.5970017470263
2007-12-10,623.1573459163873
2007-12-11,612.2804362604227
2007-12-12,614.0923682063541
2007-12-13,596.1408678229818
2007-12-14,591.1366733944776
2007-12-17,561.3095736845161
2007-12-18,572.3232066727256
2007-12-19,579.038014883428
2007-12-20,582.1353681044775
2007-12-21,594.912727968459
2007-12-24,597.5780947748063
2007-12-25,597.5780947748063
2007-12-26,608.6818399450066
2007-12-27,604.0426212171708
2007-12-28,607.9415294580729
2007-12-31,601.71247831042
2008-01-01,601.71247831042
2008-01-02,592.5187547881868
2008-01-03,595.7393583718896
2008-01-04,574.60367591252
2008-01-07,567.8074340301417
2008-01-08,584.8657847143752
2008-01-09,581.9921039383321
2008-01-10,590.2874584077404
2008-01-11,582.0486595232898
2008-01-14,588.8865527668088
2008-01-15,563.7981820179534
2008-01-16,543.2846230797372
2008-01-17,526.9111462787939
