Date,WORLD ex ISRAEL SMALL VALUE
2020-01-17,2733.3140504503035
2020-01-20,2738.7208430492938
2020-01-21,2719.2102721614974
2020-01-22,2722.074940624628
2020-01-23,2721.271510480883
2020-01-24,2708.240278829729
2020-01-27,2672.397026642244
2020-01-28,2684.8588792085984
2020-01-29,2681.860591439397
2020-01-30,2667.3746333017843
2020-01-31,2629.513281301972
2020-02-03,2640.022621637384
2020-02-04,2669.5365289143565
2020-02-05,2712.5366102147855
2020-02-06,2714.831815945489
2020-02-07,2693.4083486441814
2020-02-10,2703.4345562616622
2020-02-11,2722.9159704659487
2020-02-12,2742.760482893164
2020-02-13,2755.1288236720793
2020-02-14,2752.17254564388
2020-02-17,2752.788014128903
2020-02-18,2741.0980253606785
2020-02-19,2750.290068723912
2020-02-20,2751.7240733715685
2020-02-21,2725.9580699696444
2020-02-24,2655.4171875683987
2020-02-25,2577.1555624134426
2020-02-26,2542.2345709426136
2020-02-27,2433.903587424958
2020-02-28,2379.8917689752693
2020-03-02,2399.4440167310504
2020-03-03,2370.957906305464
2020-03-04,2415.1159353002413
2020-03-05,2347.889386190671
2020-03-06,2270.867674653057
2020-03-09,2053.823485956554
2020-03-10,2094.416762123768
2020-03-11,2004.8585916055144
2020-03-12,1815.705923606667
2020-03-13,1882.715776232637
2020-03-16,1670.7213677472937
2020-03-17,1736.8251081475178
2020-03-18,1596.1235705816416
2020-03-19,1658.6148380110885
2020-03-20,1628.5540289073413
2020-03-23,1565.9834438153175
2020-03-24,1694.2891761754684
2020-03-25,1755.7803003495242
2020-03-26,1814.4699315749735
2020-03-27,1773.267925128959
2020-03-30,1791.0299015138737
2020-03-31,1799.9536646425895
2020-04-01,1719.6125256261842
2020-04-02,1727.931497547578
2020-04-03,1691.6081316549858
2020-04-06,1793.8173952025963
2020-04-07,1819.5077685953174
2020-04-08,1884.4078162443286
2020-04-09,1948.0843373450273
2020-04-10,1952.69674433527
2020-04-13,1919.0068684995506
2020-04-14,1925.9606573356828
2020-04-15,1853.3701983269182
2020-04-16,1847.8037415851743
2020-04-17,1908.9907343215903
2020-04-20,1888.0209535000115
2020-04-21,1848.3600907865728
2020-04-22,1861.766666916658
2020-04-23,1893.7334118664587
2020-04-24,1903.6131938958129
2020-04-27,1964.3867235733646
2020-04-28,2002.7562336179064
2020-04-29,2075.7947583966843
2020-04-30,2021.1346186259411
2020-05-01,1950.36513648749
2020-05-04,1947.652064351126
2020-05-05,1966.540551670128
2020-05-06,1949.7567596318931
2020-05-07,1977.6267719811253
2020-05-08,2024.9608428790716
2020-05-11,2010.2541163396052
2020-05-12,1949.4085010522622
2020-05-13,1894.5369725771402
2020-05-14,1888.4332048959661
2020-05-15,1902.0745815406183
2020-05-18,1994.3457266654293
2020-05-19,1967.8855579327912
2020-05-20,2001.971341598597
2020-05-21,2009.4132900908469
2020-05-22,2014.6059061470326
2020-05-25,2026.621011426889
2020-05-26,2084.6039299670333
2020-05-27,2137.7506920185087
2020-05-28,2107.561174127889
2020-05-29,2073.5691030385065
2020-06-01,2100.807919756367
2020-06-02,2125.9587819425806
2020-06-03,2185.9254291141833
2020-06-04,2184.7037491764045
2020-06-05,2266.205253972075
2020-06-08,2327.9846382571504
2020-06-09,2268.1234763571574
2020-06-10,2204.207466430388
2020-06-11,2054.5972911703393
2020-06-12,2106.2730428978266
2020-06-15,2111.9359210384364
2020-06-16,2178.9229028276645
2020-06-17,2150.0588051109094
2020-06-18,2144.804631290518
2020-06-19,2131.673807614196
2020-06-22,2121.7986466735315
2020-06-23,2122.2983640000843
2020-06-24,2062.9886979310186
2020-06-25,2082.760432099923
2020-06-26,2049.471585679185
2020-06-29,2079.6350802891275
2020-06-30,2100.2891716079175
2020-07-01,2080.4375210703797
2020-07-02,2098.161720802276
2020-07-03,2094.4815030336094
2020-07-06,2107.033604471123
2020-07-07,2075.9014896471213
2020-07-08,2068.399784077026
2020-07-09,2034.4487810344124
2020-07-10,2059.285569671302
2020-07-13,2054.8170438016073
2020-07-14,2061.215639243006
2020-07-15,2119.189660280582
2020-07-16,2107.455489025055
2020-07-17,2103.23002525151
2020-07-20,2089.706294280853
2020-07-21,2120.211045048607
2020-07-22,2105.4747102278166
2020-07-23,2110.535535296922
2020-07-24,2086.554614812636
2020-07-27,2069.1174594983117
2020-07-28,2072.423320774469
2020-07-29,2089.0890262498474
2020-07-30,2062.045086652274
2020-07-31,2035.4864635832434
2020-08-03,2066.753228024189
2020-08-04,2085.700133745786
2020-08-05,2100.61029240008
2020-08-06,2100.8769610277955
2020-08-07,2130.8135329874144
2020-08-10,2161.0321436173144
2020-08-11,2176.24190638578
2020-08-12,2178.179798370015
2020-08-13,2162.997504310686
2020-08-14,2163.758939299127
2020-08-17,2156.7375282526905
2020-08-18,2130.318140797115
2020-08-19,2130.752419926629
2020-08-20,2124.041045219399
2020-08-21,2125.9415933057267
2020-08-24,2155.463126535097
2020-08-25,2154.5801503852413
2020-08-26,2151.032222087852
2020-08-27,2161.7746834254785
2020-08-28,2161.6153004565076
2020-08-31,2133.54190975228
2020-09-01,2137.302449890456
2020-09-02,2169.6295077130726
2020-09-03,2142.39609064977
2020-09-04,2145.958388805105
2020-09-07,2149.3859366953507
2020-09-08,2121.174366119004
2020-09-09,2129.695843180339
2020-09-10,2104.6380271886105
2020-09-11,2105.1079640316207
2020-09-14,2141.629748184555
2020-09-15,2145.135474816336
2020-09-16,2169.508153904432
2020-09-17,2165.6231549889485
2020-09-18,2142.849883766223
2020-09-21,2090.2647977636875
