Date,WORLD ex UK SMALL VALUE
2000-12-11,555.1337434751836
2000-12-12,551.3057229307382
2000-12-13,547.4633281001993
2000-12-14,537.3751945586826
2000-12-15,528.9991825316579
2000-12-18,531.5971951186751
2000-12-19,529.848427630662
2000-12-20,513.6183312480376
2000-12-21,510.39798777924955
2000-12-22,514.6726568370018
2000-12-25,516.3752596620346
2000-12-26,515.5383301058721
2000-12-27,521.3090170697475
2000-12-28,530.9597983896853
2000-12-29,524.1155833398376
2001-01-01,524.1221450745354
2001-01-02,512.5328465036582
2001-01-03,520.6359540205721
2001-01-04,519.4151186281583
2001-01-05,510.1809337373725
2001-01-08,509.9927856705282
2001-01-09,513.2693216320475
2001-01-10,517.4224225257233
2001-01-11,515.3937497544354
2001-01-12,517.7780012690284
2001-01-15,520.4834517914999
2001-01-16,527.4283531704773
2001-01-17,533.1916986332067
2001-01-18,528.3544226112168
2001-01-19,531.2370053801693
2001-01-22,532.7662902249198
2001-01-23,536.202274099527
2001-01-24,543.2243101672162
2001-01-25,544.5581722139012
2001-01-26,543.3464721849838
2001-01-29,550.2482489151745
2001-01-30,549.7762216164416
2001-01-31,547.9391372102267
2001-02-01,545.594139896855
2001-02-02,546.4628679212062
2001-02-05,543.4906665685893
2001-02-06,549.5140707785072
2001-02-07,548.7051640023722
2001-02-08,553.1661619833538
2001-02-09,547.4140854309039
2001-02-12,549.2415781151121
2001-02-13,553.1414634903589
2001-02-14,554.3732891950186
2001-02-15,565.1152522965631
2001-02-16,555.0065807368245
2001-02-19,552.2799976401498
2001-02-20,555.7817897752404
2001-02-21,548.5089997534267
2001-02-22,546.5088281062198
2001-02-23,546.4745590856426
2001-02-26,552.3580402971045
2001-02-27,546.121674998024
2001-02-28,542.8306331333757
2001-03-01,536.2823901382978
2001-03-02,534.649582225522
2001-03-05,537.5993561934225
2001-03-06,541.4234254049101
2001-03-07,544.9957982309999
2001-03-08,543.1601568057148
2001-03-09,540.4854541343254
2001-03-12,530.8006474463011
2001-03-13,534.5894779325317
2001-03-14,529.3017695123059
2001-03-15,530.3622706735715
2001-03-16,529.2410608746995
2001-03-19,533.2306704590233
2001-03-20,527.8924437252047
2001-03-21,526.0564700874347
2001-03-22,525.4348376091374
2001-03-23,528.6481492995565
2001-03-26,534.3221499620566
2001-03-27,536.0860015621685
2001-03-28,536.2383973966166
2001-03-29,537.3954354905879
2001-03-30,540.5839692638499
2001-04-02,535.7664777598117
2001-04-03,527.0776408554686
2001-04-04,519.9614996858638
2001-04-05,534.3132397946691
2001-04-06,527.4638968172806
2001-04-09,529.3584789329102
2001-04-10,541.6705753817099
2001-04-11,543.5334511835174
2001-04-12,543.9955383845532
2001-04-13,544.2368911779986
2001-04-16,547.4740760860502
2001-04-17,551.5649767287192
2001-04-18,562.6342693740053
2001-04-19,558.5262844310362
2001-04-20,550.205565797945
2001-04-23,550.3768899653196
2001-04-24,553.6439718093155
2001-04-25,557.7121723718727
2001-04-26,560.2061687600249
2001-04-27,567.5037741028966
2001-04-30,572.3549063450464
2001-05-01,576.2687382510543
2001-05-02,577.1838574128033
2001-05-03,574.2682177440139
2001-05-04,577.6100587154
2001-05-07,578.3923148078982
2001-05-08,581.8244836604536
2001-05-09,581.5366963809485
2001-05-10,583.9160137429883
2001-05-11,587.0002715428473
2001-05-14,587.0153156431355
2001-05-15,587.1870624476502
2001-05-16,587.5993220273149
2001-05-17,595.0429280413733
2001-05-18,598.4623055558114
2001-05-21,605.2530351530863
2001-05-22,611.2582304928111
2001-05-23,611.5650257548115
2001-05-24,615.1247528562513
2001-05-25,614.4911913294715
2001-05-28,612.1818529701177
2001-05-29,613.1993888257724
2001-05-30,605.7892665405925
2001-05-31,613.2770184069267
2001-06-01,617.9974440549339
2001-06-04,619.6977202416123
2001-06-05,623.3105302102499
2001-06-06,621.6507766863955
2001-06-07,621.3107319710573
2001-06-08,620.7172062279184
2001-06-11,621.8088922972098
2001-06-12,615.1328165747772
2001-06-13,613.4737938408996
2001-06-14,603.0214761187005
2001-06-15,598.2278664142896
2001-06-18,594.4956630114585
2001-06-19,595.0275268295887
2001-06-20,599.9257685344566
2001-06-21,601.047138827025
2001-06-22,598.713221520085
2001-06-25,593.7306424284714
2001-06-26,597.3132469994565
2001-06-27,599.8927478674766
2001-06-28,607.9539711798298
2001-06-29,619.2801235628965
2001-07-02,614.2047041261941
2001-07-03,614.0926589493868
2001-07-04,614.0114394665461
2001-07-05,616.9649993171028
2001-07-06,605.5346627612413
2001-07-09,601.5959325818791
2001-07-10,595.4499153321091
2001-07-11,590.2538592473776
2001-07-12,602.8812453411193
2001-07-13,604.1080262460562
2001-07-16,599.0843069482519
2001-07-17,603.9131681751155
2001-07-18,590.4315962741043
2001-07-19,593.7064584218414
2001-07-20,591.4718936812747
2001-07-23,588.5147814487043
2001-07-24,580.3542825178324
2001-07-25,580.1079681491647
2001-07-26,585.0745643155515
2001-07-27,587.5537616086594
2001-07-30,585.0780490501523
2001-07-31,587.8911662594614
2001-08-01,589.8673032109368
2001-08-02,591.1311519929311
2001-08-03,587.972289558252
2001-08-06,587.8341710897399
2001-08-07,590.1388711161845
2001-08-08,587.228410545825
2001-08-09,579.5285295770569
2001-08-10,578.438197428597
2001-08-13,576.8179310652239
2001-08-14,581.0601119469106
2001-08-15,576.5566871974769
2001-08-16,576.4952188826059
2001-08-17,571.3446425892857
2001-08-20,572.8233001856812
2001-08-21,572.0392775070891
2001-08-22,570.406448111094
2001-08-23,572.3317371875519
2001-08-24,575.1399752728262
2001-08-27,575.9123047903026
2001-08-28,572.5076599925366
2001-08-29,571.1062616695918
2001-08-30,566.8019901616085
2001-08-31,566.6412078355254
2001-09-03,564.8485262198946
2001-09-04,573.1228231576046
2001-09-05,570.2729079717864
2001-09-06,562.8265014423046
2001-09-07,550.0919030433477
2001-09-10,545.22566301652
2001-09-11,539.0068903912559
2001-09-12,531.7567064382791
2001-09-13,531.9432247718811
2001-09-14,526.4244922194076
2001-09-17,507.28765291117446
2001-09-18,505.1948200874041
2001-09-19,497.4054330710449
2001-09-20,485.63492692303345
2001-09-21,479.7009253158558
2001-09-24,489.21544876149164
2001-09-25,489.8043743831954
2001-09-26,489.49256069452605
2001-09-27,491.43102312883576
2001-09-28,506.39672947392853
2001-10-01,501.7568054121885
2001-10-02,504.6419484077812
2001-10-03,507.81428945381214
2001-10-04,515.121949841046
2001-10-05,511.5079725325551
2001-10-08,509.18131231263874
2001-10-09,507.5673424759445
2001-10-10,517.1744694412068
2001-10-11,527.5612953122828
2001-10-12,524.4140805963974
2001-10-15,524.8231616205253
2001-10-16,527.2485320915074
2001-10-17,524.4506089097968
2001-10-18,522.2585920574036
2001-10-19,526.3221325757589
2001-10-22,531.7438718463446
2001-10-23,532.9543339316511
2001-10-24,531.7784998347528
2001-10-25,534.8752714034503
2001-10-26,538.584190088878
2001-10-29,528.12311058233
2001-10-30,521.0969983431281
2001-10-31,527.271206512304
2001-11-01,527.8612992520519
2001-11-02,527.4808749530329
2001-11-05,534.1881745682037
2001-11-06,538.5118781539196
2001-11-07,535.8299251525311
2001-11-08,539.7109499287836
2001-11-09,537.9322461521402
2001-11-12,537.3711993533744
2001-11-13,547.8234274912912
2001-11-14,549.6770769329389
2001-11-15,550.8071391954434
2001-11-16,550.5157679483214
2001-11-19,558.1981418723499
2001-11-20,554.5343797716669
2001-11-21,556.8133927631452
2001-11-22,555.5039947152885
2001-11-23,560.4228159511731
2001-11-26,561.6422513437793
2001-11-27,559.6635365000038
2001-11-28,553.1819907656421
2001-11-29,556.8995022801663
2001-11-30,552.0306546954733
2001-12-03,550.1139375461913
2001-12-04,555.3786369198525
2001-12-05,564.1914397542048
2001-12-06,564.440131650795
2001-12-07,563.3887544614797
2001-12-10,559.574455904849
2001-12-11,558.315010101409
2001-12-12,555.9002376993284
2001-12-13,549.8328207868352
2001-12-14,547.4801481923507
2001-12-17,548.9200332277086
2001-12-18,552.8419265800694
2001-12-19,552.3800373795488
2001-12-20,550.588464847921
2001-12-21,560.729814933445
2001-12-24,566.3864243178671
2001-12-25,566.6662462691096
2001-12-26,567.629750797701
2001-12-27,567.0119187399387
2001-12-28,572.9671593374505
2001-12-31,567.310374004113
2002-01-01,567.29159699353
2002-01-02,559.2717291399031
2002-01-03,565.7349990856038
2002-01-04,572.6245358161399
2002-01-07,571.570026361696
2002-01-08,572.3114474110924
2002-01-09,572.1450650623577
2002-01-10,568.4801142191405
2002-01-11,567.4453929408119
2002-01-14,560.886995601554
2002-01-15,563.1744156712588
2002-01-16,562.4522264035129
2002-01-17,566.6782231383545
2002-01-18,563.0469818058832
2002-01-21,564.3607783267773
2002-01-22,561.1293073803365
2002-01-23,564.0286101460799
2002-01-24,568.7337894496272
2002-01-25,576.6083011865901
2002-01-28,581.0003866302183
2002-01-29,576.5404609365863
2002-01-30,578.6660126628268
2002-01-31,581.7362123897477
2002-02-01,579.9754755346775
2002-02-04,572.285737931582
2002-02-05,568.4504113788485
2002-02-06,565.1859450892127
2002-02-07,562.9835730726086
2002-02-08,566.8885841181035
2002-02-11,568.3783686517968
2002-02-12,571.1635173976746
2002-02-13,577.107446983145
2002-02-14,577.7082290553539
2002-02-15,576.2486012506087
2002-02-18,578.0623298730504
2002-02-19,570.2862761163327
2002-02-20,575.4621802705017
2002-02-21,573.0172748368053
2002-02-22,573.9708551106316
2002-02-25,578.7923787888608
2002-02-26,582.3762936876102
2002-02-27,588.4339406964365
2002-02-28,588.5311602009341
2002-03-01,594.8681612677154
2002-03-04,602.4991118400645
2002-03-05,602.2517485168661
2002-03-06,605.0651392974484
2002-03-07,606.7073674854705
2002-03-08,611.1322970334621
2002-03-11,613.6412776154154
2002-03-12,613.3189315745018
2002-03-13,608.6425889143507
2002-03-14,606.9556890891665
2002-03-15,609.1757397980217
2002-03-18,611.8798449295841
2002-03-19,613.7352124176856
2002-03-20,610.264680938738
2002-03-21,614.2464575975198
2002-03-22,614.0991941262552
2002-03-25,611.4842951587391
2002-03-26,614.7361948262718
2002-03-27,622.4871828460817
2002-03-28,623.1228069958512
2002-03-29,621.9272699436019
2002-04-01,616.0108147837609
2002-04-02,614.017970153284
2002-04-03,613.3669665730224
2002-04-04,614.6958567728973
2002-04-05,617.9732758408381
2002-04-08,624.1099476898698
2002-04-09,623.4462839272029
2002-04-10,629.3221240311874
2002-04-11,622.2141733542787
2002-04-12,629.7076725353395
2002-04-15,627.3838580270861
2002-04-16,633.2721209006884
2002-04-17,630.1782804330878
2002-04-18,628.7448896442389
2002-04-19,629.9934558780276
2002-04-22,627.0190282158917
2002-04-23,626.2377264832081
2002-04-24,623.7895633641746
2002-04-25,621.7006794878595
2002-04-26,618.0373189527616
2002-04-29,615.6483139212544
2002-04-30,621.0486536743838
2002-05-01,620.2526326462505
2002-05-02,624.9860081993039
2002-05-03,620.494589897214
2002-05-06,613.2678539421543
2002-05-07,611.4956691334809
2002-05-08,618.7823274927997
2002-05-09,615.1455666574179
2002-05-10,608.7147997534694
2002-05-13,612.9048703853163
2002-05-14,624.3531549453013
2002-05-15,623.7382961732254
2002-05-16,620.9631348495963
2002-05-17,617.59993592812
2002-05-20,615.4653613493383
2002-05-21,615.222829202893
2002-05-22,610.9201894419309
2002-05-23,618.0263452719723
2002-05-24,615.0934412647563
2002-05-27,617.2130459603635
2002-05-28,611.7994607795627
2002-05-29,607.529423485535
2002-05-30,604.6407475798534
2002-05-31,606.8478903143214
2002-06-03,597.4980498484553
2002-06-04,591.178358662742
2002-06-05,595.180647543566
2002-06-06,584.4574184632842
2002-06-07,585.5480567238033
2002-06-10,585.4332108134745
2002-06-11,581.5141959507192
2002-06-12,577.9700038328257
2002-06-13,572.420737774883
2002-06-14,569.6189434979528
2002-06-17,579.1431993629885
2002-06-18,577.2409955724276
2002-06-19,567.1822380341218
2002-06-20,560.6548294204719
2002-06-21,559.1497133397138
2002-06-24,552.7332106575701
2002-06-25,552.5632382021059
2002-06-26,539.8033019284771
2002-06-27,547.6265238186679
2002-06-28,552.4268744086411
2002-07-01,547.5076559961525
2002-07-02,537.7462142694604
2002-07-03,536.2970405614482
2002-07-04,536.6466655340946
2002-07-05,549.7762064518341
2002-07-08,539.8346435157084
2002-07-09,533.8423660025665
2002-07-10,527.3506861451837
2002-07-11,521.2954166843215
2002-07-12,518.0180671554015
2002-07-15,505.4640129659874
2002-07-16,499.6534771595263
2002-07-17,501.45149268409153
2002-07-18,494.70417703623525
2002-07-19,482.4574078162518
2002-07-22,475.19127776300536
