Date,SINGAPORE IMI MINIMUM VOLATILITY (USD)
2003-04-18,949.3791045785727
2003-04-21,941.0747723174919
2003-04-22,940.9813395903351
2003-04-23,932.3833067538347
2003-04-24,919.8345828734126
2003-04-25,908.5675688058284
2003-04-28,921.1364614195041
2003-04-29,946.8541999871996
2003-04-30,947.8722291673066
2003-05-01,951.6910535655006
2003-05-02,957.4404017425383
2003-05-05,978.7452716592057
2003-05-06,983.1611777017397
2003-05-07,979.5351967985118
2003-05-08,983.9405476101566
2003-05-09,980.1652360862846
2003-05-12,995.354738763644
2003-05-13,990.0687539051289
2003-05-14,988.3847096601879
2003-05-15,995.9883292496786
2003-05-16,989.8348747713859
2003-05-19,984.7726315058308
2003-05-20,986.6624058730033
2003-05-21,984.4243505688867
2003-05-22,1002.7027163385562
2003-05-23,1017.9388852279658
2003-05-26,1031.8420008871115
2003-05-27,1022.4206494361121
2003-05-28,1027.6362692245593
2003-05-29,1028.5605186395428
2003-05-30,1030.3188653656318
2003-06-02,1049.2235805251246
2003-06-03,1049.6069642803234
2003-06-04,1064.8367660835283
2003-06-05,1082.7424342149677
2003-06-06,1083.521535898162
2003-06-09,1087.1686454512785
2003-06-10,1083.1107523343921
2003-06-11,1084.935765203562
2003-06-12,1105.723702056809
2003-06-13,1110.3050409329057
2003-06-16,1101.330546537682
2003-06-17,1120.3786687916008
2003-06-18,1117.6550433914242
2003-06-19,1135.4506255738795
2003-06-20,1132.217600294072
2003-06-23,1111.0045463365905
2003-06-24,1098.5569106447313
2003-06-25,1098.4406293926545
2003-06-26,1081.2475667855056
2003-06-27,1095.5278708037772
2003-06-30,1074.7508550608372
2003-07-01,1085.2333322478082
2003-07-02,1099.97273907243
2003-07-03,1100.9182811951166
2003-07-04,1105.0514841878712
2003-07-07,1117.6666154925463
2003-07-08,1118.672295952012
2003-07-09,1124.590234826814
2003-07-10,1120.4628129133905
2003-07-11,1134.7802735295588
2003-07-14,1153.0974484927274
2003-07-15,1160.1903384660172
2003-07-16,1162.6918820714843
2003-07-17,1153.1706368698356
2003-07-18,1150.7567964568277
2003-07-21,1150.6419395638497
2003-07-22,1136.4404900306724
2003-07-23,1141.169179350996
2003-07-24,1143.5268758685918
2003-07-25,1152.7200365204626
2003-07-28,1166.898750220289
2003-07-29,1164.3972594701656
2003-07-30,1157.26431626981
2003-07-31,1144.3859896033014
2003-08-01,1144.0536629364753
2003-08-04,1132.7721892292957
2003-08-05,1113.4666191064925
2003-08-06,1114.736443431691
2003-08-07,1134.1008243846263
2003-08-08,1136.0321555715784
2003-08-11,1148.0222505513825
2003-08-12,1149.5231292878786
2003-08-13,1166.4705945213798
2003-08-14,1170.6763842465505
2003-08-15,1171.2096335229226
2003-08-18,1185.4655682792309
2003-08-19,1178.3602422974693
2003-08-20,1179.0560244431279
2003-08-21,1190.641426506127
2003-08-22,1190.19223305689
2003-08-25,1175.5782977169752
2003-08-26,1151.9249548033213
2003-08-27,1155.1587070679645
2003-08-28,1156.8241571963863
2003-08-29,1160.7574227789612
2003-09-01,1170.1688805719211
2003-09-02,1160.7891476050695
2003-09-03,1164.156112625215
2003-09-04,1167.82762210181
2003-09-05,1169.2004818055862
2003-09-08,1166.9573425519936
2003-09-09,1146.6808900391375
2003-09-10,1142.633878831692
2003-09-11,1159.5255539483428
2003-09-12,1155.0836973160904
2003-09-15,1151.6736513972403
2003-09-16,1158.2127621824582
2003-09-17,1167.9793562486304
2003-09-18,1169.522108415935
2003-09-19,1168.4329342980116
2003-09-22,1173.247683952849
2003-09-23,1177.499675205443
2003-09-24,1203.526310958057
2003-09-25,1195.3077708183696
2003-09-26,1199.2112209837721
2003-09-29,1200.3199906315283
2003-09-30,1200.6266467359446
2003-10-01,1202.1145161120905
2003-10-02,1211.0769626477804
2003-10-03,1226.6113114530779
2003-10-06,1257.6195283950374
2003-10-07,1266.1444807257706
2003-10-08,1273.6503426233942
2003-10-09,1277.0127772576889
2003-10-10,1281.848486815641
2003-10-13,1282.421877587787
2003-10-14,1255.830184832487
2003-10-15,1266.2644235598946
2003-10-16,1272.343808116138
2003-10-17,1281.58604165596
2003-10-20,1278.162232938535
2003-10-21,1285.4883941571281
2003-10-22,1280.2800153632447
2003-10-23,1255.2123462339475
2003-10-24,1256.4994336345264
2003-10-27,1245.8386829157498
2003-10-28,1257.6274943267529
2003-10-29,1262.1843213931602
2003-10-30,1259.9223763146342
2003-10-31,1253.7780784576526
2003-11-03,1268.1070303352394
2003-11-04,1282.8640194501556
2003-11-05,1281.1065494525733
2003-11-06,1273.0344598550028
2003-11-07,1274.2887022695077
2003-11-10,1262.1581668314398
2003-11-11,1239.2256988390104
2003-11-12,1253.1846775285392
2003-11-13,1275.9236339398535
2003-11-14,1272.4257288928961
2003-11-17,1244.7425370459757
2003-11-18,1251.2731035942772
2003-11-19,1235.1281985884843
2003-11-20,1222.8139454568984
2003-11-21,1223.3449725259102
2003-11-24,1236.0085516341614
2003-11-25,1236.0085516341614
2003-11-26,1247.1026913998342
2003-11-27,1250.8682743252762
2003-11-28,1265.0115323770574
2003-12-01,1279.0150740746014
2003-12-02,1271.544299411448
2003-12-03,1276.69621980187
2003-12-04,1275.0442746096542
2003-12-05,1277.3695512083427
2003-12-08,1273.8908045499236
2003-12-09,1270.6436059019577
