Date,UK VALUE WEIGHTED
1999-08-16,828.2862112
1999-08-17,818.6855785
1999-08-18,825.9951746
1999-08-19,822.7845817
1999-08-20,830.1329488
1999-08-23,843.7191577
1999-08-24,834.9974734
1999-08-25,835.1670439
1999-08-26,836.3891681
1999-08-27,836.6556594
1999-08-30,836.4712347
1999-08-31,831.3144097
1999-09-01,833.6759314
1999-09-02,830.2245283
1999-09-03,843.6400985
1999-09-06,847.2400861
1999-09-07,840.4715052
1999-09-08,840.5935778
1999-09-09,845.8177065
1999-09-10,832.425782
1999-09-13,820.767311
1999-09-14,811.100816
1999-09-15,805.6000723
1999-09-16,805.6734648
1999-09-17,807.7914877
1999-09-20,807.2357854
1999-09-21,798.7394895
1999-09-22,793.8337218
1999-09-23,798.4938713
1999-09-24,792.9112226
1999-09-27,811.960896
1999-09-28,804.8295345
1999-09-29,801.5864853
1999-09-30,804.4277253
1999-10-01,802.1260041
1999-10-04,812.0177725
1999-10-05,815.1578947
1999-10-06,815.3079831
1999-10-07,823.8656492
1999-10-08,821.8452685
1999-10-11,821.1784504
1999-10-12,810.3882042
1999-10-13,801.8082822
1999-10-14,795.7431894
1999-10-15,783.9950528
1999-10-18,778.0420872
1999-10-19,794.6249971
1999-10-20,795.0236567
1999-10-21,787.7015867
1999-10-22,796.1634823
1999-10-25,790.0360851
1999-10-26,795.7256615
1999-10-27,785.8578227
1999-10-28,795.8993895
1999-10-29,810.677624
1999-11-01,813.5485283
1999-11-02,813.7285041
1999-11-03,814.0321877
1999-11-04,819.3993003
1999-11-05,810.256176
1999-11-08,804.817322
1999-11-09,811.0213805
1999-11-10,813.1310108
1999-11-11,822.0797449
1999-11-12,819.0552384
1999-11-15,824.6972947
1999-11-16,831.7203774
1999-11-17,830.2204961
1999-11-18,823.4910969
1999-11-19,818.2312944
1999-11-22,816.3263401
1999-11-23,831.4546508
1999-11-24,824.3436348
1999-11-25,833.4603775
1999-11-26,828.5767814
1999-11-29,828.4213175
1999-11-30,808.5502926
1999-12-01,815.6452126
1999-12-02,815.521479
1999-12-03,822.4203101
1999-12-06,825.1145244
1999-12-07,822.3917006
1999-12-08,814.8716929
1999-12-09,814.6707714
1999-12-10,822.0273186
1999-12-13,823.5312653
1999-12-14,822.4747517
1999-12-15,812.1824277
1999-12-16,816.939923
1999-12-17,824.4297491
1999-12-20,823.341688
1999-12-21,824.3593521
1999-12-22,825.6286084
1999-12-23,835.5546337
1999-12-24,839.2944359
1999-12-27,840.1254719
1999-12-28,838.6711588
1999-12-29,841.43955
1999-12-30,849.9506628
1999-12-31,849.9506628
2000-01-03,856.2790166
2000-01-04,836.3525428
2000-01-05,827.1859744
2000-01-06,825.0028114
2000-01-07,824.2155909
2000-01-10,829.1123654
2000-01-11,821.2702833
2000-01-12,817.6735353
2000-01-13,813.3007069
2000-01-14,815.0338264
2000-01-17,809.5887772
2000-01-18,797.264432
2000-01-19,789.3328449
2000-01-20,777.3285671
2000-01-21,779.580354
2000-01-24,779.5545304
2000-01-25,765.4383228
2000-01-26,772.3421251
2000-01-27,778.5909358
2000-01-28,761.3421949
2000-01-31,751.6242626
2000-02-01,748.565509
2000-02-02,738.598271
2000-02-03,741.8475617
2000-02-04,715.9025931
2000-02-07,707.3939598
2000-02-08,723.4584953
2000-02-09,724.5026765
2000-02-10,719.4561414
2000-02-11,707.1523915
2000-02-14,694.5081062
2000-02-15,692.7641708
2000-02-16,714.5845263
2000-02-17,726.3121579
2000-02-18,720.0439696
2000-02-21,715.8903435
2000-02-22,713.5375714
2000-02-23,720.851537
2000-02-24,711.5258216
2000-02-25,716.7655002
2000-02-28,707.6592575
2000-02-29,717.7596892
2000-03-01,736.271764
2000-03-02,738.3178581
2000-03-03,743.3149923
2000-03-06,743.2099089
2000-03-07,734.0212346
2000-03-08,728.6632589
2000-03-09,739.4551137
2000-03-10,739.6012079
2000-03-13,731.4197187
2000-03-14,732.1771085
2000-03-15,733.875329
2000-03-16,760.5427578
2000-03-17,751.2840901
2000-03-20,754.1614124
2000-03-21,763.855018
2000-03-22,764.2222257
2000-03-23,770.2951636
2000-03-24,789.3534749
2000-03-27,786.6383552
2000-03-28,783.0600759
2000-03-29,777.0434705
2000-03-30,770.2962958
2000-03-31,782.1624077
2000-04-03,779.9195919
2000-04-04,788.4648163
2000-04-05,777.3551688
2000-04-06,771.4377579
2000-04-07,778.7758102
2000-04-10,779.6570597
2000-04-11,772.7864413
2000-04-12,772.1645645
2000-04-13,774.7725034
2000-04-14,761.2419162
2000-04-17,739.6512565
2000-04-18,741.7599625
2000-04-19,750.3114372
2000-04-20,758.034224
2000-04-21,758.034224
2000-04-24,757.8903116
2000-04-25,766.889347
2000-04-26,765.3999628
2000-04-27,754.0722472
2000-04-28,759.9377814
2000-05-01,754.4012481
2000-05-02,763.9339847
2000-05-03,747.0867169
2000-05-04,740.2682754
2000-05-05,734.1623417
2000-05-08,735.2054648
2000-05-09,732.2494929
2000-05-10,729.3398652
2000-05-11,738.1778947
2000-05-12,749.1178795
2000-05-15,747.1898507
2000-05-16,747.2957065
2000-05-17,731.7441637
2000-05-18,731.4142447
2000-05-19,719.1627274
2000-05-22,724.9584
2000-05-23,722.8039058
2000-05-24,726.3250946
2000-05-25,732.3974635
2000-05-26,736.8332906
2000-05-29,739.8869816
2000-05-30,754.1500123
2000-05-31,747.3372175
2000-06-01,754.7244183
2000-06-02,771.5524711
2000-06-05,770.7968373
2000-06-06,781.6879023
2000-06-07,775.4289235
2000-06-08,769.3986852
2000-06-09,762.5101273
2000-06-12,762.4019629
2000-06-13,766.1824208
2000-06-14,767.7697154
2000-06-15,766.6212981
2000-06-16,772.6374095
2000-06-19,769.6416678
2000-06-20,769.3117301
2000-06-21,756.4792677
2000-06-22,755.2024209
2000-06-23,751.7194479
2000-06-26,753.3325402
2000-06-27,750.4756998
2000-06-28,752.8295448
2000-06-29,754.9061183
2000-06-30,760.7248728
2000-07-03,769.7355761
2000-07-04,765.8017529
2000-07-05,757.8379474
2000-07-06,762.8283644
2000-07-07,768.8496676
2000-07-10,765.6678803
2000-07-11,768.394986
2000-07-12,772.8567377
2000-07-13,761.80301
2000-07-14,764.8970939
2000-07-17,762.0505288
2000-07-18,756.0848204
2000-07-19,757.4889127
2000-07-20,762.9290741
2000-07-21,759.3882942
2000-07-24,759.5471942
2000-07-25,764.4814728
2000-07-26,761.6891777
2000-07-27,757.6317703
2000-07-28,753.7980266
2000-07-31,757.1800287
2000-08-01,760.699044
2000-08-02,761.0435467
2000-08-03,756.0535097
2000-08-04,763.9657335
2000-08-07,771.6631017
2000-08-08,767.5415701
2000-08-09,772.0403791
2000-08-10,769.4148597
2000-08-11,772.2145755
2000-08-14,779.257549
2000-08-15,785.3697521
2000-08-16,786.4702707
2000-08-17,785.4694013
2000-08-18,785.8034576
2000-08-21,785.4865337
2000-08-22,786.626748
2000-08-23,783.7616886
2000-08-24,782.7033873
2000-08-25,776.840291
2000-08-28,775.8127594
2000-08-29,770.7394031
2000-08-30,768.3030812
2000-08-31,768.4141127
2000-09-01,776.5083778
2000-09-04,778.9676437
2000-09-05,769.06203
2000-09-06,765.3764608
2000-09-07,752.9579263
2000-09-08,738.5728303
2000-09-11,735.1308731
2000-09-12,726.7245097
2000-09-13,724.8108723
2000-09-14,727.2738365
2000-09-15,714.3253742
2000-09-18,713.7627203
2000-09-19,715.0847697
2000-09-20,710.07962
2000-09-21,708.6440896
2000-09-22,731.3977551
2000-09-25,732.2304053
2000-09-26,731.0568127
2000-09-27,739.7513799
2000-09-28,741.5926629
2000-09-29,753.1805469
2000-10-02,747.6718501
2000-10-03,746.6066812
2000-10-04,748.6307091
2000-10-05,750.540296
2000-10-06,749.9631012
2000-10-09,739.3559782
2000-10-10,732.3195273
2000-10-11,728.6525905
2000-10-12,731.1973971
2000-10-13,733.8040228
2000-10-16,736.5702926
2000-10-17,726.2054764
2000-10-18,729.8153146
2000-10-19,727.8438329
2000-10-20,733.9914104
2000-10-23,743.653723
2000-10-24,751.0421457
2000-10-25,741.5093356
2000-10-26,736.3110469
2000-10-27,750.1209255
2000-10-30,756.5103551
2000-10-31,764.221307
2000-11-01,766.8437042
2000-11-02,767.5239177
2000-11-03,768.5246876
2000-11-06,767.0130013
2000-11-07,767.3431257
2000-11-08,765.5954931
2000-11-09,764.2861595
2000-11-10,767.0534309
2000-11-13,760.8124144
2000-11-14,765.1499448
2000-11-15,764.5598544
2000-11-16,763.412979
2000-11-17,765.0363903
2000-11-20,760.2995424
2000-11-21,761.2997638
2000-11-22,743.8562529
2000-11-23,740.2220408
2000-11-24,746.8296912
2000-11-27,760.1330442
2000-11-28,752.4745239
2000-11-29,747.7635059
2000-11-30,746.7349639
2000-12-01,758.3291183
2000-12-04,768.6613833
2000-12-05,776.5557644
