Date,INDONESIA GROWTH
2017-09-28,1367.9772758363154
2017-09-29,1374.0303870841701
2017-10-02,1376.2512619390004
2017-10-03,1381.1577332712645
2017-10-04,1389.642380211431
2017-10-05,1379.920108976111
2017-10-06,1379.4132565441462
2017-10-09,1374.849414464208
2017-10-10,1366.264753137723
2017-10-11,1347.0305104846002
2017-10-12,1361.8206301747718
2017-10-13,1360.081063409039
2017-10-16,1371.0480053219576
2017-10-17,1361.492825202908
2017-10-18,1344.5811950430707
2017-10-19,1335.9414852989094
2017-10-20,1341.7830815020213
2017-10-23,1349.9994370774377
2017-10-24,1338.8691404881406
2017-10-25,1337.3482535363096
2017-10-26,1337.3856393383212
2017-10-27,1319.0587618192442
2017-10-30,1315.5021416197603
2017-10-31,1323.8173564874621
2017-11-01,1327.8011279836128
2017-11-02,1337.4303758374592
2017-11-03,1344.9699946569726
2017-11-06,1349.2155981900487
2017-11-07,1351.6147512114235
2017-11-08,1338.690666982649
2017-11-09,1338.743010278392
2017-11-10,1329.1737178681567
2017-11-13,1323.0746000508816
2017-11-14,1316.116089209546
2017-11-15,1328.4953136169702
2017-11-16,1341.9713915195125
2017-11-17,1349.9514732816247
2017-11-20,1342.254751968971
2017-11-21,1347.797253666032
2017-11-22,1350.18402120405
2017-11-23,1354.1714236430691
2017-11-24,1361.7102429663998
2017-11-27,1366.2720487693102
2017-11-28,1361.6256409477862
2017-11-29,1354.047660636854
2017-11-30,1317.6233393130651
2017-12-01,1317.6233393130651
2017-12-04,1332.1004495681061
2017-12-05,1333.7779487884675
2017-12-06,1340.1907415252863
2017-12-07,1333.1219466968068
2017-12-08,1340.9112010077063
2017-12-11,1336.4172125807718
2017-12-12,1342.5528308105297
2017-12-13,1343.3654700207248
2017-12-14,1356.8917588384024
2017-12-15,1352.2786041734064
2017-12-18,1360.5280101702804
2017-12-19,1361.3293832262207
2017-12-20,1345.693142824368
2017-12-21,1366.8580554282985
2017-12-22,1382.636424199325
2017-12-25,1382.636424199325
2017-12-26,1382.636424199325
2017-12-27,1398.0356346112765
2017-12-28,1410.1250677160542
2017-12-29,1411.439167763363
2018-01-01,1411.439167763363
