Date,BRAZIL GROWTH
2003-03-26,62.30679405152447
2003-03-27,62.488920853488935
2003-03-28,63.262275474162706
2003-03-31,63.6131469215904
2003-04-01,64.34177995038534
2003-04-02,65.80284378398233
2003-04-03,65.76478896735078
2003-04-04,66.36228263710608
2003-04-07,66.91546668321503
2003-04-08,66.3802140615754
2003-04-09,66.68219020696912
2003-04-10,66.32506743292002
2003-04-11,65.51517404639516
2003-04-14,66.11216825990178
2003-04-15,67.08934722302664
2003-04-16,67.746953281035
2003-04-17,69.72758355540367
2003-04-18,69.72758355540367
2003-04-21,69.25660646713816
2003-04-22,68.83507985735925
2003-04-23,69.7916674655735
2003-04-24,69.30765359251232
2003-04-25,69.052975643925
2003-04-28,69.77269434381307
2003-04-29,71.9560952424021
2003-04-30,73.06077055637688
2003-05-01,72.40821815704133
2003-05-02,73.5604014626463
2003-05-05,73.09597831923526
2003-05-06,71.80812316608716
2003-05-07,73.28911637885848
2003-05-08,73.65494191637652
2003-05-09,75.40329210134539
2003-05-12,76.17370677474433
2003-05-13,77.10386587917984
2003-05-14,75.74306957183241
2003-05-15,74.94476787880258
2003-05-16,73.57367121715775
2003-05-19,73.22374526483583
2003-05-20,72.5309454202768
2003-05-21,73.0135824283859
2003-05-22,73.6923171920684
2003-05-23,75.08566186106195
2003-05-26,75.52188259862545
2003-05-27,73.7219344659896
2003-05-28,74.32549569727745
2003-05-29,75.43305185705967
2003-05-30,74.46489826648356
2003-06-02,73.45825230598982
2003-06-03,73.6631071276919
2003-06-04,76.53480066410944
2003-06-05,77.01317774603211
2003-06-06,78.4620344620973
2003-06-09,77.69660086577515
2003-06-10,78.0748245833955
2003-06-11,77.43987917822584
2003-06-12,78.70251908315086
2003-06-13,78.18973120875246
2003-06-16,78.87461912325455
2003-06-17,78.58102120262203
2003-06-18,77.37763362034926
2003-06-19,77.21684892711215
2003-06-20,75.93801399912837
2003-06-23,74.93347728955322
2003-06-24,75.78789659323378
2003-06-25,76.13656027907054
2003-06-26,75.42799681330482
2003-06-27,75.74382298364344
2003-06-30,75.22789103409026
2003-07-01,77.26471452477524
2003-07-02,77.5794987912912
2003-07-03,77.18134833013578
2003-07-04,78.14311790310997
2003-07-07,78.382487784829
2003-07-08,78.45944740783166
2003-07-09,78.70565906287713
2003-07-10,77.78602817282743
2003-07-11,77.00640817015433
2003-07-14,78.98978409891008
2003-07-15,79.70813566888283
2003-07-16,78.79323972868214
2003-07-17,79.02689085111903
2003-07-18,79.3515777180535
2003-07-21,79.47009243044681
2003-07-22,79.76525035314252
2003-07-23,79.91958627987033
2003-07-24,79.52544497351252
2003-07-25,80.37606373195078
2003-07-28,80.40168019951236
2003-07-29,79.91938107502962
2003-07-30,78.94220346608654
2003-07-31,79.21201096114115
2003-08-01,76.7004219149049
2003-08-04,73.97320404079966
2003-08-05,75.31987230256635
2003-08-06,74.95086807553255
2003-08-07,76.88599824765335
2003-08-08,78.09868416097842
2003-08-11,78.27528964533678
2003-08-12,78.14407016024946
2003-08-13,77.75860180572403
2003-08-14,79.41677946488768
2003-08-15,80.18923409724766
2003-08-18,81.69112314351536
2003-08-19,81.07921109069872
2003-08-20,81.9612187941669
2003-08-21,82.84900589100637
2003-08-22,82.80829249218075
2003-08-25,81.75245732452964
2003-08-26,82.71301254839541
2003-08-27,85.05091911534271
2003-08-28,85.95759156163325
2003-08-29,87.44034203897255
2003-09-01,87.76293038774674
2003-09-02,87.79516344671282
2003-09-03,90.2164573984845
2003-09-04,91.65916094752515
2003-09-05,93.25059597534091
2003-09-08,93.1819443441527
2003-09-09,90.24898522287573
2003-09-10,91.3572708854955
2003-09-11,92.48479160339204
2003-09-12,92.66825302864954
2003-09-15,91.30247067564385
2003-09-16,91.09149123976256
2003-09-17,91.33557112184192
2003-09-18,93.17555942334555
2003-09-19,92.97412478287623
2003-09-22,91.90375343796929
2003-09-23,90.50163285726819
2003-09-24,88.96091813642008
2003-09-25,87.08009700771301
2003-09-26,86.881444125214
2003-09-29,88.43555302441008
2003-09-30,88.12397299060255
2003-10-01,91.84816274614062
2003-10-02,93.63762167171701
2003-10-03,95.21414514804805
2003-10-06,96.28067826378555
2003-10-07,96.5406559479988
2003-10-08,98.19278547578679
2003-10-09,97.78095614772353
2003-10-10,97.48190630691128
2003-10-13,99.60511758229178
2003-10-14,99.37134593387064
2003-10-15,98.88811374985342
2003-10-16,98.31546613195732
2003-10-17,96.9586824765747
2003-10-20,97.32795226549156
2003-10-21,97.64641711596215
2003-10-22,96.48584770785003
2003-10-23,94.71280926353361
2003-10-24,95.56866980426722
2003-10-27,95.99697852678663
2003-10-28,97.68654191705879
2003-10-29,96.82013906926561
2003-10-30,97.22897414353343
2003-10-31,96.07060323800992
2003-11-03,98.19080761795458
2003-11-04,98.4574164318085
2003-11-05,96.31724628938623
2003-11-06,96.40574940079405
2003-11-07,97.13933275544841
2003-11-10,95.7434407205648
2003-11-11,95.54196571012541
2003-11-12,96.57448373202259
2003-11-13,96.27306351031774
2003-11-14,96.85131461654828
2003-11-17,94.95764132691272
2003-11-18,96.02278603775324
2003-11-19,95.81736261545733
2003-11-20,96.85592566950075
2003-11-21,97.59426785254378
2003-11-24,99.29061983154371
2003-11-25,99.83145045485654
2003-11-26,99.21787591333032
2003-11-27,99.52876510771875
2003-11-28,100.39313063006404
2003-12-01,103.3139613069366
2003-12-02,103.0270742108459
2003-12-03,104.10221263499444
2003-12-04,104.11868068964968
2003-12-05,106.30970894541893
2003-12-08,107.04502901839447
2003-12-09,110.27781486053073
2003-12-10,109.00764776100839
2003-12-11,108.76443779143158
2003-12-12,109.64892693622713
2003-12-15,109.96687911098871
2003-12-16,109.70879813422765
2003-12-17,110.95826063047559
2003-12-18,112.92154166883326
2003-12-19,114.18884645695425
2003-12-22,117.21464654397717
2003-12-23,117.54036610656381
2003-12-24,117.60905590456356
2003-12-25,117.60905590456356
2003-12-26,118.15370030858396
2003-12-29,120.0835976149211
2003-12-30,119.67669837443931
2003-12-31,120.21596945896889
2004-01-01,120.21596945896889
2004-01-02,121.88044078726814
2004-01-05,128.8101515477607
2004-01-06,129.07199973133376
2004-01-07,126.62524485598456
2004-01-08,128.46637819825236
2004-01-09,128.13746335622548
2004-01-12,129.69487908023177
2004-01-13,129.31959518913874
2004-01-14,125.82605852434469
2004-01-15,123.7232562160946
2004-01-16,123.53257475300911
2004-01-19,123.69072312760264
2004-01-20,126.06975564306654
2004-01-21,123.38726625062995
2004-01-22,123.08931882719767
2004-01-23,124.5363361364834
2004-01-26,127.29012254047755
2004-01-27,126.77671588705157
2004-01-28,124.37373335742677
2004-01-29,115.38905526242002
2004-01-30,115.09358618545491
2004-02-02,114.25949311112966
2004-02-03,118.37797871863067
2004-02-04,118.4164591292791
2004-02-05,113.99100799956922
2004-02-06,116.20069757510149
2004-02-09,116.92470978542846
2004-02-10,119.2032059154803
2004-02-11,122.45645774069125
2004-02-12,123.50481364533088
2004-02-13,120.30947200664451
2004-02-16,118.62286459225064
2004-02-17,120.68034155195097
2004-02-18,118.4542008140318
2004-02-19,114.20045982360298
2004-02-20,113.89968596413595
2004-02-23,114.7269978723214
2004-02-24,114.67663313479599
2004-02-25,115.69621980786539
2004-02-26,115.62725201132854
2004-02-27,118.71786837607874
2004-03-01,123.43348424693443
2004-03-02,121.6128403667418
2004-03-03,120.86225968496245
2004-03-04,119.96477226106394
2004-03-05,120.6931359912039
2004-03-08,119.33050222601688
2004-03-09,117.8963311080334
2004-03-10,112.39415825965635
2004-03-11,107.79956507493158
2004-03-12,111.15963182135548
2004-03-15,109.0201230652688
2004-03-16,110.24010337418711
2004-03-17,112.7369642088855
2004-03-18,113.76800924933737
2004-03-19,114.05016716571522
2004-03-22,110.99393904363909
2004-03-23,109.67994121277559
2004-03-24,107.89371600241275
2004-03-25,107.15083153151264
2004-03-26,110.28784639279905
2004-03-29,111.44557947940854
2004-03-30,114.15381236922902
2004-03-31,114.86903798884485
2004-04-01,117.37697105853601
2004-04-02,119.33050074694523
2004-04-05,119.87432217393172
2004-04-06,120.60370062658379
2004-04-07,117.3809590074166
2004-04-08,117.44004316421106
2004-04-09,117.44004316421106
2004-04-12,117.3837568754242
2004-04-13,115.72792271492692
2004-04-14,113.51416418067872
2004-04-15,111.80292049225014
2004-04-16,111.69201328188225
2004-04-19,111.50729172034755
2004-04-20,108.73312516561109
2004-04-21,108.32491206771971
2004-04-22,107.11148798146229
2004-04-23,108.80473439800572
2004-04-26,107.78749608857541
2004-04-27,107.75964874200025
2004-04-28,102.74154778780087
2004-04-29,100.20829364609219
2004-04-30,98.29064598805074
2004-05-03,99.42042169022676
2004-05-04,100.21507628632367
2004-05-05,100.99258571841557
2004-05-06,96.64892658796069
2004-05-07,93.03273302223774
2004-05-10,87.62783220682068
2004-05-11,91.8882542364535
2004-05-12,91.06931213196239
2004-05-13,93.2145215762337
2004-05-14,93.08794476389951
2004-05-17,89.9113906072067
2004-05-18,93.55005657903057
2004-05-19,95.43643626596334
2004-05-20,92.45132255648144
2004-05-21,92.17765223074139
2004-05-24,93.9906376419117
2004-05-25,95.74975902625863
2004-05-26,97.22667096618038
2004-05-27,99.53938448352446
2004-05-28,100.43855584558122
2004-05-31,100.1524443099709
2004-06-01,98.790893718485
2004-06-02,100.04693993955262
2004-06-03,97.6747801377641
2004-06-04,99.49354837801036
2004-06-07,103.41212144495235
2004-06-08,102.83291640944357
2004-06-09,100.07746122122938
2004-06-10,100.19007048478004
2004-06-11,99.53460063370662
2004-06-14,96.96515084089654
2004-06-15,98.64007298231468
2004-06-16,98.9899610843805
2004-06-17,99.43855913263327
2004-06-18,99.90483856209458
2004-06-21,99.49979978737323
2004-06-22,98.71036396275069
2004-06-23,101.69786153692519
2004-06-24,102.56548174681085
2004-06-25,103.13295527954797
2004-06-28,100.50926568713652
2004-06-29,102.26810542278211
2004-06-30,104.44907311462451
2004-07-01,105.76145395216781
2004-07-02,106.7720625122685
2004-07-05,107.49565250885152
2004-07-06,105.2362190404662
2004-07-07,106.89915569527892
2004-07-08,105.9095940877224
2004-07-09,106.08378749905087
2004-07-12,108.35014076634997
2004-07-13,109.34243169096281
2004-07-14,110.41281128093607
2004-07-15,112.6499445352713
2004-07-16,114.43301965474402
2004-07-19,113.31692491940105
2004-07-20,113.94990468514848
2004-07-21,110.19134919290829
2004-07-22,108.4826767772825
2004-07-23,108.00923875552967
2004-07-26,106.6269198395232
2004-07-27,108.4009860763326
2004-07-28,110.43044915880805
2004-07-29,111.41849009815674
2004-07-30,112.78532010041485
2004-08-02,111.92130854832469
2004-08-03,111.69947351722666
2004-08-04,110.92257933775355
2004-08-05,108.29575483783704
2004-08-06,109.40811017471486
2004-08-09,108.68152710326375
2004-08-10,111.27973183976336
2004-08-11,110.72140580485184
2004-08-12,111.81019882027609
2004-08-13,111.83884243202743
2004-08-16,113.74967646715255
2004-08-17,115.54414988462138
2004-08-18,118.57352917149109
2004-08-19,119.93767211107564
2004-08-20,120.28842176347818
2004-08-23,118.01872260851489
2004-08-24,118.04338376436048
2004-08-25,119.5695215158292
2004-08-26,117.81452939454576
2004-08-27,117.73784357233845
2004-08-30,118.69053049279644
2004-08-31,119.63732533608786
2004-09-01,119.02205436607231
2004-09-02,119.87607104174583
2004-09-03,118.71985618569211
2004-09-06,120.41923680529484
2004-09-07,120.52267198550896
2004-09-08,120.84424238476255
2004-09-09,119.99109173209371
2004-09-10,119.22231934414323
2004-09-13,119.43146588466546
2004-09-14,121.02772323714224
2004-09-15,120.82431986115515
2004-09-16,122.99505234343694
2004-09-17,124.59671907577898
2004-09-20,125.47674716303035
2004-09-21,125.40075880956262
2004-09-22,123.37448265515137
2004-09-23,123.89445490031832
2004-09-24,123.79066766138332
2004-09-27,121.95527508029761
2004-09-28,125.87802869075031
2004-09-29,126.85588438465402
2004-09-30,127.25031139280489
2004-10-01,130.28544458993673
2004-10-04,133.10033962929975
2004-10-05,133.82075949082542
2004-10-06,131.96417547546275
2004-10-07,130.82113033571287
2004-10-08,131.17179976684346
2004-10-11,131.23077081687657
2004-10-12,131.25400984128188
2004-10-13,126.34393015946547
2004-10-14,124.30017002694383
2004-10-15,126.93787938708911
2004-10-18,126.64224941588392
2004-10-19,123.63637506217196
2004-10-20,122.44385118811698
2004-10-21,125.98921146618459
2004-10-22,125.37014671718808
2004-10-25,124.16853891826531
2004-10-26,125.86295960333187
2004-10-27,127.81086219692644
2004-10-28,126.10473256214452
2004-10-29,128.0098265193401
2004-11-01,128.22450901836442
2004-11-02,129.19385745152007
2004-11-03,131.15045235713922
2004-11-04,132.25055420221778
2004-11-05,132.10021032281375
2004-11-08,130.1187738333077
2004-11-09,131.73344973643466
2004-11-10,133.32815128986897
2004-11-11,133.13080190023985
2004-11-12,136.80909338254943
2004-11-15,136.91930478967825
2004-11-16,135.15672714967883
2004-11-17,138.87974027427612
2004-11-18,137.37007320992223
2004-11-19,136.54044396554303
2004-11-22,137.81116036028442
2004-11-23,137.76919381736812
2004-11-24,139.53744782104198
2004-11-25,140.8102780122611
2004-11-26,142.7421614628855
2004-11-29,141.99106168904726
2004-11-30,144.27534786382606
2004-12-01,145.11385509513147
2004-12-02,144.17763260316022
2004-12-03,146.3503337310407
2004-12-06,146.1977407356037
2004-12-07,143.59195524752016
2004-12-08,143.56517852832698
2004-12-09,141.29343364611935
2004-12-10,145.072026870732
2004-12-13,147.5990891975258
2004-12-14,149.83160009012704
2004-12-15,149.89794464440035
2004-12-16,152.2709387105688
2004-12-17,151.84749628500694
2004-12-20,153.04720696541796
2004-12-21,156.388506059211
2004-12-22,155.5724743915374
2004-12-23,156.800978824542
2004-12-24,157.35453114666507
2004-12-27,157.26022416494249
2004-12-28,159.474399905121
2004-12-29,160.02865142887578
2004-12-30,161.48996049140806
2004-12-31,161.36835660549588
2005-01-03,160.07692852840202
2005-01-04,152.3534449519321
2005-01-05,151.50616774041515
2005-01-06,148.8758411454097
2005-01-07,151.30957619712356
2005-01-10,151.26788519514858
2005-01-11,149.83103203110394
2005-01-12,150.4258375088722
2005-01-13,154.32384737845987
2005-01-14,157.11108333557272
2005-01-17,155.19260227297949
2005-01-18,152.94879945487324
2005-01-19,154.0522612332275
2005-01-20,150.18247605059014
2005-01-21,154.00553558182767
2005-01-24,157.1280037403328
2005-01-25,157.1866226561098
2005-01-26,157.69356740223844
2005-01-27,155.27500928390756
2005-01-28,155.76884927231995
2005-01-31,159.47168694742084
2005-02-01,160.39987906213685
2005-02-02,160.7100221419498
2005-02-03,162.28656878646245
2005-02-04,167.47182432093715
2005-02-07,166.86073066583867
2005-02-08,165.08527922801102
2005-02-09,168.0079731895136
2005-02-10,167.5371971955938
2005-02-11,167.8958228457247
2005-02-14,171.14328106601943
2005-02-15,173.56044187119076
2005-02-16,170.1394005462201
2005-02-17,176.3909930814568
2005-02-18,175.2749355470614
2005-02-21,176.26390730253127
2005-02-22,178.18717382285155
2005-02-23,182.63028492889688
2005-02-24,189.6539622526912
2005-02-25,184.8520778541256
2005-02-28,184.7449414472068
2005-03-01,181.9377499328251
2005-03-02,182.3528647792876
2005-03-03,184.53807044923985
2005-03-04,189.6622655549601
2005-03-07,190.57337474445683
2005-03-08,185.58135126290526
2005-03-09,181.2080816744323
2005-03-10,178.57148239290686
2005-03-11,179.49679195354688
2005-03-14,175.02100368305696
2005-03-15,171.11138883109265
2005-03-16,173.07997147109847
2005-03-17,176.3466727039863
2005-03-18,174.92211626617853
2005-03-21,171.73955436425885
2005-03-22,170.21028323829225
2005-03-23,163.14917730228296
2005-03-24,167.94233977560685
2005-03-25,167.94233977560685
2005-03-28,163.87977221224853
2005-03-29,161.47380015707034
2005-03-30,166.32891182956573
2005-03-31,170.3955499334949
2005-04-01,170.23352663580386
2005-04-04,166.3719755046774
2005-04-05,166.85507015684863
2005-04-06,166.18506070864262
2005-04-07,169.6216305618343
2005-04-08,168.05155230412282
2005-04-11,169.67923152685916
2005-04-12,167.59670105072982
2005-04-13,167.18084991567002
2005-04-14,159.989629287407
2005-04-15,157.1448631231877
2005-04-18,157.65462502079654
2005-04-19,163.20824023860692
2005-04-20,162.0269617350632
2005-04-21,162.30977012091182
2005-04-22,162.05612102067903
2005-04-25,165.57507873045566
2005-04-26,165.93673294198953
2005-04-27,166.18239916461783
2005-04-28,159.066866702062
2005-04-29,159.68393914596885
2005-05-02,161.0812526052542
2005-05-03,161.46908669085911
2005-05-04,167.6748684289795
2005-05-05,166.601273091677
2005-05-06,167.76849796829896
2005-05-09,168.0315738549206
2005-05-10,163.15066228654024
2005-05-11,160.56200851677517
2005-05-12,156.05724046325946
2005-05-13,155.31076404269012
2005-05-16,158.99167814714815
2005-05-17,159.27583963607248
2005-05-18,164.28482262527868
2005-05-19,165.13824895384406
2005-05-20,162.2878900188063
2005-05-23,162.4929130988834
2005-05-24,164.72731027176835
2005-05-25,165.3334815985375
2005-05-26,165.43638625513415
2005-05-27,168.9204665501867
2005-05-30,170.7555001148401
2005-05-31,168.49213209320325
2005-06-01,171.41233942259123
2005-06-02,176.52516913690297
2005-06-03,178.00879797441874
