Date,TAIWAN GROWTH
2001-05-10,112.28723177176134
2001-05-11,114.01386766383098
2001-05-14,112.57899572502359
2001-05-15,110.27185740798882
2001-05-16,108.30683835743585
2001-05-17,109.88340145276146
2001-05-18,110.23264225742422
2001-05-21,106.42821469803843
2001-05-22,107.97719632343212
2001-05-23,112.37520838622085
2001-05-24,111.62209538424857
2001-05-25,111.13914688047457
2001-05-28,109.72525953394407
2001-05-29,108.0756491212477
2001-05-30,106.6747543527733
2001-05-31,106.36148974912186
2001-06-01,105.54836013108878
2001-06-04,106.0191113651527
2001-06-05,106.89587155487541
2001-06-06,109.76886647057218
2001-06-07,109.35310784377296
2001-06-08,112.40850458512422
2001-06-11,113.63689007808912
2001-06-12,112.88210912120319
2001-06-13,109.3905561657943
2001-06-14,107.25522940768819
2001-06-15,108.09629763472341
2001-06-18,105.7032806081949
2001-06-19,104.39557401861488
2001-06-20,104.00164286779705
2001-06-21,101.41937784401514
2001-06-22,100.89785163723991
2001-06-25,100.95642803877095
2001-06-26,98.7783279033283
2001-06-27,101.27684059086332
2001-06-28,99.32355235192672
2001-06-29,103.53815652013763
2001-07-02,105.92774464988882
2001-07-03,104.97145198459278
2001-07-04,103.17940999195928
2001-07-05,102.92842431859565
2001-07-06,101.43486945947076
2001-07-09,99.21998351579462
2001-07-10,99.36136071313372
2001-07-11,98.10883488635353
2001-07-12,99.903078011341
2001-07-13,98.43364621540076
2001-07-16,98.19282897700592
2001-07-17,98.09437056273488
2001-07-18,95.3001909842285
2001-07-19,93.80731090504938
2001-07-20,94.62560312572747
2001-07-23,92.69418778152466
2001-07-24,91.13472604308795
2001-07-25,94.4785659641263
2001-07-26,97.55139146296166
2001-07-27,99.3245616339709
2001-07-30,99.3245616339709
2001-07-31,102.17686269710568
2001-08-01,103.93162389055964
2001-08-02,106.88283379600982
2001-08-03,106.20607046239313
2001-08-06,104.23145148629062
2001-08-07,101.76140424688268
2001-08-08,103.9568602844021
2001-08-09,101.22496307659813
2001-08-10,103.41746226573258
2001-08-13,103.29502175130739
2001-08-14,105.63886077011733
2001-08-15,105.49977677112271
2001-08-16,105.1640379073622
2001-08-17,104.19890718652191
2001-08-20,101.79401972388534
2001-08-21,102.33196050765282
2001-08-22,98.47677170674086
2001-08-23,98.11717343150727
2001-08-24,94.1567611885046
2001-08-27,97.51355055794741
2001-08-28,96.9426988869709
2001-08-29,99.73078475928428
2001-08-30,98.5610402054892
2001-08-31,99.16777854090982
2001-09-03,98.36933895061098
2001-09-04,101.04547186353776
2001-09-05,99.83318232359966
2001-09-06,97.95248462384578
2001-09-07,97.18948492214132
2001-09-10,97.4959894582622
2001-09-11,95.41585154558277
2001-09-12,96.0028896942758
2001-09-13,90.06434165938293
2001-09-14,84.85535729449978
