Date,EM GCC COUNTRIES IMI VALUE
2016-02-02,839.3093803346046
2016-02-03,819.7961868344933
2016-02-04,831.7780158113609
2016-02-05,833.7166873708284
2016-02-08,830.1829557498933
2016-02-09,812.9940344797011
2016-02-10,822.5747786989373
2016-02-11,801.9808661976334
2016-02-12,809.1541055689615
2016-02-15,836.9010699487745
2016-02-16,842.6207317560376
2016-02-17,846.0054868188267
2016-02-18,860.1479363510866
2016-02-19,859.5530327718508
2016-02-22,873.8967073116985
2016-02-23,884.6228792744505
2016-02-24,879.812990826508
2016-02-25,874.0906769655052
2016-02-26,882.529485828869
2016-02-29,903.3233705992567
2016-03-01,908.8914860006626
2016-03-02,908.0710562774805
2016-03-03,911.0805637947592
2016-03-04,904.8726013813307
2016-03-07,930.1830691711206
2016-03-08,928.7059342487393
2016-03-09,930.4812027964504
2016-03-10,917.9098964769203
2016-03-11,916.8400349413556
2016-03-14,907.4434555621078
2016-03-15,904.0575873139516
2016-03-16,905.1666916734462
2016-03-17,905.0290425831137
2016-03-18,907.0529782700597
2016-03-21,902.4353953281703
2016-03-22,909.61083966517
2016-03-23,912.3299408432159
2016-03-24,904.4449858338318
2016-03-25,904.4449858338318
2016-03-28,887.51862445135
2016-03-29,900.8434724547011
2016-03-30,896.6083556961528
2016-03-31,898.1937221170505
2016-04-01,902.1923420937343
2016-04-04,894.3834176553465
2016-04-05,881.8200367318897
2016-04-06,877.7288081605784
2016-04-07,889.4233266877465
2016-04-08,887.4414860708338
2016-04-11,885.22012907267
2016-04-12,895.8765264301072
2016-04-13,906.6723538204832
2016-04-14,917.1160136152528
2016-04-15,914.3220150799614
2016-04-18,914.4885628133712
2016-04-19,911.9828150960951
2016-04-20,916.008117644355
2016-04-21,927.8879345988487
2016-04-22,931.9318637184722
2016-04-25,924.0590621447651
2016-04-26,917.3639105420649
2016-04-27,917.0880821870261
2016-04-28,909.2863471199915
2016-04-29,898.2383484309679
2016-05-02,877.361702064299
2016-05-03,861.9154522311197
2016-05-04,867.518887433522
2016-05-05,869.2331057633709
2016-05-06,867.4575588922054
2016-05-09,878.5723737809709
2016-05-10,871.7191956400885
2016-05-11,865.3686649437227
2016-05-12,867.8360569229751
2016-05-13,875.95642772378
2016-05-16,870.5174408841968
2016-05-17,868.9811973969888
2016-05-18,870.5531588373842
2016-05-19,860.5233087650955
2016-05-20,859.921117585225
2016-05-23,852.7100274370292
2016-05-24,860.896363087929
2016-05-25,871.6418444422279
2016-05-26,868.8715164397961
